,Name,sci_name,order,family,genus,sci_n_year,year,altitude,populate,habitat,conservation,other_names,IUCN_link
0,Maracaibo Tody-flycatcher,Todirostrum viridanum,passeriformes,tyrannidae,todirostrum,"Hellmayr, 1927",3.6 years,200 metres,Decreasing,"Forest, Savanna, Shrubland",Least Concern,"Maracaibo Tody-flycatcher, Maracaibo Tody-Flycatcher",https://www.iucnredlist.org/species/22699031/118474462
0,Black-headed Tody-flycatcher,Todirostrum nigriceps,passeriformes,tyrannidae,todirostrum,"Sclater, 1855",2.7 years,"1,500 metres",Decreasing,"Forest, Artificial/Terrestrial",Least Concern,"Black-headed Tody-flycatcher, Black-headed Tody-Flycatcher",https://www.iucnredlist.org/species/22699035/138064558
0,Painted Tody-flycatcher,Todirostrum pictum,passeriformes,tyrannidae,todirostrum,"Salvin, 1897",3.6 years,400 metres,Stable,"Forest, Artificial/Terrestrial",Least Concern,"Painted Tody-flycatcher, Painted Tody-Flycatcher",https://www.iucnredlist.org/species/22699039/93713181
0,Yellow-browed Tody-flycatcher,Todirostrum chrysocrotaphum,passeriformes,tyrannidae,todirostrum,"Strickland, 1850",3.6 years,"1,400 metres",Stable,"Forest, Artificial/Terrestrial",Least Concern,"Yellow-browed Tody-flycatcher, Yellow-browed Tody-Flycatcher",https://www.iucnredlist.org/species/22699043/93713390
0,Eastern Ornate Flycatcher,Myiotriccus phoenicurus,passeriformes,tyrannidae,myiotriccus,"(Sclater, 1855)",3.6 years,"2,300 metres",Stable,"Forest, Wetlands (inland)",Least Concern,Eastern Ornate Flycatcher,https://www.iucnredlist.org/species/103680670/104075955
0,Western Ornate Flycatcher,Myiotriccus ornatus,passeriformes,tyrannidae,myiotriccus,"(Lafresnaye, 1853)",3.6 years,"2,300 metres",Stable,"Forest, Wetlands (inland)",Least Concern,Western Ornate Flycatcher,https://www.iucnredlist.org/species/103680660/93742704
0,Handsome Flycatcher,Nephelomyias pulcher,passeriformes,tyrannidae,nephelomyias,"(Sclater, 1860)",3.6 years,"3,050 metres",Stable,Forest,Least Concern,Handsome Flycatcher,https://www.iucnredlist.org/species/22699680/93743570
0,Orange-banded Flycatcher,Nephelomyias lintoni,passeriformes,tyrannidae,nephelomyias,"(Meyer de Schauensee, 1951)",3.6 years,"3,050 metres",Decreasing,Forest,Near Threatened,Orange-banded Flycatcher,https://www.iucnredlist.org/species/22699688/93743745
0,Ochraceous-breasted Flycatcher,Nephelomyias ochraceiventris,passeriformes,tyrannidae,nephelomyias,"(Cabanis, 1873)",3.6 years,"3,500 metres",Stable,"Forest, Shrubland",Least Concern,Ochraceous-breasted Flycatcher,https://www.iucnredlist.org/species/22699696/93743986
0,Cinnamon Flycatcher,Pyrrhomyias cinnamomeus,passeriformes,tyrannidae,pyrrhomyias,"(D'Orbigny & Lafresnaye, 1837)",3.6 years,"3,350 metres",Stable,"Forest, Artificial/Terrestrial",Least Concern,Cinnamon Flycatcher,https://www.iucnredlist.org/species/22699730/93745294
0,Swallow Flycatcher,Hirundinea bellicosa,passeriformes,tyrannidae,hirundinea,"(Vieillot, 1819)",3.6 years,"3,900 metres",Increasing,"Forest, Shrubland, Rocky areas (eg. inland cliffs, mountain peaks), Artificial/Terrestrial",Least Concern,Swallow Flycatcher,https://www.iucnredlist.org/species/22699743/118571837
