,Name,sci_name,order,family,genus,sci_n_year,year,altitude,populate,habitat,conservation,other_names,IUCN_link
0,Golden-browed Chlorophonia,Chlorophonia callophrys,passeriformes,fringillidae,chlorophonia,"(Cabanis, 1861)",2.8 years,"2,500 metres",Decreasing,Forest,Least Concern,Golden-browed Chlorophonia,https://www.iucnredlist.org/species/22722790/137403325
0,Jamaican Euphonia,Euphonia jamaica,passeriformes,fringillidae,euphonia,"(Linnaeus, 1766)",3.5 years,"1,000 metres",Stable,"Forest, Shrubland, Artificial/Terrestrial",Least Concern,Jamaican Euphonia,https://www.iucnredlist.org/species/22722694/94778400
0,Plumbeous Euphonia,Euphonia plumbea,passeriformes,fringillidae,euphonia,"Du Bus, 1855",3.5 years,"1,000 metres",Stable,"Forest, Savanna, Shrubland, Rocky areas (eg. inland cliffs, mountain peaks)",Least Concern,Plumbeous Euphonia,https://www.iucnredlist.org/species/22722697/132016968
0,Scrub Euphonia,Euphonia affinis,passeriformes,fringillidae,euphonia,"(Lesson, 1842)",2.4 years,"1,000 metres",Decreasing,"Forest, Shrubland, Artificial/Terrestrial",Least Concern,Scrub Euphonia,https://www.iucnredlist.org/species/22722700/137413838
0,Yellow-crowned Euphonia,Euphonia luteicapilla,passeriformes,fringillidae,euphonia,"(Cabanis, 1861)",2.6 years,900 metres,Stable,"Forest, Savanna, Shrubland, Artificial/Terrestrial",Least Concern,Yellow-crowned Euphonia,https://www.iucnredlist.org/species/22722703/137411450
0,Purple-throated Euphonia,Euphonia chlorotica,passeriformes,fringillidae,euphonia,"(Linnaeus, 1766)",3.5 years,"1,200 metres",Stable,"Forest, Savanna, Shrubland, Wetlands (inland), Artificial/Terrestrial",Least Concern,Purple-throated Euphonia,https://www.iucnredlist.org/species/22722706/132017181
0,Trinidad Euphonia,Euphonia trinitatis,passeriformes,fringillidae,euphonia,"Strickland, 1851",3.5 years,"1,100 metres",Stable,"Forest, Savanna, Shrubland, Artificial/Terrestrial",Least Concern,Trinidad Euphonia,https://www.iucnredlist.org/species/22722709/132017477
0,Velvet-fronted Euphonia,Euphonia concinna,passeriformes,fringillidae,euphonia,"Sclater, 1855",3.5 years,"1,000 metres",Decreasing,"Forest, Wetlands (inland)",Least Concern,Velvet-fronted Euphonia,https://www.iucnredlist.org/species/22722712/94779719
0,Orange-crowned Euphonia,Euphonia saturata,passeriformes,fringillidae,euphonia,"(Cabanis, 1860)",3.5 years,"1,300 metres",Stable,"Forest, Shrubland, Artificial/Terrestrial",Least Concern,Orange-crowned Euphonia,https://www.iucnredlist.org/species/22722715/132017680
0,Finsch's Euphonia,Euphonia finschi,passeriformes,fringillidae,euphonia,"Sclater & Salvin, 1877",3.5 years,"1,200 metres",Stable,"Forest, Savanna, Shrubland, Wetlands (inland), Artificial/Terrestrial",Least Concern,Finsch's Euphonia,https://www.iucnredlist.org/species/22722718/94780074
0,Violaceous Euphonia,Euphonia violacea,passeriformes,fringillidae,euphonia,"(Linnaeus, 1758)",3.5 years,"1,100 metres",Decreasing,"Forest, Savanna, Shrubland, Artificial/Terrestrial",Least Concern,Violaceous Euphonia,https://www.iucnredlist.org/species/22722721/94780287
0,Thick-billed Euphonia,Euphonia laniirostris,passeriformes,fringillidae,euphonia,"d'Orbigny & Lafresnaye, 1837",2.6 years,"2,200 metres",Stable,"Forest, Artificial/Terrestrial",Least Concern,Thick-billed Euphonia,https://www.iucnredlist.org/species/22722724/163565037
0,Yellow-throated Euphonia,Euphonia hirundinacea,passeriformes,fringillidae,euphonia,"Bonaparte, 1838",2.0 years,"1,200 metres",Decreasing,"Forest, Artificial/Terrestrial",Least Concern,Yellow-throated Euphonia,https://www.iucnredlist.org/species/22722727/139236054
0,Green-throated Euphonia,Euphonia chalybea,passeriformes,fringillidae,euphonia,"(Mikan, 1825)",3.5 years,950 metres,Decreasing,"Forest, Artificial/Terrestrial",Near Threatened,"Green-throated Euphonia, Green-chinned Euphonia",https://www.iucnredlist.org/species/22722730/94780971
0,Elegant Euphonia,Euphonia elegantissima,passeriformes,fringillidae,euphonia,"(Bonaparte, 1838)",2.6 years,"2,500 metres",Decreasing,Forest,Least Concern,"Elegant Euphonia, Blue-rumped Euphonia",https://www.iucnredlist.org/species/22722734/139232419
0,Golden-rumped Euphonia,Euphonia cyanocephala,passeriformes,fringillidae,euphonia,"(Vieillot, 1818)",3.5 years,"2,600 metres",Stable,"Forest, Artificial/Terrestrial",Least Concern,Golden-rumped Euphonia,https://www.iucnredlist.org/species/22722741/132018550
0,Hispaniolan Euphonia,Euphonia musica,passeriformes,fringillidae,euphonia,"(Gmelin, 1789)",3.5 years,"2,000 metres",Stable,"Forest, Shrubland, Artificial/Terrestrial",Least Concern,Hispaniolan Euphonia,https://www.iucnredlist.org/species/103868399/111175216
0,Puerto Rican Euphonia,Euphonia sclateri,passeriformes,fringillidae,euphonia,"(Sclater, 1854)",3.5 years,"2,000 metres",Stable,"Forest, Shrubland, Artificial/Terrestrial",Least Concern,Puerto Rican Euphonia,https://www.iucnredlist.org/species/103868426/104232829
0,Lesser Antillean Euphonia,Euphonia flavifrons,passeriformes,fringillidae,euphonia,"(Sparrman, 1789)",3.5 years,"2,000 metres",Stable,"Forest, Shrubland, Artificial/Terrestrial",Least Concern,Lesser Antillean Euphonia,https://www.iucnredlist.org/species/103868436/104232065
0,Fulvous-vented Euphonia,Euphonia fulvicrissa,passeriformes,fringillidae,euphonia,"Sclater, 1857",2.4 years,500 metres,Decreasing,Forest,Least Concern,Fulvous-vented Euphonia,https://www.iucnredlist.org/species/22722747/137410845
0,Spot-crowned Euphonia,Euphonia imitans,passeriformes,fringillidae,euphonia,"(Hellmayr, 1936)",2.6 years,"1,350 metres",Decreasing,Forest,Least Concern,Spot-crowned Euphonia,https://www.iucnredlist.org/species/22722744/137410387
0,Olive-backed Euphonia,Euphonia gouldi,passeriformes,fringillidae,euphonia,"Sclater, 1857",2.6 years,500 metres,Decreasing,"Forest, Artificial/Terrestrial",Least Concern,Olive-backed Euphonia,https://www.iucnredlist.org/species/22722750/137408287
0,White-lored Euphonia,Euphonia chrysopasta,passeriformes,fringillidae,euphonia,"Sclater & Salvin, 1869",3.5 years,"1,000 metres",Decreasing,"Forest, Artificial/Terrestrial",Least Concern,"White-lored Euphonia, Golden-bellied Euphonia",https://www.iucnredlist.org/species/22722753/94782494
0,Bronze-green Euphonia,Euphonia mesochrysa,passeriformes,fringillidae,euphonia,"Salvadori, 1873",3.5 years,"2,150 metres",Decreasing,Forest,Least Concern,Bronze-green Euphonia,https://www.iucnredlist.org/species/22722757/94782719
0,White-vented Euphonia,Euphonia minuta,passeriformes,fringillidae,euphonia,"Cabanis, 1849",2.5 years,500 metres,Decreasing,"Forest, Artificial/Terrestrial",Least Concern,White-vented Euphonia,https://www.iucnredlist.org/species/22722760/163565482
0,Tawny-capped Euphonia,Euphonia anneae,passeriformes,fringillidae,euphonia,"Cassin, 1865",2.6 years,"1,500 metres",Decreasing,Forest,Least Concern,Tawny-capped Euphonia,https://www.iucnredlist.org/species/22722763/137407582
0,Orange-bellied Euphonia,Euphonia xanthogaster,passeriformes,fringillidae,euphonia,"Sundevall, 1834",2.4 years,"2,300 metres",Decreasing,"Forest, Artificial/Terrestrial",Least Concern,Orange-bellied Euphonia,https://www.iucnredlist.org/species/22722766/137405740
0,Rufous-bellied Euphonia,Euphonia rufiventris,passeriformes,fringillidae,euphonia,"(Vieillot, 1819)",3.5 years,500 metres,Stable,"Forest, Artificial/Terrestrial",Least Concern,Rufous-bellied Euphonia,https://www.iucnredlist.org/species/22722769/132019049
0,Chestnut-bellied Euphonia,Euphonia pectoralis,passeriformes,fringillidae,euphonia,"(Latham, 1801)",3.5 years,"1,550 metres",Decreasing,Forest,Least Concern,Chestnut-bellied Euphonia,https://www.iucnredlist.org/species/22722775/132019251
0,Golden-sided Euphonia,Euphonia cayennensis,passeriformes,fringillidae,euphonia,"(Gmelin, 1789)",3.5 years,"1,100 metres",Stable,"Forest, Savanna, Artificial/Terrestrial",Least Concern,Golden-sided Euphonia,https://www.iucnredlist.org/species/22722772/94783762
0,Black-and-yellow Grosbeak,Mycerobas icterioides,passeriformes,fringillidae,mycerobas,"(Vigors, 1831)",4.3 years,"3,500 metres",Stable,"Forest, Shrubland",Least Concern,Black-and-yellow Grosbeak,https://www.iucnredlist.org/species/22720690/94678277
0,Collared Grosbeak,Mycerobas affinis,passeriformes,fringillidae,mycerobas,"(Blyth, 1855)",4.3 years,"4,000 metres",Stable,"Forest, Shrubland",Least Concern,Collared Grosbeak,https://www.iucnredlist.org/species/22720693/94678448
0,Spot-winged Grosbeak,Mycerobas melanozanthos,passeriformes,fringillidae,mycerobas,"(Hodgson, 1836)",4.3 years,"3,600 metres",Stable,Forest,Least Concern,Spot-winged Grosbeak,https://www.iucnredlist.org/species/22720696/94678649
0,White-winged Grosbeak,Mycerobas carnipes,passeriformes,fringillidae,mycerobas,"(Hodgson, 1836)",4.3 years,"4,600 metres",Stable,"Forest, Shrubland",Least Concern,White-winged Grosbeak,https://www.iucnredlist.org/species/22720699/112739844
0,Evening Grosbeak,Hesperiphona vespertina,passeriformes,fringillidae,hesperiphona,"(Cooper, 1825)",5.5 years,"3,500 metres",Decreasing,"Forest, Artificial/Terrestrial",Vulnerable,Evening Grosbeak,https://www.iucnredlist.org/species/22720702/131500502
0,Hooded Grosbeak,Hesperiphona abeillei,passeriformes,fringillidae,hesperiphona,"(Lesson, 1839)",3.3 years,"3,200 metres",Decreasing,"Forest, Artificial/Terrestrial",Least Concern,Hooded Grosbeak,https://www.iucnredlist.org/species/22720712/137392454
0,Hawfinch,Coccothraustes coccothraustes,passeriformes,fringillidae,coccothraustes,"(Linnaeus, 1758)",5.5 years,,Increasing,"Forest, Artificial/Terrestrial",Least Concern,Hawfinch,https://www.iucnredlist.org/species/22720681/111132393
0,Chinese Grosbeak,Eophona migratoria,passeriformes,fringillidae,eophona,"Hartert, 1903",4.3 years,,Stable,"Forest, Shrubland, Artificial/Terrestrial",Least Concern,"Chinese Grosbeak, Yellow-billed Grosbeak",https://www.iucnredlist.org/species/22720684/94677774
0,Japanese Grosbeak,Eophona personata,passeriformes,fringillidae,eophona,"(Temminck & Schlegel, 1848)",4.3 years,,Stable,"Forest, Artificial/Terrestrial",Least Concern,Japanese Grosbeak,https://www.iucnredlist.org/species/22720687/132003504
0,Poo-uli,Melamprosops phaeosoma,passeriformes,fringillidae,melamprosops,"Casey & Jacobi, 1974",5 years,"2,100 metres",Unspecified,Forest,Extinct,"Poo-uli, Black-faced Honeycreeper, Po'o-uli",https://www.iucnredlist.org/species/22720863/153774712
0,Oahu Alauahio,Paroreomyza maculata,passeriformes,fringillidae,paroreomyza,"(Cabanis, 1850)",9.7 years,650 metres,Unknown,Forest,Critically Endangered,"Oahu Alauahio, O'ahu 'Alauahio, Oahu Creeper",https://www.iucnredlist.org/species/22720827/94685115
0,Kakawahie,Paroreomyza flammea,passeriformes,fringillidae,paroreomyza,"(Wilson, 1889)",9.7 years,,Unspecified,Forest,Extinct,"Kakawahie, Molokai Creeper",https://www.iucnredlist.org/species/22720823/119118273
0,Maui Alauahio,Paroreomyza montana,passeriformes,fringillidae,paroreomyza,"(Wilson, 1890)",9.7 years,"2,500 metres",Decreasing,"Forest, Savanna, Shrubland, Artificial/Terrestrial",Endangered,"Maui Alauahio, Maui 'Alauahio, Maui Creeper",https://www.iucnredlist.org/species/22720818/94684594
0,Akikiki,Oreomystis bairdi,passeriformes,fringillidae,oreomystis,"(Stejneger, 1887)",5.7 years,"1,500 metres",Decreasing,Forest,Critically Endangered,"Akikiki, 'Akikiki, Kauai Creeper",https://www.iucnredlist.org/species/22720809/130843089
0,Laysan Finch,Telespiza cantans,passeriformes,fringillidae,telespiza,"Wilson, 1890",4.9 years,,Stable,"Shrubland, Grassland",Vulnerable,Laysan Finch,https://www.iucnredlist.org/species/22720728/131886478
0,Nihoa Finch,Telespiza ultima,passeriformes,fringillidae,telespiza,"Bryan, 1917",4.9 years,,Stable,"Shrubland, Marine Intertidal",Critically Endangered,Nihoa Finch,https://www.iucnredlist.org/species/22720722/130854185
0,Greater Koa-finch,Rhodacanthis palmeri,passeriformes,fringillidae,rhodacanthis,"(Rothschild, 1892)",4.3 years,,Unspecified,Forest,Extinct,"Greater Koa-finch, Greater Koa-Finch",https://www.iucnredlist.org/species/22720749/94681538
0,Lesser Koa-finch,Rhodacanthis flaviceps,passeriformes,fringillidae,rhodacanthis,"Rothschild, 1892",4.3 years,,Unspecified,Forest,Extinct,"Lesser Koa-finch, Lesser Koa-Finch",https://www.iucnredlist.org/species/22720745/94681389
0,Kona Grosbeak,Chloridops kona,passeriformes,fringillidae,chloridops,"Wilson, 1888",4.3 years,,Unspecified,Forest,Extinct,"Kona Grosbeak, Grosbeak Finch",https://www.iucnredlist.org/species/22728825/94998118
0,Palila,Loxioides bailleui,passeriformes,fringillidae,loxioides,"(Oustalet, 1877)",6.8 years,"3,000 metres",Decreasing,Forest,Critically Endangered,Palila,https://www.iucnredlist.org/species/22720742/94680871
0,Ou,Lepidochrysops outeniqua,lepidoptera,lycaenidae,lepidochrysops,"Swanepoel & Vári, 1983",1 years,,Unknown,Shrubland,Least Concern,"Outeniqua Blue, Outeniqua Nimble Blue",https://www.iucnredlist.org/species/11547/168313881
0,Lanai Hookbill,,,,,,,,,,,,https://www.iucnredlist.org/species/22720738/111776369
0,Kauai Akialoa,,,,,,,,,,,,https://www.iucnredlist.org/species/103823250/119550506
0,Oahu Akialoa,,,,,,,,,,,,https://www.iucnredlist.org/species/103823212/119549725
0,Lanai Akialoa,Akialoa lanaiensis,passeriformes,fringillidae,akialoa,"(Rothschild, 1893)",5.5 years,,Unspecified,Forest,Extinct,Lanai Akialoa,https://www.iucnredlist.org/species/103823431/119549974
0,Hawaii Akialoa,Akialoa obscura,passeriformes,fringillidae,akialoa,"(Gmelin, 1788)",5.5 years,,Unspecified,Forest,Extinct,Hawaii Akialoa,https://www.iucnredlist.org/species/22728910/119550231
0,Kauai Nukupuu,Hemignathus hanapepe,passeriformes,fringillidae,hemignathus,"Wilson, 1889",5.5 years,"2,000 metres",Unknown,Forest,Critically Endangered,Kauai Nukupuu,https://www.iucnredlist.org/species/103823616/125584125
0,Oahu Nukupuu,Hemignathus lucidus,passeriformes,fringillidae,hemignathus,"Lichtenstein, 1839",3.3 years,"2,000 metres",Unspecified,Forest,Extinct,Oahu Nukupuu,https://www.iucnredlist.org/species/103823595/181392751
0,Maui Nukupuu,Hemignathus affinis,passeriformes,fringillidae,hemignathus,"Rothschild, 1893",5.5 years,"2,000 metres",Unknown,Forest,Critically Endangered,Maui Nukupuu,https://www.iucnredlist.org/species/103823664/104234257
0,Akiapolaau,Hemignathus wilsoni,passeriformes,fringillidae,hemignathus,"(Rothschild, 1893)",5.5 years,"2,100 metres",Decreasing,Forest,Endangered,"Akiapolaau, 'Akiapola'au",https://www.iucnredlist.org/species/22720799/94683442
0,Maui Parrotbill,Pseudonestor xanthophrys,passeriformes,fringillidae,pseudonestor,"Rothschild, 1893",4.5 years,"2,150 metres",Decreasing,Forest,Critically Endangered,Maui Parrotbill,https://www.iucnredlist.org/species/22720753/94681687
0,Greater Amakihi,Viridonia sagittirostris,passeriformes,fringillidae,viridonia,"Rothschild, 1892",5.5 years,,Unspecified,Forest,Extinct,"Greater Amakihi, Greater 'Amakihi",https://www.iucnredlist.org/species/22720784/94682950
0,Anianiau,Magumma parva,passeriformes,fringillidae,magumma,"(Stejneger, 1887)",5.5 years,,Increasing,Forest,Vulnerable,"Anianiau, 'Anianiau",https://www.iucnredlist.org/species/22720774/94682556
0,Hawaii Creeper,Manucerthia mana,passeriformes,fringillidae,manucerthia,"(Wilson, 1891)",5.7 years,"1,900 metres",Decreasing,Forest,Endangered,"Hawaii Creeper, Hawai'i Creeper",https://www.iucnredlist.org/species/22720814/94684238
0,Akekee,Loxops caeruleirostris,passeriformes,fringillidae,loxops,"(Wilson, 1890)",5.8 years,"1,600 metres",Decreasing,Forest,Critically Endangered,"Akekee, 'Akeke'e",https://www.iucnredlist.org/species/22720832/130851810
0,Oahu Akepa,Loxops wolstenholmei,passeriformes,fringillidae,loxops,"Rothschild, 1893",5.8 years,,Unspecified,Forest,Extinct,Oahu Akepa,https://www.iucnredlist.org/species/103824105/117232993
0,Maui Akepa,Loxops ochraceus,passeriformes,fringillidae,loxops,"Rothschild, 1893",5.8 years,,Unknown,Forest,Critically Endangered,Maui Akepa,https://www.iucnredlist.org/species/103824084/130691117
0,Hawaii Akepa,Loxops coccineus,passeriformes,fringillidae,loxops,"(Gmelin, 1789)",5.8 years,"2,100 metres",Decreasing,Forest,Endangered,Hawaii Akepa,https://www.iucnredlist.org/species/103823991/94685811
0,Kauai Amakihi,Chlorodrepanis stejnegeri,passeriformes,fringillidae,chlorodrepanis,"(Wilson, 1890)",5.5 years,,Increasing,Forest,Vulnerable,"Kauai Amakihi, Kaua'i 'Amakihi",https://www.iucnredlist.org/species/22720756/94682058
0,Oahu Amakihi,Chlorodrepanis flava,passeriformes,fringillidae,chlorodrepanis,"(Bloxham, 1827)",5.5 years,,Stable,"Forest, Artificial/Terrestrial",Vulnerable,"Oahu Amakihi, O'ahu 'Amakihi",https://www.iucnredlist.org/species/22728299/94978799
