,Name,sci_name,order,family,genus,sci_n_year,year,altitude,populate,habitat,conservation,other_names,IUCN_link
0,Bonin Grosbeak,Carpodacus ferreorostris,passeriformes,fringillidae,carpodacus,"(Vigors, 1828)",4.3 years,,Unspecified,Forest,Extinct,Bonin Grosbeak,https://www.iucnredlist.org/species/22720622/111776645
0,Red-mantled Rosefinch,Carpodacus rhodochlamys,passeriformes,fringillidae,carpodacus,"(Brandt, 1843)",4.1 years,"4,900 metres",Stable,"Shrubland, Grassland, Artificial/Terrestrial",Least Concern,Red-mantled Rosefinch,https://www.iucnredlist.org/species/22720604/132002882
0,Pink-rumped Rosefinch,Carpodacus waltoni,passeriformes,fringillidae,carpodacus,"(Sharpe, 1905)",4.1 years,"4,880 metres",Stable,"Shrubland, Grassland",Least Concern,"Pink-rumped Rosefinch, Stresemann's Rosefinch",https://www.iucnredlist.org/species/22720570/94673483
0,Beautiful Rosefinch,Carpodacus pulcherrimus,passeriformes,fringillidae,carpodacus,"(Moore, 1856)",4.1 years,"4,650 metres",Stable,"Shrubland, Artificial/Terrestrial",Least Concern,Beautiful Rosefinch,https://www.iucnredlist.org/species/22720567/132002032
0,Dark-rumped Rosefinch,Carpodacus edwardsii,passeriformes,fringillidae,carpodacus,"Verreaux, 1871",4.1 years,"4,240 metres",Stable,"Forest, Shrubland",Least Concern,Dark-rumped Rosefinch,https://www.iucnredlist.org/species/22720585/132002437
0,Pink-browed Rosefinch,Carpodacus rodochroa,passeriformes,fringillidae,carpodacus,"Vigors, 1831",4.1 years,"4,540 metres",Stable,"Forest, Shrubland, Grassland, Artificial/Terrestrial",Least Concern,Pink-browed Rosefinch,https://www.iucnredlist.org/species/22720574/132002237
0,Sharpe's Rosefinch,Carpodacus verreauxii,passeriformes,fringillidae,carpodacus,"(David & Oustalet, 1877)",4.1 years,"4,600 metres",Stable,"Shrubland, Grassland",Least Concern,Sharpe's Rosefinch,https://www.iucnredlist.org/species/103834496/104242374
0,Spot-winged Rosefinch,Carpodacus rodopeplus,passeriformes,fringillidae,carpodacus,"(Vigors, 1831)",4.1 years,"4,600 metres",Stable,"Shrubland, Grassland",Least Concern,Spot-winged Rosefinch,https://www.iucnredlist.org/species/103834342/94674851
0,Vinaceous Rosefinch,Carpodacus vinaceus,passeriformes,fringillidae,carpodacus,"Verreaux, 1871",4.1 years,"3,400 metres",Stable,Shrubland,Least Concern,Vinaceous Rosefinch,https://www.iucnredlist.org/species/103834630/94673833
0,Taiwan Rosefinch,Carpodacus formosanus,passeriformes,fringillidae,carpodacus,"Ogilvie-Grant, 1911",4.1 years,"3,400 metres",Stable,Shrubland,Least Concern,Taiwan Rosefinch,https://www.iucnredlist.org/species/103834794/104243357
0,Sinai Rosefinch,Carpodacus synoicus,passeriformes,fringillidae,carpodacus,"(Temminck, 1825)",4.1 years,"3,350 metres",Stable,"Grassland, Rocky areas (eg. inland cliffs, mountain peaks), Desert",Least Concern,Sinai Rosefinch,https://www.iucnredlist.org/species/103834861/94674192
0,Pale Rosefinch,Carpodacus stoliczkae,passeriformes,fringillidae,carpodacus,"(Hume, 1874)",4.1 years,"3,350 metres",Stable,"Grassland, Rocky areas (eg. inland cliffs, mountain peaks), Desert",Least Concern,Pale Rosefinch,https://www.iucnredlist.org/species/103835324/104244618
0,Tibetan Rosefinch,Carpodacus roborowskii,passeriformes,fringillidae,carpodacus,"(Przewalski, 1887)",4.1 years,"5,400 metres",Stable,"Rocky areas (eg. inland cliffs, mountain peaks)",Least Concern,Tibetan Rosefinch,https://www.iucnredlist.org/species/22720616/94675837
