,Name,sci_name,order,family,genus,sci_n_year,year,altitude,populate,habitat,conservation,other_names,IUCN_link
0,Somali Ostrich,Struthio molybdophanes,struthioniformes,struthionidae,struthio,"Reichenow, 1883",16.8 years,"3,000 metres",Decreasing,"Forest, Savanna, Shrubland, Grassland, Artificial/Terrestrial",Vulnerable,Somali Ostrich,https://www.iucnredlist.org/species/22732795/95049558
0,Greater Rhea,Rhea americana,struthioniformes,rheidae,rhea,"(Linnaeus, 1758)",10.5 years,"1,200 metres",Decreasing,"Savanna, Shrubland, Grassland",Near Threatened,"Greater Rhea, Common Rhea, Lesser Rhea",https://www.iucnredlist.org/species/22678073/92754472
0,Lesser Rhea,,,,,,,,,,,,https://www.iucnredlist.org/search?query=Lesser%20Rhea&searchType=species
0,Puna Rhea,Rhea tarapacensis,struthioniformes,rheidae,rhea,"(Chubb, 1913)",11.2 years,"4,500 metres",Decreasing,"Shrubland, Grassland, Wetlands (inland)",Near Threatened,Puna Rhea,https://www.iucnredlist.org/species/22728206/177987446
0,Tawny-breasted Tinamou,Nothocercus julius,struthioniformes,tinamidae,nothocercus,"(Bonaparte, 1854)",6.8 years,"3,250 metres",Decreasing,"Forest, Artificial/Terrestrial",Least Concern,Tawny-breasted Tinamou,https://www.iucnredlist.org/species/22678157/92758680
0,Highland Tinamou,Nothocercus bonapartei,struthioniformes,tinamidae,nothocercus,"Gray, 1867",6.8 years,"2,500 metres",Decreasing,"Forest, Artificial/Terrestrial",Least Concern,Highland Tinamou,https://www.iucnredlist.org/species/22678154/92758475
0,Hooded Tinamou,Nothocercus nigrocapillus,struthioniformes,tinamidae,nothocercus,"(G. R. Gray, 1867)",5.1 years,"3,000 metres",Decreasing,Forest,Least Concern,Hooded Tinamou,https://www.iucnredlist.org/species/22678160/179743794
0,Grey Tinamou,Tinamus tao,struthioniformes,tinamidae,tinamus,"Temminck, 1815",6.8 years,"1,900 metres",Decreasing,"Forest, Artificial/Terrestrial",Vulnerable,"Grey Tinamou, Gray Tinamou",https://www.iucnredlist.org/species/22678135/136638024
0,Solitary Tinamou,Tinamus solitarius,struthioniformes,tinamidae,tinamus,"(Vieillot, 1819)",6.8 years,"1,200 metres",Decreasing,"Forest, Artificial/Terrestrial",Near Threatened,Solitary Tinamou,https://www.iucnredlist.org/species/22678139/136639334
0,Black Tinamou,Tinamus osgoodi,struthioniformes,tinamidae,tinamus,"Conover, 1949",6.8 years,"2,100 metres",Decreasing,Forest,Vulnerable,Black Tinamou,https://www.iucnredlist.org/species/22678145/136641166
0,Great Tinamou,Tinamus major,struthioniformes,tinamidae,tinamus,"(Gmelin, 1789)",6.98 years,"1,500 metres",Decreasing,"Forest, Artificial/Terrestrial",Least Concern,Great Tinamou,https://www.iucnredlist.org/species/22678148/189781191
0,White-throated Tinamou,Tinamus guttatus,struthioniformes,tinamidae,tinamus,"Pelzeln, 1863",6.8 years,500 metres,Decreasing,"Forest, Artificial/Terrestrial",Near Threatened,White-throated Tinamou,https://www.iucnredlist.org/species/22678151/136647817
