,Name,sci_name,order,family,genus,sci_n_year,year,altitude,populate,habitat,conservation,other_names,IUCN_link
0,Mountain Wren-babbler,Gypsophila crassa,passeriformes,pellorneidae,gypsophila,"(Sharpe, 1888)",4.4 years,,Decreasing,Forest,Least Concern,"Mountain Wren-babbler, Mountain Wren-Babbler",https://www.iucnredlist.org/species/22716079/94480634
0,Rusty-breasted Wren-babbler,Gypsophila rufipecta,passeriformes,pellorneidae,gypsophila,"(Salvadori, 1879)",4.4 years,"2,500 metres",Decreasing,Forest,Least Concern,"Rusty-breasted Wren-babbler, Rusty-breasted Wren-Babbler",https://www.iucnredlist.org/species/22716040/94479656
0,Large Wren-babbler,Turdinus macrodactylus,passeriformes,pellorneidae,turdinus,"(Strickland, 1844)",4.4 years,"1,200 metres",Decreasing,Forest,Near Threatened,"Large Wren-babbler, Large Wren-Babbler",https://www.iucnredlist.org/species/22716030/94479379
0,Black-throated Wren-babbler,Turdinus atrigularis,passeriformes,pellorneidae,turdinus,"(Bonaparte, 1850)",4.4 years,"1,500 metres",Decreasing,Forest,Near Threatened,"Black-throated Wren-babbler, Black-throated Wren-Babbler",https://www.iucnredlist.org/species/22716048/132110186
0,Marbled Wren-babbler,Turdinus marmoratus,passeriformes,pellorneidae,turdinus,"(Ramsay, 1880)",4.4 years,"2,000 metres",Decreasing,Forest,Least Concern,"Marbled Wren-babbler, Marbled Wren-Babbler",https://www.iucnredlist.org/species/22716057/94480095
0,Bornean Wren-babbler,,passeriformes,pellorneidae,ptilocichla,,5.1 years,900 metres,Decreasing,Forest,Vulnerable,,https://www.iucnredlist.org/species/22716010/94478262
0,Striated Wren-babbler,Ptilocichla mindanensis,passeriformes,pellorneidae,ptilocichla,"(Blasius, 1890)",5.1 years,"1,400 metres",Decreasing,"Forest, Artificial/Terrestrial",Least Concern,"Striated Wren-babbler, Striated Wren-Babbler",https://www.iucnredlist.org/species/22716014/132110014
0,Falcated Wren-babbler,Ptilocichla falcata,passeriformes,pellorneidae,ptilocichla,"Sharpe, 1877",5.1 years,"1,350 metres",Decreasing,Forest,Vulnerable,"Falcated Wren-babbler, Falcated Ground-Babbler, Falcated Wren-Babbler, Palawan Ground Babbler",https://www.iucnredlist.org/species/22716018/94478780
0,Eyebrowed Wren-babbler,Napothera epilepidota,passeriformes,pellorneidae,napothera,"(Temminck, 1827)",4.4 years,,Decreasing,Forest,Least Concern,"Eyebrowed Wren-babbler, Eyebrowed Wren-Babbler",https://www.iucnredlist.org/species/22716094/94480790
0,Naung Mung Wren-babbler,Napothera naungmungensis,passeriformes,pellorneidae,napothera,Rappole et al. 2005,2.7 years,"2,100 metres",Stable,Forest,Near Threatened,Naung Mung Wren-babbler,https://www.iucnredlist.org/species/103870218/185472449
