,Name,sci_name,order,family,genus,sci_n_year,year,altitude,populate,habitat,conservation,other_names,IUCN_link
0,Black-banded Woodcreeper,Dendrocolaptes picumnus,passeriformes,furnariidae,dendrocolaptes,"Lichtenstein, 1820",4.0 years,"3,000 metres",Decreasing,"Forest, Artificial/Terrestrial",Least Concern,Black-banded Woodcreeper,https://www.iucnredlist.org/species/22703089/168539681
0,Planalto Woodcreeper,Dendrocolaptes platyrostris,passeriformes,furnariidae,dendrocolaptes,"Spix, 1824",3.8 years,"1,300 metres",Stable,"Forest, Artificial/Terrestrial",Least Concern,Planalto Woodcreeper,https://www.iucnredlist.org/species/22703092/110908935
0,Red-billed Woodcreeper,,,,,,,,,,,,https://www.iucnredlist.org/search?query=Red-billed%20Woodcreeper&searchType=species
0,Bar-bellied Woodcreeper,Hylexetastes stresemanni,passeriformes,furnariidae,hylexetastes,"Snethlage, 1925",4.6 years,300 metres,Decreasing,Forest,Least Concern,Bar-bellied Woodcreeper,https://www.iucnredlist.org/species/22703055/130282232
0,White-throated Woodcreeper,Xiphocolaptes albicollis,passeriformes,furnariidae,xiphocolaptes,"(Vieillot, 1818)",4.6 years,"2,000 metres",Stable,"Forest, Artificial/Terrestrial",Least Concern,White-throated Woodcreeper,https://www.iucnredlist.org/species/22703068/130282827
0,Strong-billed Woodcreeper,Xiphocolaptes promeropirhynchus,passeriformes,furnariidae,xiphocolaptes,"(Lesson, 1840)",4.7 years,"3,500 metres",Decreasing,"Forest, Artificial/Terrestrial",Least Concern,Strong-billed Woodcreeper,https://www.iucnredlist.org/species/22703063/140069049
0,Moustached Woodcreeper,Xiphocolaptes falcirostris,passeriformes,furnariidae,xiphocolaptes,"(Spix, 1824)",4.6 years,800 metres,Decreasing,"Forest, Savanna",Vulnerable,Moustached Woodcreeper,https://www.iucnredlist.org/species/22703071/93902845
0,Great Rufous Woodcreeper,Xiphocolaptes major,passeriformes,furnariidae,xiphocolaptes,"(Vieillot, 1818)",4.6 years,"1,800 metres",Decreasing,"Forest, Savanna, Shrubland",Least Concern,Great Rufous Woodcreeper,https://www.iucnredlist.org/species/22703076/130283087
0,Striped Woodcreeper,Xiphorhynchus obsoletus,passeriformes,furnariidae,xiphorhynchus,"(Lichtenstein, 1820)",4.8 years,500 metres,Decreasing,"Forest, Wetlands (inland), Artificial/Terrestrial",Least Concern,Striped Woodcreeper,https://www.iucnredlist.org/species/22703112/130284162
0,Atlantic Woodcreeper,Xiphorhynchus atlanticus,passeriformes,furnariidae,xiphorhynchus,"(Cory, 1916)",3.3 years,700 metres,Decreasing,"Forest, Artificial/Terrestrial",Vulnerable,"Atlantic Woodcreeper, Ceara Woodcreeper, Northern Lesser Woodcreeper",https://www.iucnredlist.org/species/103669815/199390872
