,Name,sci_name,order,family,genus,sci_n_year,year,altitude,populate,habitat,conservation,other_names,IUCN_link
0,New Guinea Woodcock,Scolopax rosenbergii,charadriiformes,scolopacidae,scolopax,"Schlegel, 1871",6.3 years,,Stable,Forest,Least Concern,"New Guinea Woodcock, New Guniea Woodcock",https://www.iucnredlist.org/species/22729848/95022045
0,Bukidnon Woodcock,Scolopax bukidnonensis,charadriiformes,scolopacidae,scolopax,"Kennedy, Fisher, Harrap, Diesmos & Manamtam, 2001",6.3 years,,Unknown,Forest,Least Concern,"Bukidnon Woodcock, Bukidnon Woodcock",https://www.iucnredlist.org/species/22729854/95022201
0,Sulawesi Woodcock,Scolopax celebensis,charadriiformes,scolopacidae,scolopax,"Riley, 1921",6.3 years,"2,300 metres",Decreasing,Forest,Near Threatened,Sulawesi Woodcock,https://www.iucnredlist.org/species/22693065/93381643
0,Moluccan Woodcock,Scolopax rochussenii,charadriiformes,scolopacidae,scolopax,"Schlegel, 1866",6.3 years,"1,150 metres",Decreasing,"Forest, Wetlands (inland), Artificial/Terrestrial",Vulnerable,"Moluccan Woodcock, Obi Woodcock",https://www.iucnredlist.org/species/22693068/203897409
0,American Woodcock,Scolopax minor,charadriiformes,scolopacidae,scolopax,"Gmelin, 1789",4.6 years,,Decreasing,"Forest, Shrubland",Least Concern,American Woodcock,https://www.iucnredlist.org/species/22693072/182648054
0,Chatham Snipe,Coenocorypha pusilla,charadriiformes,scolopacidae,coenocorypha,"(Buller, 1869)",5.7 years,287 metres,Stable,"Forest, Grassland",Vulnerable,"Chatham Snipe, Chatham Island Snipe, Chatham Islands Snipe",https://www.iucnredlist.org/species/22693137/93385774
0,South Island Snipe,Coenocorypha iredalei,charadriiformes,scolopacidae,coenocorypha,"Rothschild, 1921",,,Unspecified,"Shrubland, Grassland",Extinct,South Island Snipe,https://www.iucnredlist.org/species/22727515/94951415
0,Snares Island Snipe,Coenocorypha huegeli,charadriiformes,scolopacidae,coenocorypha,"(Tristram, 1893)",5.7 years,,Increasing,"Shrubland, Grassland",Near Threatened,"Snares Island Snipe, Snares Snipe",https://www.iucnredlist.org/species/22727509/94951198
0,Auckland Snipe,Coenocorypha aucklandica,charadriiformes,scolopacidae,coenocorypha,"(Gray, 1845)",5.7 years,,Increasing,"Shrubland, Grassland",Near Threatened,"Auckland Snipe, New Zealand Snipe, Subantarctic Snipe",https://www.iucnredlist.org/species/22727499/94950981
0,North Island Snipe,Coenocorypha barrierensis,charadriiformes,scolopacidae,coenocorypha,"Oliver, 1955",,,Unspecified,"Shrubland, Grassland",Extinct,North Island Snipe,https://www.iucnredlist.org/species/62178398/95191768
0,Imperial Snipe,Gallinago imperialis,charadriiformes,scolopacidae,gallinago,"Sclater & Salvin, 1869",4.8 years,"3,700 metres",Decreasing,"Forest, Grassland",Near Threatened,Imperial Snipe,https://www.iucnredlist.org/species/22693130/93385563
0,Andean Snipe,Gallinago jamesoni,charadriiformes,scolopacidae,gallinago,"(Bonaparte, 1855)",4.8 years,"4,300 metres",Unknown,"Forest, Wetlands (inland)",Least Concern,Andean Snipe,https://www.iucnredlist.org/species/22693124/93385155
0,Fuegian Snipe,Gallinago stricklandii,charadriiformes,scolopacidae,gallinago,"(Gray, 1845)",4.8 years,"4,200 metres",Decreasing,"Grassland, Wetlands (inland)",Near Threatened,Fuegian Snipe,https://www.iucnredlist.org/species/22693127/93385342
0,Solitary Snipe,Gallinago solitaria,charadriiformes,scolopacidae,gallinago,"Hodgson, 1831",4.8 years,"5,000 metres",Stable,"Grassland, Wetlands (inland), Artificial/Aquatic & Marine",Least Concern,Solitary Snipe,https://www.iucnredlist.org/species/22693075/93382331
0,Latham's Snipe,Gallinago hardwickii,charadriiformes,scolopacidae,gallinago,"(Gray, 1831)",4.8 years,"1,400 metres",Decreasing,"Grassland, Wetlands (inland), Artificial/Terrestrial, Artificial/Aquatic & Marine",Least Concern,"Latham's Snipe, Japanese Snipe",https://www.iucnredlist.org/species/22693078/93382638
0,Wood Snipe,Gallinago nemoricola,charadriiformes,scolopacidae,gallinago,"Hodgson, 1836",4.8 years,"5,000 metres",Decreasing,"Forest, Grassland, Wetlands (inland)",Vulnerable,Wood Snipe,https://www.iucnredlist.org/species/22693082/117048348
0,Pintail Snipe,,,,,,,,,,,,https://www.iucnredlist.org/search?query=Pintail%20Snipe&searchType=species
