,Name,sci_name,order,family,genus,sci_n_year,year,altitude,populate,habitat,conservation,other_names,IUCN_link
0,Baja Pygmy-owl,Glaucidium hoskinsii,strigiformes,strigidae,glaucidium,"Brewster, 1888",3.8 years,"2,100 metres",Unknown,Forest,Least Concern,Baja Pygmy-owl,https://www.iucnredlist.org/species/61791676/95181434
0,Costa Rican Pygmy-owl,Glaucidium costaricanum,strigiformes,strigidae,glaucidium,"Robbins & Stiles, 1999",3.8 years,"1,200 metres",Stable,"Forest, Shrubland",Least Concern,"Costa Rican Pygmy-owl, Costa Rican Pygmy Owl, Costa Rican Pygmy-Owl",https://www.iucnredlist.org/species/22729005/95003007
0,Cloudforest Pygmy-owl,Glaucidium nubicola,strigiformes,strigidae,glaucidium,"Robbins & Stiles, 1999",3.8 years,"2,000 metres",Decreasing,Forest,Vulnerable,"Cloudforest Pygmy-owl, Cloud-forest Pygmy Owl, Cloudforest Pygmy-Owl",https://www.iucnredlist.org/species/22724604/94873667
0,Andean Pygmy-owl,Glaucidium jardinii,strigiformes,strigidae,glaucidium,"(Bonaparte, 1855)",3.8 years,"3,400 metres",Stable,"Forest, Shrubland",Least Concern,"Andean Pygmy-owl, Andean Pygmy Owl, Andean Pygmy-Owl",https://www.iucnredlist.org/species/22689222/93223061
0,Yungas Pygmy-owl,Glaucidium bolivianum,strigiformes,strigidae,glaucidium,"König, 1991",3.8 years,"3,000 metres",Decreasing,Forest,Least Concern,"Yungas Pygmy-owl, Yungas Pygmy Owl, Yungas Pygmy-Owl",https://www.iucnredlist.org/species/22689229/118857982
0,Colima Pygmy-owl,Glaucidium palmarum,strigiformes,strigidae,glaucidium,"Nelson, 1901",2.81 years,"1,500 metres",Decreasing,"Forest, Artificial/Terrestrial",Least Concern,"Colima Pygmy-owl, Colima Pygmy Owl, Colima Pygmy-Owl",https://www.iucnredlist.org/species/22729019/152211515
0,Tamaulipas Pygmy-owl,Glaucidium sanchezi,strigiformes,strigidae,glaucidium,"Lowery & Newman, 1949",3.8 years,"2,100 metres",Decreasing,Forest,Near Threatened,"Tamaulipas Pygmy-owl, Tamaulipas Pygmy Owl",https://www.iucnredlist.org/species/22724465/156097322
0,Central American Pygmy-owl,Glaucidium griseiceps,strigiformes,strigidae,glaucidium,"Sharpe, 1875",3.8 years,"1,300 metres",Stable,"Forest, Artificial/Terrestrial",Least Concern,"Central American Pygmy-owl, Central American Pygmy Owl, Central American Pygmy-Owl",https://www.iucnredlist.org/species/22729012/95003178
0,Subtropical Pygmy-owl,Glaucidium parkeri,strigiformes,strigidae,glaucidium,"Robbins & Howell, 1995",3.8 years,"1,975 metres",Stable,Forest,Least Concern,"Subtropical Pygmy-owl, Subtropical Pygmy Owl, Subtropical Pygmy-Owl",https://www.iucnredlist.org/species/22729162/118858203
0,Amazonian Pygmy-owl,Glaucidium hardyi,strigiformes,strigidae,glaucidium,"Vielliard, 1990",3.8 years,800 metres,Decreasing,Forest,Least Concern,"Amazonian Pygmy-owl, Amazonian Pygmy Owl, Amazonian Pygmy-Owl, Hardy's Pygmy-Owl",https://www.iucnredlist.org/species/22689234/130162570
0,Least Pygmy-owl,Glaucidium minutissimum,strigiformes,strigidae,glaucidium,"(Wied, 1821)",3.8 years,"1,100 metres",Decreasing,Forest,Least Concern,"Least Pygmy-owl, Brazilian Pygmy-Owl, East Brazilian Pygmy Owl, Least Pygmy-Owl",https://www.iucnredlist.org/species/22689240/130162980
0,Pernambuco Pygmy-owl,Glaucidium mooreorum,strigiformes,strigidae,glaucidium,"Silva, Coelho & Gonzaga, 2002",3.8 years,150 metres,Decreasing,Forest,Critically Endangered,"Pernambuco Pygmy-owl, Pernambuco Pygmy Owl",https://www.iucnredlist.org/species/22733081/156084939
0,Ferruginous Pygmy-owl,Glaucidium brasilianum,strigiformes,strigidae,glaucidium,"(Gmelin, 1788)",3.8 years,"2,250 metres",Decreasing,"Forest, Shrubland, Artificial/Terrestrial",Least Concern,Ferruginous Pygmy-owl,https://www.iucnredlist.org/species/61815999/95181606
0,Tucuman Pygmy-owl,Glaucidium tucumanum,strigiformes,strigidae,glaucidium,"Chapman, 1922",3.8 years,"1,500 metres",Decreasing,"Forest, Shrubland, Artificial/Terrestrial",Least Concern,Tucuman Pygmy-owl,https://www.iucnredlist.org/species/61816442/95181919
0,Peruvian Pygmy-owl,Glaucidium peruanum,strigiformes,strigidae,glaucidium,"König, 1991",3.8 years,"3,500 metres",Stable,"Forest, Shrubland, Wetlands (inland), Artificial/Terrestrial",Least Concern,"Peruvian Pygmy-owl, Pacific Pygmy Owl, Peruvian Pygmy-Owl",https://www.iucnredlist.org/species/22689253/93223829
0,Austral Pygmy-owl,Glaucidium nana,strigiformes,strigidae,glaucidium,"(King, 1828)",3.8 years,"2,000 metres",Stable,"Forest, Shrubland, Wetlands (inland), Desert, Artificial/Terrestrial",Least Concern,"Austral Pygmy-owl, Austral Pygmy-Owl",https://www.iucnredlist.org/species/22689258/93224043
0,Cuban Pygmy-owl,Glaucidium siju,strigiformes,strigidae,glaucidium,"(d'Orbigny, 1839)",3.8 years,"1,500 metres",Stable,"Forest, Artificial/Terrestrial",Least Concern,"Cuban Pygmy-owl, Cuban Pygmy Owl, Cuban Pygmy-Owl",https://www.iucnredlist.org/species/22689262/93224271
0,Long-whiskered Owlet,Xenoglaux loweryi,strigiformes,strigidae,xenoglaux,"O'Neill & Graves, 1977",2.8 years,"2,600 metres",Stable,Forest,Vulnerable,Long-whiskered Owlet,https://www.iucnredlist.org/species/22689320/180768478
0,Elf Owl,Micrathene whitneyi,strigiformes,strigidae,micrathene,"(Cooper, 1861)",2.98 years,"2,100 metres",Decreasing,"Forest, Savanna, Shrubland, Wetlands (inland)",Least Concern,Elf Owl,https://www.iucnredlist.org/species/22689325/168847632
0,Burrowing Owl,Athene cunicularia,strigiformes,strigidae,athene,"(Molina, 1782)",4.6 years,"4,000 metres",Decreasing,"Savanna, Shrubland, Grassland, Desert, Artificial/Terrestrial",Least Concern,Burrowing Owl,https://www.iucnredlist.org/species/22689353/93227732
0,Spotted Owlet,Athene brama,strigiformes,strigidae,athene,"(Temminck, 1821)",4 years,"1,500 metres",Stable,"Desert, Artificial/Terrestrial",Least Concern,Spotted Owlet,https://www.iucnredlist.org/species/22689332/93227068
0,Little Owl,Athene noctua,strigiformes,strigidae,athene,"(Scopoli, 1769)",4.4 years,"2,600 metres",Stable,"Savanna, Shrubland, Grassland, Artificial/Terrestrial",Least Concern,Little Owl,https://www.iucnredlist.org/species/22689328/155470112
0,White-browed Owl,Athene superciliaris,strigiformes,strigidae,athene,"(Vieillot, 1817)",4.1 years,800 metres,Decreasing,"Forest, Savanna, Shrubland",Least Concern,"White-browed Owl, White-browed Hawk-Owl, White-browed Owl",https://www.iucnredlist.org/species/22689425/93230481
0,Forest Owlet,Athene blewitti,strigiformes,strigidae,athene,"Hume, 1873",5.4 years,700 metres,Decreasing,Forest,Endangered,"Forest Owlet, Forest Little Owl, Forest Spotted Owlet",https://www.iucnredlist.org/species/22689335/132251554
0,Boreal Owl,Aegolius funereus,strigiformes,strigidae,aegolius,"(Linnaeus, 1758)",4.13 years,,Stable,Forest,Least Concern,"Boreal Owl, Tengmalm's Owl",https://www.iucnredlist.org/species/22689362/201898946
0,Bermuda Saw-whet Owl,Aegolius gradyi,strigiformes,strigidae,aegolius,"Olson, 2012",,,Unspecified,Forest,Extinct,Bermuda Saw-whet Owl,https://www.iucnredlist.org/species/62184893/95192681
0,Northern Saw-whet Owl,Aegolius acadicus,strigiformes,strigidae,aegolius,"(Gmelin, 1788)",5.4 years,"3,100 metres",Decreasing,"Forest, Desert, Artificial/Terrestrial",Least Concern,Northern Saw-whet Owl,https://www.iucnredlist.org/species/22689366/93228694
0,Unspotted Saw-whet Owl,Aegolius ridgwayi,strigiformes,strigidae,aegolius,"(Alfaro, 1905)",5.6 years,"3,000 metres",Stable,Forest,Least Concern,"Unspotted Saw-whet Owl, Unspotted Saw-whet Owl",https://www.iucnredlist.org/species/22689371/93228935
0,Buff-fronted Owl,Aegolius harrisii,strigiformes,strigidae,aegolius,"(Cassin, 1849)",5.6 years,"3,100 metres",Stable,"Forest, Savanna, Shrubland, Artificial/Terrestrial",Least Concern,Buff-fronted Owl,https://www.iucnredlist.org/species/22689378/93229112
0,White-fronted Scops-owl,Otus sagittatus,strigiformes,strigidae,otus,"(Cassin, 1848)",3.7 years,700 metres,Decreasing,Forest,Vulnerable,"White-fronted Scops-owl, White-fronted Scops Owl, White-fronted Scops-Owl",https://www.iucnredlist.org/species/22688548/110219632
0,Reddish Scops-owl,,,,,,,,,,,,https://www.iucnredlist.org/search?query=Reddish%20Scops-owl&searchType=species
0,Serendib Scops-owl,Otus thilohoffmanni,strigiformes,strigidae,otus,"Warakagoda & Rasmussen, 2004",3.7 years,530 metres,Decreasing,Forest,Endangered,"Serendib Scops-owl, Serendib Scops Owl",https://www.iucnredlist.org/species/22732040/95041044
0,Sandy Scops-owl,Otus icterorhynchus,strigiformes,strigidae,otus,"(Shelley, 1873)",3.7 years,"1,000 metres",Stable,"Forest, Shrubland, Artificial/Terrestrial",Least Concern,"Sandy Scops-owl, Sandy Scops Owl, Sandy Scops-Owl",https://www.iucnredlist.org/species/22688559/93200776
0,Sokoke Scops-owl,Otus ireneae,strigiformes,strigidae,otus,"Ripley, 1966",3.7 years,400 metres,Decreasing,"Forest, Artificial/Terrestrial",Endangered,"Sokoke Scops-owl, Morden's Scops-owl, Sokoke Scops Owl, Sokoke Scops-Owl",https://www.iucnredlist.org/species/22688565/93201000
0,Giant Scops-owl,Otus gurneyi,strigiformes,strigidae,otus,"(Tweeddale, 1879)",6.7 years,670 metres,Decreasing,Forest,Vulnerable,"Giant Scops-owl, Giant Scops Owl, Lesser Eagle-Owl",https://www.iucnredlist.org/species/22688911/110372685
0,Japanese Scops-owl,Otus semitorques,strigiformes,strigidae,otus,"Temminck & Schlegel, 1844",3.7 years,900 metres,Stable,"Forest, Artificial/Terrestrial",Least Concern,Japanese Scops-owl,https://www.iucnredlist.org/species/61859151/95233778
0,Collared Scops-owl,Otus lettia,strigiformes,strigidae,otus,"(Hodgson, 1836)",3.7 years,"2,400 metres",Stable,"Forest, Artificial/Terrestrial",Least Concern,Collared Scops-owl,https://www.iucnredlist.org/species/61855318/118498941
0,Sunda Scops-owl,Otus lempiji,strigiformes,strigidae,otus,"(Horsfield, 1821)",3.7 years,"2,000 metres",Stable,"Forest, Artificial/Terrestrial",Least Concern,Sunda Scops-owl,https://www.iucnredlist.org/species/61859106/95182654
0,Indian Scops-owl,Otus bakkamoena,strigiformes,strigidae,otus,"Pennant, 1769",3.7 years,"2,400 metres",Stable,"Forest, Artificial/Terrestrial",Least Concern,Indian Scops-owl,https://www.iucnredlist.org/species/61855263/95182096
0,Luzon Lowland Scops-owl,Otus megalotis,strigiformes,strigidae,otus,"(Walden, 1875)",3.7 years,"1,600 metres",Decreasing,Forest,Least Concern,"Luzon Lowland Scops-owl, Philippine Scops Owl, Philippine Scops-Owl, Philippine Scops-owl",https://www.iucnredlist.org/species/22727655/94955374
