,0
0,https://en.wikipedia.org/wiki/African_crake
1,https://en.wikipedia.org/wiki/American_bushtit
2,https://en.wikipedia.org/wiki/American_dipper
3,https://en.wikipedia.org/wiki/American_flamingo
4,https://en.wikipedia.org/wiki/American_redstart
5,https://en.wikipedia.org/wiki/Archbold%27s_nightjar
6,https://en.wikipedia.org/wiki/Archbold%27s_owlet-nightjar
7,https://en.wikipedia.org/wiki/Archer%27s_lark
8,https://en.wikipedia.org/wiki/Arfak_astrapia
9,https://en.wikipedia.org/wiki/Australian_crake
10,https://en.wikipedia.org/wiki/Azure_tit
11,https://en.wikipedia.org/wiki/Bearded_reedling
12,https://en.wikipedia.org/wiki/Bearded_vulture
13,https://en.wikipedia.org/wiki/Besra
14,https://en.wikipedia.org/wiki/Black_kite
15,https://en.wikipedia.org/wiki/Black_skimmer
16,https://en.wikipedia.org/wiki/Black_stork
17,https://en.wikipedia.org/wiki/Black_tern
18,https://en.wikipedia.org/wiki/Black_vulture
19,https://en.wikipedia.org/wiki/Black-capped_babbler
20,https://en.wikipedia.org/wiki/Black-crowned_babbler
21,https://en.wikipedia.org/wiki/Black-faced_laughingthrush
22,https://en.wikipedia.org/wiki/Black-hooded_laughingthrush
23,https://en.wikipedia.org/wiki/Black-winged_kite
24,https://en.wikipedia.org/wiki/Blue-eared_kingfisher
25,https://en.wikipedia.org/wiki/Blue-footed_booby
26,https://en.wikipedia.org/wiki/Blue-moustached_bee-eater
27,https://en.wikipedia.org/wiki/Bold-striped_tit-babbler
28,https://en.wikipedia.org/wiki/Brant
29,https://en.wikipedia.org/wiki/Brubru
30,https://en.wikipedia.org/wiki/Campbell_teal
31,https://en.wikipedia.org/wiki/Cape_sugarbird
32,https://en.wikipedia.org/wiki/Chestnut-backed_scimitar_babbler
33,https://en.wikipedia.org/wiki/Chinese_cupwing
34,https://en.wikipedia.org/wiki/Chiriqui_quail-dove
35,https://en.wikipedia.org/wiki/Chowchilla
36,https://en.wikipedia.org/wiki/Cinnamon_teal
37,https://en.wikipedia.org/wiki/Citrine_lorikeet
38,https://en.wikipedia.org/wiki/Common_myna
39,https://en.wikipedia.org/wiki/Common_scoter
40,https://en.wikipedia.org/wiki/Cuban_pewee
41,https://en.wikipedia.org/wiki/Cuban_tody
42,https://en.wikipedia.org/wiki/Dark-eyed_junco
43,https://en.wikipedia.org/wiki/Downy_woodpecker
44,https://en.wikipedia.org/wiki/Eastern_kingbird
45,https://en.wikipedia.org/wiki/Egyptian_plover
46,https://en.wikipedia.org/wiki/European_herring_gull
47,https://en.wikipedia.org/wiki/European_serin
48,https://en.wikipedia.org/wiki/Fieldfare
49,https://en.wikipedia.org/wiki/Forest_raven
50,https://en.wikipedia.org/wiki/Fork-tailed_sunbird
51,https://en.wikipedia.org/wiki/Galapagos_crake
52,https://en.wikipedia.org/wiki/Giant_cowbird
53,https://en.wikipedia.org/wiki/Goldcrest
54,https://en.wikipedia.org/wiki/Golden-throated_barbet
55,https://en.wikipedia.org/wiki/Goliath_heron
56,https://en.wikipedia.org/wiki/Great_Indian_bustard
57,https://en.wikipedia.org/wiki/Great_bustard
58,https://en.wikipedia.org/wiki/Great_tit
59,https://en.wikipedia.org/wiki/Greater_spotted_eagle
60,https://en.wikipedia.org/wiki/Green_bee-eater
61,https://en.wikipedia.org/wiki/Green-winged_teal
62,https://en.wikipedia.org/wiki/Grey_crowned_crane
63,https://en.wikipedia.org/wiki/Grey_thornbill
64,https://en.wikipedia.org/wiki/Greyish_saltator
65,https://en.wikipedia.org/wiki/Griffon_vulture
66,https://en.wikipedia.org/wiki/Himalayan_white-browed_rosefinch
67,https://en.wikipedia.org/wiki/Horned_guan
68,https://en.wikipedia.org/wiki/Inca_tern
69,https://en.wikipedia.org/wiki/Indian_pitta
70,https://en.wikipedia.org/wiki/Indian_roller
71,https://en.wikipedia.org/wiki/Indian_skimmer
72,https://en.wikipedia.org/wiki/Jamaican_tody
73,https://en.wikipedia.org/wiki/Kagu
74,https://en.wikipedia.org/wiki/Killdeer
75,https://en.wikipedia.org/wiki/Lanner_falcon
76,https://en.wikipedia.org/wiki/Laughing_dove
77,https://en.wikipedia.org/wiki/Laysan_duck
78,https://en.wikipedia.org/wiki/Lesser_short-toed_lark
79,https://en.wikipedia.org/wiki/Limestone_wren-babbler
80,https://en.wikipedia.org/wiki/Little_bustard
81,https://en.wikipedia.org/wiki/Maguari_stork
82,https://en.wikipedia.org/wiki/Maleo
83,https://en.wikipedia.org/wiki/Malia
84,https://en.wikipedia.org/wiki/Mao_Zedong
85,https://en.wikipedia.org/wiki/Marbled_duck
86,https://en.wikipedia.org/wiki/Masked_booby
87,https://en.wikipedia.org/wiki/Merlin
88,https://en.wikipedia.org/wiki/Meyer%27s_parrot
89,https://en.wikipedia.org/wiki/Morepork
90,https://en.wikipedia.org/wiki/Mottled_duck
91,https://en.wikipedia.org/wiki/Mountain_serin
92,https://en.wikipedia.org/wiki/Nene
93,https://en.wikipedia.org/wiki/Noisy_miner
94,https://en.wikipedia.org/wiki/Northern_flicker
95,https://en.wikipedia.org/wiki/Northern_wheatear
96,https://en.wikipedia.org/wiki/Olive-brown_oriole
97,https://en.wikipedia.org/wiki/Pacific_baza
98,https://en.wikipedia.org/wiki/Pacific_golden_plover
99,https://en.wikipedia.org/wiki/Pacific_gull
100,https://en.wikipedia.org/wiki/Painted_stork
101,https://en.wikipedia.org/wiki/Paradise_tanager
102,https://en.wikipedia.org/wiki/Philippine_nightjar
103,https://en.wikipedia.org/wiki/Pied_crow
104,https://en.wikipedia.org/wiki/Pied_myna
105,https://en.wikipedia.org/wiki/Plain_swift
106,https://en.wikipedia.org/wiki/Purple_gallinule
107,https://en.wikipedia.org/wiki/Red_kite
108,https://en.wikipedia.org/wiki/Red_knot
109,https://en.wikipedia.org/wiki/Red_warbler
110,https://en.wikipedia.org/wiki/Red-chested_cuckoo
111,https://en.wikipedia.org/wiki/Red-footed_booby
112,https://en.wikipedia.org/wiki/Red_hair
113,https://en.wikipedia.org/wiki/Redthroat
114,https://en.wikipedia.org/wiki/Redwing
