,0
0,south-island-kōkako
1,south-island-takahē
2,southern-dark-newtonia
3,specklefaced-parrot
4,sri-lankan-junglefowl
5,standardwing-birdofparadise
6,stephanies-astrapia
7,stripecrowned-sparrow
8,tabar-pitta
9,tabora-cisticola
10,tacarcuna-warbler---
11,táchira-antpitta
12,taczanowskis-ground-tyrant1
13,tagula-shrikethrush---
14,taliabu-bush-warbler---
15,taliabu-fantail---
16,taliabu-grasshopper-warbler
17,taliabu-leaf-warbler
18,taliabu-leaf-warbler---
19,taliabu-myzomela---
20,tanimbar-cuckoodove---
21,tapajos-antpitta---
22,tapajos-fireeye---
23,tapajós-hermit
24,tasmanian-native-hen
25,temotu-whistler---
26,tenca-chilean-mockingbird
27,tenggara-swiftlet---
28,tickells-blueflycatcher
29,timor-boobook---
30,tolima-blossomcrown---
31,tres-marías-amazon
32,tricolored-grebe---
33,tricoloured-munia
34,tucumán-amazon
35,tucumán-mountain-finch
36,ulaaihāwane
37,várzea-thrush
38,vauries-nightjar
39,vogelkop-superb-birdofparadise
