,0
0,o‘ahu-‘ō‘ō
1,oahu-ōō
2,oberholsers-fruit-dove---
3,oberländers-ground-thrush
4,olivaceous-siskin--female
5,olivebreasted-greenbul---
6,oliveheaded-greenbul---
7,ōmao
8,opalton-grasswren---
9,osprey
10,ōū
11,outcrop-sabrewing---
12,palm-crow
13,paramythia
14,passerella-iliaca-megarhyncha
15,peleng-leaf-warbler
16,père-davids-owl
17,père-davids-snowfinch
18,père-davids-tit
19,perijá-brushfinch
20,perijá-metaltail
21,perijá-tapaculo
22,perijá-thistletail
23,persian-nuthatch
24,phodilus-badius
25,platysmurus
26,príncipe-seedeater
27,príncipe-speirops
28,príncipe-sunbird
29,príncipe-thrush
30,príncipe-weaver
31,príncipe-whiteeye
32,providencia-vireo---
33,puna-pipit---
34,radjah-shelduck
35,red-satinbird
36,redbreasted-meadowlark
