,Common Name,Conservation status,Synonyms,Old latin name for bird,Order,Family,Genus,Breeding region,Breeding subregion,Link,Non breeding region
0,laced-woodpecker,LC - Least concern,"Laced Green Woodpecker, Scaly-bellied woodpecker",,"Woodpeckers, Toucans and relatives / Piciformes",Woodpeckers / Picidae,Picus,Oriental Region,"e Myanmar, s China, Thailand and Indochina to Sumatra, Java and Bali",https://dibird.com/species/laced-woodpecker/,-
0,lacrimose-mountain-tanager,LC - Least concern,Lacrimose Mountain-Tanager,"Anisognatus lacrymosus, Tachyphonus lacrymosus",Perching Birds / Passeriformes,Tanagers & Allies / Thraupidae,Anisognathus,South America,Colombia and Venezuela to Peru,https://dibird.com/species/lacrimose-mountain-tanager/,-
0,ladderbacked-woodpecker,LC - Least concern,"Baird's Woodpecker, Texan Woodpecker, Cactus Woodpecker, ladder-backed, San Lucas Woodpecker, San Fernando Woodpecker, Texas Woodpecker, Woodpecker, Cape Woodpecker, Ladder backed Woodpecker","Picoides scalaris, Dendrocopos scalaris, Picus scalaris","Woodpeckers, Toucans and relatives / Piciformes",Woodpeckers / Picidae,Dryobates,"Middle America, North America",sw USA to ne Nicaragua,https://dibird.com/species/ladderbacked-woodpecker/,-
0,laddertailed-nightjar,LC - Least concern,Ladder tailed Nightjar,Caprimulgus climacocercus,Nightjars and relatives / Caprimulgiformes,Nightjars / Caprimulgidae,Hydropsalis,South America,Amazonia,https://dibird.com/species/laddertailed-nightjar/,-
0,lady-amhersts-pheasant,LC - Least concern,"Lady Amhurst's Pheasant, Chinese Cooper Pheasant",Phasianus amherstiae,Сhickens and relatives / Galliformes,Pheasants & Allies / Phasianidae,Chrysolophus,Oriental Region,"ne Myanmar, se Tibet and sw China",https://dibird.com/species/lady-amhersts-pheasant/,-
0,lafresnayes-piculet,LC - Least concern,,,"Woodpeckers, Toucans and relatives / Piciformes",Woodpeckers / Picidae,Picumnus,South America,"w, c Amazonia",https://dibird.com/species/lafresnayes-piculet/,-
0,lafresnayes-vanga,LC - Least concern,,Vanga xenopirostris,Perching Birds / Passeriformes,Vangas & Allies / Vangidae,Xenopirostris,Africa,Madagascar,https://dibird.com/species/lafresnayes-vanga/,-
0,lagdens-bushshrike,NT - Near threatened,"Lagden's Bush Shrike, Lagden's Bush-shrike","Laniarius lagdeni, Malacanotus lagdeni",Perching Birds / Passeriformes,Bushshrikes / Malaconotidae,Malaconotus,Africa,"w, c",https://dibird.com/species/lagdens-bushshrike/,-
0,laggar-falcon,NT - Near threatened,"Laggar, Lagger Falcon",,Falcons / Falconiformes,"Caracaras, Falcons / Falconidae",Falco,Oriental Region,Pakistan through India to c Myanmar,https://dibird.com/species/laggar-falcon/,-
0,lake-duck,LC - Least concern,"Argentine Blue-billed Duck, Argentine Lake Duck, Argentine Blue-bill, Argentine Ruddy-Duck, Argentine Ruddy Duck",Erismatura vittata,Ducks and relatives / Anseriformes,"Ducks, Geese, Swans / Anatidae",Oxyura,South America,Southern Cone,https://dibird.com/species/lake-duck/,-
0,lanceolated-monklet,LC - Least concern,Lanceolated puffbird,"Bucco lanceolata, Micromonarcha lanceolata","Woodpeckers, Toucans and relatives / Piciformes",Puffbirds / Bucconidae,Micromonacha,"South America, Middle America",Costa Rica to n Bolivia,https://dibird.com/species/lanceolated-monklet/,-
0,lanceolated-warbler,LC - Least concern,"Lanecolated Warbler, Lanceolated Grasshopper Warbler, Lancelolated Warbler, Streaked Grasshopper Warbler, Streaked Warbler, Streaked Grasshopper-Warbler, Lanceolated Grasshopper-Warbler",Sylvia lanceolata,Perching Birds / Passeriformes,Grassbirds & Allies / Locustellidae,Locustella,Eurasia,"n, ne",https://dibird.com/species/lanceolated-warbler/,se Asia
0,lancetailed-manakin,LC - Least concern,"Lance tailed Manakin, Sharp-tailed Manakin","Pipra lanceolata, Chiroxiphea lanceolata",Perching Birds / Passeriformes,Manakins / Pipridae,Chiroxiphia,"South America, Middle America",sw Costa Rica to n Venezuela,https://dibird.com/species/lancetailed-manakin/,-
0,landana-firefinch,NE - Not evaluated,"Pale billed Firefinch, Pale-billed Firefinch, Pale-billed Fire Finch, Pale-billed Waxbill, Pale-bill Firefinch",,Perching Birds / Passeriformes,"Waxbills, Munias & Allies / Estrildidae",Lagonosticta,Africa,Gabon to w DR Congo and nw Angola,https://dibird.com/species/landana-firefinch/,-
0,lanner-falcon,LC - Least concern,Lanner,Falco lanarius,Falcons / Falconiformes,"Caracaras, Falcons / Falconidae",Falco,"Africa, Eurasia","s Europe, Arabian Pen. and widespread AF",https://dibird.com/species/lanner-falcon/,-
0,lapland-longspur,LC - Least concern,"Lapland Bunting, Alaska Longspur, Lapland Lark Bunting, Lapland Snowbird","Calcarius laponicus, Fringilla lapponica, Emberiza lapponicus",Perching Birds / Passeriformes,"Longspurs, Snow Buntings / Calcariidae",Calcarius,"North America, Eurasia",n,https://dibird.com/species/lapland-longspur/,"c EU, s USA"
0,lappetfaced-vulture,EN - Endangered,"Lapped-faced Vulture, Southern Lappet-faced Vulture, Abyssinian Vulture, Nubian Vulture, Lappetfaced Vulture","Vultur tracheliotus, Torgos tracheliotus, Aegypius tracheliotus",Hawks and relatives / Accipitriformes,"Kites, Hawks, Eagles / Accipitridae",Torgos,Africa,"widespread, also Arabian Pen.",https://dibird.com/species/lappetfaced-vulture/,-
0,large-blue-flycatcher,LC - Least concern,Large Blue-Flycatcher,,Perching Birds / Passeriformes,"Chats, Old World Flycatchers / Muscicapidae",Cyornis,Oriental Region,e Himalayas,https://dibird.com/species/large-blue-flycatcher/,"Burma, Thailand and Malay Pen."
0,large-cuckooshrike,LC - Least concern,"Large Cuckoo-shrike, Indian Cuckoo-shrike, Large Cuckoo Shrike, Indian Cuckooshrike, Black-throated Cuckooshrike",Graucalus macei,Perching Birds / Passeriformes,Cuckooshrikes / Campephagidae,Coracina,Oriental Region,widespread,https://dibird.com/species/large-cuckooshrike/,-
0,large-elaenia,LC - Least concern,,Elainea [sic] spectabilis,Perching Birds / Passeriformes,"Tyrant Flycatchers, Calyptura / Tyrannidae",Elaenia,South America,w Amazonia to e Brazil and c Bolivia,https://dibird.com/species/large-elaenia/,-
0,large-fig-parrot,LC - Least concern,"Desmarest's Fig-Parrot, Desmarest's Fig Parrot, Large Fig-Parrot, Flame-headed Fig Parrot, Demarest's Fig Parrot","Psittacus desmarestii, Psittaculirostris desmaresti",Parrots / Psittaciformes,Old World Parrots / Psittaculidae,Psittaculirostris,Australasia,New Guinea,https://dibird.com/species/large-fig-parrot/,-
0,large-frogmouth,NT - Near threatened,,Podargus auritus,Podargiformes,Frogmouths / Podargidae,Batrachostomus,Oriental Region,"Malay Pen., Sumatra and Borneo",https://dibird.com/species/large-frogmouth/,-
0,large-green-pigeon,VU - Vulnerable,Large Green-Pigeon,"Columba capellei, Butreron capellei",Pigeons and Doves / Columbiformes,"Pigeons, Doves / Columbidae",Treron,Oriental Region,Malay Pen. and Greater Sundas,https://dibird.com/species/large-green-pigeon/,-
0,large-grey-babbler,LC - Least concern,"Great Grey Babbler, Large Gray Babbler, Malcolm's Babbler, Great Gray Babbler","Turdoides makomi, Timalia malcolmi, Turdoides malcolmi",Perching Birds / Passeriformes,Laughingthrushes & Allies / Leiothrichidae,Argya,Oriental Region,India,https://dibird.com/species/large-grey-babbler/,-
0,large-ground-finch,LC - Least concern,"Large Groundfinch, Darwin's ground finch, Large Ground-Finch",,Perching Birds / Passeriformes,Tanagers & Allies / Thraupidae,Geospiza,South America,Galápagos Is.,https://dibird.com/species/large-ground-finch/,-
0,large-hawkcuckoo,LC - Least concern,"Large hawk cuckoo, Large Hawk-Cuckoo (Large)","Cuculus sparverioã¯des, Cuculus sparverioides",Cuckoos and relatives / Cuculiformes,Cuckoos / Cuculidae,Hierococcyx,Oriental Region,widespread,https://dibird.com/species/large-hawkcuckoo/,-
0,large-lifou-whiteeye,LC - Least concern,"Large Lifu White eye, Forest White-eye, Large Lifu White-eye",Zosterops inornata,Perching Birds / Passeriformes,White-eyes / Zosteropidae,Zosterops,Australasia,Loyalty Is.,https://dibird.com/species/large-lifou-whiteeye/,-
0,large-niltava,LC - Least concern,"Great Blue-Flycatcher, Great Niltava",Chaã¯taris grandis,Perching Birds / Passeriformes,"Chats, Old World Flycatchers / Muscicapidae",Niltava,Oriental Region,Himalayas to Sumatra,https://dibird.com/species/large-niltava/,-
0,large-scimitar-babbler,LC - Least concern,"Long-billed Scimitar-Babbler, Large Scimitar-bill, Large Scimitar-Babbler, Greater Scimitar-Babbler, Long-billed Scimitar Babbler","Megapomatorhinus hypoleucos, O[rthorhinus].hypoleucos, Pomatorhinus hypoleucos",Perching Birds / Passeriformes,"Babblers, Scimitar Babblers / Timaliidae",Erythrogenys,Oriental Region,Bangladesh to Malaysia,https://dibird.com/species/large-scimitar-babbler/,-
0,large-scrubwren,LC - Least concern,"Large Mountain Scrubwren, Noisy Scrubwren, Mountain Scrubwren, Large Sericornis, Large Mountain Sericornis, Large Mountain Scrub-Wren",Sericornis arfakiana nouhuysi,Perching Birds / Passeriformes,Australasian Warblers / Acanthizidae,Sericornis,Australasia,New Guinea,https://dibird.com/species/large-scrubwren/,-
0,large-tree-finch,VU - Vulnerable,"Large Insectivorous Tree Finch, Large Tree-Finch, Large Treefinch, Large Insectivorous Finch, Large Insectivorous Treefinch, Large Insectivorous Tree-Finch",Geospiza psittacula,Perching Birds / Passeriformes,Tanagers & Allies / Thraupidae,Camarhynchus,South America,Galápagos Is.,https://dibird.com/species/large-tree-finch/,-
0,large-woodshrike,LC - Least concern,"Hook-billed wood shrike, Large Wood-shrike, Brown-tailed wood shrike","Tephrodornis gularis, Lanius virgatus",Perching Birds / Passeriformes,Vangas & Allies / Vangidae,Tephrodornis,Oriental Region,widespread,https://dibird.com/species/large-woodshrike/,-
0,large-wrenbabbler,NT - Near threatened,Large Wren Babbler,"Malacopteron macrodactylum, Turdinus macrodactyla, Napothera macrodactyla",Perching Birds / Passeriformes,Ground Babblers / Pellorneidae,Turdinus,Oriental Region,"Malay Pen., Sumatra, Java",https://dibird.com/species/large-wrenbabbler/,-
0,largebilled-antwren,LC - Least concern,Large billed Antwren,,Perching Birds / Passeriformes,Antbirds / Thamnophilidae,Herpsilochmus,South America,"n Bolivia to c, se Brazil",https://dibird.com/species/largebilled-antwren/,-
0,largebilled-crow,LC - Least concern,"Jungle crow, Thick-billed crow, Large-billed Crow [Large-billed]",,Perching Birds / Passeriformes,"Crows, Jays / Corvidae",Corvus,"Eurasia, Oriental Region","e Eurasia also c, s Malay Pen., Sundas and Philippines",https://dibird.com/species/largebilled-crow/,-
0,largebilled-gerygone,LC - Least concern,"Dusky Gerygone, Swamp Gerygone",,Perching Birds / Passeriformes,Australasian Warblers / Acanthizidae,Gerygone,Australasia,New Guinea and n Australia,https://dibird.com/species/largebilled-gerygone/,-
0,largebilled-lark,LC - Least concern,"Large billed Lark, Thick-billed Lark, Thickbilled Lark, Southern Thickbilled Lark","Galerida crassirostris, Calendula magnirostris, Alauda magnirostris, Calandula magnirostris",Perching Birds / Passeriformes,Larks / Alaudidae,Galerida,Africa,s,https://dibird.com/species/largebilled-lark/,-
0,largebilled-leaf-warbler,LC - Least concern,"Large-billed Willow Warber, Large-billed Willow Warbler, Large-billed Willow-Warbler, Large-billed Leaf-Warbler","Ph[ylloscopus]. magnirostris, Seicercus magnirostris",Perching Birds / Passeriformes,Leaf Warblers & Allies / Phylloscopidae,Phylloscopus,Oriental Region,"Himalayas, c China",https://dibird.com/species/largebilled-leaf-warbler/,India
0,largebilled-parrotlet,NE - Not evaluated,"Blue-winged Parrotlet (crassirostris), Riparian Parrotlet, Large-billed Parrotlet",Psittacula crassirostris,Parrots / Psittaciformes,African & New World Parrots / Psittacidae,Forpus,South America,se Colombia to n Peru and w Brazil,https://dibird.com/species/largebilled-parrotlet/,-
