,0
0,lānai-hookbill
1,largeheaded-flatbill1
2,layards-woodcreeper
3,laysan-apapane
4,lesser-superb-birdofparadise
5,levaillant’s-woodpecker
6,longtailed-starling1
7,lühders-bushshrike
8,lyness-cisticola-scientific-classification
9,malabar-parakeet
10,manicoré-warbling-antbird
11,marañón-crescentchest
12,marañón-spinetail
13,marañón-thrush
14,marvellous-spatuletail
15,mato-grosso-swift
16,maui-nui-akialoa
17,mérida-flowerpiercer
18,mérida-sunangel
19,mérida-tapaculo
20,mérida-wren
21,moluccan-goshawkhalmaheran-goshawk
22,mountain-cacique
23,mousecoloured-penduline-tit
24,mousecoloured-tapaculo
25,mrs.-goulds-sunbird
26,mrs.-humes-pheasant
27,multicoloured-tanager
28,nahans-partridge1
29,nariño-tapaculo
30,negros-bleedingheart-pigeon
31,neumanns-starling---
32,new-britain-pitta
33,new-zealand-dotterel
34,new-zealand-rock-wren
35,niau-kingfisher---
36,north-island-kōkako
37,north-island-takahē
38,northern-dark-newtonia
