,0
0,adélie-penguin
1,akiapōlāau
2,ākohekohe
3,alpine-leaf-warbler
4,alströms-warbler
5,american-gray-flycatcher
6,american-purple-gallinule
7,annobón-paradise-flycatcher
8,annobón-whiteeye
9,apolo-cotinga
10,apurímac-brushfinch
11,apurímac-spinetail
12,archbolds-owletnightjar
13,atitlán-grebe
14,australasian-pipit
15,australian-wood-duck
16,ayres-hawkeagle
17,bahian-mousecolored-tapaculo
18,baliem-whistler---
19,banggai-jungle-flycatcher---
20,baudó-guan
21,baudó-oropendola
22,biak-whistler---
23,bicolored-antpitta1
24,bishops-‘ō‘ō
25,bismarck-whistler---
26,blackbacked-weaver
27,blackcrested-tittyrant1
28,blackdotted-piculet---
29,blacklegged-parrot
