,Common Name,Conservation status,Synonyms,Old latin name for bird,Order,Family,Genus,Breeding region,Breeding subregion,Link,Non breeding region
0,temmincks-seedeater,VU - Vulnerable,,Pyrrhula falcirostris,Perching Birds / Passeriformes,Tanagers & Allies / Thraupidae,Sporophila,South America,"se Brazil, e Paraguay and ne Argentina",https://dibird.com/species/temmincks-seedeater/,-
0,temmincks-stint,LC - Least concern,Temmick's Stint,"Ereunetes temminckii, Tringa temminckii, Erolia temminckii",Shorebirds / Charadriiformes,"Sandpipers, Snipes / Scolopacidae",Calidris,Eurasia,n Europe and n Asia,https://dibird.com/species/temmincks-stint/,"AF, OR, Middle East"
0,temmincks-sunbird,LC - Least concern,,"Aethopyga teminckii, Nectarinia temminckii",Perching Birds / Passeriformes,Sunbirds / Nectariniidae,Aethopyga,Oriental Region,"Malay Pen., Sumatra and Borneo",https://dibird.com/species/temmincks-sunbird/,-
0,temmincks-tragopan,LC - Least concern,Crimson-bellied Tragopan,"Satyra temminckii, Tragopan temmincki",Сhickens and relatives / Galliformes,Pheasants & Allies / Phasianidae,Tragopan,Oriental Region,e Himalayas to sc China,https://dibird.com/species/temmincks-tragopan/,-
0,temotu-whistler,NE - Not evaluated,"utupuae, ornata], Temotu Whistler [incl. vanikorensis",,Perching Birds / Passeriformes,Whistlers & Allies / Pachycephalidae,Pachycephala,Pacific ocean,Santa Cruz Group (se Solomon Is.),https://dibird.com/species/temotu-whistler/,-
0,tenerife-blue-chaffinch,NT - Near threatened,"Tenerife Teydefinch, Teydefinch, Blue Chaffinch (Tenerife), Teydefinch (nominate), Blue chaffinch, Canary Island chaffinch",,Perching Birds / Passeriformes,"Finches, Euphonias / Fringillidae",Fringilla,Africa,Tenerife I. (c Canary Is.),https://dibird.com/species/tenerife-blue-chaffinch/,-
0,tenggara-swiftlet,NE - Not evaluated,Glossy Swiftlet (sumbawae),Collocalia esculenta sumbawae,Swifts and Hummingbirds / Apodiformes,Swifts / Apodidae,Collocalia,Oriental Region,w Lesser Sundas,https://dibird.com/species/tenggara-swiftlet/,-
0,tennessee-warbler,LC - Least concern,,"Vermivora peregrina, Sylvia peregrina, Oreothlypis peregrina, Helminthophila peregrina",Perching Birds / Passeriformes,New World Warblers / Parulidae,Leiothlypis,North America,se Alaska and nw Canada to se Canada and ne USA,https://dibird.com/species/tennessee-warbler/,Mexico to n SA
0,tepui-antpitta,LC - Least concern,"Brown breasted Antpitta, Brown-breasted Antpitta",Grallaria simplex,Perching Birds / Passeriformes,Antpittas / Grallariidae,Myrmothera,South America,tepuis,https://dibird.com/species/tepui-antpitta/,-
0,tepui-brushfinch,LC - Least concern,"Tepui Brush-Finch, Tepui Brush Finch",Arremon personatus,Perching Birds / Passeriformes,New World Sparrows / Passerellidae,Atlapetes,South America,tepuis,https://dibird.com/species/tepui-brushfinch/,-
0,tepui-elaenia,LC - Least concern,"Sierran Elaenia [Roraiman], Sierran Elaenia (Roraiman)",,Perching Birds / Passeriformes,"Tyrant Flycatchers, Calyptura / Tyrannidae",Elaenia,South America,"tepuis of s, se Venezuela and Guyana",https://dibird.com/species/tepui-elaenia/,-
0,tepui-flycatcher,LC - Least concern,"McConnell's Flycatcher (Sierra de Lema), Sierra de Lema Flycatcher, MacConnell's Flycatcher (roraimae), Tepui Flycatcher",Pipromorpha oleaginea roraimae,Perching Birds / Passeriformes,"Tyrant Flycatchers, Calyptura / Tyrannidae",Mionectes,South America,"s, se Venezuela, w Guyana and nc Brazil",https://dibird.com/species/tepui-flycatcher/,-
