,0
0,blackthroated-euphonia
1,blackthroated-gray-warbler
2,blackthroated-tit
3,blackwinged-starling1
4,bluegray-gnatcatcher
5,bluegray-tanager
6,blueheaded-pitta1
7,bluethroated-goldentail
8,bluethroated-hillstar---
9,bluevented-hummingbird---
10,blyths-swift---
11,bogotá-rail
12,böhms-beeeater
13,böhms-flycatcher
14,böhms-spinetail
15,bohol-sunbird---
16,bolivian-warblingfinch
17,bonin-greenfinch---
18,bornean-swiftlet---
19,boyds-shearwater---
20,brant
21,brasília-tapaculo
22,brownbacked-needle-tail
23,brownstreaked-flycatcher---
24,burmese-prinia---
25,buru-bush-warbler---
26,cachar-bulbul---
27,campbells-fairywren---
28,cape-crow-or-black-crow-in-zulu-inhlungulu
29,cape-verde-buzzard---
30,caquetá-seedeater
31,carolas-parotia
32,caroline-swiftlet
33,carrizal-seedeater---
34,ceará-gnateater
35,chattering-gnatwren---
36,chiloé-wigeon
37,chocó-poorwill
38,chocó-screech-owl
39,chocó-screech-owl---
40,chocó-tapaculo
41,chocó-trogon
42,chocó-vireo
43,chocó-woodpecker
44,christmas-island-swiftlet---
45,christmas-sandpiper
46,cinereous-owl---
47,cinnamon-neopipo1
