,Common Name,Conservation status,Synonyms,Old latin name for bird,Order,Family,Genus,Breeding region,Breeding subregion,Link,Non breeding region
0,redthroated-lorikeet,NE - Not evaluated,Red throated Lorikeet,"Glossopsitta amabilias, Charmosyna amabilis, Trichoglossus (glossopsitta) amabilis, Glossopsitta aureicincta, Charmosyna amabilias, Glossopsitta amabilis, Charmosyna aureicincta",Parrots / Psittaciformes,Old World Parrots / Psittaculidae,Vini,Pacific ocean,Fiji Is.,https://dibird.com/species/redthroated-lorikeet/,-
0,redthroated-parakeet,LC - Least concern,Green Parakeet (Red-throated),"Conurus rubritorquis, Aratinga rubritorques, Aratinga rubritorquis",Parrots / Psittaciformes,African & New World Parrots / Psittacidae,Psittacara,Middle America,"s Guatemala, Honduras and n Nicaragua",https://dibird.com/species/redthroated-parakeet/,-
0,redthroated-parrotfinch,LC - Least concern,"Red-throated Parrot-Finch, Red-throated Parrot Finch, Red throated Parrotfinch, Red-headed Parrotfinch",Fringilla psittacea,Perching Birds / Passeriformes,"Waxbills, Munias & Allies / Estrildidae",Erythrura,Australasia,New Caledonia,https://dibird.com/species/redthroated-parrotfinch/,-
0,redthroated-piping-guan,LC - Least concern,"Stripe-crowned Piping Guan, Red-throated Piping-Guan, Red throated Piping Guan, Stripe-crowned Piping-Guan","Penelope cujubi, Aburria cujubi",Сhickens and relatives / Galliformes,"Chachalacas, Curassows, Guans / Cracidae",Pipile,South America,nc Brazil and Amazonia,https://dibird.com/species/redthroated-piping-guan/,-
0,redthroated-pipit,LC - Least concern,"Redthroated Pipit, Vinaceous-throated Pipit",Motacilla cervina,Perching Birds / Passeriformes,"Wagtails, Pipits / Motacillidae",Anthus,"North America, Eurasia",n Europe to nw Alaska,https://dibird.com/species/redthroated-pipit/,"OR, AF"
0,redthroated-sunbird,NT - Near threatened,"Red-shouldered Sunbird, Rufous-throated Sunbird, Red throated Sunbird, Shelley's Sunbird","Anthrepetes rhodolaema, Anthreptes rhodolaema [sic], Anthreptes rhodolaema",Perching Birds / Passeriformes,Sunbirds / Nectariniidae,Anthreptes,Oriental Region,"Malay Pen., Sumatra and Borneo",https://dibird.com/species/redthroated-sunbird/,-
0,redthroated-thrush,LC - Least concern,"Black-throated thrush, Red-necked thrush, Rufous-throated Thrush, Redthroated Thrush",,Perching Birds / Passeriformes,Thrushes / Turdidae,Turdus,Eurasia,"sc Russia, n Mongolia and nw China",https://dibird.com/species/redthroated-thrush/,n India to n Vietnam
0,redthroated-tit,LC - Least concern,Red throated Tit,"Parus fringillinus, Aegithospiza fringillina",Perching Birds / Passeriformes,"Tits, Chickadees / Paridae",Melaniparus,Africa,s Kenya and n Tanzania,https://dibird.com/species/redthroated-tit/,-
0,redthroated-twinspot,LC - Least concern,"Peter's Twinspot, Redthroated Twinspot, Peters' Twinspot, Peters's Twin-spot, Peters's Twinspot, Peters' Twin-spot, Peter's twin-spot",Spermophaga niveoguttata,Perching Birds / Passeriformes,"Waxbills, Munias & Allies / Estrildidae",Hypargos,Africa,"e, se",https://dibird.com/species/redthroated-twinspot/,-
0,redthroated-wryneck,LC - Least concern,"African Wryneck, Red-necked Wryneck, Rufous-necked Wryneck, Rufous-breasted Wryneck, Red-breasted Wryneck, Redthroated Wryneck, Rufous necked Wryneck, Rufous-throated Wryneck",,"Woodpeckers, Toucans and relatives / Piciformes",Woodpeckers / Picidae,Jynx,Africa,widespread,https://dibird.com/species/redthroated-wryneck/,-
0,redvented-barbet,LC - Least concern,"Red vented Barbet, Lagrandier's Barbet","Megalaima lagrandieri, Magalaima lagradieri","Woodpeckers, Toucans and relatives / Piciformes",Asian Barbets / Megalaimidae,Psilopogon,Oriental Region,Laos and Vietnam,https://dibird.com/species/redvented-barbet/,-
0,redvented-bulbul,LC - Least concern,"Common Bulbul, Sooty-headed Bulbul",Turdus [] cafer,Perching Birds / Passeriformes,Bulbuls / Pycnonotidae,Pycnonotus,Oriental Region,"Himalayas, India, Myanmar",https://dibird.com/species/redvented-bulbul/,-
