,Common Name,Conservation status,Synonyms,Old latin name for bird,Order,Family,Genus,Breeding region,Breeding subregion,Link,Non breeding region
0,goldencheeked-warbler,EN - Endangered,golden-cheeked wood warbler,"Dendroica chrysoparia, Dendroeca [sic] chrysoparia, Dendroica chrysopareia",Perching Birds / Passeriformes,New World Warblers / Parulidae,Setophaga,North America,sc Texas (sc USA),https://dibird.com/species/goldencheeked-warbler/,Mexico to Nicaragua
0,goldencheeked-woodpecker,LC - Least concern,"Gold-cheeked Woodpecker, Golden cheeked Woodpecker","Centurus chrysogenys, Picus chrysogenys","Woodpeckers, Toucans and relatives / Piciformes",Woodpeckers / Picidae,Melanerpes,Middle America,w Mexico,https://dibird.com/species/goldencheeked-woodpecker/,-
0,goldenchested-tanager,LC - Least concern,Golden chested Tanager,"Buthraupis rothschildi, Bangsia rothschildii, Buthraupis rothschildii",Perching Birds / Passeriformes,Tanagers & Allies / Thraupidae,Bangsia,South America,Colombia and Ecuador,https://dibird.com/species/goldenchested-tanager/,-
0,goldenchevroned-tanager,LC - Least concern,"Archbishop Tanager, Golden chevroned Tanager","Tanagra ornata, Thaupis ornata, Tangara ornata",Perching Birds / Passeriformes,Tanagers & Allies / Thraupidae,Thraupis,South America,se Brazil,https://dibird.com/species/goldenchevroned-tanager/,-
0,goldencollared-honeycreeper,LC - Least concern,"Golden-bellied Honeycreeper, Golden-collared Tanager, Golden collared Honeycreeper, Golden-bellied Tanager, Yellow-collared Honeycreeper","Iridophanes pulcherrima, Chlorophanes pulcherrimus, Dacnis pulcherrima, Tangara pulcherrima",Perching Birds / Passeriformes,Tanagers & Allies / Thraupidae,Iridophanes,South America,Colombia to Peru,https://dibird.com/species/goldencollared-honeycreeper/,-
0,goldencollared-macaw,LC - Least concern,"Yellow-collared Macaw, Golden-naped Macaw, Yellow collared Macaw, Cassin's Macaw, Yellow-naped Macaw","Propyrrhura auricollis, Ara auricollis",Parrots / Psittaciformes,African & New World Parrots / Psittacidae,Primolius,South America,"c Brazil, sw Brazil and Bolivia to n Argentina and n Paraguay",https://dibird.com/species/goldencollared-macaw/,-
0,goldencollared-manakin,LC - Least concern,Golden collared Manakin,Pipra vitellina,Perching Birds / Passeriformes,Manakins / Pipridae,Manacus,"South America, Middle America",Panama and Colombia,https://dibird.com/species/goldencollared-manakin/,-
0,goldencollared-tanager,LC - Least concern,Golden collared Tanager,Iridornis jelskii,Perching Birds / Passeriformes,Tanagers & Allies / Thraupidae,Iridosornis,South America,Peru and Bolivia,https://dibird.com/species/goldencollared-tanager/,-
0,goldencollared-toucanet,LC - Least concern,"Reinwardt's Toucanet, Gold-collared Toucanet, Golden collared Toucanet",Pteroglossus reinwardtii,"Woodpeckers, Toucans and relatives / Piciformes",Toucans / Ramphastidae,Selenidera,South America,w Amazonia,https://dibird.com/species/goldencollared-toucanet/,-
0,goldencollared-woodpecker,LC - Least concern,Golden collared Woodpecker,"Mesopicus cassini, Dryobates cassini","Woodpeckers, Toucans and relatives / Piciformes",Woodpeckers / Picidae,Veniliornis,South America,ne Amazonia,https://dibird.com/species/goldencollared-woodpecker/,-
