,0
0,gray-catbird
1,gray-hawk
2,gray-kingbird
3,gray-thrasher
4,gray-vireo
5,graybarred-wren
6,graycrowned-rosy-finch
7,grayheaded-kite
8,grayish-baywing
9,graylined-hawk
10,graythroated-warbling-finch
11,greater-sagegrouse
12,greenbacked-twinspot
13,greenthighed-parrot
14,güldenstädts-redstart
15,gunnison-sagegrouse
16,hawaii-ōō
17,heard-island-shag---
18,herero-chat1
19,hoatzintemporal-range-mioceneholocene
20,hofmanns-sunbird---
21,hood-mockingbird
22,huiatemporal-range-holocene
23,huon-catbird---
24,hylocitrea1
25,ʻōʻū
26,ibera-seedeater
27,james-flamingo
28,juan-fernández-firecrown
29,juan-fernández-petrel
30,juan-fernández-tittyrant
31,junín-canastero
32,kākā
33,kākāwahie
34,kāmao
35,kauai-ōō
36,kererū
37,krüpers-nuthatch
