,Common Name,Kingdom,Phylum,Class,Link,Description,biogeographic realm,eats,geographic distribution includes,habitat,has host,life span,litters per year,locomotion,population trend,prenatal development duration,preys on,weight,auditory system,ecoregion,hearing range,hearing threshold,mineralized skeleton contains,type specimen repository,visual system,body mass,genome size,behavioral circadian rhythm,is vector for,has ectoparasite,conservation status,bill length,body length,ecomorphological guild,foraging habitat,tarsometatarsus + middle toe length,temperature at range midpoint latitude,trophic guild,clutch/brood/litter size,parasitized by,body shape,diet includes,mating system,native range includes,parental care,social system,growth rate,motility,trophic level,onset of fertility,mutualistic with,visits flowers of,basal metabolic rate,initial mortality rate,sensory system,parasite of,number of public records in bold,symbiont of,host of,tarsus length,middle toe length,body temperature,is eaten by,has endoparasite,egg mass,harvested in,used for
0,Sayaca tanager,Animalia,Chordata,Aves,https://eol.org/pages/1052956,Thraupis sayaca (Sayaca Tanager) is a species of birds in the family tanagers. They are found in The Neotropics. They rely on flight to move around.,The Neotropics,Brachychiton populneus (Schott & Endl.) R. Br. (kurrajong),Rio De Janeiro,,,,,flight,,,,,tympanic middle ear,Cerrado,5000 Hz,10 dB,apatite,,corneal eyes,34.4 g,,,,,,,,,,,,,,,,,,,,,,,,,Rubus (blackberry),,,,,,,,,,,,,,,,
0,Says phoebe,Animalia,Chordata,Aves,https://eol.org/pages/45510888,Sayornis saya (Say's Phoebe) is a species of birds in the family tyrant flycatchers. They are found in The Nearctic and The Neotropics. They are diurnal. They have parental care (pair provides care). They rely on flight to move around.,The Nearctic,Euphoria inda (Linnaeus 1758) (Bumble Flower Beetle),Kansas,savanna,,,2 /year,flight,Increasing,12 days,Nymphalis californica Boisduval 1852 (California Tortoiseshell),21.8 g,,,,,,,,,,,,,,,,,terrestrial,,,invertivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Scaled antbird,Animalia,Chordata,Aves,https://eol.org/pages/45512738,Drymophila squamata (Scaled Antbird) is a species of birds in the family typical antbirds. They are found in The Neotropics. They rely on flight to move around.,The Neotropics,,Brazil,"tropical,terrestrial",,,,bipedal movement,Stable,,,,tympanic middle ear,,,10 dB,apatite,"University Museum of Zoology, Cambridge",corneal eyes,11 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Scaled antpitta,Animalia,Chordata,Aves,https://eol.org/pages/45509855,Grallaria guatimalensis (Scaled Antpitta) is a species of birds in the family antpittas. They are found in The Neotropics. They rely on flight to move around.,The Neotropics,,North Pacific,"subtropical,terrestrial",,,,flight,Decreasing,,,,tympanic middle ear,Eastern Cordillera Real Montane Forests,,10 dB,apatite,,corneal eyes,116 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Scaled chachalaca,Animalia,Chordata,Aves,https://eol.org/pages/45512019,Ortalis squamata (Scaled Chachalaca) is a species of birds in the family Cracidae. They rely on flight to move around.,,,South Atlantic,terrestrial,,,,flight,Decreasing,,,,tympanic middle ear,,5000 Hz,20 dB,apatite,,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Scaled dove,Animalia,Chordata,Aves,https://eol.org/pages/1049736,Columbina squammata (Scaled Dove) is a species of birds in the family Columbidae. They are found in The Neotropics. They rely on flight to move around.,The Neotropics,Zea mays L. (corn),South Atlantic,"tropical,terrestrial",,,,flight,Stable,,,,tympanic middle ear,,,20 dB,apatite,,corneal eyes,52.9 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Scaled flowerpiercer,Animalia,Chordata,Aves,https://eol.org/pages/921759,Diglossa duidae (Scaled Flowerpiercer) is a species of birds in the family tanagers. They are found in The Neotropics. They rely on flight to move around.,The Neotropics,,Venezuela,"tropical,terrestrial",,,,flight,Decreasing,,,,tympanic middle ear,Tepuis,,10 dB,apatite,,corneal eyes,16 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Scaled fruiteater,Animalia,Chordata,Aves,https://eol.org/pages/913335,Ampelioides tschudii (Scaled Fruiteater) is a species of birds in the family cotingas. They are found in The Neotropics. They rely on flight to move around.,The Neotropics,Aechmea tonduzii Mez & Pittier,Bolivia,"tropical,terrestrial",,,,flight,Decreasing,,,,tympanic middle ear,,,,apatite,,corneal eyes,95 g,1.624 pg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Scaled ground cuckoo,Animalia,Chordata,Aves,https://eol.org/pages/913257,Neomorphus squamiger (Scaled Ground Cuckoo) is a species of birds in the family Cuculidae. They are found in The Neotropics. They rely on flight to move around.,The Neotropics,,Brazil,,,,,flight,,,,,tympanic middle ear,Madeira-TapajóS Moist Forests,5000 Hz,20 dB,apatite,(CM) - CM Birds Collection {http://www.carnegiemnh.org/birds/index.html},corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Scaled metaltail,Animalia,Chordata,Aves,https://eol.org/pages/45512442,Metallura aeneocauda (Scaled Metaltail) is a species of birds in the family hummingbirds. They are listed in cites appendix ii. They are found in The Neotropics. They rely on flight to move around.,The Neotropics,,Bolivia,"tropical,terrestrial",,,,bipedal movement,Decreasing,,,,tympanic middle ear,,,20 dB,apatite,,corneal eyes,5.2 g,,,,,cites appendix ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Scaled piculet,Animalia,Chordata,Aves,https://eol.org/pages/1177559,Picumnus squamulatus (Scaled Piculet) is a species of birds in the family woodpeckers. They are found in The Neotropics. They rely on flight to move around.,The Neotropics,,Colombia,"subtropical,terrestrial",,,,bipedal movement,Stable,,,,tympanic middle ear,Cordillera La Costa Montane Forests,,20 dB,apatite,,corneal eyes,11.5 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Scaled quail,Animalia,Chordata,Aves,https://eol.org/pages/45508967,Callipepla squamata (Scaled Quail) is a species of birds in the family New World quails. They are native to United States. They are diurnal. They have parental care (pair provides care). They rely on flight to move around.,The Nearctic,,United States,desert,,,,flight,Decreasing,21 days,,,tympanic middle ear,,,,,,corneal eyes,184 g,,,,,,,,,terrestrial,,,granivore,,,,,,United States,,,,,,,,,,,,,,,,,,,,,,,
0,Scaled spinetail,Animalia,Chordata,Aves,https://eol.org/pages/920350,Cranioleuca muelleri (Scaled Spinetail) is a species of birds in the family ovenbirds. They are listed as endangered by IUCN. They are found in The Neotropics. They rely on flight to move around.,The Neotropics,,Brazil,"tropical,terrestrial",,,,bipedal movement,Decreasing,,,,tympanic middle ear,,,10 dB,apatite,,corneal eyes,15 g,,,,,endangered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Scaled woodcreeper,Animalia,Chordata,Aves,https://eol.org/pages/918443,Lepidocolaptes squamatus (Scaled Woodcreeper) is a species of birds in the family ovenbirds. They are found in The Neotropics. They rely on flight to move around.,The Neotropics,,Brazil,"tropical,terrestrial",,,,bipedal movement,Decreasing,,,,tympanic middle ear,Campos Rupestres Montane Savanna,,10 dB,apatite,,corneal eyes,29.2 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Scalloped antbird,Animalia,Chordata,Aves,https://eol.org/pages/52570798,Myrmoderus ruficauda (Scalloped Antbird) is a species of birds in the family typical antbirds. They are listed as endangered by IUCN. They rely on flight to move around.,,,,terrestrial,,,,flight,Decreasing,,,,tympanic middle ear,,5000 Hz,10 dB,apatite,,corneal eyes,,,,,,endangered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Scalloped woodcreeper,Animalia,Chordata,Aves,https://eol.org/pages/694764,Lepidocolaptes falcinellus (Scalloped Woodcreeper) is a species of birds in the family ovenbirds. They rely on flight to move around.,,,Brazil,"tropical,terrestrial",,,,bipedal movement,Stable,,,,tympanic middle ear,,5000 Hz,10 dB,apatite,,corneal eyes,30 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Scaly babbler,Animalia,Chordata,Aves,https://eol.org/pages/45514635,Turdoides squamulata (Scaly Babbler) is a species of birds in the family Leiothrichidae. They rely on flight to move around.,,,Kenya,"subtropical,freshwater habitat",,,,bipedal movement,Decreasing,,,,tympanic middle ear,,5000 Hz,10 dB,apatite,,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Scaly chatterer,Animalia,Chordata,Aves,https://eol.org/pages/52571185,Argya aylmeri (Scaly Chatterer) is a species of birds in the family Leiothrichidae. They rely on flight to move around.,,,,terrestrial,,,,flight,Stable,,,,tympanic middle ear,,5000 Hz,10 dB,apatite,NHMUK,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Scaly laughingthrush,Animalia,Chordata,Aves,https://eol.org/pages/45517233,Trochalopteron subunicolor (Scaly Laughingthrush) is a species of birds in the family Leiothrichidae. They rely on flight to move around.,,,Bhutan,"subtropical,terrestrial",,,,bipedal movement,Decreasing,,,,tympanic middle ear,,5000 Hz,10 dB,apatite,NHMUK,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Scaly spurfowl,Animalia,Chordata,Aves,https://eol.org/pages/45513781,Pternistis squamatus (Scaly Francolin) is a species of birds in the family Phasianidae. They rely on flight to move around.,,,Tanzania,terrestrial,,,,bipedal movement,Decreasing,,,,otoliths,,1000 Hz,20 dB,apatite,,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Scaly thrush,Animalia,Chordata,Aves,https://eol.org/pages/45518353,"Zoothera dauma (Scaly Thrush) is a species of birds in the family thrushes. They are found in australasia, the indo-malayan realm, and the palearctic. They rely on flight to move around.",australasia,,South Pacific,terrestrial,,,,flight,Decreasing,,,,tympanic middle ear,Irrawaddy Dry Forests,5000 Hz,10 dB,apatite,,corneal eyes,130 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Scarce swift,Animalia,Chordata,Aves,https://eol.org/pages/1048618,Schoutedenapus myoptilus (Scarce Swift) is a species of birds in the family swifts. They are found in Afrotropics. They rely on flight to move around.,Afrotropics,,Burundi,terrestrial,,,,bipedal movement,Stable,,,,otoliths,Angolan Montane Forest-Grassland Mosaic,1000 Hz,20 dB,apatite,,corneal eyes,25 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Scarlet finch,Animalia,Chordata,Aves,https://eol.org/pages/45517686,Carpodacus sipahi (Scarlet Finch) is a species of birds in the family finches. They rely on flight to move around.,,,Bhutan,"temperate,terrestrial",,,,bipedal movement,Stable,,,,tympanic middle ear,,5000 Hz,10 dB,apatite,"University Museum of Zoology, Cambridge",corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Scarlet flycatcher,Animalia,Chordata,Aves,https://eol.org/pages/45510910,"Pyrocephalus rubinus (Scarlet Flycatcher) is a species of birds in the family tyrant flycatchers. They are found in The Nearctic and The Neotropics. They are diurnal carnivores. They have parental care (pair provides care, paternal care, and female provides care). They rely on flight to move around.",The Nearctic,,Mexico,,,5.5 years,1.5 /year,flight,,14 days,,12.87 g,,,,,,,,,,,,,,,,,terrestrial,,,invertivore,,,bilaterally symmetric,arthropods,monogamous,,,,,,,,,,,,,,,,,,,,,,,,
0,Scarlet ibis,Animalia,Chordata,Aves,https://eol.org/pages/45509051,Eudocimus ruber (Red Curlew) is a species of birds in the family Threskiornithidae. They are listed in cites appendix ii. They are associated with freshwater habitat. They are found in The Neotropics. They are diurnal carnivores. They have parental care (female provides care and paternal care). They rely on flight and gliding to move around.,The Neotropics,,United States,,,33.2 years,,flight,Decreasing,23 days,,,,,,,,,,,,,,,,,,,,,,insectivore,,,bilaterally symmetric,mollusks,polygynous,,provisioning,group living,,,,,,,,,,,,,,,,,,,,,
0,Scarlet macaw,Animalia,Chordata,Aves,https://eol.org/pages/1287176,Ara macao cyanopterus (Scarlet Macaw) is a subspecies of birds in the family parrots. They are diurnal. They rely on flight to move around.,,,,,,,,flight,,,,,tympanic middle ear,,5000 Hz,20 dB,apatite,,corneal eyes,,,diurnal,,,endangered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Scarlet minivet,Animalia,Chordata,Aves,https://eol.org/pages/45516797,Pericrocotus speciosus (Scarlet Minivet) is a species of birds in the family cuckoo-shrikes. They rely on flight to move around.,,,Indian Ocean,tropical,,,,flight,,,,,tympanic middle ear,,5000 Hz,10 dB,apatite,,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Scarlet myzomela,Animalia,Chordata,Aves,https://eol.org/pages/45518396,Myzomela sanguinolenta (Scarlet Honeyeater) is a species of birds in the family honeyeaters. They are found in australasia. They rely on flight to move around.,australasia,,Australia,"coastal,terrestrial",,,,bipedal movement,Stable,,,,tympanic middle ear,Brigalow Tropical Savanna,,10 dB,apatite,,corneal eyes,10 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Scarlet robin,Animalia,Chordata,Aves,https://eol.org/pages/45518325,Petroica boodang (Scarlet Robin) is a species of birds in the family australasian robins. They rely on flight to move around.,,,Australia,coastal,,,,bipedal movement,,,,,tympanic middle ear,,5000 Hz,10 dB,apatite,,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Scarlet tanager,Animalia,Chordata,Aves,https://eol.org/pages/59007926,Scarlet tanager is a species of .,,,,,,,,,,13 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Schalows turaco,Animalia,Chordata,Aves,https://eol.org/pages/45513989,Tauraco schalowi (Schalow's Turaco) is a species of birds in the family turacos. They are listed in cites appendix ii. They are found in Afrotropics. They rely on flight to move around.,Afrotropics,,Zambia,terrestrial,,,,bipedal movement,Stable,,,,tympanic middle ear,Itigi-Sumbu Thicket,,20 dB,apatite,,corneal eyes,300 g,,,,,cites appendix ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Scheepmakers crowned pigeon,Animalia,Chordata,Aves,https://eol.org/pages/45516238,Goura scheepmakeri (Scheepmaker's Crowned Pigeon) is a species of birds in the family Columbidae. They are listed as vulnerable by IUCN and in cites appendix ii. They rely on flight to move around.,,,United States,terrestrial,,,,bipedal movement,Decreasing,,,,tympanic middle ear,,5000 Hz,20 dB,apatite,,corneal eyes,2235 g,,,,Kodocephalon bradicephalum Tendeiro 1969,vulnerable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Schlegels asity,Animalia,Chordata,Aves,https://eol.org/pages/918810,Philepitta schlegeli (Schlegel's Asity) is a species of birds in the family broadbills. They are listed as near threatened by IUCN. They are found in Afrotropics. They rely on flight to move around.,Afrotropics,Tricalysia ambrensis Ranariv. & De Block,Madagascar,"subtropical,terrestrial",,,,bipedal movement,Decreasing,,,,tympanic middle ear,,,,apatite,,corneal eyes,30 g,,,,,near threatened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Schlegels francolin,Animalia,Chordata,Aves,https://eol.org/pages/45513770,Peliperdix schlegelii (Schlegel's Francolin) is a species of birds in the family Phasianidae. They rely on flight to move around.,,,,terrestrial,,,,flight,Stable,,,,tympanic middle ear,,5000 Hz,20 dB,apatite,,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Schneiders pitta,Animalia,Chordata,Aves,https://eol.org/pages/920305,Hydrornis schneideri (Schneider's Pitta) is a species of birds in the family pittas. They are listed as vulnerable by IUCN. They rely on flight to move around.,,,Indonesia,"subtropical,terrestrial",,,,bipedal movement,Decreasing,,,,tympanic middle ear,,5000 Hz,10 dB,apatite,,corneal eyes,,,,,,vulnerable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Schwartzs antthrush,Animalia,Chordata,Aves,https://eol.org/pages/1050534,Chamaeza turdina (Schwartz's Antthrush) is a species of birds in the family Formicariidae. They are found in The Neotropics. They rely on flight to move around.,The Neotropics,,Colombia,terrestrial,,,,bipedal movement,Stable,,,,tympanic middle ear,Cordillera La Costa Montane Forests,5000 Hz,10 dB,apatite,Institute of Virology,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Scintillant hummingbird,Animalia,Chordata,Aves,https://eol.org/pages/45509662,Selasphorus scintilla (Scintillant Hummingbird) is a species of birds in the family hummingbirds. They are listed in cites appendix ii. They are found in The Neotropics. They rely on flight to move around.,The Neotropics,,Costa Rica,terrestrial,,,,bipedal movement,Stable,,,,tympanic middle ear,Talamancan Montane Forests,,20 dB,apatite,,corneal eyes,2.2 g,,,,,cites appendix ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sclaters antwren,Animalia,Chordata,Aves,https://eol.org/pages/45512688,Myrmotherula sclateri (Sclater's Antwren) is a species of birds in the family typical antbirds. They are found in The Neotropics. They rely on flight to move around.,The Neotropics,,Bolivia,"tropical,terrestrial",,,,bipedal movement,Decreasing,,,,otoliths,Purus-Madeira Moist Forests,,10 dB,apatite,,corneal eyes,8.4 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sclaters crowned pigeon,Animalia,Chordata,Aves,https://eol.org/pages/51508372,Goura sclaterii (Sclater's Crowned Pigeon) is a species of birds in the family Columbidae. They are listed as near threatened by IUCN. They rely on flight to move around.,,,,terrestrial,,,,flight,Decreasing,,,,tympanic middle ear,,5000 Hz,20 dB,apatite,,corneal eyes,,,,,,near threatened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sclaters lark,Animalia,Chordata,Aves,https://eol.org/pages/45515347,Spizocorys sclateri (Sclater's Lark) is a species of birds in the family larks. They are listed as near threatened by IUCN. They are found in Afrotropics. They rely on flight to move around.,Afrotropics,,Namibia,"subtropical,terrestrial",,,,bipedal movement,Unknown,,,,tympanic middle ear,,,10 dB,apatite,,corneal eyes,21 g,,,,,near threatened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sclaters monal,Animalia,Chordata,Aves,https://eol.org/pages/45516014,Lophophorus sclateri (Crestless Monal) is a species of birds in the family Phasianidae. They are listed as vulnerable by IUCN and in cites appendix i. They are found in the palearctic and the indo-malayan realm. They rely on flight to move around.,the palearctic,,China,"mountain,terrestrial",,,,flight,Decreasing,,,,tympanic middle ear,,,20 dB,apatite,,corneal eyes,2500 g,,,,,vulnerable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sclaters myzomela,Animalia,Chordata,Aves,https://eol.org/pages/45518399,Myzomela sclateri (Scarlet Bibbed Myzomela) is a species of birds in the family honeyeaters. They are found in australasia. They rely on flight to move around.,australasia,,Solomon Islands,"subtropical,terrestrial",,,,bipedal movement,Unknown,,,,tympanic middle ear,New Britain-New Ireland Lowland Rain Forests,,10 dB,apatite,,corneal eyes,10.5 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sclaters nightingalethrush,Animalia,Chordata,Aves,https://eol.org/pages/29371857,Catharus maculatus (Sclater's Nightingale Thrush) is a species of birds in the family thrushes. They rely on flight to move around.,,,,terrestrial,,,,flight,Stable,,,,tympanic middle ear,,5000 Hz,10 dB,apatite,,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sclaters tyrannulet,Animalia,Chordata,Aves,https://eol.org/pages/45512960,Phyllomyias sclateri (Sclater's Tyrannulet) is a species of birds in the family tyrant flycatchers. They are found in The Neotropics. They rely on flight to move around.,The Neotropics,Clusia trochiformis Vesque,Bolivia,"subtropical,terrestrial",,,,flight,Stable,,,,tympanic middle ear,,,10 dB,apatite,,corneal eyes,9.199999999999999 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sclaters whistler,Animalia,Chordata,Aves,https://eol.org/pages/45516820,Pachycephala soror (Sclater's Whistler) is a species of birds in the family whistlers. They are found in australasia. They rely on flight to move around.,australasia,,Indonesia,"tropical,terrestrial",,,,bipedal movement,Stable,,,,tympanic middle ear,Vogelkop Montane Rain Forests,,10 dB,apatite,,corneal eyes,27.2 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sclaters wren,Animalia,Chordata,Aves,https://eol.org/pages/45510076,Campylorhynchus humilis (Sclater's Wren) is a species of birds in the family wrens. They rely on flight to move around.,,,Mexico,tropical,,,,flight,,,,,tympanic middle ear,,5000 Hz,10 dB,apatite,,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Scopolis shearwater,Animalia,Chordata,Aves,https://eol.org/pages/45511300,"Calonectris diomedea (Scopoli's Shearwater) is a species of birds in the family Procellariidae. They are found in Afrotropics, Antarctica, and the palearctic. They are nocturnal. Individuals can grow to 125 cm. They have parental care (pair provides care). They rely on flight to move around.",Afrotropics,,South Africa,coastal,,24.8 years,,flight,Decreasing,,,535 g,,,,,,NHMUK,,,,,,,,,125 cm,nectonic,marine pelagic,,,vertivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Scottish crossbill,Animalia,Chordata,Aves,https://eol.org/pages/45518970,Loxia scotica (Scottish Crossbill) is a species of birds in the family finches. They are associated with freshwater habitat. They rely on flight to move around.,,,United Kingdom,"freshwater,terrestrial",,,,bipedal movement,Stable,,,,tympanic middle ear,,5000 Hz,10 dB,apatite,,corneal eyes,46 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Scotts oriole,Animalia,Chordata,Aves,https://eol.org/pages/45511140,Icterus parisorum (Scott's Oriole) is a species of birds in the family New World blackbirds. They are native to The Nearctic and The Neotropics. They are diurnal. They have parental care (pair provides care). They rely on flight to move around.,The Neotropics,,United States,,,6.4 years,1 /year,flight,Decreasing,14 days,,36.2 g,,,,,,,,,,,,,,,,,terrestrial,,,invertivore,,,bilaterally symmetric,,,The Nearctic,,,,,,,,,,,,,,,,,,,,,,,
0,Screaming cowbird,Animalia,Chordata,Aves,https://eol.org/pages/45513451,Molothrus rufoaxillaris (Screaming Cowbird) is a species of birds in the family New World blackbirds. They are found in The Neotropics. They rely on flight to move around.,The Neotropics,,Bolivia,"marsh,terrestrial",Turdus chiguanco d'Orbigny & Lafresnaye 1837 (Chiguanco Thrush),,,bipedal movement,Stable,,,,tympanic middle ear,,,,apatite,"Harvard UNiversity, Museum of Comparative Zoology",corneal eyes,65 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Screaming piha,Animalia,Chordata,Aves,https://eol.org/pages/916267,Lipaugus vociferans (Screaming Piha) is a species of birds in the family cotingas. They are found in The Neotropics. They rely on flight to move around.,The Neotropics,Euterpe edulis Mart. (Assai palm),South Pacific,"tropical,terrestrial",,,,flight,Decreasing,,,,tympanic middle ear,,,,apatite,,corneal eyes,87 g,1.3 pg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Scrub blackbird,Animalia,Chordata,Aves,https://eol.org/pages/45513453,Dives warczewiczi (Scrub Blackbird) is a species of birds in the family New World blackbirds. They rely on flight to move around.,,,Ecuador,"tropical,terrestrial",,,,bipedal movement,Increasing,,,,tympanic middle ear,,5000 Hz,10 dB,apatite,,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Scrub euphonia,Animalia,Chordata,Aves,https://eol.org/pages/45510365,Euphonia affinis (Scrub Euphonia) is a species of birds in the family finches. They are found in The Neotropics. They visit flowers of Florida thatch palm. They rely on flight to move around.,The Neotropics,"Cecropia peltata L. (Yagrumo Hembra, Trumpet-Tree)",Belize,"coastal,terrestrial",,,,flight,Decreasing,,,,tympanic middle ear,,,,,,corneal eyes,12.8 g,,,,,,,,,,,,,,,,,,,,,,,,,Ficus padifolia Kunth,Thrinax radiata Lodd. ex Schult. & Schult. fil. (Florida thatch palm),,,,,,,,,,,,,,,
0,Scrub greenlet,Animalia,Chordata,Aves,https://eol.org/pages/45509953,Hylophilus flavipes (Scrub Greenlet) is a species of birds in the family vireos. They are found in The Neotropics. They rely on flight to move around.,The Neotropics,Miconia andersonii Fawc. & Rendle,North Pacific,savanna,,,,flight,,,,,tympanic middle ear,Guajira-Barranquilla Xeric Scrub,5000 Hz,10 dB,apatite,,corneal eyes,14 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Scrub honeyeater,Animalia,Chordata,Aves,https://eol.org/pages/45518562,Meliphaga albonotata (Scrub Honeyeater) is a species of birds in the family honeyeaters. They are found in australasia. They rely on flight to move around.,australasia,,South Pacific,tropical,,,,flight,,,,,tympanic middle ear,Huon Peninsula Montane Rain Forests,5000 Hz,10 dB,apatite,,corneal eyes,22.4 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Scrub tanager,Animalia,Chordata,Aves,https://eol.org/pages/1052938,Tangara vitriolina (Scrub Tanager) is a species of birds in the family tanagers. They are found in The Neotropics. They rely on flight to move around.,The Neotropics,Rubus guyanensis Focke,United States,"subtropical,terrestrial",,,,flight,Stable,,,,tympanic middle ear,,,10 dB,apatite,,corneal eyes,26.8 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Scrubtit,Animalia,Chordata,Aves,https://eol.org/pages/45518096,Acanthornis magna (Scrubtit) is a species of birds in the family Acanthizidae. They rely on flight to move around.,,,,"temperate,terrestrial",,,,bipedal movement,Decreasing,,,,tympanic middle ear,,5000 Hz,10 dB,apatite,,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Seaside sparrow,Animalia,Chordata,Aves,https://eol.org/pages/1246291,Ammodramus maritimus mirabilis (Cape Sable Seaside Sparrow) is a subspecies of birds in the family Passerellidae. They rely on flight to move around.,,,,prairie,,,,flight,,,,,tympanic middle ear,,5000 Hz,10 dB,apatite,,corneal eyes,,,,,,endangered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Secretarybird,Animalia,Chordata,Aves,https://eol.org/pages/1049539,"Sagittarius serpentarius (Secretarybird) is a species of birds in the family secretary bird. They are listed as endangered by IUCN and in cites appendix ii. They are native to Ethiopia. They are solitary, diurnal carnivores. They have parental care (female provides care and paternal care). They rely on flight to move around.",Afrotropics,,United States,savanna,,,,flight,Decreasing,,,,,,,,,,,,,,,,,,,,,,,vertivore,,,bilaterally symmetric,arthropods,monogamous,Ethiopia,parental care,solitary,,,,,,,,,,,,,,,,,,,,,
0,Sedge warbler,Animalia,Chordata,Aves,https://eol.org/pages/45511481,Acrocephalus schoenobaenus (Sedge Warbler) is a species of birds in the family Acrocephalidae. They are found in Afrotropics and the palearctic. They are diurnal. They have parental care (pair provides care). They rely on flight to move around.,Afrotropics,,Mozambique,valley,,11.8 years,,flight,Stable,,,11.8 g,tympanic middle ear,,,,,,corneal eyes,,,,,,,,,,terrestrial,,,invertivore,,,,,,,,,,,,,,,0.218 watts,,,,,,,,,,,,,,
0,Sedge wren,Animalia,Chordata,Aves,https://eol.org/pages/20620914,Cistothorus stellaris (Sedge Wren) is a species of birds in the family wrens. They rely on flight to move around.,,,,prairie,,,,bipedal movement,,,,,otoliths,,1000 Hz,10 dB,apatite,,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
