,Common Name,Kingdom,Phylum,Class,Link,Description,biogeographic realm,eats,geographic distribution includes,habitat,has host,life span,litters per year,locomotion,population trend,prenatal development duration,preys on,weight,auditory system,ecoregion,hearing range,hearing threshold,mineralized skeleton contains,type specimen repository,visual system,body mass,genome size,behavioral circadian rhythm,is vector for,has ectoparasite,conservation status,bill length,body length,ecomorphological guild,foraging habitat,tarsometatarsus + middle toe length,temperature at range midpoint latitude,trophic guild,clutch/brood/litter size,parasitized by,body shape,diet includes,mating system,native range includes,parental care,social system,growth rate,motility,trophic level,onset of fertility,mutualistic with,visits flowers of,basal metabolic rate,initial mortality rate,sensory system,parasite of,number of public records in bold,symbiont of,host of,tarsus length,middle toe length,body temperature,is eaten by,has endoparasite,egg mass,harvested in,used for
0,Sabota lark,Animalia,Chordata,Aves,https://eol.org/pages/45515315,Calendulauda sabota (Sabota Lark) is a species of birds in the family larks. They rely on flight to move around.,,,Swaziland,"subtropical,terrestrial",,,,bipedal movement,Increasing,,,,tympanic middle ear,,5000 Hz,10 dB,apatite,,corneal eyes,,1.213 pg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sacred kingfisher,Animalia,Chordata,Aves,https://eol.org/pages/45516482,Todiramphus sanctus (Sacred) is a species of birds in the family Alcedinidae. They rely on flight to move around.,,Mictyris longicarpus Latreille 1806 (Light-blue Soldier Crab),South Pacific,"lake,marine",,,,flight,Increasing,,Nunkeria,,tympanic middle ear,,,20 dB,apatite,NHMUK,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sad flycatcher,Animalia,Chordata,Aves,https://eol.org/pages/921977,Myiarchus barbirostris (Sad Flycatcher) is a species of birds in the family tyrant flycatchers. They are found in The Neotropics. They rely on flight to move around.,The Neotropics,,Jamaica,"subtropical,terrestrial",,,,bipedal movement,Decreasing,,,,tympanic middle ear,,,10 dB,apatite,"University Museum of Zoology, Cambridge",corneal eyes,16.2 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Saddlebilled stork,Animalia,Chordata,Aves,https://eol.org/pages/1049151,Ephippiorhynchus senegalensis (Saddle Billed Stork) is a species of birds in the family Ciconiidae. They are associated with freshwater habitat. They are found in Afrotropics. They are diurnal. They have parental care (pair provides care). They rely on flight to move around.,Afrotropics,,United States,tropical,,30.2 years,,flight,Decreasing,,,6162.5 g,tympanic middle ear,,,,,,corneal eyes,6152 g,,,,,,,,,freshwater,,,vertivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Saffron finch,Animalia,Chordata,Aves,https://eol.org/pages/45510465,Sicalis flaveola (Saffron Finch) is a species of birds in the family tanagers. They are found in The Neotropics. They rely on flight to move around.,The Neotropics,CORRUPTED VALUE for trait R20-PK36834835,United States,"terrestrial,terrestrial",,,,flight,Stable,,,,tympanic middle ear,,,,apatite,"Harvard UNiversity, Museum of Comparative Zoology",corneal eyes,23.4 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Saffron siskin,Animalia,Chordata,Aves,https://eol.org/pages/45513404,Spinus siemiradzkii (Saffron Siskin) is a species of birds in the family finches. They are listed as vulnerable by IUCN. They rely on flight to move around.,,,Ecuador,"subtropical,terrestrial",,,,bipedal movement,Decreasing,,,,tympanic middle ear,,5000 Hz,10 dB,apatite,,corneal eyes,,,,,,vulnerable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Saffron toucanet,Animalia,Chordata,Aves,https://eol.org/pages/45512559,Pteroglossus bailloni (Saffron Toucanet) is a species of birds in the family Ramphastidae. They are listed as near threatened by IUCN. They rely on flight to move around.,,Euterpe edulis Mart. (Assai palm),Brazil,"subtropical,terrestrial",,,,bipedal movement,Decreasing,,,,tympanic middle ear,,5000 Hz,20 dB,apatite,,corneal eyes,,,,,,near threatened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sage thrasher,Animalia,Chordata,Aves,https://eol.org/pages/45510154,Oreoscoptes montanus (Sage Thrasher) is a species of birds in the family Mimidae. They are listed as endangered by COSEWIC. They are found in The Nearctic and The Neotropics. They are diurnal. They have parental care (pair provides care). They rely on flight to move around.,The Nearctic,Pogonomyrmex (Harvester Ants),United States,,,,,flight,Decreasing,,,,tympanic middle ear,,,,,,corneal eyes,44 g,,diurnal,,,,,,,terrestrial,,,invertivore,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sagebrush sparrow,Animalia,Chordata,Aves,https://eol.org/pages/45511223,Artemisiospiza nevadensis (Sagebrush Sparrow) is a species of birds in the family Passerellidae. They rely on flight to move around.,,Amaranthaceae (pigweed),United States,mountain,,,,flight,,,,,tympanic middle ear,,5000 Hz,10 dB,apatite,,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sahel bush sparrow,Animalia,Chordata,Aves,https://eol.org/pages/45515608,Gymnoris dentata (Bush Petronia) is a species of birds in the family Old World sparrows. They rely on flight to move around.,,,Côte D’Ivoire,"tropical,terrestrial",,,,flight,Stable,,,,tympanic middle ear,,5000 Hz,10 dB,apatite,,corneal eyes,,,,,,,,,,,,,,,Haemoproteus,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sahel paradise whydah,Animalia,Chordata,Aves,https://eol.org/pages/45515055,Vidua orientalis (Sahel Paradise Whydah) is a species of birds in the family Viduidae. They are found in Afrotropics. They rely on flight to move around.,Afrotropics,,United States,,,,,flight,,,,,tympanic middle ear,Sahelian Acacia Savanna,5000 Hz,10 dB,apatite,,corneal eyes,17 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Saint Helena plover,Animalia,Chordata,Aves,https://eol.org/pages/1049113,Charadrius sanctaehelenae (Saint Helena Plover) is a species of birds in the family Charadriidae. They are listed as vulnerable by IUCN. They are found in Afrotropics. They rely on flight to move around.,Afrotropics,,United States,"grassland,terrestrial",,,,bipedal movement,Increasing,,,,tympanic middle ear,,,20 dB,apatite,"University Museum of Zoology, Cambridge",corneal eyes,,,,,,vulnerable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Saint Lucia amazon,Animalia,Chordata,Aves,https://eol.org/pages/1178064,Amazona versicolor (Saint Lucia Amazon) is a species of birds in the family parrots. They are listed as vulnerable by IUCN and in cites appendix i. They are found in The Neotropics. They are diurnal. They rely on flight to move around.,The Neotropics,,Saint Lucia,"subtropical,terrestrial",,,,bipedal movement,Increasing,,,676 g,tympanic middle ear,,,,,,corneal eyes,1000 g,,diurnal,,,vulnerable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Saint Vincent amazon,Animalia,Chordata,Aves,https://eol.org/pages/1178077,Amazona guildingii (Saint Vincent Amazon) is a species of birds in the family parrots. They are listed as vulnerable by IUCN and in cites appendix i. They are found in The Neotropics. They are diurnal. They rely on flight to move around.,The Neotropics,,Saint Vincent And The Grenadines,mountain,,28 years,,bipedal movement,Increasing,,,646 g,tympanic middle ear,,,,,NHMUK,corneal eyes,880 g,,diurnal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Saipan reed warbler,Animalia,Chordata,Aves,https://eol.org/pages/45518745,Acrocephalus hiwae (Saipan Reed Warbler) is a species of birds in the family Acrocephalidae. They rely on flight to move around.,,,North Pacific,,,,,flight,,,,,tympanic middle ear,,5000 Hz,10 dB,apatite,,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sakalava rail,Animalia,Chordata,Aves,https://eol.org/pages/45513923,Amaurornis olivieri (Sakalava Rail) is a species of birds in the family rails. They are associated with freshwater habitat. They are found in Afrotropics. They rely on flight to move around.,Afrotropics,,Madagascar,freshwater,,,,bipedal movement,,,,,tympanic middle ear,Madagascar Mangroves,5000 Hz,20 dB,apatite,,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sakalava weaver,Animalia,Chordata,Aves,https://eol.org/pages/45514988,Ploceus sakalava (Sakalava Weaver) is a species of birds in the family Weavers & allies. They are found in Afrotropics. They rely on flight to move around.,Afrotropics,,Madagascar,"subtropical,terrestrial",,,,bipedal movement,Stable,,,,tympanic middle ear,,,10 dB,apatite,NHMUK,corneal eyes,27.5 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Saker falcon,Animalia,Chordata,Aves,https://eol.org/pages/45514168,"Falco cherrug (Saker Falcon) is a species of birds in the family falcons. They are listed as endangered by IUCN and in cites appendix ii. They are native to the Palearctic and Asia. They are solitary, diurnal carnivores. They have parental care (pair provides care, female provides care, and paternal care). They rely on flight to move around.",the indo-malayan realm,,Tanzania,,,,,flight,Decreasing,,,,,,,,,,,,,,,,,,,,terrestrial,,,vertivore,,,bilaterally symmetric,amphibians,monogamous,the Palearctic,provisioning,solitary,,,,,,,,,,,,,,,,,,,,,
0,Sakhalin grasshopper warbler,Animalia,Chordata,Aves,https://eol.org/pages/52570997,Helopsaltes amnicola (Sakhalin Grasshopper Warbler) is a species of birds in the family Locustellidae. They rely on flight to move around.,,,,,,,,flight,,,,,tympanic middle ear,,5000 Hz,10 dB,apatite,,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sakhalin leaf warbler,Animalia,Chordata,Aves,https://eol.org/pages/45517031,Phylloscopus borealoides (Sakhalin Leaf Warbler) is a species of birds in the family Phylloscopidae. They are found in the palearctic and the indo-malayan realm. They rely on flight to move around.,the palearctic,,North Pacific,"temperate,terrestrial",,,,flight,Stable,,,,tympanic middle ear,Southern Vietnam Lowland Dry Forests,,10 dB,apatite,,corneal eyes,9.800000000000001 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Salim Alis swift,Animalia,Chordata,Aves,https://eol.org/pages/45516412,Apus salimalii (Salim Ali's Swift) is a species of birds in the family swifts. They rely on flight to move around.,,,Tibet,,,,,flight,,,,,tympanic middle ear,,5000 Hz,20 dB,apatite,,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Salinas monjita,Animalia,Chordata,Aves,https://eol.org/pages/45513219,Xolmis salinarum (Salinas Monjita) is a species of birds in the family tyrant flycatchers. They are listed as near threatened by IUCN. They are found in The Neotropics. They rely on flight to move around.,The Neotropics,,Argentina,terrestrial,,,,flight,Stable,,,,tympanic middle ear,Dry Chaco,5000 Hz,10 dB,apatite,,corneal eyes,,,,,,near threatened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Saltmarsh sparrow,Animalia,Chordata,Aves,https://eol.org/pages/45511202,Ammodramus caudacutus (Saltmarsh Sparrow) is a species of birds in the family Passerellidae. They are associated with freshwater habitat. They are found in The Neotropics and The Nearctic. They are diurnal. They rely on flight to move around.,The Neotropics,,United States,coastal,,10 years,,flight,,11 days,,16.5 g,tympanic middle ear,,,,,"Harvard UNiversity, Museum of Comparative Zoology",corneal eyes,19 g,,,,,,,,,,,,,,,,,,,,,0.56 /day,,,,,,,,,,,,,,,,,,,,
0,Salvadoris antwren,Animalia,Chordata,Aves,https://eol.org/pages/45512691,Myrmotherula minor (Salvadori's Antwren) is a species of birds in the family typical antbirds. They are listed as vulnerable by IUCN. They are found in The Neotropics. They rely on flight to move around.,The Neotropics,,Brazil,"tropical,freshwater habitat",,,,bipedal movement,Decreasing,,,,otoliths,,,10 dB,apatite,,corneal eyes,6.4 g,,,,,vulnerable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Salvadoris eremomela,Animalia,Chordata,Aves,https://eol.org/pages/45514607,Eremomela salvadorii (Salvadori's Eremomela) is a species of birds in the family African warblers. They are found in Afrotropics. They rely on flight to move around.,Afrotropics,,Gabon,savanna,,,,flight,,,,,tympanic middle ear,Western Congolian Swamp Forests,5000 Hz,10 dB,apatite,,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Salvadoris fig parrot,Animalia,Chordata,Aves,https://eol.org/pages/45518035,Psittaculirostris salvadorii (Salvadori's Fig Parrot) is a species of birds in the family Psittaculidae. They are listed in cites appendix ii. They are found in australasia. They rely on flight to move around.,australasia,,Indonesia,terrestrial,,12 years,,bipedal movement,Decreasing,,,118 g,tympanic middle ear,,,,apatite,,corneal eyes,118 g,,,,,cites appendix ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Salvadoris nightjar,Animalia,Chordata,Aves,https://eol.org/pages/1178167,Caprimulgus pulchellus (Salvadori's Nightjar) is a species of birds in the family Caprimulgidae. They are listed as near threatened by IUCN. They are found in the indo-malayan realm. They rely on flight to move around.,the indo-malayan realm,,Indian Ocean,"tropical,terrestrial",,,,flight,Decreasing,,,,tympanic middle ear,Eastern Java-Bali Montane Rain Forests,,20 dB,apatite,,corneal eyes,,,,,,near threatened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Salvadoris pheasant,Animalia,Chordata,Aves,https://eol.org/pages/45516022,Lophura inornata (Salvadori's Pheasant) is a species of birds in the family Phasianidae. They are listed as near threatened by IUCN. They are found in the indo-malayan realm. They rely on flight to move around.,the indo-malayan realm,,United States,"mountain,terrestrial",,,,bipedal movement,Decreasing,,,,tympanic middle ear,Sumatran Lowland Rain Forests,,20 dB,apatite,,corneal eyes,,,,,,near threatened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Salvadoris seedeater,Animalia,Chordata,Aves,https://eol.org/pages/45515724,Crithagra xantholaema (Salvadori's Seedeater) is a species of birds in the family finches. They are listed as vulnerable by IUCN. They rely on flight to move around.,,,,"subtropical,terrestrial",,,,bipedal movement,Decreasing,,,,tympanic middle ear,,5000 Hz,10 dB,apatite,,corneal eyes,,,,,,vulnerable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Salvadoris teal,Animalia,Chordata,Aves,https://eol.org/pages/45515910,Salvadorina waigiuensis (Salvadori's Teal) is a species of birds in the family Anatidae. They are listed as vulnerable by IUCN. They are associated with freshwater habitat. They are found in australasia. They rely on drag powered swimming and flight to move around.,australasia,,United Kingdom,"river,freshwater habitat",,,,bipedal movement,Decreasing,,,,tympanic middle ear,,,20 dB,apatite,,corneal eyes,324 g,,,,,vulnerable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Salvins albatross,Animalia,Chordata,Aves,https://eol.org/pages/45511276,Thalassarche salvini (Salvin's Albatross) is a species of birds in the family albatrosses. They are listed as vulnerable by IUCN. They rely on flight to move around.,,Gadus chalcogrammus Pallas 1814 (Alaska pollock),United States,"marine,terrestrial",,,,flight,Unknown,,,,tympanic middle ear,,,20 dB,apatite,,corneal eyes,,,,,,vulnerable,,,nectonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Salvins curassow,Animalia,Chordata,Aves,https://eol.org/pages/45512050,Mitu salvini (Salvin's Currasow) is a species of birds in the family Cracidae. They are found in The Neotropics. They rely on flight to move around.,The Neotropics,,Colombia,"subtropical,terrestrial",,,,flight,Decreasing,,,,tympanic middle ear,Napo Moist Forests,,20 dB,apatite,,corneal eyes,3100 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Salvins prion,Animalia,Chordata,Aves,https://eol.org/pages/45512111,Pachyptila salvini (Salvin's Prion) is a species of birds in the family Procellariidae. They are found in Antarctica and Afrotropics. They rely on flight to move around.,Antarctica,Loligo (Loligo squid),New Zealand,marine,,,,flight,,,,,tympanic middle ear,Scotia Sea Islands Tundra,,20 dB,apatite,,corneal eyes,210 g,,,,,,,,nectonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Samar hornbill,Animalia,Chordata,Aves,https://eol.org/pages/1267593,Penelopides samarensis (Samar Hornbill) is a species of birds in the family hornbills. They are found in the indo-malayan realm. They rely on flight to move around.,the indo-malayan realm,,The Philippines,,,,,flight,,,,,tympanic middle ear,Mindanao-Eastern Visayas Rain Forests,5000 Hz,20 dB,apatite,NHMUK,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Samoan fantail,Animalia,Chordata,Aves,https://eol.org/pages/45518736,"Rhipidura nebulosa (Samoan Fantail) is a species of birds in the family Rhipiduridae. They are found in Oceania continent (Australia, NZ and islands). They rely on flight to move around.","Oceania continent (Australia, NZ and islands)",,Samoa,"tropical,terrestrial",,,,bipedal movement,Stable,,,,tympanic middle ear,Samoan Tropical Moist Forests,5000 Hz,10 dB,apatite,,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Samoan flycatcher,Animalia,Chordata,Aves,https://eol.org/pages/45518264,"Myiagra albiventris (Samoan Flycatcher) is a species of birds in the family monarch flycatchers. They are listed as near threatened by IUCN. They are found in Oceania continent (Australia, NZ and islands). They rely on flight to move around.","Oceania continent (Australia, NZ and islands)",,Samoa,"subtropical,terrestrial",,,,bipedal movement,Unknown,,,,tympanic middle ear,,,10 dB,apatite,"Harvard UNiversity, Museum of Comparative Zoology",corneal eyes,,,,,,near threatened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Samoan starling,Animalia,Chordata,Aves,https://eol.org/pages/1051037,"Aplonis atrifusca (Samoan Starling) is a species of birds in the family starlings. They are found in Oceania continent (Australia, NZ and islands). They rely on flight to move around.","Oceania continent (Australia, NZ and islands)",,Samoa,"tropical,terrestrial",,,,bipedal movement,Unknown,,,,otoliths,,,10 dB,apatite,"Harvard UNiversity, Museum of Comparative Zoology",corneal eyes,158 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Samoan triller,Animalia,Chordata,Aves,https://eol.org/pages/45518202,"Lalage sharpei (Samoan Triller) is a species of birds in the family cuckoo-shrikes. They are listed as near threatened by IUCN. They are found in Oceania continent (Australia, NZ and islands). They rely on flight to move around.","Oceania continent (Australia, NZ and islands)",,South Pacific,"tropical,terrestrial",,,,flight,Decreasing,,,,tympanic middle ear,Samoan Tropical Moist Forests,,10 dB,apatite,,corneal eyes,,,,,,near threatened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Samoan whistler,Animalia,Chordata,Aves,https://eol.org/pages/915917,"Pachycephala flavifrons (Samoan Whistler) is a species of birds in the family whistlers. They are found in Oceania continent (Australia, NZ and islands). They rely on flight to move around.","Oceania continent (Australia, NZ and islands)",,Samoa,terrestrial,,,,bipedal movement,Stable,,,,tympanic middle ear,Samoan Tropical Moist Forests,5000 Hz,10 dB,apatite,,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Samoan whiteeye,Animalia,Chordata,Aves,https://eol.org/pages/1177414,"Zosterops samoensis (Samoan White Eye) is a species of birds in the family white-eyes. They are listed as vulnerable by IUCN. They are found in Oceania continent (Australia, NZ and islands). They rely on flight to move around.","Oceania continent (Australia, NZ and islands)",,South Pacific,"subtropical,terrestrial",,,,flight,Stable,,,,tympanic middle ear,Samoan Tropical Moist Forests,,10 dB,apatite,,corneal eyes,,,,,,vulnerable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Samoan woodhen,Animalia,Chordata,Aves,https://eol.org/pages/915449,Gallinula pacifica (Samoan Wood Rail) is a species of birds in the family rails. They rely on flight to move around.,,,,,,,,flight,,,,,tympanic middle ear,,5000 Hz,20 dB,apatite,,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,San Andres vireo,Animalia,Chordata,Aves,https://eol.org/pages/45509927,Vireo caribaeus (San Andres Vireo) is a species of birds in the family vireos. They are listed as vulnerable by IUCN. They are found in The Neotropics. They rely on flight to move around.,The Neotropics,,,"coastal,terrestrial",,,,bipedal movement,Stable,,,,tympanic middle ear,Bahamian Mangroves,,10 dB,apatite,,corneal eyes,10 g,,,,,vulnerable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,San Blas jay,Animalia,Chordata,Aves,https://eol.org/pages/45509967,Cyanocorax sanblasianus (San Blas Jay) is a species of birds in the family Corvidae. They are found in The Neotropics. They rely on flight to move around.,The Neotropics,,United States,"subtropical,terrestrial",,,,bipedal movement,Decreasing,,,,tympanic middle ear,Jalisco Dry Forests,,10 dB,apatite,,corneal eyes,114 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,San Cristóbal flycatcher,Animalia,Chordata,Aves,https://eol.org/pages/47042916,Pyrocephalus dubius (San Cristobal Flycatcher) is a species of birds in the family tyrant flycatchers. They rely on flight to move around.,,,,,,,,flight,,,,,tympanic middle ear,,5000 Hz,10 dB,apatite,NHMUK,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
