,Common Name,Kingdom,Phylum,Class,Link,Description,auditory system,biogeographic realm,body mass,ecoregion,geographic distribution includes,habitat,hearing threshold,locomotion,mineralized skeleton contains,population trend,visual system,conservation status,type specimen repository,body shape,diet includes,eats,mating system,native range includes,parental care,social system,foraging habitat,preys on,trophic guild,hearing range,bill length,tarsus length,temperature at range midpoint latitude,ecomorphological guild,body length,life span,litters per year,prenatal development duration,weight,body temperature,parasitized by,behavioral circadian rhythm,sensory system,number of public records in bold,has ectoparasite,host of,has pathogen,onset of fertility,genome size,mutualistic with,growth rate,tarsometatarsus + middle toe length,basal metabolic rate,used for,has endoparasite,visits flowers of,is vector for,clutch/brood/litter size,is eaten by,developmental mode,wing morphology,egg mass,has host
0,Spotted wood kingfisher,Animalia,Chordata,Aves,https://eol.org/pages/45516436,Actenoides lindsayi (Spotted Wood Kingfisher) is a species of birds in the family Alcedinidae. They are found in the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,117 g,Luzon Tropical Pine Forests,The Philippines,"forest,terrestrial",20 dB,bipedal movement,apatite,Decreasing,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Spotted wood owl,Animalia,Chordata,Aves,https://eol.org/pages/1178285,Strix seloputo (Spotted Wood Owl) is a species of birds in the family typical owls. They are listed in cites appendix ii. They are found in the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,1011 g,,Myanmar,terrestrial,-15 dB,flight,apatite,Stable,corneal eyes,cites appendix ii,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Spotted wood quail,Animalia,Chordata,Aves,https://eol.org/pages/45508984,Odontophorus guttatus (Spotted Wood Quail) is a species of birds in the family New World quails. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,294 g,,Belize,"mountain,terrestrial",20 dB,flight,apatite,Decreasing,corneal eyes,,(UMMZ) - UMMZ Birds Collection {http://www.lsa.umich.edu/ummz/birds/},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Spragues pipit,Animalia,Chordata,Aves,https://eol.org/pages/45511054,"Anthus spragueii (Sprague's Pipit) is a species of birds in the family Motacillidae. They are listed as vulnerable by IUCN and as threatened by COSEWIC. They are native to The Nearctic. They are solitary, diurnal omnivores. They have parental care (female provides care and paternal care). They rely on flight to move around.",,The Nearctic,,,United States,mountain,,flight,,Decreasing,,,,bilaterally symmetric,seeds,Rhinoncus,monogamous,The Nearctic,provisioning,solitary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Squacco heron,Animalia,Chordata,Aves,https://eol.org/pages/45513564,Ardeola ralloides (Squacco Heron) is a species of birds in the family Ardeidae. They are associated with freshwater habitat. They are found in the palearctic and Afrotropics. They are crepuscular. They have parental care (pair provides care). They rely on flight to move around.,tympanic middle ear,the palearctic,287 g,,Mozambique,marine,,flight,,Unknown,corneal eyes,,,,,Gryllotalpa,,,,,freshwater,Cichlidae (cichlids and tilapias),invertivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Squamate antbird,Animalia,Chordata,Aves,https://eol.org/pages/52570803,Myrmoderus squamosus (Squamate Antbird) is a species of birds in the family typical antbirds. They rely on flight to move around.,tympanic middle ear,,,,,terrestrial,10 dB,flight,apatite,Decreasing,corneal eyes,,,,,,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Squatter pigeon,Animalia,Chordata,Aves,https://eol.org/pages/1049949,Geophaps scripta (Squatter Pigeon) is a species of birds in the family Columbidae. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,250 g,Brigalow Tropical Savanna,United States,"arid,terrestrial",20 dB,bipedal movement,apatite,Decreasing,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Squirrel cuckoo,Animalia,Chordata,Aves,https://eol.org/pages/45511570,Piaya cayana (Common Squirrel Cuckoo) is a species of birds in the family Cuculidae. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,129 g,,South Atlantic,terrestrial,20 dB,flight,apatite,Decreasing,corneal eyes,,,,,Miconia theizans (Bonpl.) Cogn.,,,,,,CORRUPTED VALUE for trait R20-PK36873307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sri Lanka bay owl,Animalia,Chordata,Aves,https://eol.org/pages/45516345,Phodilus assimilis (Sri Lanka Bay Owl) is a species of birds in the family Tytonidae. They rely on flight to move around.,tympanic middle ear,,,,India,"grassland,terrestrial",-15 dB,bipedal movement,apatite,Stable,corneal eyes,,NHMUK,,,,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sri Lanka blue magpie,Animalia,Chordata,Aves,https://eol.org/pages/916574,Urocissa ornata (Ceylon Blue Magpie) is a species of birds in the family Corvidae. They are listed as vulnerable by IUCN. They are found in the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,196 g,,Sri Lanka,"tropical,terrestrial",10 dB,bipedal movement,apatite,Decreasing,corneal eyes,vulnerable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sri Lanka bush warbler,Animalia,Chordata,Aves,https://eol.org/pages/45517088,Elaphrornis palliseri (Ceylon Bush Warbler) is a species of birds in the family Locustellidae. They are listed as near threatened by IUCN. They rely on flight to move around.,otoliths,,,,Sri Lanka,terrestrial,10 dB,bipedal movement,apatite,Decreasing,corneal eyes,near threatened,,,,,,,,,,,,1000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sri Lanka drongo,Animalia,Chordata,Aves,https://eol.org/pages/45516870,Dicrurus lophorinus (Sri Lanka Drongo) is a species of birds in the family drongos. They rely on flight to move around.,tympanic middle ear,,,,Sri Lanka,subtropical,10 dB,bipedal movement,apatite,,corneal eyes,,,,,,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sri Lanka frogmouth,Animalia,Chordata,Aves,https://eol.org/pages/45516355,Batrachostomus moniliger (Ceylon Frogmouth) is a species of birds in the family frogmouths. They are found in the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,46.5 g,North Western Ghats Moist Deciduous Forests,India,"tropical,terrestrial",20 dB,bipedal movement,apatite,Stable,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sri Lanka green pigeon,Animalia,Chordata,Aves,https://eol.org/pages/45516249,Treron pompadora (Pompadour Green Pigeon) is a species of birds in the family Columbidae. They are found in australasia and the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,australasia,257 g,Greater Negros-Panay Rain Forests,Indian Ocean,terrestrial,20 dB,flight,apatite,Decreasing,corneal eyes,,,,,Acronychia pedunculata (L.) Miq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sri Lanka grey hornbill,Animalia,Chordata,Aves,https://eol.org/pages/1048407,Ocyceros gingalensis (Sri Lankan Grey Hornbill) is a species of birds in the family hornbills. They are found in the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,238 g,,Sri Lanka,"tropical,terrestrial",20 dB,flight,apatite,Stable,corneal eyes,,,,,Dysoxylum gotadhora (Buch.-Ham.) Mabb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sri Lanka hanging parrot,Animalia,Chordata,Aves,https://eol.org/pages/1177933,Loriculus beryllinus (Ceylon Hanging Parrot) is a species of birds in the family Psittaculidae. They are listed in cites appendix ii. They are found in the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,30 g,Sri Lanka Montane Rain Forests,Sri Lanka,terrestrial,20 dB,bipedal movement,apatite,Stable,corneal eyes,cites appendix ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sri Lanka hill myna,Animalia,Chordata,Aves,https://eol.org/pages/45517389,Gracula ptilogenys (Ceylon Myna) is a species of birds in the family starlings. They are listed as near threatened by IUCN. They are found in the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,,Sri Lanka Montane Rain Forests,Sri Lanka,terrestrial,10 dB,flight,apatite,Decreasing,corneal eyes,near threatened,,,,Diospyros toposia Buch.-Ham.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sri Lanka scimitar babbler,Animalia,Chordata,Aves,https://eol.org/pages/45517109,Pomatorhinus melanurus (Sri Lanka Scimitar Babbler) is a species of birds in the family babblers. They rely on flight to move around.,otoliths,,,,Sri Lanka,terrestrial,10 dB,bipedal movement,apatite,Increasing,corneal eyes,,,,,,,,,,,,,1000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sri Lanka spurfowl,Animalia,Chordata,Aves,https://eol.org/pages/45516001,Galloperdix bicalcarata (Ceylon Spurfowl) is a species of birds in the family Phasianidae. They are found in the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,368 g,,Sri Lanka,"forest,terrestrial",20 dB,flight,apatite,Decreasing,corneal eyes,,,,,Buchanania zeylanica Bl. (Sri Lankan mango),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sri Lanka swallow,Animalia,Chordata,Aves,https://eol.org/pages/45517012,Cecropis hyperythra (Sri Lanka Swallow) is a species of birds in the family swallows. They rely on flight to move around.,tympanic middle ear,,,,Indian Ocean,,10 dB,flight,apatite,,corneal eyes,,,,,,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sri Lanka thrush,Animalia,Chordata,Aves,https://eol.org/pages/7262881,Zoothera imbricata (Sri Lanka Scaly Thrush) is a species of birds in the family thrushes. They rely on flight to move around.,tympanic middle ear,,,,,,10 dB,flight,apatite,,corneal eyes,,,,,,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sri Lanka whistling thrush,Animalia,Chordata,Aves,https://eol.org/pages/45517528,Myophonus blighi (Ceylon Whistling Thrush) is a species of birds in the family Old World flycatchers. They are listed as endangered by IUCN. They are found in the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,,Sri Lanka Montane Rain Forests,Sri Lanka,freshwater habitat,10 dB,bipedal movement,apatite,Decreasing,corneal eyes,endangered,,,,,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sri Lanka whiteeye,Animalia,Chordata,Aves,https://eol.org/pages/45517330,Zosterops ceylonensis (Ceylon White Eye) is a species of birds in the family white-eyes. They are found in the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,12.6 g,Sri Lanka Montane Rain Forests,Sri Lanka,terrestrial,10 dB,bipedal movement,apatite,Decreasing,corneal eyes,,,,,,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sri Lanka wood pigeon,Animalia,Chordata,Aves,https://eol.org/pages/45516186,Columba torringtoniae (Ceylon Wood Pigeon) is a species of birds in the family Columbidae. They are listed as vulnerable by IUCN. They rely on flight to move around.,tympanic middle ear,,,,Sri Lanka,"mountain,terrestrial",20 dB,bipedal movement,apatite,Decreasing,corneal eyes,vulnerable,,,,,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sri Lanka woodshrike,Animalia,Chordata,Aves,https://eol.org/pages/28354586,Tephrodornis affinis (Sri Lanka Woodshrike) is a species of birds in the family Vangidae. They rely on flight to move around.,tympanic middle ear,,,,Indian Ocean,,10 dB,flight,apatite,,corneal eyes,,,,,,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Star finch,Animalia,Chordata,Aves,https://eol.org/pages/1050467,Neochmia ruficauda (Star Finch) is a species of birds in the family Estrildid finches. They are associated with freshwater habitat. They are native to Australia. They are omnivores. They rely on flight to move around.,,australasia,,,United States,grassland,,flight,,Decreasing,,,,bilaterally symmetric,insects,,,Australia,,group living,,,,,11.6 mm,15.2 mm,17.73 degrees celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Starks lark,Animalia,Chordata,Aves,https://eol.org/pages/45515348,Spizocorys starki (Stark's Lark) is a species of birds in the family larks. They rely on flight to move around.,tympanic middle ear,,,,Angola,"tropical,terrestrial",10 dB,bipedal movement,apatite,Stable,corneal eyes,,,,,,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Starred wood quail,Animalia,Chordata,Aves,https://eol.org/pages/45512071,Odontophorus stellatus (Starred Wood Quail) is a species of birds in the family New World quails. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,315 g,Solimoes-Japurá Moist Forest,Bolivia,"tropical,terrestrial",20 dB,bipedal movement,apatite,Decreasing,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Starry owletnightjar,Animalia,Chordata,Aves,https://eol.org/pages/127024,Aegotheles tatei (Starry Owlet Nightjar) is a species of birds in the family owlet-nightjars. They rely on flight to move around.,tympanic middle ear,,52 g,,,"tropical,terrestrial",20 dB,flight,apatite,Unknown,corneal eyes,,,,,,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Steeres liocichla,Animalia,Chordata,Aves,https://eol.org/pages/45517259,Liocichla steerii (Steere's Liocichla) is a species of birds in the family Leiothrichidae. They are found in the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,32.4 g,,China,terrestrial,10 dB,flight,apatite,Decreasing,corneal eyes,,(UMMZ) - UMMZ Birds Collection {http://www.lsa.umich.edu/ummz/birds/},,,Aralia decaisneana Hance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Steinbachs canastero,Animalia,Chordata,Aves,https://eol.org/pages/918028,Pseudasthenes steinbachi (Steinbach's Canastero) is a species of birds in the family ovenbirds. They rely on flight to move around.,tympanic middle ear,,,,Argentina,"subtropical,terrestrial",10 dB,bipedal movement,apatite,Stable,corneal eyes,,,,,,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Stejnegers petrel,Animalia,Chordata,Aves,https://eol.org/pages/45511294,Pterodroma longirostris (Stejneger's Petrel) is a species of birds in the family Procellariidae. They are listed as vulnerable by IUCN. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,143 g,,New Zealand,"subtropical,terrestrial",,flight,,Decreasing,corneal eyes,vulnerable,,,,Illex Steenstrup 1880,,,,,,,,,,,,nectonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Stejnegers stonechat,Animalia,Chordata,Aves,https://eol.org/pages/45511009,Saxicola stejnegeri (Stejneger's Stonechat) is a species of birds in the family Old World flycatchers. They rely on flight to move around.,tympanic middle ear,,,,,,10 dB,flight,apatite,,corneal eyes,,,,,,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Stellers eider,Animalia,Chordata,Aves,https://eol.org/pages/45510583,Polysticta stelleri (Steller's Eider) is a species of birds in the family Anatidae. They are listed as vulnerable by IUCN. They are associated with freshwater habitat. They are found in the palearctic and The Nearctic. They are diurnal. Individuals can grow to 76 cm. They have parental care (female provides care). They rely on flight and drag powered swimming to move around.,,the palearctic,,,arctic,,,flight,,Decreasing,,,,,,,,,,,freshwater,,invertivore,,,,,nectonic,76 cm,23 years,1 /year,26 days,907.2 g,,,,,,,,,,,,,,,,,,,,,,,,
0,Stellers jay,Animalia,Chordata,Aves,https://eol.org/pages/45509981,Cyanocitta stelleri (Steller's Jay) is a species of birds in the family Corvidae. They are native to The Nearctic and The Neotropics. They are diurnal omnivores. They have parental care (pair provides care). They rely on flight to move around.,,The Nearctic,,,United States,,,flight,,Increasing,,,(MLZ) - MLZ Bird Collection (Arctos) {http://www.oxy.edu/moore-lab-zoology},bilaterally symmetric,,,,The Nearctic,,,terrestrial,,,,,,,,,16.1 years,1 /year,16 days,,108.4 degrees fahrenheit,,,,,,,,,,,,,,,,,,,,,,,
0,Stellers sea eagle,Animalia,Chordata,Aves,https://eol.org/pages/45511402,"Haliaeetus pelagicus (Steller's Sea Eagle) is a species of birds in the family Accipitridae. They are listed as vulnerable by IUCN and in cites appendix ii. They are associated with freshwater habitat. They are native to the Palearctic. They are solitary, diurnal carnivores. They have parental care (paternal care, female provides care, and pair provides care). They rely on flight to move around.",,the palearctic,,,United States,,,flight,,Decreasing,,,,bilaterally symmetric,crustaceans,,monogamous,the Palearctic,protection,solitary,freshwater,,vertivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Storms stork,Animalia,Chordata,Aves,https://eol.org/pages/1049150,Ciconia stormi (Storm's Stork) is a species of birds in the family Ciconiidae. They are listed as endangered by IUCN. They are associated with freshwater habitat. They are found in the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,,Sumatran Montane Rain Forests,Indonesia,"peat swamp,freshwater habitat",20 dB,flight,apatite,Decreasing,corneal eyes,endangered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Stout cisticola,Animalia,Chordata,Aves,https://eol.org/pages/45514494,Cisticola robustus (Stout Cisticola) is a species of birds in the family African warblers. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,Afrotropics,,Angolan Montane Forest-Grassland Mosaic,Zambia,"subtropical,terrestrial",10 dB,flight,apatite,Stable,corneal eyes,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Stranecks tyrannulet,Animalia,Chordata,Aves,https://eol.org/pages/45513008,Serpophaga griseicapilla (Straneck's Tyrannulet) is a species of birds in the family tyrant flycatchers. They rely on flight to move around.,tympanic middle ear,,,,South Atlantic,,10 dB,flight,apatite,,corneal eyes,,,,,,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Strange weaver,Animalia,Chordata,Aves,https://eol.org/pages/45514951,Ploceus alienus (Strange Weaver) is a species of birds in the family Weavers & allies. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,Afrotropics,22.2 g,Albertine Rift Montane Forests,Burundi,terrestrial,10 dB,bipedal movement,apatite,Decreasing,corneal eyes,,,,,,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Streaked barwing,Animalia,Chordata,Aves,https://eol.org/pages/45517266,Actinodura souliei (Streaked Barwing) is a species of birds in the family Leiothrichidae. They are found in the palearctic and the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,the palearctic,,Northern Indochina Subtropical Forests,Vietnam,tropical,10 dB,flight,apatite,,corneal eyes,,,,,,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Streaked berrypecker,Animalia,Chordata,Aves,https://eol.org/pages/45516709,Melanocharis striativentris (Streaked Berrypecker) is a species of birds in the family Melanocharitidae. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,19.2 g,,Indonesia,"subtropical,terrestrial",10 dB,flight,apatite,Unknown,corneal eyes,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Streaked bowerbird,Animalia,Chordata,Aves,https://eol.org/pages/45516651,Amblyornis subalaris (Streaked Bowerbird) is a species of birds in the family bowerbirds. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,122 g,Southeastern Papuan Rain Forests,,terrestrial,10 dB,bipedal movement,apatite,Decreasing,corneal eyes,,,,,,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Streaked bulbul,Animalia,Chordata,Aves,https://eol.org/pages/918193,Ixos malaccensis (Streaked Bulbul) is a species of birds in the family bulbuls. They are listed as near threatened by IUCN. They are found in the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,41 g,,Indian Ocean,"tropical,terrestrial",,flight,apatite,Decreasing,corneal eyes,near threatened,,,,Ficus virens W. T. Aiton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Streaked fantail,Animalia,Chordata,Aves,https://eol.org/pages/45518664,Rhipidura verreauxi (Streaked Fantail) is a species of birds in the family Rhipiduridae. They rely on flight to move around.,tympanic middle ear,,,,Fiji,tropical,10 dB,bipedal movement,apatite,,corneal eyes,,,,,,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Streaked flycatcher,Animalia,Chordata,Aves,https://eol.org/pages/45517430,Muscicapa sodhii (Sulawesi Streaked Flycatcher) is a species of birds in the family Old World flycatchers. They rely on flight to move around.,tympanic middle ear,,,,,,10 dB,flight,apatite,,corneal eyes,,,,,,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Streaked laughingthrush,Animalia,Chordata,Aves,https://eol.org/pages/45517228,Trochalopteron lineatum (Streaked Laughingthrush) is a species of birds in the family Leiothrichidae. They are found in the indo-malayan realm and the palearctic. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,,Yarlung Tsangpo Arid Steppe,India,terrestrial,10 dB,bipedal movement,apatite,Stable,corneal eyes,,"University Museum of Zoology, Cambridge",,,Berberis wallichiana DC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Streaked rosefinch,Animalia,Chordata,Aves,https://eol.org/pages/45517688,Carpodacus rubicilloides (Eastern Great Rosefinch) is a species of birds in the family finches. They are found in the indo-malayan realm and the palearctic. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,43.8 g,Tian Shan Montane Conifer Forests,Tibet,terrestrial,10 dB,flight,apatite,Stable,corneal eyes,,,,,,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Streaked saltator,Animalia,Chordata,Aves,https://eol.org/pages/916102,Saltator striatipectus (Streaked Saltator) is a species of birds in the family tanagers. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,41.5 g,,South Pacific,"tropical,terrestrial",10 dB,flight,apatite,Increasing,corneal eyes,,,,,Miconia andersonii Fawc. & Rendle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Streaked scrub warbler,Animalia,Chordata,Aves,https://eol.org/pages/45514432,"Scotocerca inquieta (Streaked Scrub Warbler) is a species of birds in the family Scotocercidae. They are found in the indo-malayan realm, the palearctic, and Afrotropics. They are diurnal. They have parental care (pair provides care). They rely on flight to move around.",tympanic middle ear,the indo-malayan realm,8 g,,North Atlantic,"mountain,terrestrial",,flight,,Decreasing,corneal eyes,,NHMUK,,,,,,,,terrestrial,,invertivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Streaked shearwater,Animalia,Chordata,Aves,https://eol.org/pages/45511299,Calonectris leucomelas (Streaked Shearwater) is a species of birds in the family Procellariidae. They are listed as near threatened by IUCN. They are found in australasia. They are nocturnal. They have parental care (pair provides care). They rely on flight to move around.,tympanic middle ear,australasia,579 g,,United States,marine,,flight,,Decreasing,corneal eyes,,,,,Cololabis saira (Brevoort 1856) (Pacific saury),,,,,marine pelagic,,vertivore,,,,,nectonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Streaked spiderhunter,Animalia,Chordata,Aves,https://eol.org/pages/45517649,Arachnothera magna (Streaked Spiderhunter) is a species of birds in the family Sunbirds. They are found in the indo-malayan realm and the palearctic. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,35 g,,Vietnam,"subtropical,terrestrial",10 dB,flight,apatite,Stable,corneal eyes,,,,,Aglaia spectabilis (Miq.) S. S. Jain & S. S. R. Bennet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Streaked tuftedcheek,Animalia,Chordata,Aves,https://eol.org/pages/1050162,Pseudocolaptes boissonneautii (Streaked Tuftedcheek) is a species of birds in the family ovenbirds. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,51.6 g,Bolivian Yungas,Bolivia,mountain,10 dB,bipedal movement,apatite,,corneal eyes,,,,,,,,,,,,,5000 Hz,,,,,,,,,,,Plasmodium subgen. Plasmodium,,,,,,,,,,,,,,,,,,,,,,
0,Streaked weaver,Animalia,Chordata,Aves,https://eol.org/pages/45514990,Ploceus manyar (Streaked Weaver) is a species of birds in the family Weavers & allies. They are associated with freshwater habitat. They are found in the indo-malayan realm and the palearctic. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,18.4 g,Tonle Sap-Mekong Peat Swamp Forests,Indian Ocean,"freshwater,freshwater habitat",10 dB,flight,apatite,Stable,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Streaked wrenbabbler,Animalia,Chordata,Aves,https://eol.org/pages/920608,Napothera brevicaudata (Streaked Wren Babbler) is a species of birds in the family Pellorneidae. They are found in the palearctic and the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,the palearctic,22 g,Chin Hills-Arakan Yoma Montane Forests,Cambodia,tropical,10 dB,flight,apatite,,corneal eyes,,NHMUK,,,,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Streaked xenops,Animalia,Chordata,Aves,https://eol.org/pages/45511696,Xenops rutilans (Streaked Xenops) is a species of birds in the family ovenbirds. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,12.2 g,Santa Marta Montane Forests,South Pacific,tropical,10 dB,flight,apatite,,corneal eyes,,"Harvard UNiversity, Museum of Comparative Zoology",,,,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Streaky seedeater,Animalia,Chordata,Aves,https://eol.org/pages/45515741,Crithagra striolata (Streaky Seedeater) is a species of birds in the family finches. They rely on flight to move around.,tympanic middle ear,,,,Kenya,"scrubland,freshwater habitat",10 dB,bipedal movement,apatite,Stable,corneal eyes,,,,,,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Stresemanns bristlefront,Animalia,Chordata,Aves,https://eol.org/pages/45512906,Merulaxis stresemanni (Stresemann's Bristlefront) is a species of birds in the family tapaculos. They are listed as critically endangered by IUCN. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,,Bahia Coastal Forests,Brazil,"forest,terrestrial",10 dB,bipedal movement,apatite,Decreasing,corneal eyes,critically endangered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Stresemanns bushcrow,Animalia,Chordata,Aves,https://eol.org/pages/45515238,Zavattariornis stresemanni (Ethiopian Bush Crow) is a species of birds in the family Corvidae. They are listed as endangered by IUCN. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,Afrotropics,,Somali Acacia-Commiphora Bushlands And Thickets,Ethiopia,"savanna,terrestrial",10 dB,bipedal movement,apatite,Decreasing,corneal eyes,endangered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
