,Common Name,Kingdom,Phylum,Class,Link,Description,auditory system,biogeographic realm,body mass,ecoregion,geographic distribution includes,habitat,hearing threshold,locomotion,mineralized skeleton contains,population trend,visual system,conservation status,type specimen repository,body shape,diet includes,eats,mating system,native range includes,parental care,social system,foraging habitat,preys on,trophic guild,hearing range,bill length,tarsus length,temperature at range midpoint latitude,ecomorphological guild,body length,life span,litters per year,prenatal development duration,weight,body temperature,parasitized by,behavioral circadian rhythm,sensory system,number of public records in bold,has ectoparasite,host of,has pathogen,onset of fertility,genome size,mutualistic with,growth rate,tarsometatarsus + middle toe length,basal metabolic rate,used for,has endoparasite,visits flowers of,is vector for,clutch/brood/litter size,is eaten by,developmental mode,wing morphology,egg mass,has host
0,Variable wheatear,Animalia,Chordata,Aves,https://eol.org/pages/45515873,"Oenanthe picata (Variable Wheatear) is a species of birds in the family Old World flycatchers. They are found in Afrotropics, the indo-malayan realm, and the palearctic. They rely on flight to move around.",tympanic middle ear,Afrotropics,25 g,,Uzbekistan,"desert,terrestrial",10 dB,flight,apatite,Stable,corneal eyes,,"University Museum of Zoology, Cambridge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Varied bunting,Animalia,Chordata,Aves,https://eol.org/pages/1052081,Passerina versicolor (Varied Bunting) is a species of birds in the family cardinals. They are found in The Neotropics and The Nearctic. They rely on flight to move around.,tympanic middle ear,The Neotropics,12.8 g,Tamaulipan Matorral,United States,terrestrial,10 dB,flight,apatite,Stable,corneal eyes,,,,,Guettarda elliptica Sw. (hammock velvetseed),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Varied honeyeater,Animalia,Chordata,Aves,https://eol.org/pages/45518548,Gavicalis versicolor (Varied Honeyeater) is a species of birds in the family honeyeaters. They rely on flight to move around.,tympanic middle ear,,,,Australia,"tropical,terrestrial",10 dB,bipedal movement,apatite,Stable,corneal eyes,,,,,,,,,,,,,5000 Hz,,,,,,,,,,,Plasmodium subgen. Plasmodium,,,,,,,,,,,,,,,,,,,,,,
0,Varied lorikeet,Animalia,Chordata,Aves,https://eol.org/pages/45517919,Psitteuteles versicolor (Varied Lorikeet) is a species of birds in the family Psittaculidae. They are listed in cites appendix ii. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,61 g,,Australia,grassland,,flight,,Stable,corneal eyes,,,,,Corymbia terminalis (F. Müll.) K. D. Hill & L. A. S. Johnson (Inland bloodwood),,,,,,,,,12.5 mm,13.5 mm,18.98 degrees celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Varied sittella,Animalia,Chordata,Aves,https://eol.org/pages/45518206,Daphoenositta chrysoptera (Varied Sittella) is a species of birds in the family Sittella. They are found in australasia. They are diurnal. They rely on flight to move around.,tympanic middle ear,australasia,14.5 g,Pilbara Shrublands,Indian Ocean,,10 dB,flight,apatite,,corneal eyes,,,,,,,,,,,,,5000 Hz,,,,,,,,,,,Oncicola,diurnal,,,,,,,,,,,,,,,,,,,,,
0,Varied solitaire,Animalia,Chordata,Aves,https://eol.org/pages/45510197,Myadestes coloratus (Varied Solitaire) is a species of birds in the family thrushes. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,32 g,Eastern Panamanian Montane Forests,Panama,"tropical,terrestrial",10 dB,bipedal movement,apatite,Stable,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Varied thrush,Animalia,Chordata,Aves,https://eol.org/pages/45510180,Ixoreus naevius (Varied Thrush) is a species of birds in the family thrushes. They are native to The Nearctic. They rely on flight to move around.,,The Nearctic,,,United States,mountain,,flight,,Decreasing,,,,bilaterally symmetric,,Rhamnus (buckthorn),,The Nearctic,,,,,,,,,,,,5.6 years,2 /year,14 days,78.5 g,,,,,,,,,,,,,,,,,,,,,,,,
0,Varied tit,Animalia,Chordata,Aves,https://eol.org/pages/1052001,Sittiparus varius (Varied Tit) is a species of birds in the family Paridae. They rely on flight to move around.,tympanic middle ear,,18.2 g,,United States,mountain,10 dB,bipedal movement,apatite,,corneal eyes,,,,,Taxus (yew),,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Varied triller,Animalia,Chordata,Aves,https://eol.org/pages/45516781,Lalage leucomela (Varied Triller) is a species of birds in the family cuckoo-shrikes. They are found in australasia. They are diurnal. They rely on flight to move around.,tympanic middle ear,australasia,36 g,Eastern Australian Temperate Forests,South Pacific,tropical,10 dB,flight,apatite,,corneal eyes,,,,,,,,,,,,,5000 Hz,,,,,,,,,,,,diurnal,,,,,,,,,,,,,,,,,,,,,
0,Variegated antpitta,Animalia,Chordata,Aves,https://eol.org/pages/45512840,Grallaria varia (Variegated Antpitta) is a species of birds in the family antpittas. They are found in The Neotropics. They are diurnal. They rely on flight to move around.,tympanic middle ear,The Neotropics,134 g,,South Atlantic,"subtropical,terrestrial",10 dB,flight,apatite,Decreasing,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,diurnal,,,,,,,,,,,,,,,,,,,,,
