,Common Name,Kingdom,Phylum,Class,Link,Description,auditory system,biogeographic realm,body mass,eats,geographic distribution includes,habitat,hearing threshold,locomotion,mineralized skeleton contains,population trend,visual system,ecoregion,hearing range,conservation status,type specimen repository,mutualistic with,is vector for,body shape,litters per year,native range includes,prenatal development duration,weight,ecomorphological guild,life span,parasitized by,has endoparasite,preys on,bill length,tarsus length,temperature at range midpoint latitude,foraging habitat,trophic guild,genome size,behavioral circadian rhythm,body temperature,diet includes,mating system,social system,Leaf Complexity,leaf morphology,life cycle habit,photosynthetic pathway,plant growth form,plant lifeform,produces,seed dry mass,basal metabolic rate,growth rate,body length,has ectoparasite,has pathogen,parental care,visits flowers of,sensory system,mineralized tissue contains,reproduction,Total length,water depth,preyed upon by,clutch/brood/litter size,onset of fertility,is eaten by,used for,number of public records in bold,after harvest regrowth rate,anaerobic soil tolerance,bloom period,calcareous soil tolerance,fire resistance,fire tolerance,fruit or seed color,planting density,precipitation tolerance,seeds per pound,has host,pathogen of,visits,egg mass,tarsometatarsus + middle toe length,initial mortality rate,mortality rate doubling time,host of,is killed by,middle toe length
0,Green malkoha,Animalia,Chordata,Aves,https://eol.org/pages/1250632,Ceuthmochares australis (Green Malkoha) is a species of birds in the family Cuculidae. They rely on flight to move around.,tympanic middle ear,,72 g,,Mozambique,"coastal,terrestrial",20 dB,bipedal movement,apatite,Decreasing,corneal eyes,,5000 Hz,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Green manakin,Animalia,Chordata,Aves,https://eol.org/pages/40096969,Cryptopipo holochlora (Green Manakin) is a species of birds in the family Manakins. They rely on flight to move around.,tympanic middle ear,,,,Peru,,10 dB,flight,apatite,,corneal eyes,,5000 Hz,,,,,,,,,,,,Haemoproteus,Haemoproteus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Green mango,Animalia,Chordata,Aves,https://eol.org/pages/45509521,Anthracothorax viridis (Green Mango) is a species of birds in the family hummingbirds. They are listed in cites appendix ii. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,7.8 g,Frankliniella insularis (Franklin 1908) (Common thrip),Puerto Rico,terrestrial,20 dB,flight,apatite,Unknown,corneal eyes,,,cites appendix ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Green oriole,Animalia,Chordata,Aves,https://eol.org/pages/45518646,Oriolus flavocinctus (Green Oriole) is a species of birds in the family orioles. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,125 g,,Indian Ocean,"tropical,terrestrial",10 dB,flight,apatite,Stable,corneal eyes,,,,,,,,,,,,,,,,Oriolus flavocinctus (King & PP 1826) (Green Oriole),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Green oropendola,Animalia,Chordata,Aves,https://eol.org/pages/45513431,Psarocolius atrovirens (Dusky Green Oropendola) is a species of birds in the family New World blackbirds. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,152 g,Smilax domingensis Willd.,Bolivia,"tropical,terrestrial",10 dB,flight,apatite,Stable,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Green peafowl,Animalia,Chordata,Aves,https://eol.org/pages/45516051,Pavo muticus (Green Peafowl) is a species of birds in the family Phasianidae. They are listed as endangered by IUCN and in cites appendix ii. They are found in the palearctic and the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,the palearctic,1160 g,,United States,"tropical,terrestrial",20 dB,flight,apatite,Decreasing,corneal eyes,,,endangered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Green pheasant,Animalia,Chordata,Aves,https://eol.org/pages/45510658,Phasianus versicolor (Common Pheasant) is a species of birds in the family Phasianidae. They are found in the palearctic. They rely on flight to move around.,tympanic middle ear,the palearctic,900 g,,United States,"grassland,terrestrial",20 dB,bipedal movement,apatite,Decreasing,corneal eyes,,,,,,,,,,26 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Green pygmy goose,Animalia,Chordata,Aves,https://eol.org/pages/45515915,Nettapus pulchellus (Green Pygmy Goose) is a species of birds in the family Anatidae. They are found in australasia. They rely on flight and drag powered swimming to move around.,tympanic middle ear,australasia,340 g,Potamogeton (pondweed),United States,"lake,marine",20 dB,flight,apatite,Decreasing,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Green rackettail,Animalia,Chordata,Aves,https://eol.org/pages/1177859,Prioniturus luconensis (Green Racket Tail) is a species of birds in the family Psittaculidae. They are listed as endangered by IUCN and in cites appendix ii. They are found in the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,127 g,,The Philippines,"tropical,terrestrial",,bipedal movement,apatite,Decreasing,corneal eyes,,,endangered,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Green rosella,Animalia,Chordata,Aves,https://eol.org/pages/45517980,Platycercus caledonicus (Green Rosella) is a species of birds in the family Psittaculidae. They are listed in cites appendix ii. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,148 g,Melaleuca (melaleuca),Australia,marine,,flight,,Decreasing,corneal eyes,,,,,,,,,,,,,,,,,18.2 mm,22.1 mm,7.77 degrees celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Green sandpiper,Animalia,Chordata,Aves,https://eol.org/pages/45509205,"Tringa ochropus (Green Sandpiper) is a species of birds in the family Scolopacidae. They are associated with freshwater habitat. They are found in the palearctic, australasia, Afrotropics, and the indo-malayan realm. They are diurnal. They have parental care (pair provides care). They rely on flight to move around.",tympanic middle ear,the palearctic,71 g,,Mozambique,freshwater,,flight,,Increasing,corneal eyes,,,,,,,,,,,90 g,,11.5 years,,,,,,,freshwater,invertivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Green shrikebabbler,Animalia,Chordata,Aves,https://eol.org/pages/45516852,Pteruthius xanthochlorus (Green Shrike Babbler) is a species of birds in the family vireos. They are found in the indo-malayan realm and the palearctic. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,15 g,,Vietnam,"tropical,terrestrial",10 dB,flight,apatite,Decreasing,corneal eyes,Huang He Plain Mixed Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Green shrikevireo,Animalia,Chordata,Aves,https://eol.org/pages/45509918,Vireolanius pulchellus (Green Shrike Vireo) is a species of birds in the family vireos. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,26.1 g,,Belize,"tropical,terrestrial",10 dB,bipedal movement,apatite,Decreasing,corneal eyes,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
