,Common Name,Kingdom,Phylum,Class,Link,Description,auditory system,biogeographic realm,ecoregion,geographic distribution includes,habitat,has ectoparasite,hearing range,hearing threshold,locomotion,mineralized skeleton contains,population trend,visual system,body mass,conservation status,type specimen repository,foraging habitat,trophic guild,is vector for,eats,body shape,body temperature,diet includes,ecomorphological guild,mating system,native range includes,prenatal development duration,social system,litters per year,life span,visits flowers of,weight,growth rate,trophic level,used for,behavioral circadian rhythm,preys on,preyed upon by,basal metabolic rate,bill length,tarsus length,temperature at range midpoint latitude,parasitized by,is eaten by,host of,egg mass,initial mortality rate,clutch/brood/litter size,parental care,tarsometatarsus + middle toe length,sensory system,genome size,has host,body length,diet breadth,geographic range (size of area),habitat breadth,social group size,onset of fertility,mineralized tissue contains,reproduction,Total length,territorial,mutualistic with,pathogen of
0,Warbling whiteeye,Animalia,Chordata,Aves,https://eol.org/pages/45510067,"Zosterops japonicus (Japanese White Eye) is a species of birds in the family white-eyes. They are native to Myanmar, China, Japan, and Vietnam. They visit flowers of weeping bottlebrush and bitter ginger. They rely on flight to move around.",,the indo-malayan realm,,United States,mountain,,,,flight,,Unknown,,,,,,,,Lamium amplexicaule L. (Henbit Dead-nettle),,,,,,Myanmar,11 days,,2 /year,5.1 years,Callistemon viminalis (Sol. ex Gaertn.) G. Don (weeping bottlebrush),11.25 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Wards flycatcher,Animalia,Chordata,Aves,https://eol.org/pages/45514251,Pseudobias wardi (Ward's Flycatcher) is a species of birds in the family Vangidae. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,Afrotropics,,Madagascar,"tropical,terrestrial",,,10 dB,bipedal movement,apatite,Unknown,corneal eyes,13.3 g,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Wards trogon,Animalia,Chordata,Aves,https://eol.org/pages/45516432,Harpactes wardi (Ward's Trogon) is a species of birds in the family Trogonidae. They are listed as near threatened by IUCN. They are found in the palearctic and the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,the palearctic,,Bhutan,"tropical,terrestrial",,,20 dB,bipedal movement,apatite,Decreasing,corneal eyes,120 g,near threatened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Warsangli linnet,Animalia,Chordata,Aves,https://eol.org/pages/45515747,Linaria johannis (Warsangli Linnet) is a species of birds in the family finches. They are listed as endangered by IUCN. They rely on flight to move around.,tympanic middle ear,,,Somalia,"subtropical,terrestrial",,5000 Hz,10 dB,flight,apatite,Decreasing,corneal eyes,,endangered,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Water pipit,Animalia,Chordata,Aves,https://eol.org/pages/45513743,"Anthus spinoletta (Water Pipit) is a species of birds in the family Motacillidae. They are associated with freshwater habitat. They are native to the Palearctic. They are diurnal carnivores. They have parental care (female provides care, pair provides care, and paternal care). They rely on flight to move around.",,,,United States,,,,,,,Stable,,,,SNSB-Zoologische Staatssammlung Muenchen,terrestrial,invertivore,,,bilaterally symmetric,,seeds,,monogamous,the Palearctic,14 days,group living,,,,,0.518 /day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Water rail,Animalia,Chordata,Aves,https://eol.org/pages/45513903,"Rallus aquaticus (Water Rail) is a species of birds in the family rails. They are associated with freshwater habitat. They are found in the indo-malayan realm, the palearctic, and Afrotropics. They are diurnal omnivores. They have parental care (pair provides care). They rely on flight to move around.",tympanic middle ear,the indo-malayan realm,,Aegean Sea,coastal,,,,flight,,Decreasing,corneal eyes,,,Staatliches Museum fuer Naturkund Stuttgart,freshwater,,,,,,,,,,,,,8.9 years,,111.5 g,0.114 /day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Water thickknee,Animalia,Chordata,Aves,https://eol.org/pages/45515098,Burhinus vermiculatus (Water Dikkop) is a species of birds in the family stone-curlews. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,Afrotropics,,Somalia,"coastal,freshwater habitat",,,20 dB,flight,apatite,Unknown,corneal eyes,320 g,,,,,,,,,,nectonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Watercock,Animalia,Chordata,Aves,https://eol.org/pages/45513930,"Gallicrex cinerea (Watercock) is a species of birds in the family rails. They are associated with freshwater habitat. They are found in australasia, the palearctic, and the indo-malayan realm. They are crepuscular herbivores. They have parental care (pair provides care). They rely on flight to move around.",tympanic middle ear,australasia,,North Pacific,"marsh,terrestrial",,,,flight,apatite,Decreasing,corneal eyes,391 g,,,freshwater,,,,,,,,,,,,,,,,,herbivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Wattled broadbill,Animalia,Chordata,Aves,https://eol.org/pages/45516638,Sarcophanops steerii (Wattled Broadbill) is a species of birds in the family broadbills. They are listed as vulnerable by IUCN. They rely on flight to move around.,tympanic middle ear,,,The Philippines,"mangrove swamp,terrestrial",,5000 Hz,10 dB,bipedal movement,apatite,Decreasing,corneal eyes,,vulnerable,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Wattled brushturkey,Animalia,Chordata,Aves,https://eol.org/pages/45517724,Aepypodius arfakianus (Wattled Brush Turkey) is a species of birds in the family megapodes. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,Northern New Guinea Montane Rain Forests,Indonesia,"tropical,terrestrial",,,20 dB,flight,apatite,Stable,corneal eyes,1530 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Wattled crane,Animalia,Chordata,Aves,https://eol.org/pages/49993946,EOL has data for one attribute:,,,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Wattled curassow,Animalia,Chordata,Aves,https://eol.org/pages/45512060,Crax globulosa (Wattled Curassow) is a species of birds in the family Cracidae. They are listed as endangered by IUCN and in cites appendix iii. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,,Colombia,"river,terrestrial",,,,flight,,Decreasing,corneal eyes,2500 g,,,,,,,,,,,,,,,,20 years,,2500 g,,,meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Wattled guan,Animalia,Chordata,Aves,https://eol.org/pages/45512044,Aburria aburri (Wattled Guan) is a species of birds in the family Cracidae. They are listed as near threatened by IUCN. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,,Venezuela,"subtropical,terrestrial",,,20 dB,flight,apatite,Decreasing,corneal eyes,1550 g,near threatened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Wattled ibis,Animalia,Chordata,Aves,https://eol.org/pages/45513846,Bostrychia carunculata (Wattled Ibis) is a species of birds in the family Threskiornithidae. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,Afrotropics,Ethiopian Montane Moorlands,Ethiopia,"alpine,freshwater habitat",,,20 dB,bipedal movement,apatite,Unknown,corneal eyes,,,,,,,,,,,,,,,,,12 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Wattled jacana,Animalia,Chordata,Aves,https://eol.org/pages/45511556,Jacana jacana (Wattled Jacana) is a species of birds in the family jacanas. They are found in The Neotropics. They are diurnal. They rely on flight to move around.,tympanic middle ear,The Neotropics,Guianan Savanna,United States,terrestrial,,,20 dB,flight,apatite,Stable,corneal eyes,87.5 g,,,,,,,,,,,,,,,,,,,,,,diurnal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Wattled ploughbill,Animalia,Chordata,Aves,https://eol.org/pages/45516800,Eulacestoma nigropectus (Wattled Ploughbill) is a species of birds in the family Eulacestomatidae. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,Southeastern Papuan Rain Forests,Indonesia,"mountain,terrestrial",,,10 dB,bipedal movement,apatite,Stable,corneal eyes,23.2 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Wattled smoky honeyeater,Animalia,Chordata,Aves,https://eol.org/pages/45518494,Melipotes carolae (Wattled Smoky Honeyeater) is a species of birds in the family honeyeaters. They rely on flight to move around.,tympanic middle ear,,,Indonesia,,,5000 Hz,10 dB,flight,apatite,,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Wattled starling,Animalia,Chordata,Aves,https://eol.org/pages/45515496,Creatophora cinerea (Wattled Starling) is a species of birds in the family starlings. They are found in the palearctic and Afrotropics. They visit flowers of Coral Tree. They rely on flight to move around.,tympanic middle ear,the palearctic,,Mozambique,"grassland,freshwater habitat",,,10 dB,flight,apatite,Stable,corneal eyes,85 g,,,,,,,,,,,,,,,,,Erythrina (Coral Tree),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Waved albatross,Animalia,Chordata,Aves,https://eol.org/pages/45511493,Phoebastria irrorata (Waved Albatross) is a species of birds in the family albatrosses. They are listed as critically endangered by IUCN. They rely on flight to move around.,tympanic middle ear,,,South Pacific,marine,,,,flight,,Decreasing,corneal eyes,,,NHMUK,,,,Exocoetidae (flyingfishes),,,,nectonic,,,,,,40 years,,3395 g,,,,,Anuropus pacificus Lincoln & Jones 1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Waved woodpecker,Animalia,Chordata,Aves,https://eol.org/pages/1177633,Celeus undatus (Waved Woodpecker) is a species of birds in the family woodpeckers. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,Xingu-Tocantins-Araguaia Moist Forests,Brazil,"grassland,terrestrial",,,20 dB,bipedal movement,apatite,Decreasing,corneal eyes,70 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Weebill,Animalia,Chordata,Aves,https://eol.org/pages/45518114,Smicrornis brevirostris (Weebill) is a species of birds in the family Acanthizidae. They are found in australasia. They are diurnal. They rely on flight to move around.,tympanic middle ear,australasia,,Indian Ocean,"tropical,terrestrial",,,10 dB,flight,apatite,Decreasing,corneal eyes,6.5 g,,,,,,,,,,,,,,,,,,,,,,diurnal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Weka,Animalia,Chordata,Aves,https://eol.org/pages/915534,Gallirallus australis (Weka) is a species of birds in the family rails. They are listed as vulnerable by IUCN. They are found in australasia.,tympanic middle ear,australasia,,New Zealand,"grassland,terrestrial",,,,bipedal movement,apatite,Decreasing,corneal eyes,,vulnerable,,,,,,,,,,,,,,,13.8 years,,899.3 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Welcome swallow,Animalia,Chordata,Aves,https://eol.org/pages/45517008,"Hirundo neoxena (Welcome Swallow) is a species of birds in the family swallows. They are found in Oceania continent (Australia, NZ and islands) and australasia. They rely on flight to move around.",tympanic middle ear,"Oceania continent (Australia, NZ and islands)",,South Pacific,"desert,freshwater habitat",,,10 dB,flight,apatite,Increasing,corneal eyes,16 g,,,,,,,,,,,,,14 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,West African crested tern,Animalia,Chordata,Aves,https://eol.org/pages/56923053,Thalasseus albididorsalis (West African Crested Tern) is a species of  in the family Laridae.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,West African seedeater,Animalia,Chordata,Aves,https://eol.org/pages/45515736,Crithagra canicapilla (West African Seedeater) is a species of birds in the family finches. They rely on flight to move around.,tympanic middle ear,,,,coastal,,5000 Hz,10 dB,flight,apatite,,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,West African swallow,Animalia,Chordata,Aves,https://eol.org/pages/45515399,Cecropis domicella (West African Swallow) is a species of birds in the family swallows. They rely on flight to move around.,tympanic middle ear,,,,,,5000 Hz,10 dB,flight,apatite,,corneal eyes,,,Uebersee-Museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,West Himalayan bush warbler,Animalia,Chordata,Aves,https://eol.org/pages/45517074,Locustella kashmirensis (West Himalayan Bush Warbler) is a species of birds in the family Locustellidae. They rely on flight to move around.,tympanic middle ear,,,India,temperate,,5000 Hz,10 dB,flight,apatite,,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,West Indian whistling duck,Animalia,Chordata,Aves,https://eol.org/pages/45510522,Dendrocygna arborea (Black Billed Wood Duck) is a species of birds in the family Anatidae. They are listed as near threatened by IUCN and in cites appendix ii. They are found in The Neotropics. They rely on flight and drag powered swimming to move around.,tympanic middle ear,The Neotropics,,Gulf Of Mexico,"swamp forest,terrestrial",,,,flight,,Decreasing,corneal eyes,1150 g,near threatened,,,,,Roystonea borinquena O. F. Cook (Puerto Rico royal palm),,,,nectonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,West Indian woodpecker,Animalia,Chordata,Aves,https://eol.org/pages/45509741,Melanerpes superciliaris (West Indian Woodpecker) is a species of birds in the family woodpeckers. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,Bahamian Pine Mosaic,Cayman Islands,"tropical,freshwater habitat",,,20 dB,bipedal movement,apatite,Decreasing,corneal eyes,,,,,,,Phoenix (date palm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,West Mexican chachalaca,Animalia,Chordata,Aves,https://eol.org/pages/45508947,Ortalis poliocephala (West Mexican Chachalaca) is a species of birds in the family Cracidae. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,,Mexico,"tropical,terrestrial",,,,bipedal movement,apatite,Decreasing,corneal eyes,760 g,,(MLZ) - MLZ Bird Collection (Arctos) {http://www.oxy.edu/moore-lab-zoology},,,,Carica papaya L. (papaya),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,West Peruvian dove,Animalia,Chordata,Aves,https://eol.org/pages/1064970,Zenaida meloda (West Peruvian Dove) is a species of birds in the family Columbidae. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,Tumbes-Piura Dry Forests,Chile,terrestrial,,5000 Hz,20 dB,bipedal movement,apatite,Increasing,corneal eyes,221 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,West Peruvian screech owl,Animalia,Chordata,Aves,https://eol.org/pages/1025096,Megascops roboratus (West Peruvian Screech Owl) is a species of birds in the family typical owls. They rely on flight to move around.,tympanic middle ear,,,South Pacific,"tropical,terrestrial",,5000 Hz,-15 dB,flight,apatite,Stable,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Western alpine mannikin,Animalia,Chordata,Aves,https://eol.org/pages/916079,Lonchura montana (Western Alpine Mannikin) is a species of birds in the family Estrildid finches. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,Central Range Montane Rain Forests,Indonesia,"grassland,freshwater habitat",,5000 Hz,10 dB,flight,apatite,Stable,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Western banded snake eagle,Animalia,Chordata,Aves,https://eol.org/pages/1047568,Circaetus cinerascens (Banded Snake Eagle) is a species of birds in the family Accipitridae. They are listed in cites appendix ii. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,Afrotropics,Victoria Basin Forest-Savanna Mosaic,Côte D’Ivoire,"valley,terrestrial",,,20 dB,flight,apatite,Decreasing,corneal eyes,,cites appendix ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Western barn owl,Animalia,Chordata,Aves,https://eol.org/pages/45509442,"Tyto alba (Common Barn Owl) is a species of birds in the family Tytonidae. They are listed as threatened by COSEWIC and in cites appendix ii. They are native to Ethiopia, The Nearctic, The Neotropics, the Palearctic, Asia, and Australia. They are solitary, nocturnal carnivores. They have parental care (female provides care, paternal care, and pair provides care). They rely on flight to move around.",,,,New Caledonia,,,,,,,Stable,,,,(UCMP) - University of California Museum of Paleontology,terrestrial,vertivore,,,bilaterally symmetric,,birds,,monogamous,Australia,33 days,solitary,2 /year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Western bearded greenbul,Animalia,Chordata,Aves,https://eol.org/pages/45514391,Criniger barbatus (Bearded Bulbul) is a species of birds in the family bulbuls. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,Afrotropics,,Cameroon,"subtropical,terrestrial",,,,flight,apatite,Stable,corneal eyes,43 g,,,,,Lannea (Tree grapes),Lannea (Tree grapes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Western bluebill,Animalia,Chordata,Aves,https://eol.org/pages/45515646,Spermophaga haematina (Bluebill) is a species of birds in the family Estrildid finches. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,Afrotropics,Eastern Congolian Swamp Forests,United States,terrestrial,,5000 Hz,10 dB,flight,apatite,Stable,corneal eyes,26 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Western bluebird,Animalia,Chordata,Aves,https://eol.org/pages/45510185,"Sialia mexicana (Western Bluebird) is a species of birds in the family thrushes. They are native to United States and The Nearctic. They are diurnal omnivores. They have parental care (cooperative breeding, paternal care, and female provides care). They rely on flight to move around.",,,,United States,,,,,,,Increasing,,,,(MLZ) - MLZ Bird Collection (Arctos) {http://www.oxy.edu/moore-lab-zoology},terrestrial,invertivore,,,bilaterally symmetric,,insects,,monogamous,United States,14 days,group living,1.5 /year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Western Bonellis warbler,Animalia,Chordata,Aves,https://eol.org/pages/45513670,Phylloscopus bonelli (Bonelli's Warbler) is a species of birds in the family Phylloscopidae. They are found in the palearctic and Afrotropics. They rely on flight to move around.,tympanic middle ear,the palearctic,Atlantic Mixed Forests,North Atlantic,,,5000 Hz,10 dB,flight,apatite,,corneal eyes,11 g,,,,,,Lonicera periclymenum L. (European honeysuckle),,,,,,,,,,,,,,,,,,Vipera latastei Bosca 1878 (Lataste's Viper),,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Western bowerbird,Animalia,Chordata,Aves,https://eol.org/pages/45518057,Chlamydera guttata (Western Bowerbird) is a species of birds in the family bowerbirds. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,Great Victoria Desert,Australia,terrestrial,,,10 dB,bipedal movement,apatite,Decreasing,corneal eyes,142 g,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
