,Common Name,Kingdom,Phylum,Class,Link,Description,auditory system,biogeographic realm,ecoregion,geographic distribution includes,habitat,has ectoparasite,hearing range,hearing threshold,locomotion,mineralized skeleton contains,population trend,visual system,body mass,conservation status,type specimen repository,foraging habitat,trophic guild,is vector for,eats,body shape,body temperature,diet includes,ecomorphological guild,mating system,native range includes,prenatal development duration,social system,litters per year,life span,visits flowers of,weight,growth rate,trophic level,used for,behavioral circadian rhythm,preys on,preyed upon by,basal metabolic rate,bill length,tarsus length,temperature at range midpoint latitude,parasitized by,is eaten by,host of,egg mass,initial mortality rate,clutch/brood/litter size,parental care,tarsometatarsus + middle toe length,sensory system,genome size,has host,body length,diet breadth,geographic range (size of area),habitat breadth,social group size,onset of fertility,mineralized tissue contains,reproduction,Total length,territorial,mutualistic with,pathogen of
0,Western bristlebird,Animalia,Chordata,Aves,https://eol.org/pages/45518089,Dasyornis longirostris (Long Billed Bristlebird) is a species of birds in the family bristlebirds. They are listed as endangered by IUCN and in cites appendix i. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,,Australia,"temperate,terrestrial",,,10 dB,bipedal movement,apatite,Decreasing,corneal eyes,38.5 g,endangered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Western capercaillie,Animalia,Chordata,Aves,https://eol.org/pages/45515932,Tetrao urogallus (Western Capercaillie) is a species of birds in the family Phasianidae. They are native to the Palearctic. They are diurnal herbivores. They have parental care (female provides care). They rely on gliding and flight to move around.,,,,United States,,,,,,,Decreasing,,,,,terrestrial,folivore,,,bilaterally symmetric,,arthropods,,polygynous,the Palearctic,26 days,group living,,,,,0.066 /day,,,,,,11.816 watts,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Western cattle egret,Animalia,Chordata,Aves,https://eol.org/pages/45511347,"Bubulcus ibis (Western Cattle Egret) is a species of birds in the family Ardeidae. They are associated with freshwater habitat. They are native to Israel, Botswana, Thailand, Czech Republic, Austria, Egypt, Morocco, Benin, Hungary, The Netherlands, Turkey, Sweden, Albania, Poland, Sudan, France, Spain, Kazakhstan, Greece, United Kingdom, Denmark, Finland, Serbia And Montenegro, Germany, Portugal, Ethiopia, Belgium, Zimbabwe, the Palearctic, Algeria, Italy, South Africa, and Switzerland. They rely on flight to move around.",,the palearctic,,United States,subtropical,,,,flight,,Increasing,,,,,,,,,bilaterally symmetric,,,,,the Palearctic,22 days,,1 /year,23 years,,19.1 g,0.22 /day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Western chattanager,Animalia,Chordata,Aves,https://eol.org/pages/45510509,Calyptophilus tertius (Western Chat Tanager) is a species of birds in the family Calyptophilidae. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,Enriquillo Wetlands,North Atlantic,,,5000 Hz,10 dB,flight,apatite,,corneal eyes,1.1 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Western citril,Animalia,Chordata,Aves,https://eol.org/pages/45515714,Crithagra frontalis (Western Citril) is a species of birds in the family finches. They rely on flight to move around.,otoliths,,,Democratic Republic Of The Congo,freshwater habitat,,1000 Hz,10 dB,bipedal movement,apatite,Stable,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Western corella,Animalia,Chordata,Aves,https://eol.org/pages/45516620,Cacatua pastinator (Western Corella) is a species of birds in the family cockatoos. They are listed in cites appendix ii. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,,Australia,pasture,,,,bipedal movement,,Increasing,corneal eyes,,,,,,,,,,,,,,,,,26.3 years,,637 g,,,,,,,,42.1 mm,27.6 mm,10.41 degrees celsius,,,,,,,,,,,,,,,,,,,,,,,
0,Western crowned pigeon,Animalia,Chordata,Aves,https://eol.org/pages/45516237,Goura cristata (Western Crowned Pigeon) is a species of birds in the family Columbidae. They are listed as vulnerable by IUCN and in cites appendix ii. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,New Guinea Mangroves,United States,terrestrial,,,20 dB,bipedal movement,apatite,Decreasing,corneal eyes,2000 g,vulnerable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Western crowned warbler,Animalia,Chordata,Aves,https://eol.org/pages/45517034,Phylloscopus occipitalis (Western Crowned Warbler) is a species of birds in the family Phylloscopidae. They are found in the indo-malayan realm and the palearctic. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,Western Himalayan Alpine Shrub And Meadows,Yellow Sea,terrestrial,,5000 Hz,10 dB,flight,apatite,Stable,corneal eyes,11 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Western emerald,Animalia,Chordata,Aves,https://eol.org/pages/45512282,Chlorostilbon melanorhynchus (Western Emerald) is a species of birds in the family hummingbirds. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,Cauca Valley Dry Forests,Colombia,tropical,,5000 Hz,20 dB,bipedal movement,apatite,,corneal eyes,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Western fieldwren,Animalia,Chordata,Aves,https://eol.org/pages/45518103,Calamanthus montanellus (Western Fieldwren) is a species of birds in the family Acanthizidae. They rely on flight to move around.,tympanic middle ear,,,Indian Ocean,,,5000 Hz,10 dB,flight,apatite,,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Western gerygone,Animalia,Chordata,Aves,https://eol.org/pages/45516689,Gerygone fusca (Western Gerygone) is a species of birds in the family Acanthizidae. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,,Indian Ocean,"desert,terrestrial",,,10 dB,flight,apatite,Decreasing,corneal eyes,6.6 g,,Museum of Zoology Senckenberg Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Western grasswren,Animalia,Chordata,Aves,https://eol.org/pages/45518082,Amytornis textilis (Thick Billed Grasswren) is a species of birds in the family Maluridae. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,Simpson Desert,Australia,arid,,5000 Hz,10 dB,bipedal movement,apatite,,corneal eyes,25.6 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Western grebe,Animalia,Chordata,Aves,https://eol.org/pages/45509035,Aechmophorus occidentalis (Western Grebe) is a species of birds in the family grebes. They are listed as of special concern by COSEWIC. They are associated with freshwater habitat. They are native to The Nearctic. They are diurnal. They have parental care (occasionally breeds cooperatively). They rely on drag powered swimming and flight to move around.,,The Neotropics,,Gulf Of Mexico,,,,,flight,,Stable,,,,,freshwater,vertivore,,,bilaterally symmetric,,,nectonic,,The Nearctic,21 days,,,14 years,,30.7 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Western greenbul,Animalia,Chordata,Aves,https://eol.org/pages/45514327,Arizelocichla tephrolaema (Western Greenbul) is a species of birds in the family bulbuls. They rely on flight to move around.,tympanic middle ear,,,Nigeria,"tropical,terrestrial",,5000 Hz,10 dB,flight,apatite,Stable,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Haemoproteus,,,,,,,,,,,,,,,,,,,,,,
0,Western ground parrot,Animalia,Chordata,Aves,https://eol.org/pages/45518006,Pezoporus flaviventris (Western Ground Parrot) is a species of birds in the family Psittaculidae. They rely on flight to move around.,otoliths,,,,scree,,1000 Hz,20 dB,bipedal movement,apatite,,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Western gull,Animalia,Chordata,Aves,https://eol.org/pages/45509295,Larus occidentalis (Western Gull) is a species of birds in the family Laridae. They are found in The Nearctic. They are diurnal omnivores. They have parental care (pair provides care). They rely on flight to move around.,,The Nearctic,,North Pacific,,,,,flight,,Increasing,,,,,coastal,,,,,,,nectonic,,,27 days,,1 /year,33.9 years,,931.5 g,0.136 /day,,,,,,3.43629 watts,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Western hemispingus,Animalia,Chordata,Aves,https://eol.org/pages/1282631,Hemispingus ochraceus (Western Hemispingus) is a species of birds in the family tanagers. They rely on flight to move around.,tympanic middle ear,,,,,,5000 Hz,10 dB,flight,apatite,,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Western jackdaw,Animalia,Chordata,Aves,https://eol.org/pages/45510000,Coloeus monedula (Eurasian Jackdaw) is a species of birds in the family Corvidae. They rely on flight to move around.,tympanic middle ear,,,United States,valley,,5000 Hz,10 dB,flight,apatite,,corneal eyes,,,Senckenberg Museum,,,,,,,,,,,,,,,,,,,,,,,,,,,Capillaria,Accipiter gentilis (Linnaeus 1758) (Northern Goshawk),Capillaria,,,,,,,,,,,,,,,,,,,,
0,Western kingbird,Animalia,Chordata,Aves,https://eol.org/pages/45510928,Tyrannus verticalis (Western Kingbird) is a species of birds in the family tyrant flycatchers. They are native to The Nearctic. They are diurnal carnivores. They have parental care (female provides care and paternal care). They rely on flight to move around.,,The Neotropics,,Delaware,,,,,,,Increasing,,,,,,insectivore,,,bilaterally symmetric,,seeds,,monogamous,The Nearctic,13 days,,1 /year,,,,0.416 /day,,,,,,,,,,,,,0.14 oz,,,,,,,,,,,,,,,,,,,
0,Western marsh harrier,Animalia,Chordata,Aves,https://eol.org/pages/45511397,"Circus aeruginosus (Western Marsh Harrier) is a species of birds in the family Accipitridae. They are listed in cites appendix ii. They are found in the palearctic, Afrotropics, and the indo-malayan realm. They are diurnal. They have parental care (occasionally breeds cooperatively). They rely on flight to move around.",,the palearctic,,United States,grassland,,,,flight,,Increasing,corneal eyes,,,,terrestrial,vertivore,,Phoeniconaias minor (Geoffroy Saint-Hilaire & É 1798) (Lesser Flamingo),,,,,,,,,,20.1 years,,711.5 g,,,,,Cricetus cricetus (Linnaeus 1758) (Great Hamster),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Western meadowlark,Animalia,Chordata,Aves,https://eol.org/pages/45511135,Sturnella neglecta (Horned Lark) is a species of birds in the family New World blackbirds. They are found in The Nearctic and The Neotropics. They are diurnal. They have parental care (pair provides care). They rely on flight to move around.,,The Nearctic,,United States,mountain,,,,flight,,Decreasing,,,,,terrestrial,invertivore,,Elateridae (click beetles),,,,,,,14 days,,2 /year,10 years,,7 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Western Miombo sunbird,Animalia,Chordata,Aves,https://eol.org/pages/52571325,Cinnyris gertrudis (Western Miombo Sunbird) is a species of birds in the family Sunbirds. They rely on flight to move around.,tympanic middle ear,,,,,,5000 Hz,10 dB,flight,apatite,,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Western nicator,Animalia,Chordata,Aves,https://eol.org/pages/45515286,Nicator chloris (Western Nicator) is a species of birds in the family Nicatoridae. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,Afrotropics,Nigerian Lowland Forests,Mozambique,"tropical,terrestrial",,,10 dB,flight,apatite,Stable,corneal eyes,55 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Western olivaceous warbler,Animalia,Chordata,Aves,https://eol.org/pages/45515433,Iduna opaca (Western Olivaceous Warbler) is a species of birds in the family Acrocephalidae. They rely on flight to move around.,tympanic middle ear,,,Egypt,terrestrial,,5000 Hz,10 dB,bipedal movement,apatite,Decreasing,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Haemoproteus,,,,,,,,,,,,,,,,,,,,,,
0,Western oriole,Animalia,Chordata,Aves,https://eol.org/pages/45514274,Oriolus brachyrynchus (Western Black Headed Oriole) is a species of birds in the family orioles. They rely on flight to move around.,tympanic middle ear,,,Cameroon,terrestrial,,5000 Hz,10 dB,flight,apatite,Stable,corneal eyes,,,,,,,Lannea (Tree grapes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Western Orphean warbler,Animalia,Chordata,Aves,https://eol.org/pages/45515465,"Sylvia hortensis (Orphean Warbler) is a species of birds in the family Sylviidae. They are found in the palearctic, the indo-malayan realm, and Afrotropics. They are diurnal. They have parental care (pair provides care). They rely on flight to move around.",tympanic middle ear,the palearctic,Mesopotamian Shrub Desert,North Atlantic,,,,10 dB,flight,apatite,,corneal eyes,22 g,,,terrestrial,invertivore,,,,,,,,,15 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Western osprey,Animalia,Chordata,Aves,https://eol.org/pages/45509079,"Pandion haliaetus (Osprey) is a species of birds in the family ospreys. They are listed in cites appendix ii. They are associated with freshwater habitat. They are native to Australia, the Palearctic, Asia, The Nearctic, Ethiopia, The Neotropics, and United States. They are solitary, diurnal carnivores. They have parental care (female provides care and paternal care). They rely on flight to move around.",,,,United States,,,,,,,Increasing,,,,,,piscivore,,,bilaterally symmetric,,fish,,polygynous,United States,38 days,group living,1 /year,,,,0.172 /day,,,,,,,,,,,,,,0.6 /year,,,,,,,,,,,,,,,,,,
0,Western parotia,Animalia,Chordata,Aves,https://eol.org/pages/45516943,Parotia sefilata (Western Parotia) is a species of birds in the family Birds-of-Paradise. They are listed in cites appendix ii. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,,Indonesia,"mountain,terrestrial",,,10 dB,bipedal movement,apatite,Stable,corneal eyes,205 g,cites appendix ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Western plantaineater,Animalia,Chordata,Aves,https://eol.org/pages/45514011,Crinifer piscator (Western Grey Plantain Eater) is a species of birds in the family turacos. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,Afrotropics,,Mali,"tropical,terrestrial",,,,flight,apatite,Stable,corneal eyes,370 g,,,,,Lannea (Tree grapes),Elaeis guineensis Jacq. (African oil palm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Western quailthrush,Animalia,Chordata,Aves,https://eol.org/pages/45518159,Cinclosoma marginatum (Western Quail Thrush) is a species of birds in the family Psophodidae. They rely on flight to move around.,tympanic middle ear,,,Australia,arid,,5000 Hz,10 dB,flight,apatite,,corneal eyes,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Western reef heron,Animalia,Chordata,Aves,https://eol.org/pages/45511359,"Egretta gularis (Reef Heron) is a species of birds in the family Ardeidae. They are associated with freshwater habitat. They are found in the indo-malayan realm, Afrotropics, and the palearctic. They rely on flight to move around.",tympanic middle ear,the indo-malayan realm,,Red Sea,"coastal,freshwater habitat",,,20 dB,flight,apatite,Stable,corneal eyes,400 g,,,,,,,,,,nectonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Western rock nuthatch,Animalia,Chordata,Aves,https://eol.org/pages/45513690,Sitta neumayer (Rock Nuthatch) is a species of birds in the family Sittidae. They are found in the palearctic. They rely on flight to move around.,tympanic middle ear,the palearctic,,Turkey,"cave,terrestrial",,,10 dB,flight,apatite,Stable,corneal eyes,35.5 g,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Western rosella,Animalia,Chordata,Aves,https://eol.org/pages/45517984,Platycercus icterotis (Western Rosella) is a species of birds in the family Psittaculidae. They are listed in cites appendix ii. They are found in australasia. They rely on flight to move around.,,australasia,,Australia,coastal,,,,bipedal movement,,Decreasing,corneal eyes,,,,,,,Poaceae (True grasses),,,,,,,,,,13.2 years,,63.3 g,,,,,,,,12.8 mm,16.6 mm,9.73 degrees celsius,,,,,,,,,,,,,,,,,,,,,,,
0,Western screech owl,Animalia,Chordata,Aves,https://eol.org/pages/51399564,"EOL has data for 6 attributes, including:",,The Neotropics,Sierra Madre De Oaxaca Pine-Oak Forests,Canada,,,,,,,,,,cites appendix ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,
0,Western sirystes,Animalia,Chordata,Aves,https://eol.org/pages/45511839,Sirystes albogriseus (Choco Sirystes) is a species of birds in the family tyrant flycatchers. They rely on flight to move around.,tympanic middle ear,,,Colombia,subtropical,,5000 Hz,10 dB,bipedal movement,apatite,,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Western spindalis,Animalia,Chordata,Aves,https://eol.org/pages/45510512,Spindalis zena (Western Spindalis) is a species of birds in the family Spindalidae. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,,United States,"tropical,terrestrial",,,10 dB,flight,apatite,Stable,corneal eyes,,,"University Museum of Zoology, Cambridge",,,,Roystonea borinquena O. F. Cook (Puerto Rico royal palm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Western spinebill,Animalia,Chordata,Aves,https://eol.org/pages/45518421,Acanthorhynchus superciliosus (Western Spinebill) is a species of birds in the family honeyeaters. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,Southwest Australia Savanna,Australia,"heath,terrestrial",,,10 dB,bipedal movement,apatite,Decreasing,corneal eyes,11 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Western striolated puffbird,Animalia,Chordata,Aves,https://eol.org/pages/43500974,Nystalus obamai (Western Striolated Puffbird) is a species of birds in the family Bucconidae. They rely on flight to move around.,otoliths,,,Bolivia,tropical,,1000 Hz,20 dB,bipedal movement,apatite,,corneal eyes,,,Museu Paraense Emilio Goeldi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Western swamphen,Animalia,Chordata,Aves,https://eol.org/pages/45509123,"Porphyrio porphyrio (Purple Swamphen) is a species of birds in the family rails. They are associated with freshwater habitat. They are native to Thailand, Zimbabwe, Iraq, Belgium, Angola, Israel, Palau, Iran, Papua New Guinea, Cameroon, Oman, Uganda, Portugal, Central African Republic, Syria, Burkina Faso, Asia, Greece, Australia, Azerbaijan, Nigeria, Ethiopia, Malaysia, the Palearctic, Mauritania, Turkmenistan, France, Zambia, Russia, Cyprus, Myanmar, Liberia, Czech Republic, Tonga, Jordan, Burundi, Rwanda, Niue, Hong Kong, India, Egypt, American Samoa, Vanuatu, Italy, Senegal, East Timor, Gambia, Côte D’Ivoire, South Africa, Germany, Sierra Leone, Guinea-Bissau, Ghana, Solomon Islands, Austria, Spain, Saint Helena, Fiji, Afghanistan, United Arab Emirates, Togo, Morocco, Mali, Algeria, Vietnam, Mozambique, Indonesia, Croatia, Democratic Republic Of The Congo, Lebanon, Bhutan, Tunisia, Norway, Botswana, Turkey, Laos, Somalia, Hungary, Chad, Lesotho, New Caledonia, Malawi, Mauritius, Niger, Swaziland, Sri Lanka, Sudan, Tanzania, China, Kuwait, Cambodia, Poland, Namibia, Samoa, The Philippines, New Zealand, Pakistan, Kenya, Kazakhstan, Madagascar, Bangladesh, Singapore, and Nepal. They are diurnal omnivores. They have parental care (cooperative breeding, female provides care, and paternal care). They rely on flight and running to move around.",,the palearctic,,United States,,,,,running,,Unknown,,,,Museum of Zoology Senckenberg Dresden,freshwater,,,,bilaterally symmetric,,insects,,polygynous,Ethiopia,,group living,,,,,,,,,,,,,,,,,,,,,protection,,,,,,,,,,,,,,,,
0,Western tanager,Animalia,Chordata,Aves,https://eol.org/pages/1178180,"Piranga ludoviciana (Western Tanager) is a species of birds in the family cardinals. They are native to United States, The Neotropics, and The Nearctic. They are crepuscular carnivores. They have parental care (female provides care and paternal care). They rely on flight to move around.",,The Neotropics,,California,,,,,flight,,Increasing,,,,,,insectivore,,,bilaterally symmetric,,insects,,monogamous,United States,13 days,,1 /year,,,,,,,,,,,,,,,,,,,,provisioning,,,,,,,,,,,,,,,,
0,Western thornbill,Animalia,Chordata,Aves,https://eol.org/pages/45518128,Acanthiza inornata (Western Thornbill) is a species of birds in the family Acanthizidae. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,Swan Coastal Plain Scrub And Woodlands,Australia,terrestrial,,,10 dB,bipedal movement,apatite,Decreasing,corneal eyes,8 g,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Western tinkerbird,Animalia,Chordata,Aves,https://eol.org/pages/1177708,Pogoniulus coryphaea (Western Green Tinkerbird) is a species of birds in the family African barbets. They rely on flight to move around.,otoliths,,,Cameroon,terrestrial,,1000 Hz,20 dB,bipedal movement,apatite,Decreasing,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Western tragopan,Animalia,Chordata,Aves,https://eol.org/pages/45516005,Tragopan melanocephalus (Western Tragopan) is a species of birds in the family Phasianidae. They are listed as vulnerable by IUCN and in cites appendix i. They are found in the indo-malayan realm and the palearctic. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,,Pakistan,"temperate,terrestrial",,,20 dB,bipedal movement,apatite,Decreasing,corneal eyes,2150 g,vulnerable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Western wattlebird,Animalia,Chordata,Aves,https://eol.org/pages/45518510,Anthochaera lunulata (Little Wattlebird) is a species of birds in the family honeyeaters. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,Esperance Mallee,Australia,"coastal,terrestrial",,,10 dB,bipedal movement,apatite,Increasing,corneal eyes,78 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Western wattled cuckooshrike,Animalia,Chordata,Aves,https://eol.org/pages/45515225,Lobotos lobatus (Western Wattled Cuckooshrike) is a species of birds in the family cuckoo-shrikes. They are listed as vulnerable by IUCN. They rely on flight to move around.,tympanic middle ear,,,Guinea,"subtropical,terrestrial",,5000 Hz,10 dB,bipedal movement,apatite,Decreasing,corneal eyes,,vulnerable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Western whistler,Animalia,Chordata,Aves,https://eol.org/pages/45518626,Pachycephala occidentalis (Western Whistler) is a species of birds in the family whistlers. They rely on flight to move around.,tympanic middle ear,,,Indian Ocean,,,5000 Hz,10 dB,flight,apatite,,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Western wood pewee,Animalia,Chordata,Aves,https://eol.org/pages/45510894,Contopus sordidulus (Western Wood Pewee) is a species of birds in the family tyrant flycatchers. They are associated with freshwater habitat. They are found in The Neotropics and The Nearctic. They are diurnal carnivores. They have parental care (female provides care and paternal care). They rely on flight to move around.,,The Neotropics,,California,,,,,flight,,Decreasing,,,,,,insectivore,,,bilaterally symmetric,,arthropods,,monogamous,,14 days,,1 /year,8.1 years,,,,,,,,,,,,,,,,,,,protection,,,,,,,,,,,,,,,,
0,Western woodhaunter,Animalia,Chordata,Aves,https://eol.org/pages/52570880,Automolus virgatus (Western Woodhaunter) is a species of birds in the family ovenbirds. They rely on flight to move around.,tympanic middle ear,,,,subtropical,,5000 Hz,10 dB,flight,apatite,,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Western yellow robin,Animalia,Chordata,Aves,https://eol.org/pages/45518299,Eopsaltria griseogularis (Grey Breasted Robin) is a species of birds in the family australasian robins. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,Murray-Darling Woodlands And Mallee,Australia,"arid,terrestrial",,5000 Hz,10 dB,bipedal movement,apatite,Decreasing,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Western yellow wagtail,Animalia,Chordata,Aves,https://eol.org/pages/45511043,"Motacilla flava (Blue Headed Wagtail) is a species of birds in the family Motacillidae. They are found in The Nearctic, Afrotropics, australasia, Antarctica, the indo-malayan realm, the palearctic, and Oceania continent (Australia, NZ and islands). They are diurnal. They have parental care (pair provides care). They rely on flight to move around.",,the palearctic,,United States,mountain,,,,flight,,,,,,Zoologisches Forschungsmuseum Alexander Koenig,terrestrial,invertivore,,,,,,,,,11 days,,1 /year,8.8 years,,17.7 g,,,,,,,0.257 watts,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Westland petrel,Animalia,Chordata,Aves,https://eol.org/pages/45512130,Procellaria westlandica (Westland Black Petrel) is a species of birds in the family Procellariidae. They are listed as endangered by IUCN. They are nocturnal. They have parental care (pair provides care). They rely on flight to move around.,tympanic middle ear,,,New Zealand,"coastal,terrestrial",,,,flight,,Unknown,corneal eyes,1199 g,,,marine pelagic,invertivore,,Kondakovia longimana Filippova 1972,,,,nectonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Wetar figbird,Animalia,Chordata,Aves,https://eol.org/pages/1051845,Sphecotheres hypoleucus (Wetar Figbird) is a species of birds in the family orioles. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,Timor And Wetar Deciduous Forests,Indonesia,terrestrial,,5000 Hz,10 dB,bipedal movement,apatite,Stable,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Wetar ground dove,Animalia,Chordata,Aves,https://eol.org/pages/1049812,Alopecoenas hoedtii (Wetar Ground Dove) is a species of birds in the family Columbidae. They are listed as endangered by IUCN. They rely on flight to move around.,tympanic middle ear,,,,terrestrial,,5000 Hz,20 dB,flight,apatite,Decreasing,corneal eyes,,endangered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Whinchat,Animalia,Chordata,Aves,https://eol.org/pages/45513716,Saxicola rubetra (Whinchat) is a species of birds in the family Old World flycatchers. They are found in Afrotropics and the palearctic. They are diurnal. They have parental care (occasionally breeds cooperatively). They rely on flight to move around.,,Afrotropics,,Mozambique,grassland,,,,flight,,Decreasing,,,,Zoologisches Forschungsmuseum Alexander Koenig,terrestrial,invertivore,,,,,,,,,,,,6.9 years,,16.6 g,0.433 /day,,,,Platycnemis pennipes (Pallas 1771) (Blue Featherleg),,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Whiskered auklet,Animalia,Chordata,Aves,https://eol.org/pages/45509365,Aethia pygmaea (Whiskered Auklet) is a species of birds in the family auks. They are found in The Nearctic and the palearctic. They rely on flight and lift powered swimming to move around.,tympanic middle ear,The Nearctic,,North Pacific,,,,,flight,,Decreasing,corneal eyes,132 g,,,,,,Hexagrammos,,,,nectonic,,,,,,15 years,,120 g,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
0,Whiskered flowerpecker,Animalia,Chordata,Aves,https://eol.org/pages/1051717,Dicaeum proprium (Whiskered Flowerpecker) is a species of birds in the family Dicaeidae. They are found in the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,Mindanao Montane Rain Forests,The Philippines,"montane forest,terrestrial",,,10 dB,bipedal movement,apatite,Decreasing,corneal eyes,10.2 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
