,Common Name,Kingdom,Phylum,Class,Link,Description,auditory system,body mass,eats,ecomorphological guild,geographic distribution includes,habitat,locomotion,mineralized skeleton contains,population trend,preys on,visual system,parasitized by,hearing range,hearing threshold,biogeographic realm,body shape,diet includes,mating system,native range includes,parental care,social system,trophic guild,bill length,life span,tarsus length,temperature at range midpoint latitude,visits flowers of,weight,conservation status,ecoregion,foraging habitat,initial mortality rate,invasive in,litters per year,prenatal development duration,behavioral circadian rhythm,type specimen repository,genome size,has ectoparasite,is vector for,is eaten by,Leaf Complexity,leaf morphology,leaf sheddability,photosynthetic pathway,plant growth form,plant lifeform,produces,visits,has host,parasite of,clutch/brood/litter size,growth rate,basal metabolic rate,mortality rate doubling time,motility,number of public records in bold,sensory system,host of,mineralized tissue contains,reproduction,fruit type,leaf lamina area,leaf mass per area,leaf nitrogen per dry mass,vegetative plant height,preyed upon by,onset of fertility,tarsometatarsus + middle toe length,trophic level,symbiont of,body length,mutualistic with
0,Nile Valley sunbird,Animalia,Chordata,Aves,https://eol.org/pages/45514846,Hedydipna metallica (Nile Valley Sunbird) is a species of birds in the family Sunbirds. They rely on flight to move around.,tympanic middle ear,7.5 g,,,Oman,"valley,terrestrial",bipedal movement,apatite,Stable,,corneal eyes,,5000 Hz,10 dB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Nilgiri blue robin,Animalia,Chordata,Aves,https://eol.org/pages/57691065,Myiomela major (Nilgiri Blue Robin) is a species of  in the family Old World flycatchers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Nilgiri flowerpecker,Animalia,Chordata,Aves,https://eol.org/pages/1051699,Dicaeum concolor (Nilgiri Flowerpecker) is a species of birds in the family Dicaeidae. They are found in the palearctic and the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,8 g,,,South China Sea,tropical,flight,apatite,,,corneal eyes,,5000 Hz,10 dB,the palearctic,,,,,,,,,,,,,,,Southeastern Indochina Dry Evergreen Forests,,,,,,,Senckenberg Museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Nilgiri flycatcher,Animalia,Chordata,Aves,https://eol.org/pages/45517482,Eumyias albicaudatus (Nilgiri Flycatcher) is a species of birds in the family Old World flycatchers. They rely on flight to move around.,otoliths,,,,India,terrestrial,bipedal movement,apatite,Decreasing,,corneal eyes,,1000 Hz,10 dB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Nilgiri laughingthrush,Animalia,Chordata,Aves,https://eol.org/pages/45517226,Montecincla cachinnans (Nilgiri Laughingthrush) is a species of birds in the family Leiothrichidae. They rely on flight to move around.,tympanic middle ear,,,,India,,flight,apatite,,,corneal eyes,,5000 Hz,10 dB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Nilgiri pipit,Animalia,Chordata,Aves,https://eol.org/pages/45517661,Anthus nilghiriensis (Nilgiri Pipit) is a species of birds in the family Motacillidae. They are listed as vulnerable by IUCN. They are found in the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,,,,India,"grassland,terrestrial",bipedal movement,apatite,Decreasing,,corneal eyes,,,10 dB,the indo-malayan realm,,,,,,,,,,,,,,vulnerable,,,,,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Nilgiri thrush,Animalia,Chordata,Aves,https://eol.org/pages/20621232,Zoothera neilgherriensis (Nilgiri Thrush) is a species of birds in the family thrushes. They rely on flight to move around.,otoliths,,,,,grassland,bipedal movement,apatite,,,corneal eyes,,1000 Hz,10 dB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Nilgiri wood pigeon,Animalia,Chordata,Aves,https://eol.org/pages/45516185,Columba elphinstonii (Nilgiri Wood Pigeon) is a species of birds in the family Columbidae. They are listed as vulnerable by IUCN. They are found in the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,379 g,,,India,"mountain,terrestrial",flight,apatite,Decreasing,,corneal eyes,,,20 dB,the indo-malayan realm,,,,,,,,,,,,,,vulnerable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Nimba flycatcher,Animalia,Chordata,Aves,https://eol.org/pages/45514708,Melaenornis annamarulae (Nimba Flycatcher) is a species of birds in the family Old World flycatchers. They are listed as vulnerable by IUCN. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,42.3 g,,,Liberia,terrestrial,flight,apatite,Decreasing,,corneal eyes,,,10 dB,Afrotropics,,,,,,,,,,,,,,vulnerable,,,,,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Nkulengu rail,Animalia,Chordata,Aves,https://eol.org/pages/45513896,Himantornis haematopus (Nkulengu Rail) is a species of birds in the family rails. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,870 g,,,Uganda,"coastal,freshwater habitat",flight,apatite,Decreasing,,corneal eyes,,,20 dB,Afrotropics,,,,,,,,,,,,,,,Eastern Guinean Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Noble snipe,Animalia,Chordata,Aves,https://eol.org/pages/1049589,Gallinago nobilis (Noble Snipe) is a species of birds in the family Scolopacidae. They are listed as near threatened by IUCN. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,188 g,,,Colombia,"grassland,terrestrial",bipedal movement,apatite,Decreasing,,corneal eyes,,,20 dB,The Neotropics,,,,,,,,,,,,,,near threatened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Nocturnal curassow,Animalia,Chordata,Aves,https://eol.org/pages/45512047,Nothocrax urumutum (Nocturnal Curassow) is a species of birds in the family Cracidae. They are found in The Neotropics. They are nocturnal. They rely on flight to move around.,tympanic middle ear,,,,United States,"tropical,terrestrial",bipedal movement,apatite,Decreasing,,corneal eyes,,,20 dB,The Neotropics,,,,,,,,,,,,,,,Napo Moist Forests,,,,,,nocturnal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Noisy friarbird,Animalia,Chordata,Aves,https://eol.org/pages/45518465,Philemon corniculatus (Noisy Friarbird) is a species of birds in the family honeyeaters. They are found in australasia. They rely on flight to move around.,tympanic middle ear,136 g,Diplacodes Kirby 1889,,Australia,"valley,terrestrial",flight,apatite,Stable,Cicada,corneal eyes,,,,australasia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Noisy miner,Animalia,Chordata,Aves,https://eol.org/pages/45518526,Manorina melanocephala (Noisy Miner) is a species of birds in the family honeyeaters. They are found in australasia. They are diurnal. They rely on flight to move around.,tympanic middle ear,91 g,Strelitzia nicolai Regel & Körn. (Natal wild banana),,North Pacific,"coastal,terrestrial",flight,apatite,Increasing,,corneal eyes,,,,australasia,,,,,,,,,,,,,,,,,,,,,diurnal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Noisy pitta,Animalia,Chordata,Aves,https://eol.org/pages/45518043,Pitta versicolor (Noisy Pitta) is a species of birds in the family pittas. They are found in australasia. They rely on flight to move around.,tympanic middle ear,128 g,,,Australia,"forest,terrestrial",bipedal movement,apatite,Decreasing,,corneal eyes,,,10 dB,australasia,,,,,,,,,,,,,,,Queensland Tropical Rain Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Noisy scrubbird,Animalia,Chordata,Aves,https://eol.org/pages/45518372,Atrichornis clamosus (Chestnut Rumped Hylacola) is a species of birds in the family scrub-birds. They are listed as endangered by IUCN and in cites appendix i. They are found in australasia. They rely on flight to move around.,tympanic middle ear,37 g,,,Australia,"subtropical,terrestrial",bipedal movement,apatite,Decreasing,,corneal eyes,,,10 dB,australasia,,,,,,,,,,,,,,endangered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Nonggang babbler,Animalia,Chordata,Aves,https://eol.org/pages/45517132,Stachyris nonggangensis (Nonggang Babbler) is a species of birds in the family babblers. They are listed as vulnerable by IUCN. They rely on flight to move around.,tympanic middle ear,,,,,"karst,terrestrial",bipedal movement,apatite,Decreasing,,corneal eyes,,5000 Hz,10 dB,,,,,,,,,,,,,,,vulnerable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Nordmanns greenshank,Animalia,Chordata,Aves,https://eol.org/pages/45516166,Tringa guttifer (Nordmann's Greenshank) is a species of birds in the family Scolopacidae. They are listed as endangered by IUCN and in cites appendix i. They are found in the indo-malayan realm and the palearctic. They rely on flight to move around.,tympanic middle ear,158 g,,nectonic,United States,"beach,freshwater habitat",flight,apatite,Decreasing,,corneal eyes,,,,the indo-malayan realm,,,,,,,,,,,,,,endangered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Norfolk gerygone,Animalia,Chordata,Aves,https://eol.org/pages/45518117,Gerygone modesta (Norfolk Gerygone) is a species of birds in the family Acanthizidae. They are listed as near threatened by IUCN. They are found in australasia. They rely on flight to move around.,tympanic middle ear,8.699999999999999 g,,,Norfolk Island,"subtropical,terrestrial",bipedal movement,apatite,Stable,,corneal eyes,,,10 dB,australasia,,,,,,,,,,,,,,near threatened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Norfolk ground dove,Animalia,Chordata,Aves,https://eol.org/pages/52570738,Alopecoenas norfolkensis (Norfolk Ground Dove) is a species of birds in the family Columbidae. They rely on flight to move around.,tympanic middle ear,,,,,,flight,apatite,,,corneal eyes,,5000 Hz,20 dB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Norfolk kaka,Animalia,Chordata,Aves,https://eol.org/pages/45517888,Nestor productus (Long Billed Kaka) is a species of birds in the family Strigopidae. This species is extinct. They rely on flight to move around.,tympanic middle ear,,,,South Pacific,terrestrial,flight,apatite,,,corneal eyes,,5000 Hz,20 dB,,,,,,,,,,,,,,,extinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Norfolk parakeet,Animalia,Chordata,Aves,https://eol.org/pages/45517967,Cyanoramphus cookii (Norfolk Parakeet) is a species of birds in the family Psittaculidae. They are listed in cites appendix i. They are found in australasia. They rely on flight to move around.,tympanic middle ear,,Dalechampia (dalechampia),,Norfolk Island,,bipedal movement,apatite,,,corneal eyes,,5000 Hz,20 dB,australasia,,,,,,,,,,,,,,endangered,Norfolk Island Subtropical Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Norfolk robin,Animalia,Chordata,Aves,https://eol.org/pages/45518324,"Petroica multicolor (Norfolk Robin) is a species of birds in the family australasian robins. They are found in Oceania continent (Australia, NZ and islands) and australasia. They rely on flight to move around.",tympanic middle ear,11 g,,,Australia,subtropical,flight,apatite,,,corneal eyes,Pseudaprocta copemani Bain & Mawson 1981,5000 Hz,10 dB,"Oceania continent (Australia, NZ and islands)",,,,,,,,,,,,,,,Esperance Mallee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Noronha elaenia,Animalia,Chordata,Aves,https://eol.org/pages/45512970,Elaenia ridleyana (Noronha Elaenia) is a species of birds in the family tyrant flycatchers. They are listed as vulnerable by IUCN. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,40 g,,,South Atlantic,"scrubland,terrestrial",bipedal movement,apatite,Stable,,corneal eyes,,,,The Neotropics,,,,,,,,,,,,,,vulnerable,,,,,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Noronha vireo,Animalia,Chordata,Aves,https://eol.org/pages/45513353,Vireo gracilirostris (Noronha Vireo) is a species of birds in the family vireos. They are listed as near threatened by IUCN. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,20 g,,,South Atlantic,terrestrial,bipedal movement,apatite,Unknown,,corneal eyes,,,10 dB,The Neotropics,,,,,,,,,,,,,,near threatened,,,,,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,North Island brown kiwi,Animalia,Chordata,Aves,https://eol.org/pages/130161,Apteryx mantelli (Kiwi) is a species of birds in the family kiwis. They are listed as vulnerable by IUCN. They are nocturnal.,tympanic middle ear,,,,New Zealand,"tropical,terrestrial",bipedal movement,apatite,Stable,,corneal eyes,,5000 Hz,20 dB,,,,,,,,,,,,,,,vulnerable,,,,,,,nocturnal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,North Island kōkako,Animalia,Chordata,Aves,https://eol.org/pages/45518141,Callaeas wilsoni (North Island Kokako) is a species of birds in the family New Zealand wattlebirds. They rely on flight to move around.,tympanic middle ear,,Knightia excelsa R. Br.,,New Zealand,,bipedal movement,apatite,,,corneal eyes,,5000 Hz,10 dB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,North Island piopio,Animalia,Chordata,Aves,https://eol.org/pages/45518635,Turnagra tanagra (North Island Piopio) is a species of birds in the family orioles. This species is extinct. They rely on flight to move around.,tympanic middle ear,,,,,terrestrial,flight,apatite,,,corneal eyes,,5000 Hz,10 dB,,,,,,,,,,,,,,,extinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,North Island robin,Animalia,Chordata,Aves,https://eol.org/pages/4403150,Petroica longipes (North Island Robin) is a species of birds in the family australasian robins. They rely on flight to move around.,tympanic middle ear,,Malus (apple),,,,flight,apatite,,,corneal eyes,Plasmodium subgen. Plasmodium,5000 Hz,10 dB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,North Island saddleback,Animalia,Chordata,Aves,https://eol.org/pages/45518144,Philesturnus rufusater (North Island Saddleback) is a species of birds in the family New Zealand wattlebirds. They visit flowers of New Zealand flax. They rely on flight to move around.,tympanic middle ear,,Coprosma grandifolia Hook. fil.,,New Zealand,coastal,bipedal movement,apatite,,,corneal eyes,,5000 Hz,10 dB,,,,,,,,,,,,,Phormium tenax J. R. Forst. & G. Forst. (New Zealand flax),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,North Island snipe,Animalia,Chordata,Aves,https://eol.org/pages/18781032,Coenocorypha barrierensis (North Island Snipe) is a species of birds in the family Scolopacidae. This species is extinct. They rely on flight to move around.,tympanic middle ear,,,,South Pacific,terrestrial,flight,apatite,,,corneal eyes,,5000 Hz,20 dB,,,,,,,,,,,,,,,extinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,North Island takahē,Animalia,Chordata,Aves,https://eol.org/pages/915929,Porphyrio mantelli (North Island Takahe) is a species of birds in the family rails. This species is extinct. They are found in australasia. They rely on flight to move around.,tympanic middle ear,2600 g,,,South Pacific,terrestrial,flight,apatite,,,corneal eyes,,5000 Hz,20 dB,australasia,,,,,,,,,,,,,,extinct,Richmond Temperate Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,North Melanesian cuckooshrike,Animalia,Chordata,Aves,https://eol.org/pages/45518190,Coracina welchmani (North Melanesian Cuckooshrike) is a species of birds in the family cuckoo-shrikes. They rely on flight to move around.,tympanic middle ear,165 g,,,South Pacific,tropical,flight,apatite,,,corneal eyes,,5000 Hz,10 dB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,North Moluccan pitta,Animalia,Chordata,Aves,https://eol.org/pages/43501693,Erythropitta rufiventris (North Moluccan Pitta) is a species of birds in the family pittas. They rely on flight to move around.,otoliths,,,,Indonesia,tropical,bipedal movement,apatite,,,corneal eyes,,1000 Hz,10 dB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,North Solomons dwarf kingfisher,Animalia,Chordata,Aves,https://eol.org/pages/42999958,Ceyx meeki (North Solomons Dwarf Kingfisher) is a species of birds in the family Alcedinidae. They rely on flight to move around.,otoliths,,,,,"tropical,freshwater habitat",bipedal movement,apatite,Unknown,,corneal eyes,,1000 Hz,20 dB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Northern bald ibis,Animalia,Chordata,Aves,https://eol.org/pages/45513839,Geronticus eremita (Bald Ibis) is a species of birds in the family Threskiornithidae. They are listed as endangered by IUCN and in cites appendix i. They are found in the palearctic and Afrotropics. They are diurnal. They have parental care (pair provides care). They rely on flight to move around.,tympanic middle ear,,,,United States,mountain,flight,,Stable,,corneal eyes,,,,the palearctic,,,,,,,vertivore,,32.9 years,,,,1202 g,,,terrestrial,,,,,,,,,,,,,,,,,,,,,,0.237 /day,,,,,,,,,,,,,,,,,,,,
0,Northern barred woodcreeper,Animalia,Chordata,Aves,https://eol.org/pages/45511710,Dendrocolaptes sanctithomae (Northern Barred Woodcreeper) is a species of birds in the family ovenbirds. They rely on flight to move around.,tympanic middle ear,74 g,,,Belize,,bipedal movement,apatite,,,corneal eyes,,5000 Hz,10 dB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Northern beardless tyrannulet,Animalia,Chordata,Aves,https://eol.org/pages/45510884,Camptostoma imberbe (Northern Beardless Tyrannulet) is a species of birds in the family tyrant flycatchers. They are found in The Neotropics and The Nearctic. They rely on flight to move around.,tympanic middle ear,9.5 g,Membracidae (treehoppers),,United States,,flight,,Increasing,,corneal eyes,,,,The Neotropics,,,,,,,,,5.8 years,,,,7.4 g,,,,,,2 /year,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
0,Northern bentbill,Animalia,Chordata,Aves,https://eol.org/pages/45511781,Oncostoma cinereigulare (Northern Bentbill) is a species of birds in the family tyrant flycatchers. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,11 g,,,Belize,"tropical,terrestrial",bipedal movement,apatite,Stable,,corneal eyes,,,10 dB,The Neotropics,,,,,,,,,,,,,,,,,,,,,,(UMMZ) - UMMZ Birds Collection {http://www.lsa.umich.edu/ummz/birds/},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Northern black flycatcher,Animalia,Chordata,Aves,https://eol.org/pages/45514710,Melaenornis edolioides (Northern Black Flycatcher) is a species of birds in the family Old World flycatchers. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,35.7 g,Ficus lutea Vahl (Lagos rubbertree),,North Atlantic,"tropical,terrestrial",flight,apatite,Stable,,corneal eyes,,,10 dB,Afrotropics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Northern black korhaan,Animalia,Chordata,Aves,https://eol.org/pages/47042790,Afrotis afraoides (Northern Black Bustard) is a species of birds in the family bustards. They are listed in cites appendix ii. They rely on flight to move around.,tympanic middle ear,,,,Botswana,"grassland,terrestrial",bipedal movement,apatite,Stable,,corneal eyes,,5000 Hz,20 dB,,,,,,,,,,,,,,,cites appendix ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Northern bobwhite,Animalia,Chordata,Aves,https://eol.org/pages/45508974,"Colinus virginianus (Northern Bobwhite) is a species of birds in the family New World quails. They are listed as near threatened by IUCN and as endangered by COSEWIC. They are native to United States and The Nearctic. They are diurnal herbivores. They have parental care (paternal care, female provides care, and pair provides care). They rely on flight to move around.",,,,,United States,,,,,,,,,,,bilaterally symmetric,insects,promiscuous,United States,,group living,,13.8 mm,,32.6 mm,-0.22 degrees celsius,,,,,terrestrial,,,1.5 /year,24 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Northern boobook,Animalia,Chordata,Aves,https://eol.org/pages/45510750,Ninox japonica (Northern Boobook) is a species of birds in the family typical owls. They rely on flight to move around.,otoliths,,,,China,terrestrial,bipedal movement,apatite,Stable,,corneal eyes,,1000 Hz,-15 dB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Northern brownbul,Animalia,Chordata,Aves,https://eol.org/pages/45514366,Phyllastrephus strepitans (Northern Brownbul) is a species of birds in the family bulbuls. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,32.9 g,,,Ethiopia,"tropical,terrestrial",bipedal movement,apatite,Decreasing,,corneal eyes,,,10 dB,Afrotropics,,,,,,,,,,,,,,,Northern Zanzibar-Inhambane Coastal Forest Mosaic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Northern cardinal,Animalia,Chordata,Aves,https://eol.org/pages/1052070,"Cardinalis cardinalis (Northern Cardinal) is a species of birds in the family cardinals. They are associated with freshwater habitat. They are native to The Nearctic and The Neotropics. They are diurnal herbivores. They have parental care (occasionally breeds cooperatively, female provides care, and paternal care). They rely on flight to move around.",,,,,United States,,,,Stable,,,,,,,bilaterally symmetric,carrion,monogamous,The Nearctic,,group living,omnivore,,,,,,,,,terrestrial,,,2 /year,12 days,,,,,,,,,,,,,,,,,,,0.5163 watts,,,,,,,,,,,,,,,,,,,
0,Northern carmine beeeater,Animalia,Chordata,Aves,https://eol.org/pages/45514082,Merops nubicus (Northern Carmine Bee Eater) is a species of birds in the family bee-eaters. They are associated with freshwater habitat. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,51 g,,,United States,"terrestrial,terrestrial",flight,apatite,Decreasing,,corneal eyes,,,20 dB,Afrotropics,,,,,,,,,,,,,,,Western Zambezian Grasslands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Northern cassowary,Animalia,Chordata,Aves,https://eol.org/pages/45515898,"Casuarius unappendiculatus (Northern Cassowary) is a species of birds in the family Casuariidae. They are native to Australia. They are solitary, diurnal herbivores. They have parental care (paternal care and female provides care). They rely on running to move around.",,,,,United States,,running,,Decreasing,,,,,,australasia,bilaterally symmetric,reptiles,polyandrous,Australia,protection,solitary,frugivore,,,,,,,,,,,,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Northern catbird,Animalia,Chordata,Aves,https://eol.org/pages/47043244,Ailuroedus jobiensis (Northern Catbird) is a species of birds in the family bowerbirds. They rely on flight to move around.,tympanic middle ear,,,,United States,,flight,apatite,,,corneal eyes,,5000 Hz,10 dB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Northern crombec,Animalia,Chordata,Aves,https://eol.org/pages/45514419,Sylvietta brachyura (Northern Crombec) is a species of birds in the family Macrosphenidae. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,9.6 g,Diospyros ferrea (Willd.) Bakh.,,North Atlantic,lake,flight,apatite,,,corneal eyes,,,10 dB,Afrotropics,,,,,,,,,,,,,,,West Sudanian Savanna,,,,,,,"Harvard UNiversity, Museum of Comparative Zoology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Northern fantail,Animalia,Chordata,Aves,https://eol.org/pages/45518650,Rhipidura rufiventris (Northern Fantail) is a species of birds in the family Rhipiduridae. They are found in australasia. They rely on flight to move around.,tympanic middle ear,15 g,,,South Pacific,mangrove swamp,flight,apatite,,,corneal eyes,Haemoproteus,5000 Hz,10 dB,australasia,,,,,,,,,,,,,,,Vogelkop-Aru Lowland Rain Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Northern fiscal,Animalia,Chordata,Aves,https://eol.org/pages/45514268,Lanius humeralis (Northern Fiscal) is a species of birds in the family true shrikes. They rely on flight to move around.,tympanic middle ear,,,,Angola,grassland,bipedal movement,apatite,,,corneal eyes,,5000 Hz,10 dB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Northern flicker,Animalia,Chordata,Aves,https://eol.org/pages/1241455,Colaptes auratus auratus (Yellow Shafted Northern Flicker) is a subspecies of birds in the family woodpeckers. They rely on flight to move around.,tympanic middle ear,137 g,,,,,flight,apatite,,,corneal eyes,,5000 Hz,20 dB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Northern giant petrel,Animalia,Chordata,Aves,https://eol.org/pages/45512100,"Macronectes halli (Hall's Giant Petrel) is a species of birds in the family Procellariidae. They are found in Antarctica, Afrotropics, and australasia. They are nocturnal. They have parental care (pair provides care). They rely on flight to move around.",tympanic middle ear,4207 g,,nectonic,Mozambique,"marine,terrestrial",flight,,Increasing,,corneal eyes,,,,Antarctica,,,,,,,vertivore,,,,,,,,,marine pelagic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Northern golden bulbul,Animalia,Chordata,Aves,https://eol.org/pages/28355355,Thapsinillas longirostris (Northern Golden Bulbul) is a species of birds in the family bulbuls. They rely on flight to move around.,tympanic middle ear,,,,Indonesia,subtropical,bipedal movement,apatite,,,corneal eyes,,5000 Hz,10 dB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Northern grosbeakcanary,Animalia,Chordata,Aves,https://eol.org/pages/45515730,Crithagra donaldsoni (Northern Grosbeak Canary) is a species of birds in the family finches. They rely on flight to move around.,tympanic middle ear,,,,Indian Ocean,terrestrial,flight,apatite,Stable,,corneal eyes,,5000 Hz,10 dB,,,,,,,,,,,,,,,,,,,,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Northern harrier,Animalia,Chordata,Aves,https://eol.org/pages/45511398,Circus hudsonius (American Harrier) is a species of birds in the family Accipitridae. They rely on flight to move around.,tympanic middle ear,,Microtus (Mynomes) pennsylvanicus (Ord 1815) (Chihuahua Vole),,United States,freshwater habitat,flight,apatite,Decreasing,Anax junius (Drury 1773) (Common Green Darner),corneal eyes,,5000 Hz,20 dB,,,,,,,,,,,,,,,,,,,,,28 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Northern hawkowl,Animalia,Chordata,Aves,https://eol.org/pages/45510737,Surnia ulula (Northern Hawk Owl) is a species of birds in the family typical owls. They are listed in cites appendix ii. They are native to The Nearctic. They are nocturnal carnivores. They have parental care (pair provides care and female provides care). They rely on flight to move around.,,,,,United States,,flight,,Stable,,,,,,the palearctic,bilaterally symmetric,birds,monogamous,The Nearctic,,,vertivore,,,,,,,,,terrestrial,,,1 /year,27 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Northern jacana,Animalia,Chordata,Aves,https://eol.org/pages/45510686,Jacana spinosa (Northern Jacana) is a species of birds in the family jacanas. They are associated with freshwater habitat. They are native to The Neotropics and The Nearctic. They are diurnal carnivores. They have parental care (paternal care and female provides care). They rely on flight to move around.,,,,,United States,,flight,,Unknown,,,,,,The Nearctic,bilaterally symmetric,seeds,polyandrous,The Neotropics,protection,group living,insectivore,,,,,,,,,,,,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
