,Common Name,Kingdom,Phylum,Class,Link,Description,auditory system,body mass,eats,ecomorphological guild,geographic distribution includes,habitat,locomotion,mineralized skeleton contains,population trend,preys on,visual system,parasitized by,hearing range,hearing threshold,biogeographic realm,body shape,diet includes,mating system,native range includes,parental care,social system,trophic guild,bill length,life span,tarsus length,temperature at range midpoint latitude,visits flowers of,weight,conservation status,ecoregion,foraging habitat,initial mortality rate,invasive in,litters per year,prenatal development duration,behavioral circadian rhythm,type specimen repository,genome size,has ectoparasite,is vector for,is eaten by,Leaf Complexity,leaf morphology,leaf sheddability,photosynthetic pathway,plant growth form,plant lifeform,produces,visits,has host,parasite of,clutch/brood/litter size,growth rate,basal metabolic rate,mortality rate doubling time,motility,number of public records in bold,sensory system,host of,mineralized tissue contains,reproduction,fruit type,leaf lamina area,leaf mass per area,leaf nitrogen per dry mass,vegetative plant height,preyed upon by,onset of fertility,tarsometatarsus + middle toe length,trophic level,symbiont of,body length,mutualistic with
0,Nahans partridge,Animalia,Chordata,Aves,https://eol.org/pages/900294,Ptilopachus nahani (Nahan's Partridge) is a species of birds in the family New World quails. They are listed as vulnerable by IUCN. They rely on flight to move around.,otoliths,,,,Uganda,terrestrial,bipedal movement,apatite,Decreasing,,corneal eyes,,1000 Hz,20 dB,,,,,,,,,,,,,,,vulnerable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Namaqua dove,Animalia,Chordata,Aves,https://eol.org/pages/45515851,Oena capensis (Namaqua Dove) is a species of birds in the family Columbidae. They are found in the palearctic and Afrotropics. They are diurnal. They have parental care (pair provides care). They rely on flight to move around.,tympanic middle ear,41 g,,,United States,"desert,terrestrial",flight,,Increasing,,corneal eyes,,,,the palearctic,,,,,,,granivore,,,,,,,,,terrestrial,,,,,diurnal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Namaqua sandgrouse,Animalia,Chordata,Aves,https://eol.org/pages/45513971,Pterocles namaqua (Namaqua Sandgrouse) is a species of birds in the family sand-grouse. They are associated with freshwater habitat. They are found in Afrotropics. They are diurnal. They have parental care (pair provides care). They rely on flight to move around.,tympanic middle ear,177 g,,,Mozambique,"arid,terrestrial",flight,,Stable,,corneal eyes,,,,Afrotropics,,,,,,,granivore,,,,,,,,,terrestrial,,,,,diurnal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Namaqua warbler,Animalia,Chordata,Aves,https://eol.org/pages/45514532,Phragmacia substriata (Namaqua Prinia) is a species of birds in the family African warblers. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,,,,South Africa,freshwater habitat,bipedal movement,apatite,Increasing,,corneal eyes,,5000 Hz,10 dB,Afrotropics,,,,,,,,,,,,,,,Succulent Karoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Namuli apalis,Animalia,Chordata,Aves,https://eol.org/pages/45514552,Apalis lynesi (Namuli Apalis) is a species of birds in the family African warblers. They are listed as endangered by IUCN. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,,,,Mozambique,terrestrial,flight,apatite,Decreasing,,corneal eyes,,,10 dB,Afrotropics,,,,,,,,,,,,,,endangered,Southern Zanzibar-Inhambane Coastal Forest Mosaic,,,,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Nanday parakeet,Animalia,Chordata,Aves,https://eol.org/pages/45510836,Aratinga nenday (Nanday Parakeet) is a species of birds in the family parrots. They are diurnal. They rely on flight to move around.,tympanic middle ear,,Averrhoa carambola L. (carambola),,United States,terrestrial,bipedal movement,apatite,Increasing,,corneal eyes,,5000 Hz,20 dB,,,,,,,,,,,,,,,,,,,,,,diurnal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Nankeen kestrel,Animalia,Chordata,Aves,https://eol.org/pages/1049183,Falco cenchroides (Australian Kestrel) is a species of birds in the family falcons. They are listed in cites appendix ii. They are found in australasia and the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,189 g,,,United States,"temperate,terrestrial",flight,apatite,Increasing,,corneal eyes,,,,australasia,,,,,,,,,,,,,,cites appendix ii,,,,,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Nankeen night heron,Animalia,Chordata,Aves,https://eol.org/pages/45517764,"Nycticorax caledonicus (Bittern) is a species of birds in the family Ardeidae. They are associated with freshwater habitat. They are found in the indo-malayan realm, australasia, and Oceania continent (Australia, NZ and islands). They rely on flight to move around.",tympanic middle ear,1014 g,,,South Pacific,"freshwater,terrestrial",flight,apatite,Stable,,corneal eyes,,,20 dB,the indo-malayan realm,,,,,,,,,,,,,,,,,,,,,,Museum of Zoology Senckenberg Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Napo sabrewing,Animalia,Chordata,Aves,https://eol.org/pages/45512251,Campylopterus villaviscensio (Napo Sabrewing) is a species of birds in the family hummingbirds. They are listed as near threatened by IUCN and in cites appendix ii. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,7.4 g,,,Ecuador,"montane forest,terrestrial",bipedal movement,apatite,Decreasing,,corneal eyes,,,,The Neotropics,,,,,,,,,,,,,,near threatened,,,,,,,,,1.179 pg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Narcissus flycatcher,Animalia,Chordata,Aves,https://eol.org/pages/45511000,Ficedula narcissina (Narcissus Flycatcher) is a species of birds in the family Old World flycatchers. They are found in the indo-malayan realm and the palearctic. They rely on flight to move around.,tympanic middle ear,,Morella rubra Lour. (Red bayberry),,North Pacific,,flight,apatite,,,corneal eyes,,5000 Hz,10 dB,the indo-malayan realm,,,,,,,,,,,,,,,Nansei Islands Subtropical Evergreen Forests,,,,,,,"Harvard UNiversity, Museum of Comparative Zoology",,Menacanthus eurysternus (Burmeister 1838),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Narcondam hornbill,Animalia,Chordata,Aves,https://eol.org/pages/51399574,Aceros narcondami (Narcondam Hornbill) is a species of . They are found in the indo-malayan realm.,,750 g,,,,,,,,,,,,,the indo-malayan realm,,,,,,,,,,,,,,,Andaman Islands Rain Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Naretha bluebonnet,Animalia,Chordata,Aves,https://eol.org/pages/45517986,Northiella narethae (Naretha Bluebonnet) is a species of birds in the family Psittaculidae. They rely on flight to move around.,tympanic middle ear,,,,Australia,arid,flight,apatite,,,corneal eyes,,5000 Hz,20 dB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Narina trogon,Animalia,Chordata,Aves,https://eol.org/pages/1178436,Apaloderma narina (Narina Trogon) is a species of birds in the family Trogonidae. They are found in Afrotropics. They are diurnal. They rely on flight to move around.,tympanic middle ear,77 g,,,Mozambique,"valley,terrestrial",flight,,Stable,,corneal eyes,,,,Afrotropics,,,,,,,,,,,,,,,,,,,,,diurnal,NHMUK,,,Celtis zenkeri Engl.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Nariño tapaculo,Animalia,Chordata,Aves,https://eol.org/pages/45512925,Scytalopus vicinior (Narino Tapaculo) is a species of birds in the family tapaculos. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,24.2 g,,,Colombia,"montane forest,terrestrial",bipedal movement,apatite,Stable,,corneal eyes,,,10 dB,The Neotropics,,,,,,,,,,,,,,,Western Ecuador Moist Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Nashville warbler,Animalia,Chordata,Aves,https://eol.org/pages/45511080,Leiothlypis ruficapilla (Nashville Warbler) is a species of birds in the family New World warblers. They rely on flight to move around.,tympanic middle ear,,Dascillidae (dascillid soft-bodied plant beetles),,United States,terrestrial,flight,apatite,Increasing,CORRUPTED VALUE for trait R20-PK36791399,corneal eyes,,5000 Hz,10 dB,,,,,,,,,,,,,,,,,,,,,,,,,,,Buteo platypterus (Vieillot 1823) (Broad-winged hawk),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Natal spurfowl,Animalia,Chordata,Aves,https://eol.org/pages/45513798,Pternistis natalensis (Natal Francolin) is a species of birds in the family Phasianidae. They rely on flight to move around.,tympanic middle ear,,,,South Africa,terrestrial,bipedal movement,apatite,Stable,,corneal eyes,,5000 Hz,20 dB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Natewa silktail,Animalia,Chordata,Aves,https://eol.org/pages/52570905,Lamprolia klinesmithi (Natewa Silktail) is a species of birds in the family Rhipiduridae. They rely on flight to move around.,tympanic middle ear,,,,,,flight,apatite,,,corneal eyes,,5000 Hz,10 dB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Natterers slaty antshrike,Animalia,Chordata,Aves,https://eol.org/pages/45512640,Thamnophilus stictocephalus (Natterer's Slaty Antshrike) is a species of birds in the family typical antbirds. They rely on flight to move around.,tympanic middle ear,21.5 g,,,Bolivia,"subtropical,terrestrial",bipedal movement,apatite,Decreasing,,corneal eyes,,5000 Hz,10 dB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Naumanns thrush,Animalia,Chordata,Aves,https://eol.org/pages/45511482,Turdus naumanni (Naumann's Thrush) is a species of birds in the family thrushes. They are found in the palearctic and the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,,Cinnamomum camphora (L.) J. Presl (camphor),,North Pacific,tundra,flight,apatite,,,corneal eyes,Plagiorhynchus,5000 Hz,10 dB,the palearctic,,,,,,,,,,,,,,,Central Tibetan Plateau Alpine Steppe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Naung Mung scimitar babbler,Animalia,Chordata,Aves,https://eol.org/pages/4411275,Jabouilleia naungmungensis (Naung Mung Scimitar Babbler) is a species of birds in the family Pellorneidae. They rely on flight to move around.,tympanic middle ear,36 g,,,Burma,temperate,flight,apatite,,,corneal eyes,,5000 Hz,10 dB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Nauru reed warbler,Animalia,Chordata,Aves,https://eol.org/pages/45518749,"Acrocephalus rehsei (Finsch's Reed Warbler) is a species of birds in the family Acrocephalidae. They are listed as vulnerable by IUCN. They are found in Oceania continent (Australia, NZ and islands). They rely on flight to move around.",tympanic middle ear,,,,South Pacific,"tropical,terrestrial",flight,apatite,Stable,,corneal eyes,,,10 dB,"Oceania continent (Australia, NZ and islands)",,,,,,,,,,,,,,vulnerable,Eastern Micronesia Tropical Moist Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Navas wren,Animalia,Chordata,Aves,https://eol.org/pages/45510088,Hylorchilus navai (Nava's Wren) is a species of birds in the family wrens. They are listed as vulnerable by IUCN. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,29.3 g,,,Mexico,"karst,terrestrial",bipedal movement,apatite,Decreasing,,corneal eyes,,,10 dB,The Neotropics,,,,,,,,,,,,,,vulnerable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
