,Common Name,Kingdom,Phylum,Class,Link,Description,auditory system,biogeographic realm,body mass,ecoregion,geographic distribution includes,habitat,hearing range,hearing threshold,locomotion,mineralized skeleton contains,population trend,visual system,type specimen repository,preys on,behavioral circadian rhythm,eats,conservation status,life span,weight,body shape,foraging habitat,growth rate,litters per year,native range includes,prenatal development duration,trophic guild,diet includes,clutch/brood/litter size,bill length,ecomorphological guild,mating system,social system,tarsometatarsus + middle toe length,tarsus length,temperature at range midpoint latitude,parental care,host of,visits flowers of,parasitized by,has ectoparasite,pathogen of,has host,genome size,is vector for,sensory system,basal metabolic rate,body length,is eaten by,trophic level,has endoparasite,mutualistic with,visits,is killed by,initial mortality rate,motility,onset of fertility,egg mass,body temperature,used for,symbiont of,mortality rate doubling time,harvested in,number of public records in bold,parasite of
0,California gull,Animalia,Chordata,Aves,https://eol.org/pages/45509291,"Larus californicus (California Gull) is a species of birds in the family Laridae. They are associated with freshwater habitat. They are native to The Nearctic. They are diurnal omnivores. They have parental care (paternal care, pair provides care, and female provides care). They rely on flight to move around.",,,,,North America,,,,,,,,,,,,,,,bilaterally symmetric,freshwater,,1 /year,The Nearctic,25 days,,insects,,47.8 mm,nectonic,monogamous,group living,103 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,California quail,Animalia,Chordata,Aves,https://eol.org/pages/45508969,Callipepla californica (California Quail) is a species of birds in the family New World quails. They are native to The Nearctic. They are diurnal herbivores. They have parental care (female provides care and paternal care). They rely on flight to move around.,,,,,United States,,,,,,Increasing,,,,,,,,,bilaterally symmetric,,,1 /year,The Nearctic,21 days,granivore,seeds,,12.4 mm,,,group living,,31.9 mm,5.69 degrees celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,California scrub jay,Animalia,Chordata,Aves,https://eol.org/pages/45509986,"Aphelocoma californica (California Scrub Jay) is a species of birds in the family Corvidae. They are native to The Nearctic. They are diurnal omnivores. They have parental care (female provides care and paternal care). They rely on gliding, saltation, and flight to move around.",,The Neotropics,,,United States,,,,gliding,,,,,,,,,,,bilaterally symmetric,,,1 /year,The Nearctic,18 days,vertivore,seeds,,,,monogamous,group living,,,,protection,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,California thrasher,Animalia,Chordata,Aves,https://eol.org/pages/45510163,Toxostoma redivivum (California Thrasher) is a species of birds in the family Mimidae. They are found in The Nearctic. They are diurnal. They have parental care (pair provides care). They rely on flight to move around.,,The Nearctic,,,United States,coastal,,,flight,,Decreasing,,,,,Toxicodendron diversilobum (Torr. & Gray) Greene (western poison-oak),,6.9 years,84.4 g,,terrestrial,,2 /year,,14 days,invertivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,California towhee,Animalia,Chordata,Aves,https://eol.org/pages/45511240,Melozone crissalis (California Towhee) is a species of birds in the family Passerellidae. They rely on flight to move around.,tympanic middle ear,,,,United States,"desert,terrestrial",5000 Hz,10 dB,flight,apatite,Decreasing,corneal eyes,,,,Triticum (wheat),,,,,,,,,,,,,,,,,,,,,Molothrus ater (Boddaert 1783) (Brown-headed Cowbird),,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Calliope hummingbird,Animalia,Chordata,Aves,https://eol.org/pages/45509663,"Selasphorus calliope (Calliope Hummingbird) is a species of birds in the family hummingbirds. They visit flowers of Valerians, Sierra Madre lobelia, Rawhide HIll onion, and Elmendorf's onion. They rely on flight to move around.",tympanic middle ear,,,,United States,"mountain,terrestrial",5000 Hz,20 dB,bipedal movement,apatite,Stable,corneal eyes,,,,Echium candicans L. fil. (pride of Madeira),,,,,,,,,,,,,,,,,,,,,,Centranthus (Valerians),,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cambodian laughingthrush,Animalia,Chordata,Aves,https://eol.org/pages/45517187,Garrulax ferrarius (Cambodian Laughingthrush) is a species of birds in the family Leiothrichidae. They are listed as near threatened by IUCN. They rely on flight to move around.,tympanic middle ear,,,,Cambodia,"tropical,terrestrial",5000 Hz,10 dB,flight,apatite,Decreasing,corneal eyes,,,,,near threatened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cambodian tailorbird,Animalia,Chordata,Aves,https://eol.org/pages/36698395,Orthotomus chaktomuk (Cambodian Tailorbird) is a species of birds in the family African warblers. They rely on flight to move around.,tympanic middle ear,,,,Cambodia,scrubland,5000 Hz,10 dB,bipedal movement,apatite,,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cameroon greenbul,Animalia,Chordata,Aves,https://eol.org/pages/45514326,Arizelocichla montana (Cameroon Greenbul) is a species of birds in the family bulbuls. They are listed as near threatened by IUCN. They rely on flight to move around.,tympanic middle ear,,,,Cameroon,"mountain,terrestrial",5000 Hz,10 dB,bipedal movement,apatite,Decreasing,corneal eyes,,,,,near threatened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cameroon indigobird,Animalia,Chordata,Aves,https://eol.org/pages/45515050,Vidua camerunensis (Cameroon Indigobird) is a species of birds in the family Viduidae. They rely on flight to move around.,tympanic middle ear,,13 g,,Gulf Of Guinea,terrestrial,5000 Hz,10 dB,flight,apatite,Stable,corneal eyes,(UMMZ) - UMMZ Birds Collection {http://www.lsa.umich.edu/ummz/birds/},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
