,Common Name,Kingdom,Phylum,Class,Link,Description,auditory system,biogeographic realm,body mass,ecoregion,geographic distribution includes,habitat,hearing threshold,locomotion,mineralized skeleton contains,population trend,visual system,conservation status,hearing range,behavioral circadian rhythm,bill length,body shape,diet includes,mating system,native range includes,social system,tarsus length,temperature at range midpoint latitude,trophic guild,eats,foraging habitat,life span,litters per year,prenatal development duration,weight,genome size,has host,parasite of,visits flowers of,type specimen repository,ecomorphological guild,has ectoparasite,basal metabolic rate,trophic level,parental care,parasitized by,growth rate,egg mass,preys on,number of public records in bold,mutualistic with,middle toe length,invasive in,is killed by,body length,host of,onset of fertility,initial mortality rate,mortality rate doubling time,is eaten by,body temperature,sensory system,tarsometatarsus + middle toe length,has pathogen,motility,clutch/brood/litter size,is vector for,used for
0,Dimorphic egret,Animalia,Chordata,Aves,https://eol.org/pages/1048992,Egretta dimorpha (Dimorphic Egret) is a species of birds in the family Ardeidae. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,Afrotropics,,Madagascar Spiny Thickets,Mozambique,marine reef,20 dB,bipedal movement,apatite,,corneal eyes,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Dimorphic fantail,Animalia,Chordata,Aves,https://eol.org/pages/45518665,Rhipidura brachyrhyncha (Dimorphic Fantail) is a species of birds in the family Rhipiduridae. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,11.9 g,Huon Peninsula Montane Rain Forests,South Pacific,"subtropical,terrestrial",10 dB,flight,apatite,Stable,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Dinellis doradito,Animalia,Chordata,Aves,https://eol.org/pages/45513014,Pseudocolopteryx dinelliana (Dinelli's Doradito) is a species of birds in the family tyrant flycatchers. They are listed as near threatened by IUCN. They rely on flight to move around.,tympanic middle ear,,,,Bolivia,"subtropical,terrestrial",10 dB,bipedal movement,apatite,Decreasing,corneal eyes,near threatened,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Diuca finch,Animalia,Chordata,Aves,https://eol.org/pages/1050320,Diuca diuca (Common Diuca Finch) is a species of birds in the family tanagers. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,41 g,,Chile,"subtropical,terrestrial",,flight,apatite,Stable,corneal eyes,,,,,,,,,,,,,Aristotelia chilensis (Molina) Stuntz (maquei),,,,,,,,,,"Harvard UNiversity, Museum of Comparative Zoology",,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Dja River scrub warbler,Animalia,Chordata,Aves,https://eol.org/pages/45514456,Bradypterus grandis (Dja River Scrub Warbler) is a species of birds in the family Locustellidae. They are listed as near threatened by IUCN. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,Afrotropics,18.5 g,,Gabon,terrestrial,10 dB,flight,apatite,Decreasing,corneal eyes,near threatened,,,,,,,,,,,,,,,,,,,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Djibouti spurfowl,Animalia,Chordata,Aves,https://eol.org/pages/45513794,Pternistis ochropectus (Djibouti Francolin) is a species of birds in the family Phasianidae. They are listed as critically endangered by IUCN. They rely on flight to move around.,tympanic middle ear,,,,Djibouti,"mountain,terrestrial",20 dB,bipedal movement,apatite,Decreasing,corneal eyes,critically endangered,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Dodsons bulbul,Animalia,Chordata,Aves,https://eol.org/pages/45514321,Pycnonotus dodsoni (Dodson's Bulbul) is a species of birds in the family bulbuls. They rely on flight to move around.,tympanic middle ear,,,,,,10 dB,flight,apatite,,corneal eyes,,5000 Hz,,,,,,,,,,,,,,,,,,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Dohertys bushshrike,Animalia,Chordata,Aves,https://eol.org/pages/45515172,Telophorus dohertyi (Doherty's Bush Shrike) is a species of birds in the family Bushshrike. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,Afrotropics,43 g,Albertine Rift Montane Forests,Burundi,terrestrial,10 dB,bipedal movement,apatite,Stable,corneal eyes,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Dolphin gull,Animalia,Chordata,Aves,https://eol.org/pages/1049319,Leucophaeus scoresbii (Dolphin Gull) is a species of birds in the family Laridae. They rely on flight to move around.,tympanic middle ear,,,,South America,,20 dB,flight,apatite,,corneal eyes,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,nectonic,Quadraceps,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Donaldson Smiths nightjar,Animalia,Chordata,Aves,https://eol.org/pages/45514025,Caprimulgus donaldsoni (Donaldson Smith's Nightjar) is a species of birds in the family Caprimulgidae. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,Afrotropics,36 g,Somali Montane Xeric Woodlands,Ethiopia,terrestrial,20 dB,bipedal movement,apatite,Stable,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
