,Common Name,Kingdom,Phylum,Class,Link,Description,auditory system,biogeographic realm,body mass,ecoregion,geographic distribution includes,habitat,hearing threshold,locomotion,mineralized skeleton contains,population trend,visual system,conservation status,hearing range,behavioral circadian rhythm,bill length,body shape,diet includes,mating system,native range includes,social system,tarsus length,temperature at range midpoint latitude,trophic guild,eats,foraging habitat,life span,litters per year,prenatal development duration,weight,genome size,has host,parasite of,visits flowers of,type specimen repository,ecomorphological guild,has ectoparasite,basal metabolic rate,trophic level,parental care,parasitized by,growth rate,egg mass,preys on,number of public records in bold,mutualistic with,middle toe length,invasive in,is killed by,body length,host of,onset of fertility,initial mortality rate,mortality rate doubling time,is eaten by,body temperature,sensory system,tarsometatarsus + middle toe length,has pathogen,motility,clutch/brood/litter size,is vector for,used for
0,Elliots pheasant,Animalia,Chordata,Aves,https://eol.org/pages/45510655,Syrmaticus ellioti (Chinese Barred Backed Pheasant) is a species of birds in the family Phasianidae. They are listed as near threatened by IUCN and in cites appendix i. They are found in the indo-malayan realm and the palearctic. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,1090 g,,United States,"mountain,terrestrial",,bipedal movement,apatite,Decreasing,corneal eyes,near threatened,,,,,,,,,,,,,,,,,,,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Elliots storm petrel,Animalia,Chordata,Aves,https://eol.org/pages/45509004,Oceanites gracilis (Elliot's Storm Petrel) is a species of birds in the family Oceanitidae. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,17 g,,Chile,"coastal,marine",,flight,apatite,Unknown,corneal eyes,,,,,,,,,,,,,Loligo (Loligo squid),,,,,,,,,,,nectonic,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Elliots woodpecker,Animalia,Chordata,Aves,https://eol.org/pages/1177604,Dendropicos elliotii (Elliot's Woodpecker) is a species of birds in the family woodpeckers. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,Afrotropics,40 g,Atlantic Equatorial Coastal Forests,Gulf Of Guinea,terrestrial,20 dB,flight,apatite,Stable,corneal eyes,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Elusive antpitta,Animalia,Chordata,Aves,https://eol.org/pages/45512845,Grallaria eludens (Elusive Antpitta) is a species of birds in the family antpittas. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,115 g,,Brazil,"tropical,terrestrial",10 dB,bipedal movement,apatite,Unknown,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,Museu Paraense Emilio Goeldi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Emei Shan liocichla,Animalia,Chordata,Aves,https://eol.org/pages/45517257,Liocichla omeiensis (Emei Shan Liocichla) is a species of birds in the family Leiothrichidae. They are listed as vulnerable by IUCN and in cites appendix ii. They are found in the palearctic. They rely on flight to move around.,tympanic middle ear,the palearctic,,Hengduan Mountains Subalpine Conifer Forests,China,"mountain,terrestrial",10 dB,bipedal movement,apatite,Decreasing,corneal eyes,vulnerable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Emei leaf warbler,Animalia,Chordata,Aves,https://eol.org/pages/45517039,Phylloscopus emeiensis (Emei Leaf Warbler) is a species of birds in the family Phylloscopidae. They are found in the palearctic. They rely on flight to move around.,tympanic middle ear,the palearctic,,Qin Ling Mountains Deciduous Forests,China,"temperate,terrestrial",10 dB,flight,apatite,Stable,corneal eyes,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Emerald starling,Animalia,Chordata,Aves,https://eol.org/pages/45515508,Lamprotornis iris (Emerald Starling) is a species of birds in the family starlings. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,Afrotropics,,Guinean Montane Forests,Guinea,"savanna,terrestrial",10 dB,bipedal movement,apatite,Unknown,corneal eyes,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Emerald tanager,Animalia,Chordata,Aves,https://eol.org/pages/45510427,Tangara florida (Emerald Tanager) is a species of birds in the family tanagers. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,20.5 g,Western Ecuador Moist Forests,Colombia,"tropical,terrestrial",10 dB,bipedal movement,apatite,Decreasing,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Emerald toucanet,Animalia,Chordata,Aves,https://eol.org/pages/45512534,Aulacorhynchus prasinus (Emerald Toucanet) is a species of birds in the family Ramphastidae. They are found in The Neotropics. They are diurnal. They have parental care (female provides care and paternal care). They rely on flight to move around.,,The Neotropics,,,United States,coastal,,flight,,Decreasing,,,,,64.2 mm,bilaterally symmetric,,monogamous,,,32.9 mm,23 degrees celsius,,,,,,,,1.672 pg,,,,,,,,,,,,,,,Chamaedorea (chamaedorea),,,,,,,,,,,,,,,,,
0,Emins Shrike,Animalia,Chordata,Aves,https://eol.org/pages/45514262,Lanius gubernator (Emin's Shrike) is a species of birds in the family true shrikes. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,Afrotropics,23.5 g,Northern Congolian Forest-Savanna Mosaic,Cameroon,"savanna,terrestrial",10 dB,bipedal movement,apatite,Stable,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Emperor fairywren,Animalia,Chordata,Aves,https://eol.org/pages/45516666,Malurus cyanocephalus (Emperor Fairywren) is a species of birds in the family Maluridae. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,,Southern New Guinea Lowland Rain Forests,Australia,"tropical,freshwater habitat",10 dB,bipedal movement,apatite,Stable,corneal eyes,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Emperor goose,Animalia,Chordata,Aves,https://eol.org/pages/914532,"Anser canagicus (Emperor Goose) is a species of birds in the family Anatidae. They are listed as near threatened by IUCN. They are associated with freshwater habitat. They are native to The Nearctic. They are diurnal herbivores. They have parental care (paternal care and female provides care). They rely on swimming, drag powered swimming, and flight to move around.",,,,,United States,lagoon,,swimming,,Decreasing,corneal eyes,,,,,bilaterally symmetric,mollusks,monogamous,The Nearctic,group living,,,folivore,,,,,,,,,,,,,,,,parental care,,,,,,,,,,,,,,,,,,,,,,,
0,Emperor penguin,Animalia,Chordata,Aves,https://eol.org/pages/45512074,"Aptenodytes forsteri (Emperor Penguin) is a species of birds in the family penguins. They are listed as near threatened by IUCN. They are native to Antarctica. They are diurnal carnivores. They have parental care (paternal care, pair provides care, and female provides care). They rely on swimming, flight, and lift powered swimming to move around.",,,,,Southern Ocean,,,,,,,,,,81.4 mm,bilaterally symmetric,fish,monogamous,Antarctica,group living,,-11.1 degrees celsius,vertivore,,marine pelagic,,,,,,,,,,nectonic,,,,,,,,,,,103.7 mm,,,,,,,,,,,,,,,,
0,Empress brilliant,Animalia,Chordata,Aves,https://eol.org/pages/45512343,Heliodoxa imperatrix (Empress Brilliant) is a species of birds in the family hummingbirds. They are listed in cites appendix ii. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,10.4 g,,Ecuador,"subtropical,terrestrial",20 dB,flight,apatite,Unknown,corneal eyes,cites appendix ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Emu,Animalia,Chordata,Aves,https://eol.org/pages/45517716,Dromaius novaehollandiae (Emu) is a species of birds in the family Casuariidae. They are native to Australia. They are diurnal herbivores. They have parental care (only male provides care and paternal care). They rely on running to move around.,,,,,United States,,,running,,Stable,,,,,,bilaterally symmetric,insects,promiscuous,Australia,,,,granivore,,terrestrial,16.6 years,,,,,,,,NHMUK,,,,,protection,,,,,,,,,,,,,,,,,,,,,,,
0,Enggano cuckoodove,Animalia,Chordata,Aves,https://eol.org/pages/47042658,Macropygia cinnamomea (Enggano Cuckoo Dove) is a species of birds in the family Columbidae. They rely on flight to move around.,tympanic middle ear,,,,,,20 dB,flight,apatite,,corneal eyes,,5000 Hz,,,,,,,,,,,,,,,,,,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Enggano cuckoodove   ,Animalia,Chordata,Aves,https://eol.org/pages/47042658,Macropygia cinnamomea (Enggano Cuckoo Dove) is a species of birds in the family Columbidae. They rely on flight to move around.,tympanic middle ear,,,,,,20 dB,flight,apatite,,corneal eyes,,5000 Hz,,,,,,,,,,,,,,,,,,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Enggano hill myna,Animalia,Chordata,Aves,https://eol.org/pages/45517392,Gracula enganensis (Enggano Hill Myna) is a species of birds in the family starlings. They rely on flight to move around.,tympanic middle ear,,,,,,10 dB,flight,apatite,,corneal eyes,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Enggano hill myna   ,Animalia,Chordata,Aves,https://eol.org/pages/45517392,Gracula enganensis (Enggano Hill Myna) is a species of birds in the family starlings. They rely on flight to move around.,tympanic middle ear,,,,,,10 dB,flight,apatite,,corneal eyes,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Enggano scops owl,Animalia,Chordata,Aves,https://eol.org/pages/1274288,Otus enganensis (Enggano Scops Owl) is a species of birds in the family typical owls. They are listed as near threatened by IUCN. They are found in the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,110 g,Mentawai Islands Rain Forests,Indian Ocean,terrestrial,-15 dB,flight,apatite,Stable,corneal eyes,near threatened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Enggano thrush,Animalia,Chordata,Aves,https://eol.org/pages/7262882,Geokichla leucolaema (Enggano Thrush) is a species of birds in the family thrushes. They are listed as near threatened by IUCN. They rely on flight to move around.,otoliths,,,,,terrestrial,10 dB,bipedal movement,apatite,Decreasing,corneal eyes,near threatened,1000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Epaulet oriole,Animalia,Chordata,Aves,https://eol.org/pages/45513450,"Icterus cayanensis (Epaulet Oriole) is a species of birds in the family New World blackbirds. They are native to The Neotropics. They are solitary, diurnal carnivores. They have parental care (female provides care). They rely on flight to move around.",,The Neotropics,,,South Pacific,tropical,,flight,,,,,,,,bilaterally symmetric,fruit,monogamous,The Neotropics,solitary,,,insectivore,Piper echeverrianum Trel. (higuillo),,,,,,,,,,,,,,,protection,,,,,,,,,,,,,,,,,,,,,,,
0,Equatorial akalat,Animalia,Chordata,Aves,https://eol.org/pages/45514766,Sheppardia aequatorialis (Equatorial Akalat) is a species of birds in the family Old World flycatchers. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,Afrotropics,16.8 g,Albertine Rift Montane Forests,Burundi,"tropical,terrestrial",10 dB,bipedal movement,apatite,Decreasing,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Equatorial greytail,Animalia,Chordata,Aves,https://eol.org/pages/1050243,Xenerpestes singularis (Equatorial Graytail) is a species of birds in the family ovenbirds. They are listed as near threatened by IUCN. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,12 g,,Ecuador,"subtropical,terrestrial",10 dB,bipedal movement,apatite,Decreasing,corneal eyes,near threatened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Erckels spurfowl,Animalia,Chordata,Aves,https://eol.org/pages/45510646,Pternistis erckelii (Erckel's Francolin) is a species of birds in the family Phasianidae. They rely on flight to move around.,tympanic middle ear,,,,United States,"mountain,terrestrial",20 dB,bipedal movement,apatite,Stable,corneal eyes,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Eskimo curlew,Animalia,Chordata,Aves,https://eol.org/pages/45509189,"Numenius borealis (Eskimo Curlew) is a species of birds in the family Scolopacidae. They are listed as critically endangered by IUCN, as endangered by COSEWIC, and in cites appendix i. They are found in The Neotropics and The Nearctic. They rely on flight to move around.",tympanic middle ear,The Neotropics,454 g,,Mexico,"prairie,terrestrial",,flight,apatite,Unknown,corneal eyes,critically endangered,,,,,,,,,,,,,,,,,,,,,,,nectonic,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Esmeraldas antbird,Animalia,Chordata,Aves,https://eol.org/pages/52570815,Sipia nigricauda (Esmeraldas Antbird) is a species of birds in the family typical antbirds. They rely on flight to move around.,tympanic middle ear,,,,,"tropical,terrestrial",10 dB,flight,apatite,Decreasing,corneal eyes,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Esmeraldas woodstar,Animalia,Chordata,Aves,https://eol.org/pages/45512488,Chaetocercus berlepschi (Esmeraldas Woodstar) is a species of birds in the family hummingbirds. They are listed as vulnerable by IUCN and in cites appendix ii. They rely on flight to move around.,tympanic middle ear,,,,Ecuador,"beach,terrestrial",20 dB,bipedal movement,apatite,Decreasing,corneal eyes,vulnerable,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Española cactus finch,Animalia,Chordata,Aves,https://eol.org/pages/1050330,Geospiza conirostris (Espanola Cactus Finch) is a species of birds in the family tanagers. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,27.6 g,GaláPagos Islands Scrubland Mosaic,Ecuador,,10 dB,flight,apatite,,corneal eyes,,5000 Hz,,,,,,,,,,,Rubus niveus Thunb. (Mysore raspberry),,,,,,,,,,,,Brueelia chelydensis Hopkins & G. H. E. 1951,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Ethiopian boubou,Animalia,Chordata,Aves,https://eol.org/pages/45515200,Laniarius aethiopicus (Ethiopian Boubou) is a species of birds in the family Bushshrike. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,Afrotropics,66 g,Angolan Miombo Woodlands,Mozambique,tropical,10 dB,flight,apatite,,corneal eyes,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Ethiopian cisticola,Animalia,Chordata,Aves,https://eol.org/pages/45514489,Cisticola lugubris (Ethiopian Cisticola) is a species of birds in the family African warblers. They rely on flight to move around.,tympanic middle ear,,,,France,grassland,10 dB,flight,apatite,,corneal eyes,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Ethiopian oriole,Animalia,Chordata,Aves,https://eol.org/pages/45514275,Oriolus monacha (Abyssinian Black Headed Oriole) is a species of birds in the family orioles. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,Afrotropics,,Ethiopian Montane Forests,Mozambique,"tropical,terrestrial",10 dB,bipedal movement,apatite,Stable,corneal eyes,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Ethiopian siskin,Animalia,Chordata,Aves,https://eol.org/pages/45515753,Serinus nigriceps (Abyssinian Siskin) is a species of birds in the family finches. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,Afrotropics,,Ethiopian Montane Grasslands And Woodlands,Ethiopia,"tropical,terrestrial",10 dB,bipedal movement,apatite,Stable,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Ethiopian swallow,Animalia,Chordata,Aves,https://eol.org/pages/45515381,Hirundo aethiopica (Ethiopian Swallow) is a species of birds in the family swallows. They are found in australasia and Afrotropics. They rely on flight to move around.,tympanic middle ear,australasia,17 g,,Indian Ocean,"coastal,terrestrial",10 dB,flight,apatite,Increasing,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Eulers flycatcher,Animalia,Chordata,Aves,https://eol.org/pages/45513161,Lathrotriccus euleri (Euler's Flycatcher) is a species of birds in the family tyrant flycatchers. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,14 g,,South Pacific,"montane forest,terrestrial",,flight,apatite,Stable,corneal eyes,,,,,,,,,,,,,Alchornea triplinervia (Spreng.) Müll. Arg.,,,,,,1.28 pg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Eungella honeyeater,Animalia,Chordata,Aves,https://eol.org/pages/45518516,Bolemoreus hindwoodi (Eungella Honeyeater) is a species of birds in the family honeyeaters. They rely on flight to move around.,tympanic middle ear,,,,Australia,"mountain,terrestrial",10 dB,flight,apatite,Stable,corneal eyes,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,Haemoproteus,,,,,,,,,,,,,,,,,,,,,,
0,Eurasian bittern,Animalia,Chordata,Aves,https://eol.org/pages/45511332,"Botaurus stellaris (Bittern) is a species of birds in the family Ardeidae. They are associated with freshwater habitat. They are found in the palearctic, the indo-malayan realm, and Afrotropics. They are crepuscular. They have parental care (female provides care). They rely on flight to move around.",tympanic middle ear,the palearctic,,,United States,coastal,,flight,,Decreasing,corneal eyes,,,,,,,,,,,,vertivore,,freshwater,11.3 years,,23 days,1324.5 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Eurasian blackcap,Animalia,Chordata,Aves,https://eol.org/pages/45515462,Sylvia atricapilla (Blackcap) is a species of birds in the family Sylviidae. They are found in the palearctic and Afrotropics. They are diurnal. They have parental care (pair provides care). They rely on flight to move around.,,the palearctic,,,Mozambique,fen,,flight,,Increasing,,,,,,,,,,,,,invertivore,,terrestrial,13.8 years,,14 days,16.7 g,,,,,Zoologisches Forschungsmuseum Alexander Koenig,,,,,,,0.353 /day,,,,,,,,,,,,,,,,,,,,,
0,Eurasian blue tit,Animalia,Chordata,Aves,https://eol.org/pages/4404826,Cyanistes caeruleus caeruleus (Eurasian Blue Tit) is a subspecies of birds in the family Paridae. They rely on flight to move around.,tympanic middle ear,,,,,,10 dB,flight,apatite,,corneal eyes,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Eurasian bullfinch,Animalia,Chordata,Aves,https://eol.org/pages/45510267,Pyrrhula pyrrhula (Bullfinch) is a species of birds in the family finches. They are native to the Palearctic. They are diurnal. They have parental care (pair provides care). They rely on flight to move around.,,the palearctic,,,United States,temperate,,flight,,Decreasing,,,,,,bilaterally symmetric,,,the Palearctic,,,,granivore,,terrestrial,17.5 years,,,24.4 g,,,,,Staatliches Museum fuer Naturkund Stuttgart,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Eurasian collared dove,Animalia,Chordata,Aves,https://eol.org/pages/45509392,"Streptopelia decaocto (Collared Dove) is a species of birds in the family Columbidae. They are native to Morocco, Luxembourg, Denmark, Croatia, Slovenia, Saudi Arabia, Bahrain, Myanmar, Ireland, Bhutan, Iran, Bangladesh, Liechtenstein, Albania, Pakistan, Portugal, North Korea, Tajikistan, United Arab Emirates, Montenegro, Estonia, Latvia, Romania, Turkmenistan, Greece, Cyprus, Finland, Hungary, Uzbekistan, India, Azerbaijan, Sweden, Iraq, Kazakhstan, Russia, Svalbard And Jan Mayen, Qatar, Switzerland, Ukraine, Austria, Bulgaria, Bosnia & Herzegovina, Lithuania, Kuwait, Belgium, Monaco, Jordan, Macedonia, Czech Republic, Nepal, Moldova, Faroe Islands, Afghanistan, The Netherlands, China, Spain, Turkey, France, Italy, Lebanon, Sri Lanka, Oman, Germany, Israel, Slovakia, Syria, Egypt, United Kingdom, Serbia, South Korea, Belarus, Kyrgyzstan, Iceland, Norway, and Poland. They are diurnal. They have parental care (pair provides care). They rely on flight to move around.",,Afrotropics,,,United States,,,flight,,Increasing,,,,,,,,,Belgium,,,,granivore,,terrestrial,17.9 years,4.5 /year,15 days,,,,,,,,,,,,,0.333 /day,,,,,,The Contiguous United States,,,,,,,,,,,,,,,
0,Eurasian coot,Animalia,Chordata,Aves,https://eol.org/pages/45509131,"Fulica atra (Common Coot) is a species of birds in the family rails. They are associated with freshwater habitat. They are found in Afrotropics, the indo-malayan realm, australasia, and the palearctic. They are diurnal herbivores. They have parental care (cooperative breeding). They rely on flight to move around.",,Afrotropics,,,United States,coastal,,flight,,Increasing,,,,,,,,,,,,,,,freshwater,20.6 years,,22 days,734.3 g,,,,,Staatliches Museum fuer Naturkund Stuttgart,,,2.039 watts,,,,0.174 /day,,,,,,,,,,,,,,,,,,,,,
0,Eurasian crag martin,Animalia,Chordata,Aves,https://eol.org/pages/45515390,Ptyonoprogne rupestris (Eurasian Crag Martin) is a species of birds in the family swallows. They rely on flight to move around.,tympanic middle ear,,,,South Atlantic,"alpine,freshwater habitat",10 dB,flight,apatite,Stable,corneal eyes,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Felis catus Linnaeus 1758 (cat),,,,,,,,,,,,,,
0,Eurasian curlew,Animalia,Chordata,Aves,https://eol.org/pages/45509193,"Numenius arquata (Eurasian Curlew) is a species of birds in the family Scolopacidae. They are listed as near threatened by IUCN. They are associated with freshwater habitat. They are found in the palearctic, the indo-malayan realm, Afrotropics, and australasia. They are diurnal. Individuals can grow to 100 cm. They have parental care (pair provides care). They rely on flight to move around.",,the palearctic,,,Eritrea,,,flight,,Decreasing,,,,,,,,,,,,,invertivore,,freshwater,31.8 years,,30 days,728 g,,,,,,nectonic,,,,,,0.13 /day,,,,,,,,100 cm,,,,,,,,,,,,,
0,Eurasian golden oriole,Animalia,Chordata,Aves,https://eol.org/pages/45513639,"Oriolus oriolus (Eurasian Golden Oriole) is a species of birds in the family orioles. They are found in the indo-malayan realm, the palearctic, and Afrotropics. They are diurnal. They have parental care (occasionally breeds cooperatively). They rely on flight to move around.",tympanic middle ear,the indo-malayan realm,79 g,,United States,coastal,,flight,,,corneal eyes,,,,,,,,,,,,invertivore,Ficus carica L. (Fig),terrestrial,14.8 years,,,79 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Eurasian hobby,Animalia,Chordata,Aves,https://eol.org/pages/45510793,"Falco subbuteo (Eurasian Hobby) is a species of birds in the family falcons. They are listed in cites appendix ii. They are found in the indo-malayan realm, the palearctic, and Afrotropics. They are crepuscular. They have parental care (occasionally breeds cooperatively). They rely on flight to move around.",,the indo-malayan realm,,,United States,hedge,,flight,,Decreasing,,,,,,,,,,,,,invertivore,,terrestrial,14.9 years,,21 days,209.5 g,,,,,,,,1.3014 watts,,,,0.264 /day,,,,,,,,,,,,,,,,,,,,,
0,Eurasian hoopoe,Animalia,Chordata,Aves,https://eol.org/pages/1272558,Upupa epops epops (Eurasian Hoopoe) is a subspecies of birds in the family hoopoes. They rely on flight to move around.,tympanic middle ear,,,,,,20 dB,flight,apatite,,corneal eyes,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ixodes frontalis Panzer 1798,,,,,,,,,,,,
0,Eurasian jay,Animalia,Chordata,Aves,https://eol.org/pages/45515235,"Garrulus glandarius (Eurasian Jay) is a species of birds in the family Corvidae. They are native to the Palearctic. They are diurnal herbivores. They have parental care (paternal care, female provides care, and pair provides care). They rely on flight to move around.",,the indo-malayan realm,,,United States,,,,,,,,,,,bilaterally symmetric,seeds,monogamous,the Palearctic,group living,,,granivore,,terrestrial,,,16 days,,,,,,NHMUK,,,1.39997 watts,,,,,,,,,,,,,,,,,,,,,,,,,
0,Eurasian magpie,Animalia,Chordata,Aves,https://eol.org/pages/45515236,"Pica pica (Eurasian Magpie) is a species of birds in the family Corvidae. They are found in Afrotropics, The Nearctic, the palearctic, and the indo-malayan realm. They are diurnal omnivores. They have parental care (pair provides care). They rely on flight to move around.",,Afrotropics,,,United States,temperate,,flight,,,,,,,,,,,,,,,,Turdus merula Linnaeus 1758 (Common blackbird),terrestrial,21.7 years,,21 days,178 g,,,,,SNSB-Zoologische Staatssammlung Muenchen,,,,,,,0.293 /day,,Hierophis viridiflavus (Lacépède 1789) (Green Whip Snake),,,,,,,,,,,,,,,,,,,
0,Eurasian nuthatch,Animalia,Chordata,Aves,https://eol.org/pages/45513687,Sitta europaea (Wood Nuthatch) is a species of birds in the family Sittidae. They are found in the palearctic and the indo-malayan realm. They are diurnal. They have parental care (pair provides care). They rely on flight to move around.,tympanic middle ear,the palearctic,,,North Pacific,mountain,,flight,,,corneal eyes,,,,,,,,,,,,invertivore,"Solanum dulcamara L. (bittersweet, woody nightshade)",terrestrial,12.9 years,,,20.4 g,,,,,Zoologisches Forschungsmuseum Alexander Koenig,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Eurasian oystercatcher,Animalia,Chordata,Aves,https://eol.org/pages/55550451,Eurasian oystercatcher coronavirus is a species of  in the family Coronaviridae.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Eurasian penduline tit,Animalia,Chordata,Aves,https://eol.org/pages/45513641,Remiz pendulinus (Eurasian Penduline Tit) is a species of birds in the family penduline tits. They are found in the indo-malayan realm and the palearctic. They are diurnal. They have parental care (female provides care). They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,9 g,,North Atlantic,,,flight,,Increasing,corneal eyes,,,diurnal,,,,,,,,,invertivore,,terrestrial,7 years,,,9.3 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Eurasian pygmy owl,Animalia,Chordata,Aves,https://eol.org/pages/45518939,Glaucidium passerinum (Eurasian Pygmy Owl) is a species of birds in the family typical owls. They are listed in cites appendix ii. They are found in the palearctic. They are crepuscular. They have parental care (pair provides care). They rely on flight to move around.,tympanic middle ear,the palearctic,58 g,,Austria,,,flight,,Stable,corneal eyes,,,,,,,,,,,,vertivore,,terrestrial,6 years,,,65.5 g,,,,,,,,,,,,,,,,,,,,,,365 days,,,,,,,,,,,
0,Eurasian reed warbler,Animalia,Chordata,Aves,https://eol.org/pages/45515423,Acrocephalus scirpaceus (Eurasian Reed Warbler) is a species of birds in the family Acrocephalidae. They are found in the palearctic and Afrotropics. They are diurnal. They have parental care (pair provides care). They rely on flight to move around.,tympanic middle ear,the palearctic,,,Mozambique,marsh,,flight,,Stable,corneal eyes,,,,,,,,,,,,invertivore,,terrestrial,14 years,,,12.3 g,,,,,,,,,,,,0.536 /day,,,,,,,,,,,,,,,,,,,,,
0,Eurasian rock pipit,Animalia,Chordata,Aves,https://eol.org/pages/45513744,Anthus petrosus (Rock Pipit) is a species of birds in the family Motacillidae. They are found in the palearctic. They rely on flight to move around.,tympanic middle ear,the palearctic,27 g,,North Atlantic,"meadow,marine",,flight,,Stable,corneal eyes,,,,,,,,,,,,,,,10.9 years,,,22.4 g,,,,,,,,,,,,,,,,,,,,,,365 days,,,,,,,,,,,
0,Eurasian scops owl,Animalia,Chordata,Aves,https://eol.org/pages/45518929,"Otus scops (Eurasian Scops Owl) is a species of birds in the family typical owls. They are listed in cites appendix ii. They are found in the palearctic, Afrotropics, and the indo-malayan realm. They are nocturnal. They have parental care (pair provides care). They rely on flight to move around.",tympanic middle ear,the palearctic,,,Mozambique,,,flight,,Decreasing,corneal eyes,,,,,,,,,,,,invertivore,,terrestrial,6.8 years,,,92 g,,,,,Museum of Zoology Senckenberg Dresden,,,,,,,,,Gryllotalpa,,,,,,,,,,,,,,,,,,,
