,Common Name,Kingdom,Phylum,Class,Link,Description,auditory system,biogeographic realm,body mass,geographic distribution includes,habitat,hearing threshold,locomotion,mineralized skeleton contains,population trend,type specimen repository,visual system,eats,foraging habitat,life span,prenatal development duration,weight,ecoregion,conservation status,hearing range,body shape,diet includes,mating system,native range includes,parental care,social system,trophic guild,growth rate,litters per year,has host,parasitized by,body temperature,egg mass,preys on,clutch/brood/litter size,basal metabolic rate,ecomorphological guild,body length,behavioral circadian rhythm,visits flowers of,genome size,visits,mutualistic with,number of public records in bold,bill length,tarsometatarsus + middle toe length,temperature at range midpoint latitude,host of,tarsus length,trophic level,middle toe length,symbiont of,has endoparasite,plant growth form,has ectoparasite,onset of fertility,is vector for,harvested in,used for,sensory system,is killed by,is eaten by,produces,spore arrangement,motility
0,Lichtensteins sandgrouse,Animalia,Chordata,Aves,https://eol.org/pages/45513978,"Pterocles lichtensteinii (Lichtenstein's Sandgrouse) is a species of birds in the family sand-grouse. They are found in Afrotropics, the indo-malayan realm, and the palearctic. They rely on flight to move around.",tympanic middle ear,Afrotropics,250 g,United States,terrestrial,20 dB,flight,apatite,Stable,,corneal eyes,,,,,,Masai Xeric Grasslands And Shrublands,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Lidths jay,Animalia,Chordata,Aves,https://eol.org/pages/916535,Garrulus lidthi (Lidth's Jay) is a species of birds in the family Corvidae. They are listed as vulnerable by IUCN. They are found in the palearctic and the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,the palearctic,,,"tropical,terrestrial",10 dB,flight,apatite,Decreasing,,corneal eyes,,,,,,Sayan Montane Conifer Forests,vulnerable,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Lilac kingfisher,Animalia,Chordata,Aves,https://eol.org/pages/45516452,Cittura cyanotis (Lilac Kingfisher) is a species of birds in the family Alcedinidae. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,,Indonesia,terrestrial,20 dB,bipedal movement,apatite,Decreasing,,corneal eyes,,,,,,Sulawesi Lowland Rain Forests,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Lilians lovebird,Animalia,Chordata,Aves,https://eol.org/pages/45514183,Agapornis lilianae (Lilian's Lovebird) is a species of birds in the family Psittaculidae. They are listed as near threatened by IUCN and in cites appendix ii. They are found in Afrotropics. They are diurnal. They rely on flight to move around.,tympanic middle ear,Afrotropics,40 g,United States,terrestrial,,bipedal movement,,Decreasing,NHMUK,corneal eyes,,,19.2 years,,37.3 g,,,,,,,,,,,,,,,,,,,,,,diurnal,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Limestone leaf warbler,Animalia,Chordata,Aves,https://eol.org/pages/45517045,Phylloscopus calciatilis (Limestone Leaf Warbler) is a species of birds in the family Phylloscopidae. They rely on flight to move around.,tympanic middle ear,,,Vietnam,mountain range,10 dB,bipedal movement,apatite,,,corneal eyes,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Limestone wrenbabbler,Animalia,Chordata,Aves,https://eol.org/pages/920621,Napothera crispifrons (Limestone Wren Babbler) is a species of birds in the family Pellorneidae. They are found in the palearctic and the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,the palearctic,28.3 g,Laos,,10 dB,bipedal movement,apatite,,,corneal eyes,,,,,,Northern Thailand-Laos Moist Deciduous Forests,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Limpkin,Animalia,Chordata,Aves,https://eol.org/pages/45509137,Aramus guarauna (Limpkin) is a species of birds in the family limpkins. They are associated with freshwater habitat. They are native to Atlantic Ocean. They rely on flight to move around.,tympanic middle ear,The Nearctic,1270 g,Gulf Of Mexico,swamp,,flight,,Stable,,corneal eyes,Pomacea,,,,,,,,bilaterally symmetric,,,Atlantic Ocean,,,,,,,,,,,,,nectonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Linas sunbird,Animalia,Chordata,Aves,https://eol.org/pages/45517617,Aethopyga linaraborae (Lina's Sunbird) is a species of birds in the family Sunbirds. They are listed as near threatened by IUCN. They are found in the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,7 g,The Philippines,"tropical,terrestrial",10 dB,bipedal movement,apatite,Stable,,corneal eyes,,,,,,,near threatened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Lincolns sparrow,Animalia,Chordata,Aves,https://eol.org/pages/45511187,Melospiza lincolnii (Lincoln's Sparrow) is a species of birds in the family Passerellidae. They are found in The Neotropics and The Nearctic. They are diurnal. They rely on flight to move around.,,The Neotropics,,Ontario,swamp,,flight,,Stable,(MLZ) - MLZ Bird Collection (Arctos) {http://www.oxy.edu/moore-lab-zoology},corneal eyes,Ambrosia (ragweed),,7.6 years,11 days,1.69 g,,,,,,,,,,,,1 /year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Lineated barbet,Animalia,Chordata,Aves,https://eol.org/pages/45516513,Psilopogon lineatus (Lineated Barbet) is a species of birds in the family Asian barbets. They rely on flight to move around.,tympanic middle ear,,,Bangladesh,terrestrial,20 dB,bipedal movement,apatite,Stable,,corneal eyes,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Lineated foliagegleaner,Animalia,Chordata,Aves,https://eol.org/pages/45511676,Syndactyla subalaris (Lineated Foliage Gleaner) is a species of birds in the family ovenbirds. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,28.9 g,Colombia,"tropical,terrestrial",10 dB,bipedal movement,apatite,Decreasing,,corneal eyes,,,,,,Magdalena Valley Montane Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Lineated woodpecker,Animalia,Chordata,Aves,https://eol.org/pages/45509783,Dryocopus lineatus (Lineated Woodpecker) is a species of birds in the family woodpeckers. They are found in The Neotropics and The Nearctic. They rely on flight to move around.,tympanic middle ear,The Neotropics,173 g,South Pacific,valley,20 dB,flight,apatite,,,corneal eyes,Myrsine coriacea (Sw.) R. Br. (leathery colicwood),,,,,Xingu-Tocantins-Araguaia Moist Forests,,,,,,,,,,,,,,,,,,,,,,,1.665 pg,,,,,,,,,,,,,,,,,,,,,,,,
0,Lined antshrike,Animalia,Chordata,Aves,https://eol.org/pages/45512629,Thamnophilus tenuepunctatus (Lined Antshrike) is a species of birds in the family typical antbirds. They are listed as vulnerable by IUCN. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,23 g,Colombia,"subtropical,terrestrial",10 dB,bipedal movement,apatite,Decreasing,,corneal eyes,,,,,,,vulnerable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Lined forest falcon,Animalia,Chordata,Aves,https://eol.org/pages/45512598,Micrastur gilvicollis (Lined Forest Falcon) is a species of birds in the family falcons. They are listed in cites appendix ii. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,262 g,Suriname,terrestrial,20 dB,flight,apatite,Decreasing,,corneal eyes,,,,,,Juruá-Purus Moist Forests,cites appendix ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Lined quaildove,Animalia,Chordata,Aves,https://eol.org/pages/1049758,Zentrygon linearis (Lined Quail Dove) is a species of birds in the family Columbidae. They rely on flight to move around.,tympanic middle ear,,,North Atlantic,"subtropical,terrestrial",20 dB,flight,apatite,Decreasing,,corneal eyes,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Lined seedeater,Animalia,Chordata,Aves,https://eol.org/pages/45510476,Sporophila lineola (Lined Seedeater) is a species of birds in the family tanagers. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,12 g,Argentina,"tropical,terrestrial",10 dB,flight,apatite,Stable,,corneal eyes,,,,,,Gurupa Varzea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Lita woodpecker,Animalia,Chordata,Aves,https://eol.org/pages/1250669,Piculus litae (Lita Woodpecker) is a species of birds in the family woodpeckers. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,,Ecuador,terrestrial,20 dB,flight,apatite,Decreasing,,corneal eyes,,,,,,Chocó-DariéN Moist Forests,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little auk,Animalia,Chordata,Aves,https://eol.org/pages/45509340,"Alle alle (Dovekie) is a species of birds in the family auks. They are native to The Nearctic, the Palearctic, Atlantic Ocean, and Arctic Ocean. They are diurnal carnivores. Individuals can grow to 48 cm. They have parental care (pair provides care, paternal care, and female provides care). They rely on flight, swimming, and lift powered swimming to move around.",,the palearctic,,Mexico,,,,,Decreasing,,,,marine pelagic,,,,,,,bilaterally symmetric,fish,monogamous,The Nearctic,,group living,invertivore,,,,,,,,,,nectonic,40 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little beeeater,Animalia,Chordata,Aves,https://eol.org/pages/45514072,Merops pusillus (Little Bee Eater) is a species of birds in the family bee-eaters. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,Afrotropics,20.6 g,South Atlantic,freshwater habitat,20 dB,flight,apatite,Decreasing,,corneal eyes,Anthophila,,,,,Central African Mangroves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little bittern,Animalia,Chordata,Aves,https://eol.org/pages/45513561,"Ixobrychus minutus (Little Bittern) is a species of birds in the family Ardeidae. They are associated with freshwater habitat. They are found in the palearctic, Afrotropics, australasia, and the indo-malayan realm. They are diurnal. They have parental care (pair provides care). They rely on flight to move around.",,the palearctic,,United States,marsh,,flight,,Decreasing,,corneal eyes,Hyperolius Rapp 1842 (african reed frogs),freshwater,6.9 years,,101 g,,,,,,,,,,invertivore,,,,,,,Hyperolius Rapp 1842 (african reed frogs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little black cormorant,Animalia,Chordata,Aves,https://eol.org/pages/45516072,Phalacrocorax sulcirostris (Little Black Cormorant) is a species of birds in the family cormorants. They are associated with freshwater habitat. They are found in australasia and the indo-malayan realm. They are diurnal. They have parental care (pair provides care). They rely on flight to move around.,tympanic middle ear,australasia,995 g,New Zealand,freshwater,,flight,,Unknown,,corneal eyes,Perca fluviatilis Linnaeus 1758 (Barsch),freshwater,,,,,,,,,,,,,vertivore,,,,,,,,,,nectonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little blue heron,Animalia,Chordata,Aves,https://eol.org/pages/45511356,Egretta caerulea (Little Blue Heron) is a species of birds in the family Ardeidae. They are associated with freshwater habitat. They are native to The Nearctic and The Neotropics. They rely on flight to move around.,,The Nearctic,,United States,marsh,,flight,,Decreasing,,,,,13.9 years,23 days,339.5 g,,,,bilaterally symmetric,,,The Nearctic,,,,0.258 /day,1 /year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little bronze cuckoo,Animalia,Chordata,Aves,https://eol.org/pages/45517827,Chrysococcyx minutillus (Little Bronze Cuckoo) is a species of birds in the family Cuculidae. They are found in australasia and the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,australasia,21 g,South Pacific,tropical,20 dB,flight,apatite,,NHMUK,corneal eyes,,,,,,Trobriand Islands Rain Forests,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little brown bustard,Animalia,Chordata,Aves,https://eol.org/pages/45513873,Eupodotis humilis (Little Brown Bustard) is a species of birds in the family bustards. They are listed in cites appendix ii. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,Afrotropics,698 g,,grassland,20 dB,flight,apatite,,,corneal eyes,,,,,,Ethiopian Xeric Grasslands And Shrublands,cites appendix ii,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little bunting,Animalia,Chordata,Aves,https://eol.org/pages/45511170,Emberiza pusilla (Little Bunting) is a species of birds in the family New World sparrows. They are found in the indo-malayan realm and the palearctic. They are diurnal. They have parental care (pair provides care). They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,15 g,United States,"mountain,terrestrial",,flight,apatite,Stable,,corneal eyes,,terrestrial,,,,,,,,,,,,,granivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little bustard,Animalia,Chordata,Aves,https://eol.org/pages/45513581,Tetrax tetrax (L Ittle Bustard) is a species of birds in the family bustards. They are listed as near threatened by IUCN and in cites appendix ii. They are found in the palearctic and the indo-malayan realm. They are diurnal omnivores. They have parental care (female provides care). They rely on flight to move around.,tympanic middle ear,the palearctic,834 g,Japan,"grassland,terrestrial",,flight,,Decreasing,,corneal eyes,,terrestrial,,,,,near threatened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,omnivore,,,,,,,,,,,,,,,
0,Little buttonquail,Animalia,Chordata,Aves,https://eol.org/pages/1178464,Turnix velox (Little Button Quail) is a species of birds in the family buttonquails. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,64 g,Indian Ocean,"arid,terrestrial",20 dB,flight,apatite,Decreasing,,corneal eyes,,,,,,Great Victoria Desert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little chachalaca,Animalia,Chordata,Aves,https://eol.org/pages/45512021,Ortalis motmot (Little Chachalaca) is a species of birds in the family Cracidae. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,620 g,United States,terrestrial,20 dB,flight,apatite,Decreasing,,corneal eyes,Mauritiella,,,,,TapajóS-Xingu Moist Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little corella,Animalia,Chordata,Aves,https://eol.org/pages/45516621,Cacatua sanguinea (Little Corella) is a species of birds in the family cockatoos. They are listed in cites appendix ii. They are found in australasia. They rely on flight to move around.,,australasia,,Australia,arid,,flight,,Increasing,NHMUK,,,,46.9 years,,350 g,,,,,,,,,,,0.165 /day,,,,,,,,,,,,,,,,,30.8 mm,,12.96 degrees celsius,,28.3 mm,,,,,,,,,,,,,,,,
0,Little cormorant,Animalia,Chordata,Aves,https://eol.org/pages/45516069,Microcarbo niger (Little Cormorant) is a species of birds in the family cormorants. They are associated with freshwater habitat. They rely on flight to move around.,tympanic middle ear,,,United States,"valley,terrestrial",20 dB,flight,apatite,Unknown,,corneal eyes,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little crake,Animalia,Chordata,Aves,https://eol.org/pages/45513925,"Porzana parva (Little Crake) is a species of birds in the family rails. They are associated with freshwater habitat. They are found in Afrotropics, the indo-malayan realm, and the palearctic. They are diurnal. They have parental care (pair provides care). They rely on flight to move around.",tympanic middle ear,Afrotropics,50 g,South Atlantic,,20 dB,flight,apatite,,Staatliches Museum fuer Naturkund Stuttgart,corneal eyes,,freshwater,,,,Kazakh Semi-Desert,,,,,,,,,invertivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little crow,Animalia,Chordata,Aves,https://eol.org/pages/45518682,Corvus bennetti (Little Crow) is a species of birds in the family Corvidae. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,525 g,Indian Ocean,"desert,terrestrial",10 dB,flight,apatite,Decreasing,,corneal eyes,,,,,,Mount Lofty Woodlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little cuckoo,Animalia,Chordata,Aves,https://eol.org/pages/45516204,Macropygia ruficeps (Little Cuckoo Dove) is a species of birds in the family Columbidae. They are found in the indo-malayan realm and australasia. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,97 g,Laos,"fen,terrestrial",20 dB,flight,apatite,Stable,,corneal eyes,,,,,,Peninsular Malaysian Montane Rain Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little cuckoodove,Animalia,Chordata,Aves,https://eol.org/pages/45516204,Macropygia ruficeps (Little Cuckoo Dove) is a species of birds in the family Columbidae. They are found in the indo-malayan realm and australasia. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,97 g,Laos,"fen,terrestrial",20 dB,flight,apatite,Stable,,corneal eyes,,,,,,Peninsular Malaysian Montane Rain Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little curlew,Animalia,Chordata,Aves,https://eol.org/pages/45509188,"Numenius minutus (Little Curlew) is a species of birds in the family Scolopacidae. They are associated with freshwater habitat. They are found in the palearctic, australasia, and the indo-malayan realm. They are diurnal. They have parental care (pair provides care). They rely on flight to move around.",tympanic middle ear,the palearctic,173 g,United States,freshwater,,flight,,Stable,NHMUK,corneal eyes,,terrestrial,,,,,,,,,,,,,invertivore,,,,,,,,,,nectonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little eagle,Animalia,Chordata,Aves,https://eol.org/pages/915251,Hieraaetus morphnoides (Little Eagle) is a species of birds in the family Accipitridae. They are listed in cites appendix ii. They are found in australasia. They are diurnal. They have parental care (pair provides care). They rely on flight to move around.,tympanic middle ear,australasia,774 g,Australia,grassland,,flight,,Stable,,corneal eyes,,terrestrial,10.3 years,,791 g,,,,,,,,,,vertivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little egret,Animalia,Chordata,Aves,https://eol.org/pages/45511358,"Egretta garzetta (Little Egret) is a species of birds in the family Ardeidae. They are associated with freshwater habitat. They are found in Afrotropics, the indo-malayan realm, Oceania continent (Australia, NZ and islands), the palearctic, The Neotropics, and australasia. They are diurnal. They have parental care (pair provides care). They rely on flight to move around.",,Afrotropics,,New Zealand,coastal,,flight,,Increasing,NHMUK,,,freshwater,22.3 years,,312 g,,,,,,,,,,invertivore,0.248 /day,,,,,,,,,nectonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little forktail,Animalia,Chordata,Aves,https://eol.org/pages/45517519,Enicurus scouleri (Little Forktail) is a species of birds in the family Old World flycatchers. They are found in the palearctic and the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,the palearctic,16 g,Vietnam,"river,freshwater habitat",10 dB,flight,apatite,Stable,,corneal eyes,,,,,,Taiwan Subtropical Evergreen Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little grassbird,Animalia,Chordata,Aves,https://eol.org/pages/52232826,Poodytes gramineus (Little Grassbird) is a species of birds in the family Locustellidae. They rely on flight to move around.,tympanic middle ear,,,,terrestrial,10 dB,flight,apatite,Increasing,,corneal eyes,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little grebe,Animalia,Chordata,Aves,https://eol.org/pages/45513831,"Tachybaptus ruficollis (L Ittle Grebe) is a species of birds in the family grebes. They are associated with freshwater habitat. They are found in the palearctic, australasia, the indo-malayan realm, and Afrotropics. They are diurnal. Individuals can grow to 45 cm. They have parental care (occasionally breeds cooperatively). They rely on flight and drag powered swimming to move around.",,the palearctic,,South Africa,aquatic,,flight,,Decreasing,,,,freshwater,17.5 years,,174 g,,,,,,,,,,invertivore,,,,,,,,,,nectonic,40 cm,,,1.585 pg,,,,,,,,,,,,,,,,,,,,,,,,
0,Little green pigeon,Animalia,Chordata,Aves,https://eol.org/pages/45516246,Treron olax (Little Green Pigeon) is a species of birds in the family Columbidae. They are found in the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,77 g,Brunei,"subtropical,terrestrial",20 dB,bipedal movement,apatite,Decreasing,,corneal eyes,,,,,,Borneo Montane Rain Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little green sunbird,Animalia,Chordata,Aves,https://eol.org/pages/45514840,Anthreptes seimundi (Little Green Sunbird) is a species of birds in the family Sunbirds. They rely on flight to move around.,tympanic middle ear,,6.5 g,Uganda,terrestrial,10 dB,flight,apatite,Stable,,corneal eyes,,,,,,,,5000 Hz,,,,,,,,,,,Haemoproteus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little green woodpecker,Animalia,Chordata,Aves,https://eol.org/pages/1177589,Campethera maculosa (Golden Backed Woodpecker) is a species of birds in the family woodpeckers. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,Afrotropics,54 g,Cameroon,terrestrial,20 dB,bipedal movement,apatite,Increasing,"University Museum of Zoology, Cambridge",corneal eyes,,,,,,Western Guinean Lowland Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little greenbul,Animalia,Chordata,Aves,https://eol.org/pages/45514339,Eurillas virens (Little Greenbul) is a species of birds in the family bulbuls. They rely on flight to move around.,tympanic middle ear,,,Mozambique,"savanna,terrestrial",10 dB,flight,apatite,Stable,NHMUK,corneal eyes,Polyscias fulva (Hiern) Harms (Parasol tree),,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little grey flycatcher,Animalia,Chordata,Aves,https://eol.org/pages/45514727,Muscicapa epulata (Little Grey Flycatcher) is a species of birds in the family Old World flycatchers. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,Afrotropics,10.7 g,The Congo,"subtropical,terrestrial",10 dB,flight,apatite,Stable,,corneal eyes,,,,,,Northeastern Congolian Lowland Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little grey greenbul,Animalia,Chordata,Aves,https://eol.org/pages/45514340,Eurillas gracilis (Little Grey Greenbul) is a species of birds in the family bulbuls. They rely on flight to move around.,tympanic middle ear,,,Angola,"subtropical,terrestrial",10 dB,bipedal movement,apatite,Stable,,corneal eyes,Antiaris toxicaria (Pers.) Leschen. (False Mvule),,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little grey woodpecker,Animalia,Chordata,Aves,https://eol.org/pages/1177595,Dendropicos elachus (Little Grey Woodpecker) is a species of birds in the family woodpeckers. They are found in the palearctic and Afrotropics. They rely on flight to move around.,tympanic middle ear,the palearctic,21 g,Cameroon,"steppe,freshwater habitat",20 dB,bipedal movement,apatite,Unknown,,corneal eyes,,,,,,Inner Niger Delta Flooded Savanna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little ground tyrant,Animalia,Chordata,Aves,https://eol.org/pages/45513193,Muscisaxicola fluviatilis (Little Ground Tyrant) is a species of birds in the family tyrant flycatchers. They are found in The Neotropics. They rely on flight to move around.,otoliths,The Neotropics,16 g,Bolivia,"subtropical,terrestrial",,bipedal movement,apatite,Stable,NHMUK,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.252 pg,,,,,,,,,,,,,,,,,,,,,,,,
0,Little gull,Animalia,Chordata,Aves,https://eol.org/pages/45509278,Hydrocoloeus minutus (L Ittle Gull) is a species of birds in the family Laridae. They are associated with freshwater habitat. They are diurnal. They have parental care (pair provides care). They rely on flight to move around.,,,,United States,freshwater,,flight,,Increasing,,,Loligo (Loligo squid),freshwater,20.9 years,21 days,119 g,,,,,,,,,,invertivore,0.273 /day,,,,,,,,,nectonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little hermit,Animalia,Chordata,Aves,https://eol.org/pages/45512237,Phaethornis longuemareus (Little Hermit) is a species of birds in the family hummingbirds. They are listed in cites appendix ii. They are found in The Neotropics. They are diurnal. They rely on flight to move around.,tympanic middle ear,The Neotropics,3 g,Guyana,terrestrial,,flight,apatite,Stable,,corneal eyes,Costus (costus),,,,,,cites appendix ii,,,,,,,,,,,,,,,,,,,,diurnal,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little Inca finch,Animalia,Chordata,Aves,https://eol.org/pages/1050344,Incaspiza watkinsi (Little Inca Finch) is a species of birds in the family tanagers. They are listed as near threatened by IUCN. They are found in The Neotropics. They rely on flight to move around.,otoliths,The Neotropics,22.5 g,Peru,"subtropical,terrestrial",10 dB,bipedal movement,apatite,Decreasing,,corneal eyes,,,,,,,near threatened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little kingfisher,Animalia,Chordata,Aves,https://eol.org/pages/45516503,Ceyx pusillus (Little Kingfisher) is a species of birds in the family Alcedinidae. They rely on flight to move around.,tympanic middle ear,,,Australia,terrestrial,20 dB,bipedal movement,apatite,Decreasing,,corneal eyes,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little lorikeet,Animalia,Chordata,Aves,https://eol.org/pages/47043557,Parvipsitta pusilla (Little Lorikeet) is a species of birds in the family Psittaculidae. They rely on flight to move around.,tympanic middle ear,,,,,20 dB,flight,apatite,,,corneal eyes,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little minivet,Animalia,Chordata,Aves,https://eol.org/pages/45516789,Pericrocotus lansbergei (Flores Minivet) is a species of birds in the family cuckoo-shrikes. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,,Indonesia,"tropical,terrestrial",10 dB,bipedal movement,apatite,Stable,,corneal eyes,,,,,,Lesser Sundas Deciduous Forests,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little nightjar,Animalia,Chordata,Aves,https://eol.org/pages/45512199,Setopagis parvula (Little Nightjar) is a species of birds in the family Caprimulgidae. They rely on flight to move around.,tympanic middle ear,,,South Atlantic,terrestrial,20 dB,flight,apatite,Stable,NHMUK,corneal eyes,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little owl,Animalia,Chordata,Aves,https://eol.org/pages/45517847,"Athene noctua (Little Owl) is a species of birds in the family typical owls. They are listed in cites appendix ii. They are native to the Palearctic and Ethiopia. They are crepuscular carnivores. They have parental care (pair provides care, female provides care, and paternal care). They rely on flight to move around.",,the palearctic,,Moldova,,,flight,,Stable,Zoologisches Forschungsmuseum Alexander Koenig,,,terrestrial,,16 days,,,,,bilaterally symmetric,fish,monogamous,the Palearctic,,,vertivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little paradise kingfisher,Animalia,Chordata,Aves,https://eol.org/pages/45516448,Tanysiptera hydrocharis (Little Paradise Kingfisher) is a species of birds in the family Alcedinidae. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,,Indonesia,terrestrial,20 dB,bipedal movement,apatite,Unknown,,corneal eyes,,,,,,Vogelkop-Aru Lowland Rain Forests,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
