,Common Name,Kingdom,Phylum,Class,Link,Description,auditory system,biogeographic realm,body mass,geographic distribution includes,habitat,hearing threshold,locomotion,mineralized skeleton contains,population trend,type specimen repository,visual system,eats,foraging habitat,life span,prenatal development duration,weight,ecoregion,conservation status,hearing range,body shape,diet includes,mating system,native range includes,parental care,social system,trophic guild,growth rate,litters per year,has host,parasitized by,body temperature,egg mass,preys on,clutch/brood/litter size,basal metabolic rate,ecomorphological guild,body length,behavioral circadian rhythm,visits flowers of,genome size,visits,mutualistic with,number of public records in bold,bill length,tarsometatarsus + middle toe length,temperature at range midpoint latitude,host of,tarsus length,trophic level,middle toe length,symbiont of,has endoparasite,plant growth form,has ectoparasite,onset of fertility,is vector for,harvested in,used for,sensory system,is killed by,is eaten by,produces,spore arrangement,motility
0,Lapland longspur,Animalia,Chordata,Aves,https://eol.org/pages/45511248,"Calcarius lapponicus (Lapland Longspur) is a species of birds in the family calcariid buntings. They are found in The Nearctic, The Neotropics, and the palearctic. They are diurnal. They have parental care (pair provides care). They rely on flight to move around.",,The Nearctic,,United States,cave,,flight,,Increasing,,,,terrestrial,6 years,12 days,2.3 g,,,,,,,,,,granivore,0.604 /day,1 /year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Large blue flycatcher,Animalia,Chordata,Aves,https://eol.org/pages/45517448,Cyornis magnirostris (Large Blue Flycatcher) is a species of birds in the family Old World flycatchers. They rely on flight to move around.,tympanic middle ear,,,Thailand,terrestrial,10 dB,flight,apatite,Stable,NHMUK,corneal eyes,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Large cuckooshrike,Animalia,Chordata,Aves,https://eol.org/pages/45516733,Coracina macei (Large Cuckooshrike) is a species of birds in the family cuckoo-shrikes. They are found in the indo-malayan realm and the palearctic. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,,Indian Ocean,terrestrial,10 dB,flight,apatite,Decreasing,,corneal eyes,,,,,,Deccan Thorn Scrub Forests,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Large elaenia,Animalia,Chordata,Aves,https://eol.org/pages/45512969,Elaenia spectabilis (Large Elaenia) is a species of birds in the family tyrant flycatchers. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,27.3 g,South Atlantic,"subtropical,terrestrial",10 dB,flight,apatite,Decreasing,,corneal eyes,Schinus areira L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Large fig parrot,Animalia,Chordata,Aves,https://eol.org/pages/45518033,Psittaculirostris desmarestii (Flame Headed Fig Parrot) is a species of birds in the family Psittaculidae. They are listed in cites appendix ii. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,126 g,United States,"subtropical,terrestrial",,bipedal movement,,Decreasing,,corneal eyes,,,14.9 years,,117 g,,cites appendix ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Large frogmouth,Animalia,Chordata,Aves,https://eol.org/pages/45516351,Batrachostomus auritus (Large Frogmouth) is a species of birds in the family frogmouths. They are listed as near threatened by IUCN. They are found in the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,206 g,Malaysia,"tropical,terrestrial",20 dB,bipedal movement,apatite,Decreasing,,corneal eyes,,,,,,,near threatened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Large green pigeon,Animalia,Chordata,Aves,https://eol.org/pages/45516260,Treron capellei (Large Green Pigeon) is a species of birds in the family Columbidae. They are listed as vulnerable by IUCN. They are found in the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,455 g,Indonesia,"tropical,terrestrial",,flight,apatite,Decreasing,"University Museum of Zoology, Cambridge",corneal eyes,,,,,,,vulnerable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Large grey babbler,Animalia,Chordata,Aves,https://eol.org/pages/52232778,Argya malcolmi (Large Grey Babbler) is a species of birds in the family Leiothrichidae. They rely on flight to move around.,tympanic middle ear,,,,terrestrial,10 dB,flight,apatite,Stable,,corneal eyes,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Large ground finch,Animalia,Chordata,Aves,https://eol.org/pages/1050334,Geospiza magnirostris (Large Ground Finch) is a species of birds in the family tanagers. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,39 g,Ecuador,"arid,terrestrial",,flight,apatite,Stable,NHMUK,corneal eyes,Cordia lutea Lam. (Yellow geiger),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Large hawkcuckoo,Animalia,Chordata,Aves,https://eol.org/pages/45517835,Hierococcyx sparverioides (Large Hawk Cuckoo) is a species of birds in the family Cuculidae. They rely on flight to move around.,tympanic middle ear,,,Bangladesh,"subtropical,terrestrial",20 dB,bipedal movement,apatite,Stable,,corneal eyes,,,,,,,,5000 Hz,,,,,,,,,,CORRUPTED VALUE for trait R20-PK39170432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
