,Common Name,Kingdom,Phylum,Class,Link,Description,auditory system,hearing range,hearing threshold,locomotion,mineralized skeleton contains,visual system,biogeographic realm,body mass,ecoregion,geographic distribution includes,habitat,population trend,conservation status,weight,eats,type specimen repository,ecomorphological guild,behavioral circadian rhythm,genome size,has ectoparasite,body shape,diet includes,foraging habitat,native range includes,parental care,social system,trophic guild,body length,life span,preys on,parasitized by,basal metabolic rate,prenatal development duration,mating system,visits flowers of,is eaten by,host of,preyed upon by,growth rate,litters per year,visits,sensory system,body temperature,bill length,tarsus length,temperature at range midpoint latitude,mutualistic with,number of public records in bold,onset of fertility,used for,clutch/brood/litter size,leaf arrangement,life cycle habit,developmental mode,wing morphology,middle toe length,symbiont of,motility,supporting structures and enclosures,initial mortality rate
0,Pringles puffback,Animalia,Chordata,Aves,https://eol.org/pages/45515188,Dryoscopus pringlii (Pringle's Puffback) is a species of birds in the family Bushshrike. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,,10 dB,bipedal movement,apatite,corneal eyes,Afrotropics,22.6 g,,Ethiopia,"savanna,terrestrial",Stable,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Pririt batis,Animalia,Chordata,Aves,https://eol.org/pages/45515132,Batis pririt (Pririt Batis) is a species of birds in the family Afrikansiepot. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,,10 dB,bipedal movement,apatite,corneal eyes,Afrotropics,14 g,Zambezian Flooded Grasslands,Angola,terrestrial,Stable,,,,,,,1.335 pg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Protea canary,Animalia,Chordata,Aves,https://eol.org/pages/45515744,Crithagra leucoptera (Protea Canary) is a species of birds in the family finches. They are listed as near threatened by IUCN. They rely on flight to move around.,tympanic middle ear,5000 Hz,10 dB,bipedal movement,apatite,corneal eyes,,,,South Africa,"coastal,terrestrial",Decreasing,near threatened,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Prothonotary warbler,Animalia,Chordata,Aves,https://eol.org/pages/45511070,Protonotaria citrea (Prothonotary Warbler) is a species of birds in the family New World warblers. They are listed as endangered by COSEWIC. They are native to The Nearctic and The Neotropics. They are diurnal. They have parental care (pair provides care). They rely on flight to move around.,,,,flight,,,The Neotropics,,,United States,river,Decreasing,,14.3 g,,,,,,,,,terrestrial,The Nearctic,,,invertivore,,8.1 years,,,0.1994 watts,14 days,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Providence petrel,Animalia,Chordata,Aves,https://eol.org/pages/45511283,Pterodroma solandri (Providence Petrel) is a species of birds in the family Procellariidae. They are listed as vulnerable by IUCN. They rely on flight to move around.,tympanic middle ear,,,flight,apatite,corneal eyes,,433 g,,New Zealand,"mountain,marine",Increasing,vulnerable,,Loligo (Loligo squid),,nectonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Providencia vireo,Animalia,Chordata,Aves,https://eol.org/pages/45509925,Vireo approximans (Providencia Vireo) is a species of birds in the family vireos. They rely on flight to move around.,tympanic middle ear,5000 Hz,10 dB,flight,apatite,corneal eyes,,,,,tropical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Providencia vireo   ,Animalia,Chordata,Aves,https://eol.org/pages/45509925,Vireo approximans (Providencia Vireo) is a species of birds in the family vireos. They rely on flight to move around.,tympanic middle ear,5000 Hz,10 dB,flight,apatite,corneal eyes,,,,,tropical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Przevalskis finch,Animalia,Chordata,Aves,https://eol.org/pages/45518893,Urocynchramus pylzowi (Pink Tailed Bunting) is a species of birds in the family Urocynchramidae. They are found in the palearctic. They rely on flight to move around.,tympanic middle ear,5000 Hz,10 dB,bipedal movement,apatite,corneal eyes,the palearctic,,Central Tibetan Plateau Alpine Steppe,China,"mountain,terrestrial",Stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Przevalskis nuthatch,Animalia,Chordata,Aves,https://eol.org/pages/28354612,Sitta przewalskii (Przevalski's Nuthatch) is a species of birds in the family Sittidae. They rely on flight to move around.,tympanic middle ear,5000 Hz,10 dB,bipedal movement,apatite,corneal eyes,,,,China,montane forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Przevalskis parrotbill,Animalia,Chordata,Aves,https://eol.org/pages/45518851,Sinosuthora przewalskii (Przevalski's Parrotbill) is a species of birds in the family Sylviidae. They are listed as vulnerable by IUCN. They rely on flight to move around.,tympanic middle ear,5000 Hz,10 dB,bipedal movement,apatite,corneal eyes,,,,China,"temperate,terrestrial",Decreasing,vulnerable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Przevalskis partridge,Animalia,Chordata,Aves,https://eol.org/pages/45515946,Alectoris magna (Przevalski's Partridge) is a species of birds in the family Phasianidae. They are found in the palearctic. They rely on flight to move around.,tympanic middle ear,5000 Hz,20 dB,bipedal movement,apatite,corneal eyes,the palearctic,710 g,Taklimakan Desert,China,terrestrial,Decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Przevalskis redstart,Animalia,Chordata,Aves,https://eol.org/pages/45517563,Phoenicurus alaschanicus (Ala Shan Redstart) is a species of birds in the family Old World flycatchers. They are listed as near threatened by IUCN. They are found in the palearctic. They rely on flight to move around.,tympanic middle ear,,10 dB,flight,apatite,corneal eyes,the palearctic,,Central China Loess Plateau Mixed Forests,China,"temperate,terrestrial",Decreasing,near threatened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Puaiohi,Animalia,Chordata,Aves,https://eol.org/pages/45510190,"Myadestes palmeri (Puaiohi) is a species of birds in the family thrushes. They are listed as critically endangered by IUCN. They are found in Oceania continent (Australia, NZ and islands). They rely on flight to move around.",tympanic middle ear,,10 dB,bipedal movement,apatite,corneal eyes,"Oceania continent (Australia, NZ and islands)",43 g,,United States,"cliff,terrestrial",Stable,critically endangered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Puerto Rican amazon,Animalia,Chordata,Aves,https://eol.org/pages/913268,Amazona vittata (Puerto Rican Amazon) is a species of birds in the family parrots. They are listed as critically endangered by IUCN and in cites appendix i. They are native to The Neotropics. They are diurnal herbivores. They have parental care (paternal care and female provides care). They rely on flight to move around.,,,,flight,,,The Neotropics,,,Puerto Rico,karst,Increasing,,,,,,,,,bilaterally symmetric,seeds,,The Neotropics,provisioning,group living,granivore,,,,,,,monogamous,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Puerto Rican bullfinch,Animalia,Chordata,Aves,https://eol.org/pages/45510493,"Loxigilla portoricensis (Puerto Rican Bullfinch) is a species of birds in the family tanagers. They are found in The Neotropics. They visit flowers of wild ackee, pumpwood, guayabilla, and achiotillo. They rely on flight to move around.",tympanic middle ear,,10 dB,flight,apatite,corneal eyes,The Neotropics,45.5 g,,North Atlantic,,,,32.1 g,Casearia sylvestris Sw. (crackopen),,,,,,,,,,,,,,15.6 years,,,,,,Anthurium (Laceleaf),,,,,,,,,,,,,,,,,,,,,,,,,
0,Puerto Rican emerald,Animalia,Chordata,Aves,https://eol.org/pages/45509553,Chlorostilbon maugaeus (Puerto Rican Emerald) is a species of birds in the family hummingbirds. They are listed in cites appendix ii. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,,,bipedal movement,apatite,corneal eyes,The Neotropics,6 g,,Puerto Rico,"coastal,terrestrial",Unknown,cites appendix ii,,Araneus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Puerto Rican flycatcher,Animalia,Chordata,Aves,https://eol.org/pages/916855,Myiarchus antillarum (Puerto Rican Flycatcher) is a species of birds in the family tyrant flycatchers. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,,,flight,,corneal eyes,The Neotropics,27.5 g,,North Atlantic,terrestrial,Decreasing,,23.4 g,CORRUPTED VALUE for trait R20-PK39305018,"Harvard UNiversity, Museum of Comparative Zoology",,,,,,,,,,,,,13.6 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Puerto Rican lizard cuckoo,Animalia,Chordata,Aves,https://eol.org/pages/914938,Coccyzus vieilloti (Puerto Rican Lizard Cuckoo) is a species of birds in the family Cuculidae. They rely on flight to move around.,tympanic middle ear,5000 Hz,20 dB,bipedal movement,apatite,corneal eyes,,104 g,,Puerto Rico,terrestrial,Stable,,,Rhyssomatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Puerto Rican nightjar,Animalia,Chordata,Aves,https://eol.org/pages/45509479,Antrostomus noctitherus (Puerto Rican Nightjar) is a species of birds in the family Caprimulgidae. They are listed as endangered by IUCN. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,5000 Hz,20 dB,flight,apatite,corneal eyes,The Neotropics,,Puerto Rican Dry Forests,North Atlantic,terrestrial,Decreasing,endangered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Puerto Rican oriole,Animalia,Chordata,Aves,https://eol.org/pages/1286202,Icterus portoricensis (Puerto Rican Oriole) is a species of birds in the family New World blackbirds. They are native to The Neotropics. They are diurnal carnivores. They have parental care (paternal care and female provides care). They rely on flight to move around.,,,,flight,,,,,,Puerto Rico,temperate,Decreasing,,,Inga laurina (Sw.) Willd. (sacky sac bean),,,,,,bilaterally symmetric,seeds,,The Neotropics,provisioning,group living,vertivore,,,,,,,monogamous,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Puerto Rican parakeet,Animalia,Chordata,Aves,https://eol.org/pages/47043577,Psittacara maugei (Puerto Rican Parakeet) is a species of birds in the family parrots. They are diurnal. They rely on flight to move around.,tympanic middle ear,5000 Hz,20 dB,flight,apatite,corneal eyes,,,,,,,,,,,,diurnal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Puerto Rican spindalis,Animalia,Chordata,Aves,https://eol.org/pages/45510514,"Spindalis portoricensis (Puerto Rican Spindalis) is a species of birds in the family Spindalidae. They visit flowers of fig, johnnyberry, mucilage manjack, and Mistletoe. They rely on flight to move around.",tympanic middle ear,5000 Hz,10 dB,flight,apatite,corneal eyes,,41.1 g,,Puerto Rico,terrestrial,Stable,,,Guarea guidonia (L.) Sleum. (American muskwood),,,,,,,,,,,,,,,,,,,,Anthurium (Laceleaf),,,,,,,,,,,,,,,,,,,,,,,,,
0,Puerto Rican tanager,Animalia,Chordata,Aves,https://eol.org/pages/45510504,"Nesospingus speculiferus (Puerto Rican Tanager) is a species of birds in the family Nesospingidae. They are found in The Neotropics. They visit flowers of Pitch apple, pumpwood, leathery colicwood, and Mistletoe. They rely on flight to move around.",tympanic middle ear,,,flight,,corneal eyes,The Neotropics,40 g,,North Atlantic,subtropical,Stable,,35.2 g,Phytolacca rivinoides Kunth & Bouché (Venezuelan pokeweed),,,,,,,,,,,,,,4 years,,,,,,Cecropia schreberiana Miq. (pumpwood),,,,,,,,,,,,,,,,,,,,,,,,,
0,Puerto Rican tody,Animalia,Chordata,Aves,https://eol.org/pages/917146,Todus mexicanus (Puerto Rican Tody) is a species of birds in the family todies. They are found in The Neotropics. They are diurnal. They have parental care (cooperative breeding). They rely on flight to move around.,tympanic middle ear,,,flight,,corneal eyes,The Neotropics,,,North Atlantic,tropical,Decreasing,,5.9 g,Clusia rosea Jacq. (Pitch apple),,,,,,,,terrestrial,,,,invertivore,,12.6 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Puerto Rican vireo,Animalia,Chordata,Aves,https://eol.org/pages/45509930,Vireo latimeri (Puerto Rican Vireo) is a species of birds in the family vireos. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,,,flight,apatite,corneal eyes,The Neotropics,14.9 g,,North Atlantic,terrestrial,Decreasing,,12 g,Inga vera Willd. (river koko),,,,,,,,,,,,,,16.8 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Puerto Rican woodpecker,Animalia,Chordata,Aves,https://eol.org/pages/45509725,Melanerpes portoricensis (Puerto Rican Woodpecker) is a species of birds in the family woodpeckers. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,,20 dB,flight,apatite,corneal eyes,The Neotropics,73 g,Puerto Rican Dry Forests,North Atlantic,terrestrial,Stable,,,Tournefortia angustiflora Ruiz & Pav.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Pulitzers longbill,Animalia,Chordata,Aves,https://eol.org/pages/45514416,Macrosphenus pulitzeri (Pulitzer's Longbill) is a species of birds in the family Macrosphenidae. They are listed as endangered by IUCN. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,,10 dB,flight,apatite,corneal eyes,Afrotropics,,,Angola,"tropical,terrestrial",Decreasing,endangered,,,(CM) - CM Birds Collection {http://www.carnegiemnh.org/birds/index.html},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Puna canastero,Animalia,Chordata,Aves,https://eol.org/pages/918020,Asthenes sclateri (Cordoba Canastero) is a species of birds in the family ovenbirds. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,5000 Hz,10 dB,bipedal movement,apatite,corneal eyes,The Neotropics,26 g,Central Andean Wet Puna,Bolivia,subtropical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Puna ground tyrant,Animalia,Chordata,Aves,https://eol.org/pages/45513196,Muscisaxicola juninensis (Puna Ground Tyrant) is a species of birds in the family tyrant flycatchers. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,,10 dB,bipedal movement,apatite,corneal eyes,The Neotropics,22.2 g,Central Andean Wet Puna,Bolivia,"grassland,freshwater habitat",Stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Puna ibis,Animalia,Chordata,Aves,https://eol.org/pages/45512148,Plegadis ridgwayi (Puna Ibis) is a species of birds in the family Threskiornithidae. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,,,bipedal movement,apatite,corneal eyes,The Neotropics,554 g,,Bolivia,terrestrial,Decreasing,,584 g,,"Harvard UNiversity, Museum of Comparative Zoology",,,,,,,,,,,,,18 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Puna miner,Animalia,Chordata,Aves,https://eol.org/pages/918432,Geositta punensis (Puna Miner) is a species of birds in the family ovenbirds. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,,10 dB,bipedal movement,apatite,corneal eyes,The Neotropics,28 g,Central Andean Dry Puna,Bolivia,"tropical,terrestrial",Stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Puna pipit,Animalia,Chordata,Aves,https://eol.org/pages/52571340,Anthus brevirostris (Puna Pipit) is a species of birds in the family Motacillidae. They rely on flight to move around.,tympanic middle ear,5000 Hz,10 dB,flight,apatite,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Puna pipit   ,Animalia,Chordata,Aves,https://eol.org/pages/52571340,Anthus brevirostris (Puna Pipit) is a species of birds in the family Motacillidae. They rely on flight to move around.,tympanic middle ear,5000 Hz,10 dB,flight,apatite,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Puna plover,Animalia,Chordata,Aves,https://eol.org/pages/1049091,Charadrius alticola (Puna Plover) is a species of birds in the family Charadriidae. They are associated with freshwater habitat. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,,20 dB,bipedal movement,apatite,corneal eyes,The Neotropics,49 g,,Bolivia,"freshwater,terrestrial",Unknown,,,,,nectonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Puna snipe,Animalia,Chordata,Aves,https://eol.org/pages/1049574,Gallinago andina (Puna Snipe) is a species of birds in the family Scolopacidae. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,,20 dB,flight,apatite,corneal eyes,The Neotropics,108 g,Southern Andean Steppe,North Pacific,"grassland,terrestrial",Stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Puna tapaculo,Animalia,Chordata,Aves,https://eol.org/pages/45512944,Scytalopus simonsi (Puna Tapaculo) is a species of birds in the family tapaculos. They rely on flight to move around.,tympanic middle ear,5000 Hz,10 dB,flight,apatite,corneal eyes,,20 g,,Peru,terrestrial,Stable,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Puna teal,Animalia,Chordata,Aves,https://eol.org/pages/52571566,Spatula puna (Puna Teal) is a species of birds in the family Anatidae. They rely on drag powered swimming and flight to move around.,otoliths,1000 Hz,20 dB,bipedal movement,apatite,corneal eyes,,,,Peru,freshwater habitat,Stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Puna thistletail,Animalia,Chordata,Aves,https://eol.org/pages/1050173,Asthenes helleri (Puna Thistletail) is a species of birds in the family ovenbirds. They are listed as vulnerable by IUCN. They rely on flight to move around.,tympanic middle ear,5000 Hz,10 dB,bipedal movement,apatite,corneal eyes,,,,Bolivia,"subtropical,terrestrial",Decreasing,vulnerable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Puna tinamou,Animalia,Chordata,Aves,https://eol.org/pages/45512006,Tinamotis pentlandii (Puna Tinamou) is a species of birds in the family tinamous. They are found in The Neotropics. They are diurnal.,tympanic middle ear,,,bipedal movement,apatite,corneal eyes,The Neotropics,650 g,,Bolivia,"tropical,terrestrial",Stable,,,,NHMUK,,diurnal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Puna yellow finch,Animalia,Chordata,Aves,https://eol.org/pages/1050268,Sicalis lutea (Puna Yellow Finch) is a species of birds in the family tanagers. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,5000 Hz,10 dB,bipedal movement,apatite,corneal eyes,The Neotropics,,Central Andean Puna,Bolivia,"tropical,terrestrial",Stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Purple cochoa,Animalia,Chordata,Aves,https://eol.org/pages/45518882,Cochoa purpurea (Purple Cochoa) is a species of birds in the family thrushes. They are found in the indo-malayan realm and the palearctic. They rely on flight to move around.,tympanic middle ear,,10 dB,bipedal movement,apatite,corneal eyes,the indo-malayan realm,106 g,,Myanmar,"tropical,terrestrial",Decreasing,,,,"University Museum of Zoology, Cambridge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Purple finch,Animalia,Chordata,Aves,https://eol.org/pages/45510333,Haemorhous purpureus (Purple Finch) is a species of birds in the family finches. They rely on flight to move around.,tympanic middle ear,5000 Hz,10 dB,flight,apatite,corneal eyes,,,,United States,"coastal,terrestrial",Decreasing,,,Heteromeles arbutifolia var. macrocarpa (Munz) Munz (Toyon),,,,,,,,,,,,,,,,,,,,,Pantherophis alleghaniensis (Holbrook 1836),,,,,,,,,,,,,,,,,,,,,,,,
0,Purple gallinule,Animalia,Chordata,Aves,https://eol.org/pages/264284,Porphyrio martinica (American Purple Gallinule) is a species of birds in the family rails. They are associated with freshwater habitat. They rely on flight to move around.,tympanic middle ear,5000 Hz,20 dB,flight,apatite,corneal eyes,,215 g,,United States,beach,,,,Thalia geniculata L. (bent alligator-flag),,,,,,,,,,,,,,,,,,,,,,Avian coronavirus,Eunectes notaeus Cope 1862 (Yellow anaconda),,,,,,,,,,,,,,,,,,,,,,
0,Purple grenadier,Animalia,Chordata,Aves,https://eol.org/pages/45515671,Uraeginthus ianthinogaster (Purple Grenadier) is a species of birds in the family Estrildid finches. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,5000 Hz,10 dB,bipedal movement,apatite,corneal eyes,Afrotropics,17.4 g,Northern Acacia-Commiphora Bushlands And Thickets,United States,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Purple heron,Animalia,Chordata,Aves,https://eol.org/pages/45513567,"Ardea purpurea (Purple Heron) is a species of birds in the family Ardeidae. They are associated with freshwater habitat. They are found in Afrotropics, the palearctic, the indo-malayan realm, and australasia. They are crepuscular. They have parental care (pair provides care). They rely on flight to move around.",,,,flight,,,Afrotropics,,,Mozambique,lagoon,Decreasing,,1065.5 g,Pisanianura,,,,,,,,freshwater,,,,vertivore,,25.4 years,Calandrella brachydactyla (Leisler 1814) (Greater Short-toed Lark),,,,,,,,,0.236 /day,,,,,,,,,,,,,,,,,,,,,
0,Purple honeycreeper,Animalia,Chordata,Aves,https://eol.org/pages/45510444,Cyanerpes caeruleus (Purple Honeycreeper) is a species of birds in the family tanagers. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,,,flight,,corneal eyes,The Neotropics,14 g,,United States,"tropical,terrestrial",Stable,,12 g,Symphonia globulifera L. fil.,,,,,,,,,,,,,,17 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Purple indigobird,Animalia,Chordata,Aves,https://eol.org/pages/45515042,Vidua purpurascens (Dusky Indigobird) is a species of birds in the family Viduidae. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,,10 dB,bipedal movement,apatite,corneal eyes,Afrotropics,13.4 g,Western Zambezian Grasslands,United States,"savanna,terrestrial",Stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Purple martin,Animalia,Chordata,Aves,https://eol.org/pages/45511458,"Progne subis (Purple Martin) is a species of birds in the family swallows. They are associated with freshwater habitat. They are native to The Nearctic and The Neotropics. They are crepuscular carnivores. They have parental care (female provides care, paternal care, and pair provides care). They rely on flight and gliding to move around.",,,,,,,The Neotropics,,,United States,,Stable,,,,,,,,,,insects,terrestrial,The Nearctic,,group living,invertivore,,,,,,15 days,monogamous,,,,,0.384 /day,1 /year,,,,,,,,,,,,,,,,,,,,
0,Purple needletail,Animalia,Chordata,Aves,https://eol.org/pages/45516405,Hirundapus celebensis (Purple Needletail) is a species of birds in the family swifts. They are found in australasia and the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,,20 dB,flight,apatite,corneal eyes,australasia,203 g,Sulawesi Lowland Rain Forests,Indonesia,"cave,terrestrial",Stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Purple quaildove,Animalia,Chordata,Aves,https://eol.org/pages/1228885,Geotrygon purpurata (Indigo Crowned Quail Dove) is a species of birds in the family Columbidae. They are listed as endangered by IUCN. They rely on flight to move around.,tympanic middle ear,5000 Hz,20 dB,bipedal movement,apatite,corneal eyes,,,,Colombia,"tropical,terrestrial",Decreasing,endangered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Purple roller,Animalia,Chordata,Aves,https://eol.org/pages/45515101,Coracias naevius (Purple Roller) is a species of birds in the family rollers. They rely on flight to move around.,tympanic middle ear,5000 Hz,20 dB,bipedal movement,apatite,corneal eyes,,200 g,,Mozambique,terrestrial,Decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Purple sandpiper,Animalia,Chordata,Aves,https://eol.org/pages/45509237,"Calidris maritima (Purple Sandpiper) is a species of birds in the family Scolopacidae. They are native to the Palearctic and The Nearctic. They are diurnal carnivores. Individuals can grow to 46 cm. They have parental care (paternal care, female provides care, and pair provides care). They rely on saltation and flight to move around.",,,,,,,,,,Mexico,,Decreasing,,,,,nectonic,,,,bilaterally symmetric,leaves,terrestrial,the Palearctic,,group living,invertivore,,,,,,22 days,monogamous,,,,,,1 /year,,,,,,,,,,,,,,,,,,,,
0,Purple starling,Animalia,Chordata,Aves,https://eol.org/pages/45515509,Lamprotornis purpureus (Purple Glossy Starling) is a species of birds in the family starlings. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,,10 dB,flight,apatite,corneal eyes,Afrotropics,140 g,,United States,"tropical,terrestrial",Stable,,,Ficus ingens (Miq.) Miq. (Idotsi),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Purple sunbird,Animalia,Chordata,Aves,https://eol.org/pages/45515876,Cinnyris asiaticus (Purple Sunbird) is a species of birds in the family Sunbirds. They visit flowers of African Tuliptree and American silk cotton. They rely on flight to move around.,tympanic middle ear,,,flight,apatite,corneal eyes,,11 g,,United States,"desert,freshwater habitat",Stable,,,Cordia (cordia),,,,,,,,,,,,,,,,,,,,Spathodea campanulata Beauv. (African Tuliptree),,,,,,Justicia adhatoda L. (Bhaikar),,,,,,,,,,,,,,,,,,,
0,Purplish jacamar,Animalia,Chordata,Aves,https://eol.org/pages/45512509,Galbula chalcothorax (Purplish Jacamar) is a species of birds in the family jacamars. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,5000 Hz,20 dB,bipedal movement,apatite,corneal eyes,The Neotropics,26 g,Ucayali Moist Forests,Ecuador,terrestrial,Decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Purplish jay,Animalia,Chordata,Aves,https://eol.org/pages/916380,Cyanocorax cyanomelas (Purplish Jay) is a species of birds in the family Corvidae. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,,10 dB,flight,apatite,corneal eyes,The Neotropics,207 g,,Bolivia,"tropical,terrestrial",Stable,,,Curatella americana L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Purus jacamar,Animalia,Chordata,Aves,https://eol.org/pages/45512493,Galbalcyrhynchus purusianus (Chestnut Jacamar) is a species of birds in the family jacamars. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,5000 Hz,20 dB,bipedal movement,apatite,corneal eyes,The Neotropics,50 g,Ucayali Moist Forests,Bolivia,freshwater habitat,Stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Puvels illadopsis,Animalia,Chordata,Aves,https://eol.org/pages/45515451,Illadopsis puveli (Puvel's Illadopsis) is a species of birds in the family Pellorneidae. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,,10 dB,flight,apatite,corneal eyes,Afrotropics,52.5 g,Cross-Niger Transition Forests,North Atlantic,"subtropical,terrestrial",Stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Pycrofts petrel,Animalia,Chordata,Aves,https://eol.org/pages/1049493,Pterodroma pycrofti (Pycroft's Petrel) is a species of birds in the family Procellariidae. They are listed as vulnerable by IUCN. They rely on flight to move around.,tympanic middle ear,,,flight,apatite,corneal eyes,,198 g,,Pacific Ocean,"temperate,terrestrial",Increasing,vulnerable,,Kondakovia longimana Filippova 1972,,nectonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
