,Common Name,Kingdom,Phylum,Class,Link,Description,auditory system,hearing range,hearing threshold,locomotion,mineralized skeleton contains,visual system,biogeographic realm,body mass,ecoregion,geographic distribution includes,habitat,population trend,conservation status,weight,eats,type specimen repository,ecomorphological guild,behavioral circadian rhythm,genome size,has ectoparasite,body shape,diet includes,foraging habitat,native range includes,parental care,social system,trophic guild,body length,life span,preys on,parasitized by,basal metabolic rate,prenatal development duration,mating system,visits flowers of,is eaten by,host of,preyed upon by,growth rate,litters per year,visits,sensory system,body temperature,bill length,tarsus length,temperature at range midpoint latitude,mutualistic with,number of public records in bold,onset of fertility,used for,clutch/brood/litter size,leaf arrangement,life cycle habit,developmental mode,wing morphology,middle toe length,symbiont of,motility,supporting structures and enclosures,initial mortality rate
0,Plumbeous seedeater,Animalia,Chordata,Aves,https://eol.org/pages/917124,Sporophila plumbea (Plumbeous Seedeater) is a species of birds in the family tanagers. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,,10 dB,flight,apatite,corneal eyes,The Neotropics,10.8 g,Guajira-Barranquilla Xeric Scrub,Bolivia,"savanna,terrestrial",Stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Plumbeous sierra finch,Animalia,Chordata,Aves,https://eol.org/pages/1050378,Phrygilus unicolor (Plumbeous Sierra Finch) is a species of birds in the family tanagers. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,5000 Hz,10 dB,bipedal movement,apatite,corneal eyes,The Neotropics,21.9 g,Santa Marta PáRamo,Bolivia,tropical,,,,,"Harvard UNiversity, Museum of Comparative Zoology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Plumbeous tyrant,Animalia,Chordata,Aves,https://eol.org/pages/45513178,Knipolegus cabanisi (Plumbeous Tyrant) is a species of birds in the family tyrant flycatchers. They rely on flight to move around.,otoliths,1000 Hz,10 dB,bipedal movement,apatite,corneal eyes,,,,Bolivia,subtropical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Plumbeous vireo,Animalia,Chordata,Aves,https://eol.org/pages/45509938,Vireo plumbeus (Plumbeous Vireo) is a species of birds in the family vireos. They are found in The Nearctic and The Neotropics. They rely on flight to move around.,tympanic middle ear,,10 dB,flight,apatite,corneal eyes,The Nearctic,20.3 g,,United States,"coastal,terrestrial",Increasing,,,Pentatomidae (stink bugs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Plumbeous warbler,Animalia,Chordata,Aves,https://eol.org/pages/1052053,Setophaga plumbea (Plumbeous Warbler) is a species of birds in the family New World warblers. They rely on flight to move around.,tympanic middle ear,5000 Hz,10 dB,bipedal movement,apatite,corneal eyes,,,,Dominica,"tropical,terrestrial",Decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Plumbeous water redstart,Animalia,Chordata,Aves,https://eol.org/pages/51903449,Rhyacornis fuliginosa (Plumbeous Water Redstart) is a species of  in the family Old World flycatchers. They are diurnal.,,,,,,,,,,,,,,,,,,diurnal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Plumed guineafowl,Animalia,Chordata,Aves,https://eol.org/pages/45513755,Guttera plumifera (Plumed Guineafowl) is a species of birds in the family guineafowls. They are found in Afrotropics. They are diurnal. They rely on flight to move around.,tympanic middle ear,,20 dB,bipedal movement,apatite,corneal eyes,Afrotropics,1000 g,,Cameroon,"forest,terrestrial",Decreasing,,,,,,diurnal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Plumed whistling duck,Animalia,Chordata,Aves,https://eol.org/pages/45515900,Dendrocygna eytoni (Grass Whistling Duck) is a species of birds in the family Anatidae. They are found in australasia. They rely on flight and drag powered swimming to move around.,tympanic middle ear,,20 dB,flight,apatite,corneal eyes,australasia,1400 g,,United States,"grassland,freshwater habitat",Stable,,,Potamogetonaceae (pondweed family),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Plushcap,Animalia,Chordata,Aves,https://eol.org/pages/921520,Catamblyrhynchus diadema (Plushcap) is a species of birds in the family tanagers. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,,10 dB,bipedal movement,apatite,corneal eyes,The Neotropics,13.4 g,,Bolivia,"montane forest,terrestrial",Decreasing,,,,,,,1.294 pg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Pohnpei cicadabird,Animalia,Chordata,Aves,https://eol.org/pages/52232667,Edolisoma insperatum (Pohnpei Cicadabird) is a species of birds in the family cuckoo-shrikes. They rely on flight to move around.,tympanic middle ear,5000 Hz,10 dB,flight,apatite,corneal eyes,,,,,tropical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Pohnpei fantail,Animalia,Chordata,Aves,https://eol.org/pages/45518738,"Rhipidura kubaryi (Pohnpei Fantail) is a species of birds in the family Rhipiduridae. They are found in Oceania continent (Australia, NZ and islands). They rely on flight to move around.",tympanic middle ear,5000 Hz,10 dB,bipedal movement,apatite,corneal eyes,"Oceania continent (Australia, NZ and islands)",,Carolines Tropical Moist Forests,Micronesia,"tropical,terrestrial",Stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
