ID,Common Name
1,Abbotts babbler
2,Abbotts booby
3,Abbotts starling
4,Abbotts sunbird
5,Abd alKuri sparrow
6,Abdims stork
7,Aberdare cisticola
8,Aberrant bush warbler
9,Aberts towhee
10,Abyssinian catbird
11,Abyssinian crimsonwing
12,Abyssinian ground hornbill
13,Abyssinian ground thrush
14,Abyssinian longclaw
15,Abyssinian owl
16,Abyssinian roller
17,Abyssinian scimitarbill
18,Abyssinian slaty fly catcher
19,Abyssinian thrush
20,Abyssinian wax bill
21,Abyssinian wheat ear
22,Abyssinian white eye
23,Abyssinian woodpecker
24,Acacia pied barbet
25,Acacia tit
26,Acadian fly catcher
27,Aceh bulbul
28,Acorn woodpecker
29,Acre antshrike
30,Acre tody tyrant
31,Adamawa turtle dove
32,Adelaides warbler
33,Adélie penguin
34,Admiralty cicadabird
35,Afep pigeon
36,Afghan babbler
37,Afghan snowfinch
38,African barred owlet
39,African black duck
40,African black swift
41,African blue fly catcher
42,African blue tit
43,African broadbill
44,African citril
45,African collared dove
46,African crake
47,African crimson winged finch
48,African cuckoo
49,African cuckoo hawk
50,African darter
51,African desert warbler
52,African dusky fly catcher
53,African dwarf kingfisher
54,African emerald cuckoo
55,African finfoot
56,African firefinch
57,African fish eagle
58,African golden oriole
59,African goshawk
60,African grass owl
61,African green pigeon
62,African grey fly catcher
63,African grey hornbill
64,African grey woodpecker
65,African harrier hawk
66,African hawk eagle
67,African hill babbler
68,African hobby
69,African hoopoe
70,African jacana
71,African marsh harrier
72,African olive pigeon
73,African openbill
74,African oystercatcher
75,African palm swift
76,African paradise fly catcher
77,African penguin
78,African piculet
79,African pied hornbill
80,African pied wagtail
81,African pipit
82,African pitta
83,African pygmy goose
84,African pygmy kingfisher
85,African rail
86,African red eyed bulbul
87,African reed warbler
88,African river martin
89,African rock pipit
90,African sacred ibis
91,African scops owl
92,African shrike fly catcher
93,African silverbill
94,African skimmer
95,African snipe
96,African spoonbill
97,African spotted creeper
98,African stonechat
99,African swamphen
100,African thrush
101,African wattled lapwing
102,African wood owl
103,African yellow warbler
104,Agami heron
105,Agile tit tyrant
106,Aguiguan reed warbler
107,Agulhas long billed lark
108,Ahanta spurfowl
109,Ainleys storm petrel
110,Akekee
111,Akiapolaau
112,Akiapōlāau
113,Akikiki
114,Akohekohe
115,Ākohekohe
116,Akun eagle owl
117,Alagoas antwren
118,Alagoas curassow
119,Alagoas foliagegleaner
120,Alagoas tyrannulet
121,Alaotra grebe
122,Albertine owlet
123,Albertine sooty boubou
124,Alberts lyrebird
125,Aldabra brush warbler
126,Aldabra drongo
127,Aldabra fody
128,Aldabra white eye
129,Alder fly catcher
130,Aleutian tern
131,Alexandrine parakeet
132,Algerian nuthatch
133,Allens gallinule
134,Allens hummingbird
135,Allpahuayo antbird
136,Alor boobook
137,Alor myzomela
138,Alpine accentor
139,Alpine chough
140,Alpine leaf warbler
141,Alpine pipit
142,Alpine swift
143,Alpine thrush
144,Alströms warbler
145,Alta Floresta antpitta
146,Altai accentor
147,Altai snow cock
148,Altamira oriole
149,Altamira yellowthroat
150,Amami thrush
151,Amami woodcock
152,Amani sunbird
153,Amazilia hummingbird
154,Amazon kingfisher
155,Amazonian antpitta
156,Amazonian antshrike
157,Amazonian barred woodcreeper
158,Amazonian black tyrant
159,Amazonian grosbeak
160,Amazonian inezia
161,Amazonian motmot
162,Amazonian pygmy owl
163,Amazonian royal fly catcher
164,Amazonian scrub fly catcher
165,Amazonian streaked antwren
166,Amazonian trogon
167,Amazonian umbrellabird
168,Ambon white eye
169,Amboyna cuckoo dove
170,Ameline swiftlet
171,American avocet
172,American barn owl
173,American bittern
174,American black duck
175,American black swift
176,American bushtit
177,American coot
178,American crow
179,American dipper
180,American dusky fly catcher
181,American flamingo
182,American golden plover
183,American goldfinch
184,American gray fly catcher
185,American herring gull
186,American kestrel
187,American oystercatcher
188,American purple gallinule
189,American pygmy kingfisher
190,American redstart
191,American robin
192,American three toed woodpecker
193,American tree sparrow
194,American white ibis
195,American white pelican
196,American wigeon
197,American woodcock
198,American yellow warbler
199,Amethyst brown dove
200,Amethyst sunbird
201,Amethyst woodstar
202,Amethyst throated Mountaingem
203,Amethyst throated sunangel
204,Ampay tapaculo
205,Amsterdam albatross
206,Amsterdam wigeon
207,Amur falcon
208,Amur paradise fly catcher
209,Anambra waxbill
210,Ancash tapaculo
211,Anchietas barbet
212,Anchietas sunbird
213,Ancient antwren
214,Ancient murrelet
215,Andaman bulbul
216,Andaman coucal
217,Andaman crake
218,Andaman cuckoo dove
219,Andaman cuckooshrike
220,Andaman drongo
221,Andaman flowerpecker
222,Andaman green pigeon
223,Andaman hawk owl
224,Andaman masked owl
225,Andaman night jar
226,Andaman scops owl
227,Andaman serpent eagle
228,Andaman shama
229,Andaman teal
230,Andaman treepie
231,Andaman wood pigeon
232,Andaman woodpecker
233,Andean avocet
234,Andean cockoftherock
235,Andean condor
236,Andean coot
237,Andean duck
238,Andean emerald
239,Andean flamingo
240,Andean flicker
241,Andean goose
242,Andean guan
243,Andean gull
244,Andean hillstar
245,Andean ibis
246,Andean laniisoma
247,Andean lapwing
248,Andean motmot
249,Andean negrito
250,Andean parakeet
251,Andean potoo
252,Andean pygmy owl
253,Andean siskin
254,Andean slaty thrush
255,Andean solitaire
256,Andean swallow
257,Andean swift
258,Andean teal
259,Andean tinamou
260,Andean titspinetail
261,Angolan batis
262,Angolan cave chat
263,Angolan lark
264,Angolan slaty fly catcher
265,Angolan swallow
266,Angolan waxbill
267,Anhinga
268,Anianiau
269,Anjouan brush warbler
270,Anjouan scops owl
271,Anjouan sunbird
272,Ankober serin
273,Annam prinia
274,Annas hummingbird
275,Annobón paradise fly catcher
276,Annobón whiteeye
277,Ansorges greenbul
278,Antarctic petrel
279,Antarctic prion
280,Antarctic shag
281,Antarctic tern
282,Anteater chat
283,Anteating chat
284,Anthonys nightjar
285,Antillean crested hummingbird
286,Antillean euphonia
287,Antillean mango
288,Antillean nighthawk
289,Antillean palm swift
290,Antillean piculet
291,Antillean siskin
292,Antioquia bristle tyrant
293,Antioquia brushfinch
294,Antioquia wren
295,Antipodean albatross
296,Antipodes parakeet
297,Apapane
298,Apical fly catcher
299,Aplomado falcon
300,Apo myna
301,Apo sunbird
302,Apolinars wren
303,Apolo cotinga
304,Apostlebird
305,Apperts tetraka
306,Apricot breasted sunbird
307,Apurímac brush finch
308,Apurímac spine tail
309,Aquatic warbler
310,Arabian accentor
311,Arabian babbler
312,Arabian bustard
313,Arabian golden sparrow
314,Arabian goldenwinged grosbeak
315,Arabian partridge
316,Arabian scops owl
317,Arabian serin
318,Arabian warbler
319,Arabian waxbill
320,Arabian wheatear
321,Arabian woodpecker
322,Arafura fantail
323,Arafura shrikethrush
324,Araripe manakin
325,Araucaria titspinetail
326,Archbolds bowerbird
327,Archbolds newtonia
328,Archbolds nightjar
329,Archbolds owletnightjar
330,Archers buzzard
331,Archers ground robin
332,Archers lark
333,Arctic redpoll
334,Arctic tern
335,Arctic warbler
336,Arfak Astrapia
337,Arfak catbird
338,Arfak honeyeater
339,Aripuana antwren
340,Arizona woodpecker
341,Armenian gull
342,Arnots chat
343,Arrowhead piculet
344,Arrowhead warbler
345,Arrow marked babbler
346,Ascension crake
347,Ascension frigatebird
348,Ascension night heron
349,Ash ambu laughing thrush
350,Ash breasted antbird
351,Ash breasted sierra finch
352,Ash breasted tittyrant
353,Ash browed spinetail
354,Ash colored cuckoo
355,Ash colored tapaculo
356,Ashs lark
357,Ash throated antwren
358,Ash throated casiornis
359,Ash throated crake
360,Ash throated fly catcher
361,Ash throated gnateater
362,Ash winged antwren
363,Ashy bulbul
364,Ashy cisticola
365,Ashy drongo
366,Ashy flowerpecker
367,Ashy fly catcher
368,Ashy minivet
369,Ashy myzomela
370,Ashy prinia
371,Ashy robin
372,Ashy starling
373,Ashy storm petrel
374,Ashy tailorbird
375,Ashy thrush
376,Ashy tit
377,Ashy wood pigeon
378,Ashy woodpecker
379,Ashy wood swallow
380,Ashy bellied white eye
381,Ashy breasted fly catcher
382,Ashy crowned sparrow lark
383,Ashy faced owl
384,Ashy fronted bulbul
385,Ashy headed babbler
386,Ashy headed goose
387,Ashy headed green pigeon
388,Ashy headed greenlet
389,Ashy headed laughing thrush
