Hooded robin,"{'auditory system': 'tympanic middle ear', 'behavioral circadian rhythm': 'diurnal', 'biogeographic realm': 'australasia', 'geographic distribution includes': 'Indian Ocean', 'habitat': 'tropical,terrestrial', 'hearing threshold': '10 dB', 'locomotion': 'flight', 'mineralized skeleton contains': 'apatite', 'number of public records in bold': '3', 'population trend': 'Decreasing', 'visual system': 'corneal eyes'}"
Hooded siskin,"{'parasitized by': 'tympanic middle ear', 'auditory system': 'Argentina', 'eats': 'scrubland', 'geographic distribution includes': 'terrestrial', 'habitat': '5000 Hz,10 dB', 'hearing range': 'flight', 'hearing threshold': 'apatite', 'locomotion': 'Stable', 'mineralized skeleton contains': 'corneal eyes'}"
Hooded tanager,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Neotropics', 'body mass': '20.7 g', 'eats': 'South Atlantic', 'geographic distribution includes': 'subtropical', 'habitat': 'terrestrial,flight', 'locomotion': 'apatite', 'mineralized skeleton contains': 'Stable', 'population trend': 'NHMUK', 'type specimen repository': 'corneal eyes'}"
Hooded tinamou,"{'auditory system': 'tympanic middle ear', 'behavioral circadian rhythm': 'diurnal', 'biogeographic realm': 'The Neotropics', 'ecoregion': 'Peruvian Yungas', 'geographic distribution includes': 'Bolivia', 'habitat': 'terrestrial', 'hearing range': '5000 Hz', 'hearing threshold': '20 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'visual system': 'corneal eyes'}"
Hooded treepie,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'the indo-malayan realm', 'conservation status': 'near threatened', 'ecoregion': 'Irrawaddy Dry Forests', 'geographic distribution includes': 'Burma', 'habitat': 'subtropical,terrestrial', 'hearing threshold': '10 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'visual system': 'corneal eyes'}"
Hooded visorbearer,"{'auditory system': 'tympanic middle ear', 'body mass': '4 g', 'conservation status': 'near threatened', 'geographic distribution includes': 'Brazil', 'habitat': 'arid,terrestrial', 'hearing range': '5000 Hz', 'hearing threshold': '20 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'visual system': 'corneal eyes'}"
Hooded vulture,"{'auditory system': 'tympanic middle ear', 'behavioral circadian rhythm': 'diurnal', 'biogeographic realm': 'the palearctic', 'body mass': '2042 g', 'eats': 'terrestrial', 'foraging habitat': 'United States', 'geographic distribution includes': 'savanna', 'habitat': 'flight', 'locomotion': 'Decreasing', 'population trend': 'vertivore', 'trophic guild': 'corneal eyes'}"
Hooded warbler,"{'auditory system': 'tympanic middle ear', 'clutch/brood/litter size': '4', 'eats': 'United States', 'geographic distribution includes': 'forest edge', 'habitat': 'terrestrial,flight', 'locomotion': 'apatite', 'mineralized skeleton contains': 'Increasing', 'population trend': 'insectivore', 'preys on': 'corneal eyes'}"
Hooded wheatear,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'the palearctic', 'body mass': '23 g', 'ecoregion': 'Middle East Steppe', 'geographic distribution includes': 'Bahrain', 'habitat': 'mountain,freshwater habitat', 'hearing threshold': '10 dB', 'locomotion': 'flight', 'mineralized skeleton contains': 'apatite', 'population trend': 'Stable', 'visual system': 'corneal eyes'}"
Hooded whistler,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'australasia', 'body mass': '37 g', 'ecoregion': 'Solomon Islands Rain Forests', 'geographic distribution includes': 'South Pacific', 'habitat': 'tropical', 'hearing range': '5000 Hz', 'hearing threshold': '10 dB', 'locomotion': 'flight', 'mineralized skeleton contains': 'apatite', 'visual system': 'corneal eyes'}"
Hooded yellowthroat,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Nearctic', 'body mass': '11.8 g', 'ecoregion': 'Veracruz Montane Forests', 'geographic distribution includes': 'Guatemala', 'habitat': 'terrestrial', 'hearing threshold': '10 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'type specimen repository': '(MLZ) - MLZ Bird Collection (Arctos) {http://www.oxy.edu/moore-lab-zoology}', 'visual system': 'corneal eyes'}"
Hook-billed bulbul,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'the indo-malayan realm', 'body mass': '35 g', 'conservation status': 'vulnerable', 'geographic distribution includes': 'Malaysia', 'habitat': 'subtropical,terrestrial', 'hearing threshold': '10 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'visual system': 'corneal eyes'}"
Hook-billed hermit,"{'auditory system': 'tympanic middle ear', 'conservation status': 'endangered', 'hearing range': '5000 Hz', 'hearing threshold': '20 dB', 'locomotion': 'flight', 'mineralized skeleton contains': 'apatite', 'number of public records in bold': '1', 'visual system': 'corneal eyes'}"
