Freckled duck,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'australasia', 'body mass': '1130 g', 'eats': 'Australia', 'geographic distribution includes': 'valley', 'habitat': 'terrestrial,20 dB', 'hearing threshold': 'flight', 'locomotion': 'apatite', 'mineralized skeleton contains': 'Stable', 'population trend': 'corneal eyes'}"
Freckled nightjar,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'Afrotropics', 'body mass': '91 g', 'ecoregion': 'Northern Acacia-Commiphora Bushlands And Thickets', 'geographic distribution includes': 'Mozambique', 'habitat': 'terrestrial', 'hearing threshold': '20 dB', 'locomotion': 'flight', 'mineralized skeleton contains': 'apatite', 'population trend': 'Stable', 'type specimen repository': 'Harvard UNiversity, Museum of Comparative Zoology', 'visual system': 'corneal eyes'}"
Friedmann's lark,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'Afrotropics', 'body mass': '23.1 g', 'ecoregion': 'Northern Acacia-Commiphora Bushlands And Thickets', 'geographic distribution includes': 'Ethiopia', 'habitat': 'tropical,terrestrial', 'hearing threshold': '10 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'visual system': 'corneal eyes'}"
Friendly bush warbler,"{'auditory system': 'otoliths', 'geographic distribution includes': 'Malaysia', 'habitat': 'terrestrial', 'hearing range': '1000 Hz', 'hearing threshold': '10 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'visual system': 'corneal eyes'}"
Friendly fantail,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'australasia', 'body mass': '14 g', 'ecoregion': 'Southeastern Papuan Rain Forests', 'geographic distribution includes': 'South Pacific', 'habitat': 'subtropical,terrestrial', 'hearing threshold': '10 dB', 'locomotion': 'flight', 'mineralized skeleton contains': 'apatite', 'population trend': 'Stable', 'visual system': 'corneal eyes'}"
Frill-necked monarch,"{'auditory system': 'tympanic middle ear', 'geographic distribution includes': 'Australia', 'habitat': 'tropical', 'hearing range': '5000 Hz', 'hearing threshold': '10 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'visual system': 'corneal eyes'}"
Frilled coquette,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Neotropics', 'body mass': '2.7 g', 'conservation status': 'cites appendix ii', 'ecoregion': 'Alto Paraná Atlantic Forests', 'geographic distribution includes': 'Brazil', 'habitat': 'terrestrial', 'hearing threshold': '20 dB', 'locomotion': 'flight', 'mineralized skeleton contains': 'apatite', 'population trend': 'Unknown', 'visual system': 'corneal eyes'}"
Frilled monarch,"{'parasitized by': 'tympanic middle ear', 'auditory system': 'australasia', 'biogeographic realm': 'Southeastern Papuan Rain Forests', 'ecoregion': 'South Pacific', 'geographic distribution includes': '5000 Hz', 'hearing range': '10 dB', 'hearing threshold': 'flight', 'locomotion': 'apatite', 'mineralized skeleton contains': 'corneal eyes'}"
Fringe-backed fire-eye,"{'auditory system': 'otoliths', 'biogeographic realm': 'The Neotropics', 'body mass': '32 g', 'conservation status': 'endangered', 'geographic distribution includes': 'Brazil', 'habitat': 'tropical,terrestrial', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'type specimen repository': 'University Museum of Zoology, Cambridge', 'visual system': 'corneal eyes'}"
Fruithunter,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'the indo-malayan realm', 'ecoregion': 'Borneo Montane Rain Forests', 'geographic distribution includes': 'Malaysia', 'habitat': 'terrestrial', 'hearing range': '5000 Hz', 'hearing threshold': '10 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'visual system': 'corneal eyes'}"
Fuegian snipe,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Neotropics', 'body mass': '252 g', 'conservation status': 'near threatened', 'geographic distribution includes': 'Chile', 'habitat': 'marsh,freshwater habitat', 'hearing threshold': '20 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'visual system': 'corneal eyes'}"
Fuegian steamer duck,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Neotropics', 'body mass': '4200 g', 'ecomorphological guild': 'nectonic', 'ecoregion': 'Magellanic Subpolar Forests', 'geographic distribution includes': 'United States', 'habitat': 'marine', 'hearing threshold': '20 dB', 'locomotion': 'drag powered swimming', 'mineralized skeleton contains': 'apatite', 'population trend': 'Stable', 'visual system': 'corneal eyes'}"
Fuertes's parrot,"{'auditory system': 'tympanic middle ear', 'behavioral circadian rhythm': 'diurnal', 'biogeographic realm': 'The Neotropics', 'conservation status': 'critically endangered', 'ecoregion': 'Magdalena Valley Montane Forests', 'geographic distribution includes': 'Colombia', 'habitat': 'terrestrial', 'hearing threshold': '20 dB', 'locomotion': 'flight', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'visual system': 'corneal eyes'}"
Fujian niltava,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'the indo-malayan realm', 'ecoregion': 'Northeastern Himalayan Subalpine Conifer Forests', 'geographic distribution includes': 'Vietnam', 'habitat': 'subtropical,terrestrial', 'hearing threshold': '10 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Stable', 'type specimen repository': 'Harvard UNiversity, Museum of Comparative Zoology', 'visual system': 'corneal eyes'}"
Fulmar prion,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'australasia', 'eats': 'CORRUPTED VALUE for trait R20-PK38325037', 'ecoregion': 'Southern Indian Ocean Islands Tundra', 'geographic distribution includes': 'South Pacific', 'habitat': 'marine,marine', 'hearing threshold': '20 dB', 'locomotion': 'flight', 'mineralized skeleton contains': 'apatite', 'population trend': 'Stable', 'visual system': 'corneal eyes'}"
Fulvous antshrike,"{'auditory system': 'tympanic middle ear', 'geographic distribution includes': 'Peru', 'hearing range': '5000 Hz', 'hearing threshold': '10 dB', 'locomotion': 'flight', 'mineralized skeleton contains': 'apatite', 'visual system': 'corneal eyes'}"
Fulvous babbler,"{'auditory system': 'tympanic middle ear', 'habitat': 'terrestrial', 'hearing range': '5000 Hz', 'hearing threshold': '10 dB', 'locomotion': 'flight', 'mineralized skeleton contains': 'apatite', 'population trend': 'Stable', 'visual system': 'corneal eyes'}"
Fulvous owl,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Neotropics', 'conservation status': 'cites appendix ii', 'geographic distribution includes': 'Honduras', 'habitat': 'cloud forest,terrestrial', 'hearing threshold': '-15 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'type specimen repository': 'NHMUK', 'visual system': 'corneal eyes'}"
Fulvous parrotbill,"{'auditory system': 'otoliths', 'geographic distribution includes': 'Bhutan', 'habitat': 'terrestrial', 'hearing range': '1000 Hz', 'hearing threshold': '10 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'visual system': 'corneal eyes'}"
Fulvous shrike-tanager,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Neotropics', 'body mass': '30 g', 'ecoregion': 'Apure-Villavicencio Dry Forests', 'geographic distribution includes': 'Brazil', 'habitat': 'subtropical,terrestrial', 'hearing threshold': '10 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Stable', 'visual system': 'corneal eyes'}"
Fulvous whistling duck,"{'biogeographic realm': 'Oceania continent (Australia, NZ and islands)', 'eats': 'freshwater', 'foraging habitat': 'United States', 'geographic distribution includes': 'marsh', 'habitat': '11.2 years', 'life span': '1 /year', 'litters per year': 'flight', 'locomotion': 'Decreasing', 'population trend': '28 days', 'prenatal development duration': 'corneal eyes', 'visual system': '737.1 g'}"
Fulvous wren,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Neotropics', 'body mass': '18.4 g', 'ecoregion': 'Central Andean Dry Puna', 'geographic distribution includes': 'Peru', 'habitat': 'mountain range,terrestrial', 'hearing threshold': '10 dB', 'locomotion': 'flight', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'visual system': 'corneal eyes'}"
Fulvous-breasted flatbill,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Neotropics', 'body mass': '23.1 g', 'ecoregion': 'Central Andean Puna', 'geographic distribution includes': 'Bolivia', 'habitat': 'subtropical,terrestrial', 'hearing threshold': '10 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Stable', 'visual system': 'corneal eyes'}"
Fulvous-breasted woodpecker,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'the indo-malayan realm', 'body mass': '52 g', 'ecoregion': 'Sumatran Freshwater Swamp Forests', 'geographic distribution includes': 'Arctic Ocean', 'habitat': 'montane forest,freshwater habitat', 'hearing threshold': '20 dB', 'locomotion': 'flight', 'mineralized skeleton contains': 'apatite', 'population trend': 'Stable', 'visual system': 'corneal eyes'}"
Fulvous-chested jungle flycatcher,"{'auditory system': 'tympanic middle ear', 'geographic distribution includes': 'Malaysia', 'habitat': 'tropical,terrestrial', 'hearing range': '5000 Hz', 'hearing threshold': '10 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'type specimen repository': 'NHMUK', 'visual system': 'corneal eyes'}"
Fulvous-chinned nunlet,"{'auditory system': 'otoliths', 'biogeographic realm': 'The Neotropics', 'body mass': '17 g', 'ecoregion': 'Southwest Amazon Moist Forests', 'geographic distribution includes': 'Bolivia', 'habitat': 'tropical,terrestrial', 'hearing threshold': '20 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'visual system': 'corneal eyes'}"
Fulvous-crested tanager,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Neotropics', 'body mass': '23 g', 'eats': 'Guianan Highlands Moist Forests', 'ecoregion': 'South Atlantic', 'geographic distribution includes': 'subtropical', 'habitat': '5000 Hz', 'hearing range': '10 dB', 'hearing threshold': 'flight', 'locomotion': 'apatite', 'mineralized skeleton contains': 'corneal eyes'}"
Fulvous-headed brushfinch,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Neotropics', 'body mass': '28.2 g', 'eats': 'Bolivia', 'geographic distribution includes': 'montane forest', 'habitat': 'terrestrial,10 dB', 'hearing threshold': 'flight', 'locomotion': 'apatite', 'mineralized skeleton contains': 'Decreasing', 'population trend': 'corneal eyes'}"
Fulvous-headed tanager,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Neotropics', 'body mass': '13 g', 'geographic distribution includes': 'Colombia', 'habitat': 'tropical,terrestrial', 'hearing threshold': '10 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Stable', 'type specimen repository': 'Institute of Virology', 'visual system': 'corneal eyes'}"
Fulvous-vented euphonia,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Neotropics', 'body mass': '13 g', 'eats': 'Colombia', 'geographic distribution includes': 'subtropical', 'habitat': 'terrestrial,10 dB', 'hearing threshold': 'bipedal movement', 'locomotion': 'apatite', 'mineralized skeleton contains': 'Decreasing', 'population trend': 'corneal eyes'}"
