ID,Common Name
224,Andaman cuckooshrike
225,Andaman drongo
226,Andaman flowerpecker
227,Andaman green pigeon
228,Andaman hawkowl
229,Andaman masked owl
230,Andaman nightjar
231,Andaman scops owl
232,Andaman serpent eagle
233,Andaman shama
234,Andaman teal
235,Andaman treepie
236,Andaman wood pigeon
237,Andaman woodpecker
238,Andean avocet
239,Andean cockoftherock
240,Andean condor
241,Andean coot
242,Andean duck
243,Andean emerald
244,Andean flamingo
245,Andean flicker
246,Andean goose
247,Andean guan
248,Andean gull
249,Andean hillstar
250,Andean ibis
251,Andean laniisoma
252,Andean lapwing
253,Andean motmot
254,Andean negrito
255,Andean parakeet
256,Andean potoo
257,Andean pygmy owl
258,Andean siskin
259,Andean slaty thrush
260,Andean solitaire
261,Andean swallow
262,Andean swift
263,Andean teal
264,Andean tinamou
265,Andean titspinetail
266,Angolan batis
267,Angolan cave chat
268,Angolan lark
269,Angolan slaty flycatcher
270,Angolan swallow
271,Angolan waxbill
272,Anhinga
273,Anianiau
274,Anjouan brush warbler
275,Anjouan scops owl
276,Anjouan sunbird
277,Ankober serin
278,Annam prinia
279,Annas hummingbird
280,Annobón paradise flycatcher
281,Annobón whiteeye
282,Ansorges greenbul
283,Antarctic petrel
284,Antarctic prion
285,Antarctic shag
286,Antarctic tern
287,Anteater chat
288,Anteating chat
289,Anthonys nightjar
290,Antillean crested hummingbird
291,Antillean euphonia
292,Antillean mango
293,Antillean nighthawk
294,Antillean palm swift
295,Antillean piculet
296,Antillean siskin
297,Antioquia bristle tyrant
298,Antioquia brushfinch
299,Antioquia wren
300,Antipodean albatross
301,Antipodes parakeet
302,Apapane
303,Apical flycatcher
304,Aplomado falcon
305,Apo myna
306,Apo sunbird
307,Apolinars wren
308,Apolo cotinga
309,Apostlebird
310,Apperts tetraka
311,Apricotbreasted sunbird
312,Apurímac brushfinch
313,Apurímac spinetail
314,Aquatic warbler
315,Arabian accentor
316,Arabian babbler
317,Arabian bustard
318,Arabian golden sparrow
319,Arabian goldenwinged grosbeak
320,Arabian partridge
321,Arabian scops owl
322,Arabian serin
323,Arabian warbler
324,Arabian waxbill
325,Arabian wheatear
326,Arabian woodpecker
327,Arafura fantail
328,Arafura shrikethrush
329,Araripe manakin
330,Araucaria titspinetail
331,Archbolds bowerbird
332,Archbolds newtonia
333,Archbolds nightjar
334,Archbolds owletnightjar
335,Archers buzzard
336,Archers ground robin
337,Archers lark
338,Arctic redpoll
339,Arctic tern
340,Arctic warbler
341,Arfak Astrapia
342,Arfak astrapia
343,Arfak catbird
344,Arfak honeyeater
345,Aripuana antwren
346,Arizona woodpecker
347,Armenian gull
348,Arnots chat
349,Arrowhead piculet
350,Arrowhead warbler
351,Arrowmarked babbler
352,Ascension crake
353,Ascension frigatebird
354,Ascension night heron
355,Ashambu laughingthrush
356,Ashbreasted antbird
357,Ashbreasted sierra finch
358,Ashbreasted tittyrant
359,Ashbrowed spinetail
360,Ashcolored cuckoo
361,Ashcolored tapaculo
362,Ashs lark
363,Ashthroated antwren
364,Ashthroated casiornis
365,Ashthroated crake
366,Ashthroated flycatcher
367,Ashthroated gnateater
368,Ashwinged antwren
369,Ashy bulbul
370,Ashy cisticola
371,Ashy drongo
372,Ashy flowerpecker
373,Ashy flycatcher
374,Ashy minivet
375,Ashy myzomela
376,Ashy prinia
377,Ashy robin
378,Ashy starling
379,Ashy storm petrel
380,Ashy tailorbird
381,Ashy thrush
382,Ashy tit
383,Ashy wood pigeon
384,Ashy woodpecker
385,Ashy woodswallow
386,Ashybellied whiteeye
387,Ashybreasted flycatcher
388,Ashycrowned sparrowlark
389,Ashyfaced owl
390,Ashyfronted bulbul
391,Ashyheaded babbler
392,Ashyheaded goose
393,Ashyheaded green pigeon
394,Ashyheaded greenlet
395,Ashyheaded laughingthrush
396,Ashyheaded tyrannulet
397,Ashythroated bush tanager
398,Ashythroated parrotbill
399,Ashythroated warbler
400,Asian barred owlet
401,Asian brown flycatcher
402,Asian crimsonwinged finch
403,Asian desert warbler
404,Asian dowitcher
405,Asian emerald cuckoo
406,Asian fairybluebird
407,Asian glossy starling
408,Asian golden weaver
409,Asian house martin
410,Asian koel
411,Asian openbill
412,Asian palm swift
413,Asian redeyed bulbul
414,Asian rosy finch
415,Asian shorttoed lark
416,Asian stubtail
417,Asir magpie
418,Assam Laughingthrush
419,Assam laughingthrush
420,Atherton scrubwren
421,Athi shorttoed lark
422,Atitlán grebe
423,Atiu swiftlet
424,Atlantic canary
425,Atlantic petrel
426,Atlantic puffin
427,Atlantic royal flycatcher
428,Atlantic yellownosed albatross
429,Atlas pied flycatcher
430,Atoll fruit dove
431,Atoll starling
432,Auckland rail
433,Auckland shag
434,Auckland teal
435,Audouins gull
436,Audubons oriole
437,Audubons shearwater
438,Audubons warbler
439,Augur buzzard
440,Austens brown hornbill
441,Austral blackbird
442,Austral canastero
443,Austral negrito
444,Austral parakeet
445,Austral pygmy owl
446,Austral rail
447,Austral thrush
448,Australasian bittern
449,Australasian darter
450,Australasian figbird
451,Australasian gannet
452,Australasian grebe
453,Australasian pipit
454,Australasian shoveler
455,Australasian swamphen
456,Australian boobook
457,Australian brushturkey
458,Australian bustard
459,Australian crake
460,Australian golden whistler
461,Australian hobby
462,Australian king parrot
463,Australian logrunner
464,Australian magpie
465,Australian masked owl
466,Australian owletnightjar
467,Australian paintedsnipe
468,Australian pelican
469,Australian pied cormorant
470,Australian pratincole
471,Australian raven
472,Australian reed warbler
473,Australian ringneck
474,Australian shelduck
475,Australian swiftlet
476,Australian tern
477,Australian white ibis
478,Australian wood duck
479,Ayacucho thistletail
480,Ayeyarwady bulbul
481,Ayres hawkeagle
482,Ayress hawkeagle
483,Azaras spinetail
484,Azores bullfinch
485,Aztec rail
486,Aztec thrush
487,Azuero dove
488,Azure dollarbird
489,Azure gallinule
490,Azure jay
491,Azure kingfisher
492,Azure tit
493,Azurebreasted pitta
494,Azurecrested flycatcher
495,Azurecrowned hummingbird
496,Azurehooded jay
497,Azurenaped jay
498,Azurerumped tanager
499,Azureshouldered tanager
500,Azurewinged magpie
501,Babbling starling
502,Bachmans sparrow
503,Bachmans warbler
504,Baers pochard
505,Baglafecht weaver
506,Bagobo babbler
507,Bahama mockingbird
508,Bahama oriole
509,Bahama swallow
510,Bahama warbler
511,Bahama woodstar
512,Bahama yellowthroat
513,Bahia antwren
514,Bahia spinetail
515,Bahia tapaculo
516,Bahia tyrannulet
517,Bahian mousecolored tapaculo
518,Baikal bush warbler
519,Baikal teal
520,Baillons crake
521,Bairds flycatcher
522,Bairds junco
523,Bairds sandpiper
524,Bairds sparrow
525,Bairds trogon
526,Baja pygmy owl
527,Bald eagle
528,Bald parrot
529,Balearic shearwater
530,Balearic warbler
531,Bali myna
532,Balicassiao
533,Baliem whistler
534,Baliem whistler   
535,Balsas screech owl
536,Baltimore oriole
537,Bamboo antshrike
538,Bamboo foliagegleaner
539,Bamboo warbler
540,Bamboo woodpecker
541,Bamenda apalis
542,Bananal antbird
543,Bananaquit
544,Banasura laughingthrush
545,Banda myzomela
546,Bandbacked wren
547,Bandbellied crake
548,Bandbellied owl
549,Banded antbird
550,Banded barbet
551,Banded bay cuckoo
552,Banded broadbill
553,Banded cotinga
554,Banded fruit dove
555,Banded green sunbird
556,Banded ground cuckoo
557,Banded honeyeater
558,Banded kestrel
559,Banded kingfisher
560,Banded lapwing
561,Banded martin
562,Banded parisoma
563,Banded prinia
564,Banded quail
565,Banded stilt
566,Banded wattleeye
567,Banded whiteface
568,Banded woodpecker
569,Banded wren
570,Banded yellow robin
571,Bandrumped storm petrel
572,Bandrumped swift
573,Bandtailed antbird
574,Bandtailed antshrike
575,Bandtailed antwren
576,Bandtailed barbthroat
577,Bandtailed earthcreeper
578,Bandtailed fruiteater
579,Bandtailed guan
580,Bandtailed hornero
581,Bandtailed manakin
582,Bandtailed nighthawk
583,Bandtailed oropendola
584,Bandtailed pigeon
585,Bandtailed seedeater
586,Bandtailed sierra finch
587,Bandwinged nightjar
588,Banggai crow
589,Banggai fruit dove
590,Banggai jungle flycatcher
591,Banggai jungle flycatcher   
592,Bangwa forest warbler
593,Bank cormorant
594,Bank myna
595,Bannermans shearwater
596,Bannermans sunbird
597,Bannermans turaco
598,Bannermans weaver
599,Baraus petrel
600,Barbacked partridge
601,Barbados bullfinch
602,Barbary partridge
603,Barbellied cuckooshrike
604,Barbellied pitta
605,Barbellied woodcreeper
606,Barbellied woodpecker
607,Barbreasted firefinch
608,Barbreasted honeyeater
609,Barbreasted piculet
610,Barbuda warbler
611,Barcrested antshrike
612,Barecheeked babbler
613,Barecheeked trogon
614,Barecrowned antbird
615,Bareeyed antbird
616,Bareeyed myna
617,Bareeyed pigeon
618,Bareeyed rail
619,Bareeyed thrush
620,Bareeyed whiteeye
621,Barefaced bulbul
622,Barefaced curassow
623,Barefaced goawaybird
624,Barefaced ground dove
625,Barefaced ibis
626,Bareheaded laughingthrush
627,Barelegged owl
628,Barelegged swiftlet
629,Barenecked fruitcrow
630,Barenecked umbrellabird
631,Bareshanked screech owl
632,Barethroated bellbird
633,Barethroated tiger heron
634,Barethroated whistler
635,Barheaded goose
636,Barka indigobird
637,Barking imperial pigeon
638,Barking owl
639,Barlows lark
640,Barn swallow
641,Barnacle goose
642,Barolo shearwater
643,Barratts warbler
644,Barred antshrike
645,Barred antthrush
646,Barred becard
647,Barred buttonquail
648,Barred cuckoodove
649,Barred cuckooshrike
650,Barred dove
651,Barred eagleowl
652,Barred forest falcon
653,Barred fruiteater
654,Barred hawk
655,Barred honey buzzard
656,Barred honeyeater
657,Barred laughingthrush
658,Barred longtailed cuckoo
659,Barred owl
660,Barred owletnightjar
661,Barred parakeet
662,Barred puffbird
663,Barred rail
664,Barred tinamou
665,Barred warbler
666,Barred wrenwarbler
667,Barrows goldeneye
668,Barshouldered dove
669,Bartailed cuckoodove
670,Bartailed godwit
671,Bartailed lark
672,Bartailed treecreeper
673,Bartailed trogon
674,Barthroated apalis
675,Barthroated minla
676,Bartletts tinamou
677,Barusan cuckoodove
678,Barwinged flycatchershrike
679,Barwinged oriole
680,Barwinged prinia
681,Barwinged rail
682,Barwinged weaver
683,Barwinged wood wren
684,Barwinged wrenbabbler
685,Basra reed warbler
686,Bassian thrush
687,Bat falcon
688,Bat hawk
689,Bateleur
690,Batess nightjar
691,Batess paradise flycatcher
692,Batess sunbird
693,Batess swift
694,Batess weaver
695,Baudins black cockatoo
696,Baudo guan
697,Baudó guan
698,Baudó oropendola
699,Baumanns olive greenbul
700,Bay antpitta
701,Bay coucal
702,Bay hornero
703,Bay woodpecker
704,Bay wren
705,Baya weaver
706,Baybacked shrike
707,Baybreasted cuckoo
708,Baybreasted warbler
709,Baycapped wrenspinetail
710,Baychested warbling finch
711,Baycrowned brushfinch
712,Bayheaded tanager
713,Bayringed tyrannulet
714,Bayvented cotinga
715,Beach kingfisher
716,Beach stonecurlew
717,Bearded barbet
718,Bearded bellbird
719,Bearded guan
720,Bearded mountaineer
721,Bearded reedling
722,Bearded screech owl
723,Bearded scrub robin
724,Bearded tachuri
725,Bearded vulture
726,Bearded wood partridge
727,Bearded woodpecker
728,Beaudouins snake eagle
729,Beautiful firetail
730,Beautiful fruit dove
731,Beautiful jay
732,Beautiful nuthatch
733,Beautiful sheartail
734,Beautiful sibia
735,Beautiful sunbird
736,Beautiful treerunner
737,Beautiful woodpecker
738,Becks petrel
739,Bedfords paradise flycatcher
740,Bee hummingbird
741,Beesleys lark
742,Beijing babbler
743,Belchers gull
744,Beldings yellowthroat
745,Belfords melidectes
746,Bell miner
747,Bells sparrow
748,Bells vireo
749,Belted flycatcher
750,Belted kingfisher
751,Bendires thrasher
752,Bengal bush lark
753,Bengal florican
754,Benguela longbilled lark
755,Benguet bush warbler
756,Bennetts woodpecker
757,Berlepschs canastero
758,Berlepschs tinamou
759,Bermuda flicker
760,Bermuda hawk
761,Bermuda night heron
762,Bermuda petrel
763,Bermuda sawwhet owl
764,Bermuda towhee
765,Berniers teal
766,Berniers vanga
767,Berthelots pipit
768,Bertonis antbird
769,Bertrams weaver
770,Berylline hummingbird
771,Berylspangled tanager
772,Besra
773,Bewicks wren
774,Bhutan laughingthrush
775,Biak black flycatcher
776,Biak coucal
777,Biak gerygone
778,Biak leaf warbler
779,Biak lorikeet
780,Biak monarch
781,Biak paradise kingfisher
782,Biak scops owl
783,Biak scrubfowl
784,Biak whistler
785,Biak whistler   
786,Biak whiteeye
787,Bianchis warbler
788,Bicknells thrush
789,Bicol ground warbler
790,Bicolored antbird
791,Bicolored antpitta
792,Bicolored antpitta1
793,Bicolored antvireo
794,Bicolored conebill
795,Bicolored flowerpecker
796,Bicolored hawk
797,Bicolored scrubwren
798,Bicolored wren
799,Biddulphs ground jay
800,Bimaculated lark
801,Biscutate swift
802,Bishops oo
803,Bishops ‘ō‘ō
804,Bismarck black myzomela
805,Bismarck crow
806,Bismarck fantail
807,Bismarck hanging parrot
808,Bismarck kingfisher
809,Bismarck pitta
810,Bismarck whistler
811,Bismarck whistler   
812,Bismarck whiteeye
813,Black antbird
814,Black antshrike
815,Black baza
816,Black beeeater
817,Black berrypecker
818,Black bishop
819,Black bittern
820,Black boubou
821,Black bulbul
822,Black bushbird
823,Black butcherbird
824,Black caracara
825,Black catbird
826,Black cicadabird
827,Black coucal
828,Black crake
829,Black crowned crane
830,Black cuckoo
831,Black cuckoodove
832,Black cuckooshrike
833,Black curassow
834,Black currawong
835,Black drongo
836,Black dwarf hornbill
837,Black eagle
838,Black falcon
839,Black fantail
840,Black flowerpiercer
841,Black francolin
842,Black grasswren
843,Black grouse
844,Black guan
845,Black guillemot
846,Black guineafowl
847,Black harrier
848,Black hawkeagle
849,Black heron
850,Black honey buzzard
851,Black honeyeater
852,Black hornbill
853,Black imperial pigeon
854,Black inca
855,Black jacobin
856,Black kite
857,Black lark
858,Black laughingthrush
859,Black lory
860,Black magpie
861,Black mamo
862,Black manakin
863,Black mannikin
864,Black metaltail
865,Black monarch
866,Black noddy
867,Black nunbird
868,Black oriole
869,Black oropendola
870,Black oystercatcher
871,Black partridge
872,Black petrel
873,Black phoebe
874,Black pitohui
875,Black rail
876,Black redstart
877,Black robin
878,Black rosy finch
879,Black sawwing
880,Black scimitarbill
881,Black scoter
882,Black scrub robin
883,Black shama
884,Black sicklebill
885,Black siskin
886,Black sittella
887,Black skimmer
888,Black solitaire
889,Black sparrowhawk
890,Black spinetail
891,Black stilt
892,Black stork
893,Black storm petrel
894,Black sunbird
895,Black swan
896,Black tern
897,Black thicket fantail
898,Black thrush
899,Black tinamou
900,Black turnstone
901,Black vulture
902,Black wheatear
903,Black woodpecker
904,Blackandbuff woodpecker
905,Blackandchestnut eagle
906,Blackandchestnut warbling finch
907,Blackandcinnamon fantail
908,Blackandcrimson oriole
909,Blackandgold cotinga
910,Blackandgold tanager
911,Blackandorange flycatcher
912,Blackandred broadbill
913,Blackandrufous swallow
914,Blackandrufous warbling finch
915,Blackandtawny seedeater
916,Blackandwhite antbird
917,Blackandwhite becard
918,Blackandwhite bulbul
919,Blackandwhite hawkeagle
920,Blackandwhite mannikin
921,Blackandwhite monjita
922,Blackandwhite owl
923,Blackandwhite seedeater
924,Blackandwhite shrikeflycatcher
925,Blackandwhite tanager
926,Blackandwhite todyflycatcher
927,Blackandwhite triller
928,Blackandwhite warbler
929,Blackandwhitecasqued hornbill
930,Blackandyellow broadbill
931,Blackandyellow grosbeak
932,Blackandyellow phainoptila
933,Blackandyellow tanager
934,Blackbacked antshrike
935,Blackbacked barbet
936,Blackbacked bittern
937,Blackbacked bush tanager
938,Blackbacked butcherbird
939,Blackbacked cisticola
940,Blackbacked forktail
941,Blackbacked grosbeak
942,Blackbacked oriole
943,Blackbacked puffback
944,Blackbacked swamphen
945,Blackbacked tanager
946,Blackbacked thornbill
947,Blackbacked thrush
948,Blackbacked todyflycatcher
949,Blackbacked water tyrant
950,Blackbacked weaver
951,Blackbacked woodpecker
952,Blackbanded barbet
953,Blackbanded crake
954,Blackbanded flycatcher
955,Blackbanded fruit dove
956,Blackbanded owl
957,Blackbanded woodcreeper
958,Blackbellied antwren
959,Blackbellied bustard
960,Blackbellied cuckoo
961,Blackbellied cuckooshrike
962,Blackbellied firefinch
963,Blackbellied gnateater
964,Blackbellied hummingbird
965,Blackbellied malkoha
966,Blackbellied myzomela
967,Blackbellied sandgrouse
968,Blackbellied seedcracker
969,Blackbellied seedeater
970,Blackbellied starling
971,Blackbellied storm petrel
972,Blackbellied sunbird
973,Blackbellied tern
974,Blackbellied thorntail
975,Blackbellied whistling duck
976,Blackbellied wren
977,Blackbelted flowerpecker
978,Blackbibbed cicadabird
979,Blackbibbed monarch
980,Blackbibbed tit
981,Blackbilled amazon
982,Blackbilled barbet
983,Blackbilled brushturkey
984,Blackbilled capercaillie
985,Blackbilled coucal
986,Blackbilled cuckoo
987,Blackbilled flycatcher
988,Blackbilled gull
989,Blackbilled koel
990,Blackbilled magpie
991,Blackbilled mountain toucan
992,Blackbilled nightingalethrush
993,Blackbilled peppershrike
994,Blackbilled scythebill
995,Blackbilled seed finch
996,Blackbilled shriketyrant
997,Blackbilled sicklebill
998,Blackbilled streamertail
999,Blackbilled thrush
1000,Blackbilled treehunter
1001,Blackbilled turaco
1002,Blackbilled weaver
1003,Blackbilled wood dove
1004,Blackbilled wood hoopoe
1005,Blackbodied woodpecker
1006,Blackbreasted barbet
1007,Blackbreasted boatbill
1008,Blackbreasted buttonquail
1009,Blackbreasted buzzard
1010,Blackbreasted hillstar
1011,Blackbreasted mannikin
1012,Blackbreasted myzomela
1013,Blackbreasted parrotbill
1014,Blackbreasted puffbird
1015,Blackbreasted puffleg
1016,Blackbreasted thrush
1017,Blackbreasted weaver
1018,Blackbreasted wood quail
1019,Blackbrowed albatross
1020,Blackbrowed babbler
1021,Blackbrowed barbet
1022,Blackbrowed bushtit
1023,Blackbrowed fulvetta
1024,Blackbrowed greenbul
1025,Blackbrowed reed warbler
1026,Blackbrowed triller
1027,Blackburnian warbler
1028,Blackcap babbler
1029,Blackcap illadopsis
1030,Blackcapped antwren
1031,Blackcapped apalis
1032,Blackcapped babbler
1033,Blackcapped becard
1034,Blackcapped bulbul
1035,Blackcapped catbird
1036,Blackcapped chickadee
1037,Blackcapped donacobius
1038,Blackcapped flycatcher
1039,Blackcapped foliagegleaner
1040,Blackcapped gnatcatcher
1041,Blackcapped hemispingus
1042,Blackcapped kingfisher
1043,Blackcapped lory
1044,Blackcapped paradise kingfisher
1045,Blackcapped parakeet
1046,Blackcapped petrel
1047,Blackcapped piprites
1048,Blackcapped pygmy tyrant
1049,Blackcapped screech owl
1050,Blackcapped siskin
1051,Blackcapped social weaver
1052,Blackcapped sparrow
1053,Blackcapped speirops
1054,Blackcapped swallow
1055,Blackcapped tanager
1056,Blackcapped tinamou
1057,Blackcapped tyrannulet
1058,Blackcapped vireo
1059,Blackcapped warbling finch
1060,Blackcapped whiteeye
1061,Blackcapped woodland warbler
1062,Blackcasqued hornbill
1063,Blackcheeked ant tanager
1064,Blackcheeked gnateater
1065,Blackcheeked lovebird
1066,Blackcheeked warbler
1067,Blackcheeked waxbill
1068,Blackcheeked woodpecker
1069,Blackchested buzzardeagle
1070,Blackchested fruiteater
1071,Blackchested jay
1072,Blackchested mountain tanager
1073,Blackchested prinia
1074,Blackchested snake eagle
1075,Blackchested sparrow
1076,Blackchested tyrant
1077,Blackchinned antbird
1078,Blackchinned babbler
1079,Blackchinned fruit dove
1080,Blackchinned honeyeater
1081,Blackchinned hummingbird
1082,Blackchinned monarch
1083,Blackchinned mountain tanager
1084,Blackchinned robin
1085,Blackchinned siskin
1086,Blackchinned sparrow
1087,Blackchinned weaver
1088,Blackchinned whistler
1089,Blackchinned yuhina
1090,Blackcollared apalis
1091,Blackcollared barbet
1092,Blackcollared bulbul
1093,Blackcollared hawk
1094,Blackcollared jay
1095,Blackcollared lovebird
1096,Blackcollared starling
1097,Blackcollared swallow
1098,Blackcowled oriole
1099,Blackcowled saltator
1100,Blackcrested antshrike
1101,Blackcrested bulbul
1102,Blackcrested coquette
1103,Blackcrested finch
1104,Blackcrested titmouse
1105,Blackcrested tittyrant
1106,Blackcrested tittyrant1
1107,Blackcrested warbler
1108,Blackcrowned antpitta
1109,Blackcrowned antshrike
1110,Blackcrowned babbler
1111,Blackcrowned barwing
1112,Blackcrowned fulvetta
1113,Blackcrowned monjita
1114,Blackcrowned night heron
1115,Blackcrowned pitta
1116,Blackcrowned sparrowlark
1117,Blackcrowned tanager
1118,Blackcrowned tchagra
1119,Blackcrowned tityra
1120,Blackcrowned waxbill
1121,Blackcrowned whiteeye
1122,Blackdotted piculet
1123,Blackdotted piculet   
1124,Blackeared catbird
1125,Blackeared cuckoo
1126,Blackeared fairy
1127,Blackeared ground thrush
1128,Blackeared hemispingus
1129,Blackeared miner
1130,Blackeared oriole
1131,Blackeared seedeater
1132,Blackeared shrikebabbler
1133,Blackeared sparrowlark
1134,Blackeared warbler
1135,Blackeared wood quail
1136,Blackfaced antbird
1137,Blackfaced antthrush
1138,Blackfaced babbler
1139,Blackfaced bunting
1140,Blackfaced canary
1141,Blackfaced cormorant
1142,Blackfaced cotinga
1143,Blackfaced coucal
1144,Blackfaced cuckooshrike
1145,Blackfaced dacnis
1146,Blackfaced dacnis
1147,Blackfaced firefinch
1148,Blackfaced friarbird
1149,Blackfaced grassquit
1150,Blackfaced grosbeak
1151,Blackfaced hawk
1152,Blackfaced ibis
1153,Blackfaced laughingthrush
1154,Blackfaced monarch
1155,Blackfaced munia
1156,Blackfaced pitta
1157,Blackfaced prinia
1158,Blackfaced rufous warbler
1159,Blackfaced sandgrouse
1160,Blackfaced sheathbill
1161,Blackfaced solitaire
1162,Blackfaced spoonbill
1163,Blackfaced tanager
1164,Blackfaced warbler
1165,Blackfaced waxbill
1166,Blackfaced woodswallow
1167,Blackfooted albatross
1168,Blackfronted brushfinch
1169,Blackfronted bushshrike
1170,Blackfronted dotterel
1171,Blackfronted flowerpecker
1172,Blackfronted ground tyrant
1173,Blackfronted nunbird
1174,Blackfronted parakeet
1175,Blackfronted piping guan
1176,Blackfronted spurfowl
1177,Blackfronted tern
1178,Blackfronted tyrannulet
1179,Blackfronted whiteeye
1180,Blackfronted wood quail
1181,Blackgirdled barbet
1182,Blackgoggled tanager
1183,Blackheaded antbird
1184,Blackheaded antthrush
1185,Blackheaded apalis
1186,Blackheaded beeeater
1187,Blackheaded berryeater
1188,Blackheaded brushfinch
1189,Blackheaded bulbul
1190,Blackheaded bunting
1191,Blackheaded canary
1192,Blackheaded cuckooshrike
1193,Blackheaded duck
1194,Blackheaded gonolek
1195,Blackheaded greenfinch
1196,Blackheaded grosbeak
1197,Blackheaded gull
1198,Blackheaded hemispingus
1199,Blackheaded heron
1200,Blackheaded honeyeater
1201,Blackheaded ibis
1202,Blackheaded jay
1203,Blackheaded lapwing
1204,Blackheaded myzomela
1205,Blackheaded nightingalethrush
1206,Blackheaded oriole
1207,Blackheaded parrot
1208,Blackheaded parrotbill
