ID,Common Name
0,Abbotts babbler
1,Abbotts booby
2,Abbotts starling
3,Abbotts sunbird
4,Abd alKuri sparrow
5,Abdims stork
6,Aberdare cisticola
7,Aberrant bush warbler
8,Aberts towhee
9,Abyssinian catbird
10,Abyssinian crimsonwing
11,Abyssinian ground hornbill
12,Abyssinian ground thrush
13,Abyssinian longclaw
14,Abyssinian longclaw
15,Abyssinian owl
16,Abyssinian roller
17,Abyssinian roller
18,Abyssinian scimitarbill
19,Abyssinian scimitarbill
20,Abyssinian slaty flycatcher
21,Abyssinian slaty flycatcher
22,Abyssinian thrush
23,Abyssinian thrush
24,Abyssinian waxbill
25,Abyssinian wheatear
26,Abyssinian whiteeye
27,Abyssinian woodpecker
28,Acacia pied barbet
29,Acacia tit
30,Acadian flycatcher
31,Aceh bulbul
32,Acorn woodpecker
33,Acre antshrike
34,Acre todytyrant
35,Adamawa turtle dove
36,Adelaides warbler
37,Admiralty cicadabird
38,Adélie penguin
39,Afep pigeon
40,Afep pigeon
41,Afghan babbler
42,Afghan snowfinch
43,African barred owlet
44,African black duck
45,African black swift
46,African blue flycatcher
47,African blue tit
48,African broadbill
49,African citril
50,African collared dove
51,African crake
52,African crimsonwinged finch
53,African cuckoo
54,African cuckoohawk
55,African darter
56,African desert warbler
57,African dusky flycatcher
58,African dwarf kingfisher
59,African emerald cuckoo
60,African finfoot
61,African firefinch
62,African fish eagle
63,African golden oriole
64,African goshawk
65,African grass owl
66,African green pigeon
67,African grey flycatcher
68,African grey hornbill
69,African grey woodpecker
70,African harrierhawk
71,African hawkeagle
72,African hill babbler
73,African hobby
74,African hoopoe
75,African jacana
76,African marsh harrier
77,African olive pigeon
78,African openbill
79,African oystercatcher
80,African palm swift
81,African paradise flycatcher
82,African penguin
83,African piculet
84,African pied hornbill
85,African pied wagtail
86,African pipit
87,African pitta
88,African pygmy goose
89,African pygmy kingfisher
90,African rail
91,African redeyed bulbul
92,African reed warbler
93,African river martin
94,African rock pipit
95,African sacred ibis
96,African scops owl
97,African shrikeflycatcher
98,African silverbill
99,African skimmer
100,African snipe
101,African spoonbill
102,African spotted creeper
103,African stonechat
104,African swamphen
105,African thrush
106,African wattled lapwing
107,African wood owl
108,African yellow warbler
109,Agami heron
110,Agile tittyrant
111,Aguiguan reed warbler
112,Agulhas longbilled lark
113,Ahanta spurfowl
114,Ainleys storm petrel
115,Akekee
116,Akiapolaau
117,Akiapōlāau
118,Akikiki
119,Akohekohe
120,Akun eagleowl
121,Alagoas antwren
122,Alagoas curassow
123,Alagoas foliagegleaner
124,Alagoas tyrannulet
125,Alaotra grebe
126,Albertine owlet
127,Albertine sooty boubou
128,Alberts lyrebird
129,Aldabra brush warbler
130,Aldabra drongo
131,Aldabra fody
132,Aldabra whiteeye
133,Alder flycatcher
134,Aleutian tern
135,Alexandrine parakeet
136,Algerian nuthatch
137,Allens gallinule
138,Allens hummingbird
139,Allpahuayo antbird
140,Alor boobook
141,Alor myzomela
142,Alpine accentor
143,Alpine chough
144,Alpine leaf warbler
145,Alpine pipit
146,Alpine swift
147,Alpine thrush
148,Alströms warbler
149,Alta Floresta antpitta
150,Altai accentor
151,Altai snowcock
152,Altamira oriole
153,Altamira yellowthroat
154,Amami thrush
155,Amami woodcock
156,Amani sunbird
157,Amazilia hummingbird
158,Amazon kingfisher
159,Amazonian antpitta
160,Amazonian antshrike
161,Amazonian barred woodcreeper
162,Amazonian black tyrant
163,Amazonian grosbeak
164,Amazonian inezia
165,Amazonian motmot
166,Amazonian pygmy owl
167,Amazonian royal flycatcher
168,Amazonian scrub flycatcher
169,Amazonian streaked antwren
170,Amazonian trogon
171,Amazonian umbrellabird
172,Ambon whiteeye
173,Amboyna cuckoodove
174,Ameline swiftlet
175,American avocet
176,American barn owl
177,American bittern
178,American black duck
179,American black swift
180,American bushtit
181,American coot
182,American crow
183,American dipper
184,American dusky flycatcher
185,American flamingo
186,American golden plover
187,American goldfinch
188,American gray flycatcher
189,American herring gull
190,American kestrel
191,American oystercatcher
192,American purple gallinule
193,American pygmy kingfisher
194,American redstart
195,American robin
196,American threetoed woodpecker
197,American tree sparrow
198,American white ibis
199,American white pelican
200,American wigeon
201,American woodcock
202,American yellow warbler
203,Amethyst brown dove
204,Amethyst sunbird
205,Amethyst woodstar
206,Amethystthroated Mountaingem
207,Amethystthroated mountaingem
208,Amethystthroated sunangel
209,Ampay tapaculo
210,Amsterdam albatross
211,Amsterdam wigeon
212,Amur falcon
213,Amur paradise flycatcher
214,Anambra waxbill
215,Ancash tapaculo
216,Anchietas barbet
217,Anchietas sunbird
218,Ancient antwren
219,Ancient murrelet
220,Andaman bulbul
221,Andaman coucal
222,Andaman crake
223,Andaman cuckoodove
