Least flycatcher,"{'biogeographic realm': 'The Neotropics', 'eats': 'terrestrial', 'foraging habitat': 'United States', 'geographic distribution includes': 'mountain', 'habitat': '8 years', 'life span': '1.5 /year', 'litters per year': 'flight', 'locomotion': 'Decreasing', 'population trend': '14 days', 'prenatal development duration': 'invertivore', 'trophic guild': '10 g'}"
Least grebe,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Neotropics', 'body mass': '167 g', 'eats': 'nectonic', 'ecomorphological guild': 'Mexico', 'geographic distribution includes': 'river', 'habitat': 'freshwater habitat,flight', 'locomotion': 'apatite', 'mineralized skeleton contains': 'Stable', 'population trend': 'corneal eyes'}"
Least honeyguide,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'Afrotropics', 'body mass': '22.3 g', 'geographic distribution includes': 'South Atlantic', 'habitat': 'coastal,terrestrial', 'hearing threshold': '20 dB', 'locomotion': 'flight', 'mineralized skeleton contains': 'apatite', 'population trend': 'Unknown', 'type specimen repository': 'NHMUK', 'visual system': 'corneal eyes'}"
Least nighthawk,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Neotropics', 'body mass': '33.4 g', 'ecoregion': 'Alto Paraná Atlantic Forests', 'geographic distribution includes': 'Bolivia', 'habitat': 'tropical,terrestrial', 'hearing threshold': '20 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Stable', 'visual system': 'corneal eyes'}"
Least poorwill,"{'auditory system': 'otoliths', 'biogeographic realm': 'The Neotropics', 'conservation status': 'near threatened', 'ecoregion': 'Hispaniolan Moist Forests', 'geographic distribution includes': 'The Dominican Republic', 'habitat': 'tropical,terrestrial', 'hearing threshold': '20 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'visual system': 'corneal eyes'}"
Least sandpiper,"{'biogeographic realm': 'The Nearctic', 'ecomorphological guild': 'nectonic', 'foraging habitat': 'freshwater', 'geographic distribution includes': 'Gulf Of Mexico', 'habitat': 'tundra', 'life span': '16 years', 'litters per year': '1 /year', 'locomotion': 'flight', 'population trend': 'Decreasing', 'prenatal development duration': '20 days', 'trophic guild': 'invertivore', 'weight': '4.06 g'}"
Least seedsnipe,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Neotropics', 'body mass': '59.9 g', 'ecoregion': 'Magellanic Subpolar Forests', 'geographic distribution includes': 'South Pacific', 'habitat': 'temperate,terrestrial', 'hearing threshold': '20 dB', 'locomotion': 'flight', 'mineralized skeleton contains': 'apatite', 'population trend': 'Stable', 'visual system': 'corneal eyes'}"
Least storm petrel,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Nearctic', 'body mass': '21.7 g', 'eats': 'nectonic', 'ecomorphological guild': 'Baja California Desert', 'ecoregion': 'United States', 'geographic distribution includes': 'tropical', 'habitat': '20 dB', 'hearing threshold': 'flight', 'locomotion': 'apatite', 'mineralized skeleton contains': 'corneal eyes'}"
Least tern,"{'eats': 'nectonic', 'ecomorphological guild': 'United States', 'geographic distribution includes': '0.307 /day', 'growth rate': 'lagoon', 'habitat': '24.1 years', 'life span': 'flight', 'locomotion': 'Decreasing', 'population trend': '21 days', 'prenatal development duration': 'corneal eyes', 'preys on': '40 g'}"
Legge's flowerpecker,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'the indo-malayan realm', 'conservation status': 'near threatened', 'ecoregion': 'Sri Lanka Lowland Rain Forests', 'geographic distribution includes': 'Sri Lanka', 'habitat': 'terrestrial', 'hearing range': '5000 Hz', 'hearing threshold': '10 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'visual system': 'corneal eyes'}"
