Black-browed reed warbler,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'the palearctic', 'body mass': '10 g', 'geographic distribution includes': 'North Pacific', 'habitat': 'marsh,freshwater habitat', 'hearing threshold': '10 dB', 'locomotion': 'flight', 'mineralized skeleton contains': 'apatite', 'population trend': 'Stable', 'type specimen repository': 'Harvard UNiversity, Museum of Comparative Zoology', 'visual system': 'corneal eyes'}"
Black-browed triller,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'australasia', 'body mass': '34.5 g', 'ecoregion': 'Biak-Numfoor Rain Forests', 'geographic distribution includes': 'Indonesia', 'habitat': 'tropical', 'hearing range': '5000 Hz', 'hearing threshold': '10 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'visual system': 'corneal eyes'}"
Black-capped antwren,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Neotropics', 'body mass': '12 g', 'geographic distribution includes': 'Bolivia', 'habitat': 'subtropical,terrestrial', 'hearing threshold': '10 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'type specimen repository': 'NHMUK', 'visual system': 'corneal eyes'}"
Black-capped apalis,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'Afrotropics', 'body mass': '10.2 g', 'ecoregion': 'Saharan Flooded Grasslands', 'geographic distribution includes': 'Cameroon', 'habitat': 'tropical,terrestrial', 'hearing threshold': '10 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Stable', 'visual system': 'corneal eyes'}"
Black-capped babbler,"{'parasitized by': 'tympanic middle ear', 'auditory system': 'the indo-malayan realm', 'biogeographic realm': '27 g', 'body mass': 'Sumatran Freshwater Swamp Forests', 'ecoregion': 'Malaysia', 'geographic distribution includes': 'subtropical', 'habitat': '5000 Hz', 'hearing range': '10 dB', 'hearing threshold': 'bipedal movement', 'locomotion': 'apatite', 'mineralized skeleton contains': 'corneal eyes'}"
Black-capped becard,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Neotropics', 'body mass': '25 g', 'ecoregion': 'Guianan Moist Forests', 'geographic distribution includes': 'South Pacific', 'habitat': 'subtropical,terrestrial', 'hearing threshold': '10 dB', 'locomotion': 'flight', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'visual system': 'corneal eyes'}"
Black-capped bulbul,"{'parasitized by': 'tympanic middle ear', 'auditory system': 'the palearctic', 'biogeographic realm': 'Northeast India-Myanmar Pine Forests', 'eats': 'United States', 'ecoregion': '5000 Hz', 'geographic distribution includes': '10 dB', 'has ectoparasite': 'flight', 'hearing range': 'apatite', 'hearing threshold': 'corneal eyes'}"
Black-capped catbird,"{'auditory system': 'tympanic middle ear', 'hearing range': '5000 Hz', 'hearing threshold': '10 dB', 'locomotion': 'flight', 'mineralized skeleton contains': 'apatite', 'visual system': 'corneal eyes'}"
Black-capped chickadee,"{'basal metabolic rate': '0.252 watts', 'biogeographic realm': 'The Nearctic', 'geographic distribution includes': 'United States', 'growth rate': '0.48 /day', 'life span': '12.4 years', 'litters per year': '1 /year', 'locomotion': 'flight', 'native range includes': 'United States', 'population trend': 'Increasing', 'prenatal development duration': '12 days', 'trophic guild': 'omnivore', 'type specimen repository': 'NHMUK'}"
Black-capped donacobius,"{'parasitized by': 'tympanic middle ear', 'auditory system': '44 g', 'body mass': 'Bolivia', 'geographic distribution includes': 'tropical', 'habitat': 'freshwater habitat,5000 Hz', 'hearing range': '10 dB', 'hearing threshold': 'bipedal movement', 'locomotion': 'apatite', 'mineralized skeleton contains': 'Decreasing', 'population trend': 'corneal eyes'}"
Black-capped flycatcher,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Neotropics', 'body mass': '9.300000000000001 g', 'eats': 'Costa Rica', 'geographic distribution includes': 'mountain', 'habitat': 'terrestrial,flight', 'locomotion': 'apatite', 'mineralized skeleton contains': 'Decreasing', 'population trend': 'NHMUK', 'type specimen repository': 'corneal eyes'}"
Black-capped foliage-gleaner,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Neotropics', 'body mass': '24 g', 'ecoregion': 'Bahia Interior Forests', 'geographic distribution includes': 'Brazil', 'habitat': 'forest,terrestrial', 'hearing threshold': '10 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'visual system': 'corneal eyes'}"
Black-capped gnatcatcher,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Nearctic', 'body mass': '6.6 g', 'ecoregion': 'Sonoran-Sinaloan Transition Subtropical Dry Forest', 'geographic distribution includes': 'United States', 'habitat': 'arid,terrestrial', 'hearing threshold': '10 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'visual system': 'corneal eyes'}"
Black-capped hemispingus,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Neotropics', 'body mass': '26 g', 'ecoregion': 'Eastern Cordillera Real Montane Forests', 'genome size': '1.107 pg', 'geographic distribution includes': 'Brazil', 'habitat': 'subtropical', 'hearing range': '5000 Hz', 'hearing threshold': '10 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'visual system': 'corneal eyes'}"
Black-capped kingfisher,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'the palearctic', 'body mass': '84 g', 'ecoregion': 'Northern Triangle Subtropical Forests', 'geographic distribution includes': 'Indian Ocean', 'habitat': 'coastal,marine', 'hearing threshold': '20 dB', 'locomotion': 'flight', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'visual system': 'corneal eyes'}"
Black-capped lory,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'australasia', 'body mass': '210 g', 'conservation status': 'cites appendix ii', 'geographic distribution includes': 'United States', 'habitat': 'forest,terrestrial', 'life span': '18.5 years', 'locomotion': 'flight', 'population trend': 'Decreasing', 'visual system': 'corneal eyes', 'weight': '177 g'}"
Black-capped paradise kingfisher,"{'auditory system': 'otoliths', 'geographic distribution includes': 'South Pacific', 'habitat': 'terrestrial', 'hearing range': '1000 Hz', 'hearing threshold': '20 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'type specimen repository': 'NHMUK', 'visual system': 'corneal eyes'}"
