,Name,Wikidata_link
0,Rosy-throated Longclaw,https://www.wikidata.org/wiki/Q942868
0,Rota White-eye,https://www.wikidata.org/wiki/Q3120024
0,Rote boobook,https://www.wikidata.org/wiki/Q60700036
0,Rote Leaf-warbler,
0,Rote myzomela,https://www.wikidata.org/wiki/Q48966839
0,Rothschild's Swift,https://www.wikidata.org/wiki/Q970708
0,Rotuma Myzomela,https://www.wikidata.org/wiki/Q2225367
0,Rouget's Rail,https://www.wikidata.org/wiki/Q1268757
0,Roughcrested malkoha,
0,Rough-legged Buzzard,
0,Rough-legged Tyrannulet,https://www.wikidata.org/wiki/Q1270514
0,Round-tailed Manakin,https://www.wikidata.org/wiki/Q27075188
0,Roviana Rail,https://www.wikidata.org/wiki/Q1078590
0,Royal Cinclodes,https://www.wikidata.org/wiki/Q1269241
0,Royal parrotfinch,https://www.wikidata.org/wiki/Q629462
0,Royal Penguin,https://www.wikidata.org/wiki/Q745262
0,Royal Spoonbill,https://www.wikidata.org/wiki/Q722981
0,Royal Sunangel,https://www.wikidata.org/wiki/Q882545
0,Royal Tern,https://www.wikidata.org/wiki/Q28423
0,Ruaha chat,https://www.wikidata.org/wiki/Q15707894
0,Rubeho Akalat,https://www.wikidata.org/wiki/Q2226916
0,Rubeho forest partridge,https://www.wikidata.org/wiki/Q27074586
0,Rubeho warbler,https://www.wikidata.org/wiki/Q7375920
0,Ruby-cheeked Sunbird,https://www.wikidata.org/wiki/Q27075705
0,Ruby-crowned Kinglet,https://www.wikidata.org/wiki/Q576050
0,Ruby-crowned Tanager,https://www.wikidata.org/wiki/Q948674
0,Ruby-throated Bulbul,https://www.wikidata.org/wiki/Q9171664
0,Ruby-throated Hummingbird,
0,Ruby-throated Myzomela,https://www.wikidata.org/wiki/Q941633
0,Ruby-topaz Hummingbird,https://www.wikidata.org/wiki/Q1072367
0,Rück's Blue-flycatcher,https://www.wikidata.org/wiki/Q605264
0,Rudd's Apalis,https://www.wikidata.org/wiki/Q3315232
0,Rudd's Lark,https://www.wikidata.org/wiki/Q1588359
0,Ruddy Crake,https://www.wikidata.org/wiki/Q1271852
0,Ruddy Cuckoo-dove,https://www.wikidata.org/wiki/Q18825
0,Ruddy Duck,
0,Ruddy Foliage-gleaner,https://www.wikidata.org/wiki/Q612725
0,Ruddy Ground-dove,https://www.wikidata.org/wiki/Q1386698
0,Ruddy Kingfisher,https://www.wikidata.org/wiki/Q1110083
0,Ruddy Pigeon,https://www.wikidata.org/wiki/Q1260727
0,Ruddy Quail-dove,
0,Ruddy Shelduck,https://www.wikidata.org/wiki/Q170723
0,Ruddy Spinetail,https://www.wikidata.org/wiki/Q1273878
