,Common Name,Kingdom,Phylum,Class,Order,Family,Binomial Name,Link,Description
0,Heard Island Shag,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Leucocarbo nivalis,https://ebird.org/species/heisha1,"A large pied shag with a very white head, neck, and shoulders, a bright blue eye-ring, and a large patch of yellow warty skin in front of the eyes. Breeding adult has a wispy crest. Marine, breeding on cliffs and in tussock grassland. No other similar birds occur within its limited range. Loud barking and honking are the most common vocalizations."
0,Heermann's Gull,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus heermanni,https://ebird.org/species/heegul,Unique smoky-gray gull with red bill. Breeding adults have a clean white head that blends seamlessly into the gray neck; nonbreeding adults have smudgy dark streaking on the head. Immatures are entirely dark brown with a yellowish or reddish bill with a dark tip. Almost exclusively coastal; usually seen in flocks loafing on beaches or feeding in nearshore waters. Breeds in Mexico mainly in the Gulf of California; migrates as far north as Washington and British Columbia in winter. Overall dark plumage of immatures might recall a dark-morph jaeger; note Heermann's lacks pale wing flashes and never shows pale mottling on the belly or underwings.
0,Heinroth's Shearwater,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus heinrothi,https://ebird.org/species/heishe1,"A small, distinctively proportioned shearwater with a comparatively long-necked, long-tailed, round-winged appearance. Entirely dark plumage contrasts with variably white bars on the underside of remarkably short, stubby wings. Long thin bill is often obvious, as is this species’ habit of flying with its head raised above its body. Pale morph is paler below and overall lighter brown, but retains odd proportions. The dark morph of Wedge-tailed Shearwater is somewhat similar, but much larger and longer-tailed. Black Noddy is similar in size, but has a more buoyant, bouncy tern-like flight. Christmas Shearwater is most similar, but has a proportionally shorter bill and tail. Short-tailed and Sooty Shearwaters are similar in plumage, but their toes project beyond their tail, unlike in Heinroth’s Shearwater."
0,Hellmayr's Pipit,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus hellmayri,https://ebird.org/species/helpip1,"Uncommon pipit found in grasslands, dry rocky areas, and less frequently in low intensity agricultural habitats. It has a heavily streaked back with a white throat and pale belly. Note the lightly streaked breast and flanks. Similar to Short-billed Pipit, but lacks the white mustache and has streaky flanks. Sings a series of buzzy nasal notes perched or in flight."
0,Helmet Vanga,Animalia,Chordata,Aves,Passeriformes,Vangidae,Euryceros prevostii,https://ebird.org/species/helvan1,"Huge black vanga with a rufous back and an enormous blue bill. Rare and localized Madagascar endemic that is found in northeastern rainforest at low and middle elevations. Usually in the mid-story, perching motionless for long periods. Often joins flocks with other large vangas. Most easily located when nesting in a large mossy cup that is placed on a forking mid-story branch. Song is a long, delicate, high-pitched, slightly descending trill."
0,Helmeted Curassow,Animalia,Chordata,Aves,Galliformes,Cracidae,Pauxi pauxi,https://ebird.org/species/helcur1,"Large and unmistakable black curassow with a blue-gray helmet on forehead, red bill and legs, white belly, and white tipped tail. Males and most females similar, but some females are of a brown and barred morph. Generally rare in mature montane forest from low to medium elevations. Often in pairs or small groups walking on the forest floor, foraging on fruits and seeds; when alarmed flies to the upper level of the forest, sometimes calling in alarm and other times staying quiet. Vocal during the breeding season; song is a deep, low pitched series of “uhm…UUUUHm…uuuhm;” alarm call is a deep and dry sneezing sound. No similar species in range."
0,Helmeted Friarbird,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Philemon buceroides,https://ebird.org/species/helfri1,"Large brownish honeyeater with bare black facial skin and a long, pointed, black bill topped by a small rounded ""horn"". Uniformly gray-brown with upperparts a darker shade than the underparts. Care should be taken to distinguish it from Silver-crowned Friarbird (which has an angular edge to the upper rear portion of the black facial skin, as well as a slightly larger ""horn"" on the bill). Also similar is the Noisy Friarbird (which has a completely bare head). Found along the tropical Queensland and Northern Territory coasts—where it can be common in a variety of habitats including parks, gardens, mangroves, and forests. The ""Sandstone"" subspecies in Arnhem Land is quite different in habitat; it occurs in inland sandstone areas. Typically very loud, with has a variety of harsh, loud squawks, including the ""poor devil"" call."
0,Helmeted Guineafowl,Animalia,Chordata,Aves,Galliformes,Numididae,Numida meleagris,https://ebird.org/species/helgui,"A large-bodied, small-headed, slaty-gray gamebird perfectly lined with rows of hundreds of white spots. The distinctive head sports a strange bone-like casque and naked warty facial skin, which is colored white, blue, or red depending on geographic location. Young birds are brown and are almost always found with adults. It is common throughout its range, and large flocks roam the savannas, digging for invertebrates and tubers. Guineafowl often behave like lunatics, charging around issuing a loud and distinctive “kek-kek-kek-kraaaaaaah” alarm. It also calls a distinctive, plaintive “kuuuh-keeerk”. Crested Guineafowl differ from Helmeted Guineafowl by being darker and having a plumed crest on top of the head."
0,Helmeted Hornbill,Animalia,Chordata,Aves,Bucerotiformes,Bucerotidae,Buceros vigil,https://ebird.org/species/helhor1,"Bizarre-looking bird, now very rare due to poaching for the ivory-like material of its bill. When perched, its most recognizable feature is the naked throat pouch which resembles an undercooked steak, chalky white in the female and dull scarlet in the male. When in flight, its long trailing central tail feathers easily distinguish it from any other hornbill. Scarce and difficult to see; listen for its far-carrying maniacal laugh in mature lowland and foothill forests."
0,Helmeted Manakin,Animalia,Chordata,Aves,Passeriformes,Pipridae,Antilophia galeata,https://ebird.org/species/helman1,"Males are striking with a mostly glossy black body, but with a red forehead, crest, and back. Females are uniformly olive-green and also crested. Locally common in gallery forests embedded in savannas where it often accompanies mixed-species flocks. The song is a trilling series of alternately soft and loud whistles."
